RTECS_ID,CAS_RN,SMILES,mouse_intravenous_LD50
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.76001467
56100,56-10-0,N=C(N)SCCN,3.013959516
56122,1956/12/2,NCCCC(=O)O,1.574330387
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.997180257
56360,56-36-0,CCCC[Sn](CCCC)(CCCC)OC(C)=O,3.287681076
56371,56-37-1,CC[N+](CC)(CC)Cc1ccccc1,4.028765494
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.350344948
56406,56-40-6,NCC(=O)O,1.812435335
56531,56-53-1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,2.951590055
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.615354961
56699,56-69-9,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,2.747819724
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,3.467987283
56815,56-81-5,OCC(O)CO,1.335842406
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.740344914
57090,57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,4.073950401
57103,1957/10/3,CCCCCCCCCCCCCCCC(=O)O,3.653093977
57136,57-13-6,NC(N)=O,1.115798571
57147,57-14-7,CN(C)N,2.312172449
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.541719974
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.019652686
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,4.359774472
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.42436382
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.837828244
57501,57-50-1,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,3.279130588
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.977232386
57556,57-55-6,CC(O)CO,1.059842593
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.616678835
57681,57-68-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.428971774
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.721977123
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.73478928
57965,57-96-5,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.226697621
57976,57-97-6,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,2.877351016
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,3.763058637
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.341550513
58139,58-13-9,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,4.011360276
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.472079152
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,3.970202455
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3.773559304
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.643398096
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,3.806239608
58468,58-46-8,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,3.325555342
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.236132011
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,2.464236707
58639,58-63-9,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,1.981347699
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.911323034
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4.252549071
58866,58-86-6,O=CC(O)C(O)C(O)CO,1.123389041
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.702992466
58946,58-94-6,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.497766061
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,3.464841929
59052,1959/5/2,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.844569884
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.089339808
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,2.995720485
59303,59-30-3,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.019697031
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,4.080096324
59472,59-47-2,Cc1ccccc1OCC(O)CO,3.01755561
59507,59-50-7,Cc1cc(O)ccc1Cl,3.3089758
59529,59-52-9,OCC(S)CS,3.346038458
59585,59-58-5,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,3.059501783
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,3.678154753
59972,59-97-2,c1ccc(CC2=NCCN2)cc1,3.501641358
60015,1960/1/5,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,2.975384413
60106,1960/10/6,S=C(N=Nc1ccccc1)NNc1ccccc1,3.660618188
60195,60-19-5,NCCc1ccc(O)cc1,2.798347722
60231,60-23-1,NCCS,2.608593588
60253,60-25-3,C[N+](C)(C)CCCCCC[N+](C)(C)C,3.822117648
60297,60-29-7,CCOCC,1.87169365
60311,60-31-1,CC(=O)OCC[N+](C)(C)C,4.06608868
60322,60-32-2,NCCCCCC(=O)O,1.427654993
60344,60-34-4,CNN,3.017451444
60355,60-35-5,CC(N)=O,0.771352266
60446,60-44-6,CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,4.328008613
60548,60-54-8,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.504395959
60708,60-70-8,Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C,5.121013098
60797,60-79-7,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.354071072
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.575718838
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.80345735
60899,60-89-9,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,3.673269182
60991,60-99-1,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,3.830780095
61007,61-00-7,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.742984616
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.956106478
61165,61-16-5,COc1ccc(OC)c(C(O)C(C)N)c1,4.623251346
61245,61-24-5,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)C2SC1,1.919521579
61507,61-50-7,CN(C)CCc1c[nH]c2ccccc12,3.726867545
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,3.40026809
61698,61-69-8,Nc1nc2nc(-c3ccccc3)nc(N)c2nc1C(=O)NCCN1CCOCC1,3.340707344
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.567451083
61803,61-80-3,Nc1nc2cc(Cl)ccc2o1,2.651625933
61825,61-82-5,Nc1nnc[nH]1,1.225733029
62135,62-13-5,CNCC(=O)c1ccc(O)c(O)c1,2.818803928
62237,62-23-7,O=C(O)c1ccc([N+](=O)[O-])cc1,2.336537702
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,4.272022202
62511,62-51-1,CC(=O)OC(C)C[N+](C)(C)C,4.028671546
62588,62-58-8,CCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5,4.213951732
62599,62-59-9,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,5.772132395
62680,62-68-0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,3.770245539
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.089072603
62748,62-74-8,O=C(O)CF,3.778385038
63456,63-45-6,COc1cc(NC(C)CCCN)c2ncccc2c1,4.212494152
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,2.537085841
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,5.136891401
64040,64-04-0,NCCc1ccccc1,3.284128363
64175,64-17-5,CCO,1.3682817
64391,64-39-1,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.860167723
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.986763339
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.545442074
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.371005893
64891,64-89-1,CCC(=O)c1ccc2c(c1)Sc1ccccc1N2C(C)CN(C)C,3.850865675
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,2.632078148
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.453002189
65452,65-45-2,NC(=O)c1ccccc1O,2.641613474
65496,65-49-6,Nc1ccc(C(=O)O)c(O)c1,1.625200867
65861,65-86-1,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,2.306903831
66057,1966/5/7,CC(CNN)c1ccccc1,3.357198277
66284,66-28-4,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.088407807
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.844797254
66400,66-40-0,CC[N+](CC)(CC)CC,3.5652915
66717,66-71-7,c1cnc2c(c1)ccc1cccnc12,4.000506382
66762,66-76-2,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.903476286
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.273158748
66831,66-83-1,COc1ccc2[nH]cc(CCN)c2c1,3.260243989
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,3.527083229
67061,1967/6/1,Cc1ccccc1OCC[N+](C)(C)C,5.348949078
67481,67-48-1,C[N+](C)(C)CCO,3.416795948
67561,67-56-1,CO,0.832698709
67630,67-63-0,CC(C)O,1.600156326
67685,67-68-5,CS(C)=O,1.401489481
67925,67-92-5,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,3.99234168
67992,67-99-2,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,4.621654217
68122,1968/12/2,CN(C)C=O,1.465947662
68348,68-34-8,Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1,3.749804805
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.984118429
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.151436946
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,3.962646274
69147,69-14-7,CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1,4.540585276
69238,69-23-8,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.906360086
69272,69-27-2,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,4.106894798
69330,69-33-0,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,3.772088521
69487,69-48-7,Oc1cccc2nc3c(O)cccc3nc12,3.326761752
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.880579984
69727,69-72-7,O=C(O)c1ccccc1O,2.658368945
69749,69-74-9,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,1.540899459
69794,69-79-4,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.106268299
70008,70-00-8,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,1.94254135
70188,70-18-8,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,2.137742048
70224,70-22-4,O=C1CCCN1CC#CCN1CCCC1,5.173968028
70257,70-25-7,CN(N=O)C(N)=N[N+](=O)[O-],3.595886126
70291,70-29-1,CCS(=O)CC,1.385602184
70519,70-51-9,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,3.350785125
70699,70-69-9,CCC(=O)c1ccc(N)cc1,3.012380445
71001,71-00-1,NC(Cc1cnc[nH]1)C(=O)O,1.889741378
71238,71-23-8,CCCO,1.935612788
71363,71-36-3,CCCCO,2.293611638
71410,71-41-0,CCCCCO,2.680404494
71625,71-62-5,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC,6.205281716
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.270849192
71670,71-67-0,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,3.376095914
71681,71-68-1,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,3.576669209
71783,71-78-3,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,4.126085929
71794,71-79-4,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.874148286
71976,71-97-6,CC(C)COP(=O)(OC=C(Cl)Cl)OCC(C)C,3.22922379
72173,72-17-3,CC(O)C(=O)O,1.61417462
72560,72-56-0,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,3.249465577
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.425087665
73314,73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,3.110744921
73483,73-48-3,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,3.028120108
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,4.131291358
74555,74-55-5,CCC(CO)NCCNC(CC)CO,2.953316496
74908,74-90-8,C#N,4.436146578
75058,1975/5/8,CC#N,1.826593477
75218,75-21-8,C1CO1,2.181577491
75503,75-50-3,CN(C)C,2.538612718
75650,75-65-0,CC(C)(C)O,1.682996653
75752,75-75-2,CS(=O)(=O)O,3.727482516
75854,75-85-4,CCC(C)(C)O,2.159892482
75898,75-89-8,OCC(F)(F)F,2.602229333
76131,76-13-1,FC(F)(Cl)C(F)(Cl)Cl,1.318469136
76380,76-38-0,COC(F)(F)C(Cl)Cl,3.041303185
76631,76-63-1,C=CC[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.592290037
76664,76-66-4,CCC1CN2CCC3(C(=O)Nc4ccccc43)C2CC1C(=COC)C(=O)OC,3.622729592
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.399859121
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.545255147
76835,76-83-5,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,3.189992224
76868,76-86-8,Cl[Si](c1ccccc1)(c1ccccc1)c1ccccc1,3.721423416
76904,76-90-4,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4.540818333
76982,76-98-2,CCC1CC2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C(C(=O)OC)(C2)C13,3.445095558
77010,77-01-0,NC(=O)C(CCN1CCCCC1)(c1ccccc1)c1ccccc1,4.03134382
77156,77-15-6,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,3.604334073
77510,77-51-0,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,3.647706525
77678,77-67-8,CCC1(C)CC(=O)NC1=O,2.257647812
77770,77-77-0,C=CS(=O)(=O)C=C,4.031066771
77805,77-80-5,c1ccc([Sn](S[Sn](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,3.609312732
77816,77-81-6,CCOP(=O)(C#N)N(C)C,6.033769445
77861,77-86-1,NC(CO)(CO)CO,2.000487859
78068,1978/6/8,CCCC[Sn]1(CCCC)OC(=O)CCS1,3.527723966
78193,78-19-3,C=CC1OCC2(CO1)COC(C=C)OC2,2.82168749
78444,78-44-4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,3.198046947
78466,78-46-6,CCCCOP(=O)(CCCC)OCCCC,3.650305788
78513,78-51-3,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.345130754
78546,78-54-6,OC1(C#CC2(O)CCCCC2)CCCCC1,3.091721656
78706,78-70-6,C=CC(C)(O)CCC=C(C)C,2.932961114
78831,78-83-1,CC(C)CO,2.249816933
78922,78-92-2,CCC(C)O,1.98685963
78988,78-98-8,C=C(O)C=O,2.456311797
79016,1979/1/6,ClC=C(Cl)Cl,3.588359309
79049,1979/4/9,O=C(Cl)CCl,3.547709341
79072,1979/7/2,NC(=O)CCl,2.715599485
79094,1979/9/4,CCC(=O)O,2.073815094
79163,79-16-3,CNC(C)=O,1.260202121
