RTECS_ID,CAS_RN,SMILES,rabbit_subcutaneous_LD50
554994,554-99-4,CN(C)CC(O)c1ccc(O)c(O)c1,3.897041774
555771,555-77-1,ClCCN(CCCl)CCCl,5.009722776
593919,593-91-9,C[Bi](C)C,3.144907639
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.588580926
624839,624-83-9,CN=C=O,2.655900328
850577,850-57-7,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,4.347164073
1094082,1094-08-2,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,3.19379501
1115704,1115-70-4,CN(C)C(=N)N=C(N)N,2.935060314
1722629,1722-62-9,Cc1cccc(C)c1NC(=O)C1CCCCN1C,3.350166933
1882264,1882-26-4,CNC(=O)OCc1cccc(COC(=O)NC)n1,1.687559829
2152445,2152-44-5,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.784764658
2571224,2571-22-4,C=C(C)C1C2OC(=O)C1C1(O)C3OC3C3(CO3)C1(C)C2O,5.286665475
2571860,2571-86-0,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.4760365
2686999,2686-99-9,CNC(=O)Oc1cc(C)c(C)c(C)c1,1.888170505
2845821,2845-82-1,O=c1[nH]nc(-c2ccncc2)o1,2.610489818
3983399,3983-39-9,CNC(=O)Oc1cccc([N+](C)(C)C)c1,5.905731551
4312316,4312-31-6,CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,2.991932092
4985153,4985-15-3,CN(C)CCON=C1c2ccccc2CCc2ccccc21,3.769964851
5144525,5144-52-5,c1ccc2c(CC3=NCCN3)cccc2c1,5.03290617
5349280,5349-28-0,CCOC(=O)CSC#N,4.161915766
5588103,10-03-88,CNC(C)Cc1ccccc1OC,2.82373838
5728529,5728-52-9,O=C(O)Cc1ccc(-c2ccccc2)cc1,2.219633637
5746134,5746-13-4,O=C(O)CC(O)(CC(=O)O)C(=O)O,3.060862888
5892159,5892-15-9,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,3.954880709
5987826,5987-82-6,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.012024094
6009672,6009-67-2,CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21,3.092592934
6159393,6159-39-3,CC(N1CCCCC1)C(O)(c1ccccc1)c1ccccc1,3.072508706
6168861,6168-86-1,CNC(C)CCC=C(C)C,3.145691679
9067327,9067-32-7,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(O)C1O,2.58919591
13265606,13265-60-6,COP(=S)(OC)SCCNC(C)=O,2.784064267
13589156,13589-15-6,COC(=O)N(CCCl)N=O,3.920551146
13655522,13655-52-2,C=CCc1ccccc1OCC(O)CNC(C)C,3.314030969
14641964,14641-96-4,CN1C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2,2.879958448
14736302,14736-30-2,CCc1coc2ccccc2c1=O,2.144135645
15423899,15423-89-9,CCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.770978872
15676161,15676-16-1,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,2.232275498
17321776,17321-77-6,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.161657757
21256188,21256-18-8,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,2.467344638
21655845,21655-84-5,Cc1nccc2c1[nH]c1ccccc12,2.959580347
21898191,21898-19-1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,3.616062872
22248799,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.864468361
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.855484151
24169026,24169-02-6,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,2.768797425
30544479,30544-47-9,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.382166404
41136225,41136-22-5,O=C(Cn1cnnn1)NC1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CSC12,1.798839985
50782699,50782-69-9,CCOP(C)(=O)SCCN(C(C)C)C(C)C,7.280992762
53109903,53109-90-3,CCN(CC)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N2)O4,2.511047643
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,3.000620729
54708519,54708-51-9,COc1cc(C(=O)N(C)C)nn1-c1cccc(Cl)c1,1.747764383
55541305,55541-30-5,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.822129351
56390160,56390-16-0,CC1C2Cc3ccc(O)cc3C1(C)CCN2CCCC(=O)c1ccc(F)cc1,3.706423033
56776013,56776-01-3,CC(C)(C)NCC(O)c1ccccc1Cl,3.142585933
59198708,59198-70-8,CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.259995167
59937289,59937-28-9,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,1.761010193
60398223,60398-22-3,CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,6.199248571
63690277,63690-27-7,COc1ccc2c3c1OC1C(Cl)CCC4C(C2)N(C)CCC341,3.596436895
63884468,63884-46-8,CNC(=O)Oc1ccccc1C[N+](C)(C)C,4.804812899
63977322,63977-32-2,CCOC(=O)CCCCCCCC(C)F,6.038047613
63982558,63982-55-8,CC(=O)OC1(C(C)=C(C)C(=O)O)CCC2(C)C3CCC4C5CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC31O,4.403997836
64046726,64046-72-6,CCCCCCCCCCCCCCCC(=N)N,2.949256903
64049838,64049-83-8,CN(CC[N+](C)(C)C)CC[N+](C)(C)C,3.104175448
64051087,64051-08-7,C[N+](C)(C)c1cccc(OC(=O)NCc2ccccc2)c1,6.154373754
75736333,75736-33-3,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,2.516195473
102043425,102043-42-5,COc1ccc2c3c1OC1C=CC(O)C4C(C2)N(C)CCC314,2.713529714
1356521,1356-52-1,CCN1CC2CCC(OC)C34C2CC(C13)C1(O)CC(OC)C2(O)CC4C1C2OC(=O)c1ccccc1,3.647690277
1403663,1403-66-3,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.589161935
1407052,1407-05-2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.542211506
1421289,1421-28-9,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,3.188911859
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.760204934
2447543,2447-54-3,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,3.424666069
4697147,4697-14-7,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,1.543430235
4794201,4794-20-1,O=C1C(Cl)=C(Cl)C(=O)C23OC12C1CC3C(Cl)C1Cl,1.816874709
4800946,4800-94-6,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,1.975898023
7681938,7681-93-8,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.56802758
25953199,25953-19-9,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,1.879400792
32449926,32449-92-6,O=CC(O)C1OC(=O)C(O)C1O,1.573720682
51627146,51627-14-6,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1,2.188002689
63905055,63905-05-5,CN(CCO)CCCl,4.138649995
63905986,63905-98-6,CCCCCc1cc[n+](C(c2ccccc2)c2ccccc2)cc1,3.956261758
63981920,63981-92-0,CNC(=O)Oc1ccc([N+](C)(C)C)c(C(C)C)c1,6.525217626
63981975,63981-97-5,CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.234937591
63982321,63982-32-1,CNC(=O)Oc1cccc(C(C)N(C)C)c1,5.346916018
67330250,67330-25-0,CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,1.528069128
