RTECS_ID,CAS_RN,SMILES,mouse_unreported_LD50
79414,79-41-4,C=C(C)C(=O)O,1.838042695
79834,79-83-4,CC(C)(CO)C(O)C(=O)NCCC(=O)O,1.944714504
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.710868758
82666,82-66-6,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,3.054840227
84662,84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,1.412323777
84695,84-69-5,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.423398806
84742,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.5339637
84753,84-75-3,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1.172156473
84764,84-76-4,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,1.289379439
85438,85-43-8,O=C1OC(=O)C2CC=CCC12,1.663755162
85687,85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,4.357941799
88051,1988/5/1,Cc1cc(C)c(N)c(C)c1,2.560465873
90277,90-27-7,CCC(C(=O)O)c1ccccc1,2.190077867
92319,92-31-9,Cc1cc2nc3ccc(=[N+](C)C)cc-3sc2cc1N,3.984818139
92433,92-43-3,O=C1CCN(c2ccccc2)N1,2.752147532
93549,93-54-9,CCC(O)c1ccccc1,2.134157975
94804,94-80-4,CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.862926585
95136,95-13-6,C1=Cc2ccccc2C1,1.809795314
95169,95-16-9,c1ccc2scnc2c1,2.639586087
95498,95-49-8,Cc1ccccc1Cl,1.458933
95545,95-54-5,Nc1ccccc1N,2.507663152
95556,95-55-6,Nc1ccccc1O,2.208632423
96457,96-45-7,S=C1NCCN1,1.117194784
98000,98-00-0,OCc1ccco1,2.462756734
99309,99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1.663757572
99627,99-62-7,CC(C)c1cccc(C(C)C)c1,1.7188926
100185,100-18-5,CC(C)c1ccc(C(C)C)cc1,1.308251403
100447,100-44-7,ClCc1ccccc1,2.210291074
100550,100-55-0,OCc1cccnc1,1.7369062
100641,100-64-1,ON=C1CCCCC1,2.20243459
101020,101-02-0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,2.358227471
102067,102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,2.913214015
103173,103-17-3,Clc1ccc(CSc2ccc(Cl)cc2)cc1,1.952947348
104745,104-74-5,CCCCCCCCCCCC[n+]1ccccc1,3.319664071
104836,104-83-6,ClCc1ccc(Cl)cc1,2.143951656
105602,105-60-2,O=C1CCCCCN1,2.08520999
106434,106-43-4,Cc1ccc(Cl)cc1,1.500325685
106445,106-44-5,Cc1ccc(O)cc1,2.829866383
106489,106-48-9,Oc1ccc(Cl)cc1,2.327343733
106934,106-93-4,BrCCBr,3.109486086
107073,107-07-3,OCCCl,2.946830011
107211,107-21-1,OCCO,0.887071871
107299,107-29-9,CC=NO,1.710654426
107813,107-81-3,CCCC(C)Br,1.400960854
108203,108-20-3,CC(C)OC(C)C,1.453050647
108394,108-39-4,Cc1cccc(O)c1,2.255835115
108452,108-45-2,Nc1cccc(N)c1,3.219089248
108781,108-78-1,Nc1nc(N)nc(N)n1,2.100794292
108883,108-88-3,Cc1ccccc1,1.663422926
108918,108-91-8,NC1CCCCC1,2.364877126
109591,109-59-1,CC(C)OCCO,1.920745091
109693,109-69-3,CCCCCl,1.218277545
110178,110-17-8,O=C(O)C=CC(=O)O,1.365757463
110805,110-80-5,CCOCCO,1.191477712
111137,111-13-7,CCCCCCC(C)=O,1.903818854
111400,111-40-0,NCCNCCN,2.026777487
111466,111-46-6,OCCOCCO,0.901949693
111762,111-76-2,CCCCOCCO,2.051339987
111900,111-90-0,CCOCCOCCO,1.273365562
112345,112-34-5,CCCCOCCOCCO,1.428373116
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.63216777
114807,114-80-7,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,5.769097347
114909,114-90-9,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.295502331
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.104368663
116018,116-01-8,CCNC(=O)CSP(=S)(OC)OC,2.842056214
117817,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.74659417
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.944961448
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.770754899
122156,122-15-6,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,3.148728072
123035,123-03-5,CCCCCCCCCCCCCCCC[n+]1ccccc1,3.38327665
123308,123-30-8,Nc1ccc(O)cc1,2.162874933
123319,123-31-9,Oc1ccc(O)cc1,2.865743392
123331,123-33-1,O=c1ccc(=O)[nH][nH]1,1.016618182
123397,123-39-7,CNC=O,1.7013144
125337,125-33-7,CCC1(c2ccccc2)C(=O)NCNC1=O,2.807487275
125462,125-46-2,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(=C(C)O)C(=O)C12C,3.07456299
126727,126-72-7,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.783294536
126738,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,2.346219275
126750,126-75-0,CCOP(=O)(OCC)SCCSCC,4.664012034
127208,127-20-8,CC(Cl)(Cl)C(=O)O,1.592949015
127480,127-48-0,CN1C(=O)OC(C)(C)C1=O,1.819307347
131113,131-11-3,COC(=O)c1ccccc1C(=O)OC,1.455709003
131919,131-91-9,O=Nc1c(O)ccc2ccccc12,2.636415174
133062,133-06-2,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,3.338101221
133073,133-07-3,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,2.597054239
136254,136-25-4,CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.604025813
136470,136-47-0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,3.121180533
137268,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,2.320316104
137428,137-42-8,CNC(=S)S,2.575362079
141537,141-53-7,O=CO,1.265053789
142289,142-28-9,ClCCCCl,1.496725977
142847,142-84-7,CCCNCCC,2.500000493
143339,143-33-9,N#C[Na],3.690266979
143840,143-84-0,O=C(CBr)N1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,2.811021732
143851,143-85-1,O=C(CCl)C1CCN(C(O)(c2ccccc2)c2ccccc2)CC1,2.75822283
143862,143-86-2,O=C(CI)N1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,2.860642405
150754,150-75-4,CNc1ccc(O)cc1,3.488392057
151564,151-56-4,C1CN1,3.458073529
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.058810038
154938,154-93-8,O=NN(CCCl)C(=O)NCCCl,3.70727
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.058576199
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.77564685
300425,300-42-5,CNC(C)Cc1ccccc1,3.282967929
300629,300-62-9,CC(N)Cc1ccccc1,4.186526141
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.289124457
306945,306-94-5,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,1.176160816
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.691455668
311477,311-47-7,CCOP(=O)(OC=CCl)OCC,4.066781537
340567,340-56-7,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,2.301552572
354449,354-44-9,CN(C)S(=O)(=O)F,2.902885083
358065,358-06-5,CC[Si](F)(F)CC,3.27459864
363202,363-20-2,CCN(CC)C(=O)CNC(=O)c1cc(OC)c(OC)c(OC)c1,2.033928798
366701,366-70-1,CNNCc1ccc(C(=O)NC(C)C)cc1,2.224415333
373886,373-88-6,NCC(F)(F)F,2.31826945
381464,381-46-4,O=S(=O)(OCCF)OCCF,3.831977124
399871,399-87-1,COC(=O)C(O)=CF,3.176377076
423552,423-55-2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,1.06967506
433487,433-48-7,O=C(O)C(O)=CF,3.122428876
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.308329596
444279,444-27-9,O=C(O)C1CSCN1,2.647291667
464813,464-81-3,CC(=O)OC1CC2(O)C3CCC4CC(OC(=O)CCCCCCC(=O)NC(CCCNC(=N)N)C(=O)O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,6.277000317
465907,465-90-7,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1,6.733138878
470428,470-42-8,CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)CC3OC312,6.420775198
471954,471-95-4,CC(=O)OC1CC2(O)C3CCC4CC(O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,5.594475594
472264,472-26-4,CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,6.59619916
480444,480-44-4,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,2.483844802
483578,483-57-8,Cn1c(=O)c2ncnnc2n(C)c1=O,3.984900691
486533,486-53-3,CC1CCCC(C2CN=C(N)N2)C(=O)OCC(C)CCCC(C2CN=C(N)N2)C(=O)OC1,3.808677726
494520,494-52-0,c1cncc(C2CCCCN2)c1,3.619082623
495738,495-73-8,O=C(NN=C1C=CC(=NO)C=C1)c1ccccc1,3.382467322
504176,504-17-6,O=C1CC(=O)NC(=S)N1,2.24027518
504632,504-63-2,OCCCO,0.842735959
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,6.093906144
509240,509-24-0,C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2=O,3.400980413
510156,510-15-6,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.649410989
512561,512-56-1,COP(=O)(OC)OC,2.413966871
521437,521-43-7,COc1cc(OC)c2c(OC)c3ccoc3nc2c1OC,3.160298922
533744,533-74-4,CN1CSC(=S)N(C)C1,2.397359671
534225,534-22-5,Cc1ccco1,2.136202486
536298,536-29-8,Nc1cc([As](Cl)Cl)ccc1O,3.76129212
543384,543-38-4,NC(N)=NOCCC(N)C(=O)O,2.94491675
543839,543-83-9,CC(C)=CCNC(=N)N,1.464969893
546714,546-71-4,CCOP(=O)(CC)Oc1ccc([N+](=O)[O-])cc1,5.750873814
548436,548-43-6,CN1CC(CO)=CC2c3cccc4[nH]cc(c34)CC21,3.05904974
548663,548-66-3,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,2.263932628
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.540033691
562210,562-21-0,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C13OC3CC2c1ccc(=O)oc1,5.82513075
574663,574-66-3,ON=C(c1ccccc1)c1ccccc1,2.546800361
576681,576-68-1,OC(CNCCCl)C(O)C(O)C(O)CNCCCl,3.581497388
587611,587-61-1,CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,3.173195984
590283,590-28-3,N#CO,2.031660888
591275,591-27-5,Nc1cccc(O)c1,2.685753678
591811,591-81-1,O=C(O)CCCO,1.716441593
597886,597-88-6,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.163258305
613912,613-91-2,CC(=NO)c1ccccc1,2.477654948
616751,616-75-1,O=C(O)C(Cc1ccccc1)C(=O)O,3.112126657
621727,621-72-7,c1ccc(Cc2nc3ccccc3[nH]2)cc1,3.318614205
623154,623-15-4,CC(=O)C=Cc1ccco1,2.799563895
624180,624-18-0,Nc1ccc(N)cc1,2.514174435
626175,626-17-5,N#Cc1cccc(C#N)c1,2.368883825
633669,633-66-9,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,4.049692127
637036,637-03-6,O=[As]c1ccccc1,4.946625472
637070,637-07-0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,2.208982096
640153,640-15-3,CCSCCSP(=S)(OC)OC,3.835265932
645783,645-78-3,CCOP(=O)(OCC)OP(=S)(OCC)OCC,5.640987984
645885,645-88-5,NOCC(=O)O,2.425330155
698317,698-31-7,O=Nc1ccc(O)cc1O,2.745418342
723466,723-46-6,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1.704636037
732116,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,3.927477127
771299,771-29-9,OOC1CCCc2ccccc21,2.817443724
822480,822-48-0,CC1(CCl)COC1,2.365268334
826368,826-36-8,CC1(C)CC(=O)CC(C)(C)N1,2.492036427
828411,828-41-1,CCC(C)(C(=O)O)c1ccccc1,2.284372257
828513,828-51-3,O=C(O)C12CC3CC(CC(C3)C1)C2,2.477716795
832928,832-92-8,COc1cc(CCN)cc(OC)c1OC,2.908178824
873767,873-76-7,OCc1ccc(Cl)cc1,1.898801335
880502,880-50-2,O=C(O)C12CC3CC(CC(F)(C3)C1)C2,2.121093458
886771,886-77-1,O=C(C=Cc1ccco1)C=Cc1ccco1,1.905978378
919540,919-54-0,CCOC(=O)CSP(=S)(OCC)OCC,2.521278444
935148,935-14-8,C#Cc1ccc(C#C)cc1,1.447702282
950356,950-35-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,4.070729019
957517,957-51-7,CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.533877325
959104,959-10-4,CCC(C(=O)O)c1ccc(-c2ccccc2)cc1,2.839178141
973217,973-21-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)OC(C)C,2.108790012
985137,985-13-7,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,3.120024135
995175,995-17-5,COC(=O)NP(=O)(OC)OC,1.56371834
997273,997-27-3,NCCC(S)C(=O)O,1.686893347
999815,999-81-5,C[N+](C)(C)CCCl,2.340369743
1010486,1010-48-6,CC(C)(CC(=O)O)c1ccccc1,2.060651546
1030064,1030-06-4,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,3.829970966
1047354,1047-35-4,Clc1ccccc1N1CCN(Cc2cccc3ccccc23)CC1,2.52745718
1049372,1049-37-2,Clc1ccc(N2CCN(CCc3cccc4ccccc34)CC2)cc1,2.369083445
1050153,1050-15-3,COc1ccc2oc(CN3CCN(c4ccc(Cl)cc4)CC3)cc2c1,2.376398093
1054064,1054-06-4,COc1ccc2oc(C)c(CCN3CCN(c4cccc(Cl)c4)CC3)c2c1,2.284325814
1054075,1054-07-5,COc1ccc2oc(C)c(CCN3CCN(c4ccc(Cl)cc4)CC3)c2c1,2.6311133
1068139,1068-13-9,CCOC(=O)CSP(=S)(OC)OC,2.157428323
1069665,1069-66-5,CCCC(CCC)C(=O)O,1.928558501
1072931,1072-93-1,C=CC1CNC(=S)O1,2.010838183
1082231,1082-23-1,COc1ccc(CC(C)N)c(OC)c1OC,3.273556814
1082888,1082-88-8,COc1cc(CC(C)N)cc(OC)c1OC,2.937764712
1093078,1093-07-8,CN1CCc2cc3c(c4c2C1CC41C=CC(=O)C=C1)OCO3,4.857535473
1114712,1114-71-2,CCCCN(CC)C(=O)SCCC,2.433185049
1129415,1129-41-5,CNC(=O)Oc1cccc(C)c1,2.786625247
1134232,1134-23-2,CCSC(=O)N(CC)C1CCCCC1,1.97144124
1142194,1142-19-4,Clc1ccc(SSc2ccc(Cl)cc2)cc1,1.981117615
1161133,1161-13-3,O=C(NC(Cc1ccccc1)C(=O)O)OCc1ccccc1,3.076470721
1163140,1163-14-0,CCN(CC)CCCNCCc1cc(Cl)c2cccnc2c1O,2.562395024
1173882,1173-88-2,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.15646694
1179266,1179-26-6,COc1ccc2c(c1)c(CCN1CCN(c3ccccc3)CC1)cn2Cc1ccccc1,2.327947133
1180569,1180-56-9,COc1ccc2c(c1)c(CCN1CCN(c3ccc(Cl)cc3)CC1)cn2Cc1ccccc1,2.548834305
1453527,1453-52-7,ON=C(C1CC1)C1CC1,2.454051045
1465265,1465-26-5,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,4.013299933
1480199,1480-19-9,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.648897666
1522914,1522-91-4,CCCCOCC1(COCCCC)COC1,2.095212717
1563662,1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,4.645925052
1592821,1592-82-1,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C(C)C)c1,2.540232752
1596469,1596-46-9,CC(N)CC1CCS(=O)(=O)C1,2.199414772
1596470,1596-47-0,NCCC1CCS(=O)(=O)C1,1.832620665
1665561,1665-56-1,Cc1c2c(c(O)c3c(O)cccc13)C(=O)C1(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C1C2,4.131411774
1689834,1689-83-4,N#Cc1cc(I)c(O)c(I)c1,6.207546561
1798498,1798-49-8,Clc1ccc(C(OCCN2CCOCC2)c2ccccc2)cc1,3.316812678
1861321,1861-32-1,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,1.977025561
1918009,1918-00-9,COc1c(Cl)ccc(Cl)c1C(=O)O,2.499370867
1918167,1918-16-7,CC(C)N(C(=O)CCl)c1ccccc1,2.83998302
1929824,1929-82-4,Clc1cccc(C(Cl)(Cl)Cl)n1,1.87026174
1949413,1949-41-3,CC(CCc1ccccc1)C(=O)O,2.39850325
1967164,1967-16-4,C#CC(C)OC(=O)Nc1cccc(Cl)c1,4.159254681
1977340,1977-34-0,CC(C)(CO)C(O)C(=O)NCCC(O)C(=O)O,2.068278214
1977351,1977-35-1,CC(C)(CO)C(O)C(=O)NCC(O)CC(=O)O,2.080687472
2012740,2012-74-0,CC(C)C(C(=O)O)c1ccc(Cl)cc1,2.797518785
2019683,2019-68-3,CC(O)(C(N)=O)c1ccccc1,1.962716506
2032135,2032-13-5,S=C1NC(=S)C(c2ccccc2)(c2ccccc2)N1,3.550853348
2068782,2068-78-2,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,5.153011215
2079541,2079-54-1,C#CCN(C)C(C)Cc1ccccc1,3.488962709
2088724,2088-72-4,CCOC(=O)CSP(=O)(OC)OC,2.349726887
2128601,2128-60-1,COc1cc2c3c(c1OC)C1(C=CC(=O)C=C1)CC3N(C)CC2,3.414110863
2139471,2139-47-1,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,1.865781986
2157520,2157-52-0,ON=C1c2ccccc2-c2ccccc21,2.542338506
2163691,2163-69-1,CN(C)C(=O)NC1CCCCCCC1,2.82022336
2164172,2164-17-2,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,2.436452641
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.713083546
2212671,2212-67-1,CCSC(=O)N1CCCCCC1,2.536159824
2255176,2255-17-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.337742043
2270204,2270-20-4,O=C(O)CCCCc1ccccc1,2.215553506
2274740,2274-74-0,Clc1ccc(SN=Nc2cc(Cl)c(Cl)cc2Cl)cc1,2.069511466
2275232,2275-23-2,CNC(=O)C(C)SCCSP(=O)(OC)OC,3.824932166
2524041,2004/1/24,CCOP(=S)(Cl)OCC,2.400517267
2633547,2633-54-7,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.747639643
2636262,2636-26-2,COP(=S)(OC)Oc1ccc(C#N)cc1,2.52867393
2674911,2674-91-1,CCS(=O)CC(C)SP(=O)(OC)OC,3.467578911
2691410,2691-41-0,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,2.040156772
2718072,2007/2/18,C#CCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,2.582066355
2718094,2009/4/18,C#CCN1C(=O)N(C)C(=O)C1(CC)c1ccccc1,2.741304126
2718129,2012/9/18,CCN(CC)CC#CCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,3.236121062
2820511,2820-51-1,CN1CCCC1c1cccnc1,5.795173882
2838713,2838-71-3,CCCCCCCCCCCC(=O)OCCF,3.886430794
2883989,2883-98-9,CC=Cc1cc(OC)c(OC)cc1OC,3.07308694
2982163,2982-16-3,COc1cc2cc(C(=O)O)cc(O)c2c(OC)c1OC,2.13269692
2988321,2988-32-1,CN(C)CCC1(c2ccccc2)C=Cc2ccccc21,3.807805532
3010308,3010-30-8,CCNc1ccc(NCC)cc1,3.671442622
3129917,3129-91-7,C1CCC(NC2CCCCC2)CC1,2.916030215
3337700,3337-70-0,COC(=O)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,1.716382351
3337711,3337-71-1,COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.663220203
3468324,3468-32-4,O=C(Oc1ccc(C2CCCCC2)cc1)c1cccnc1,2.106831957
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.653615256
3486382,3486-38-2,CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,3.021802099
3508949,3508-94-9,CC(C)C(C(=O)O)c1ccccc1,2.1743428
3565477,3565-47-7,COc1ccc(C(=O)CCCN2CC=C(c3ccccc3)CC2)cc1,3.525623912
3567382,3567-38-2,C#CC(OC(N)=O)c1ccccc1,2.845561867
3570932,3570-93-2,ON=C1CCCC(=NO)C1=NO,2.589939452
