RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_subcutaneous_LD50
18602385,18602-38-5,N=C(N)CCNC(=O)c1ccc(NN=Nc2ccc(C(=N)N)cc2)cc1,4.00297032
18602409,18602-40-9,N=C(N)CCNC(=O)c1ccc(/N=N\Nc2ccc(C(=O)NCCC(=N)N)cc2)cc1,4.082765886
18602410,18602-41-0,N=C(N)CCNC(=O)c1cccc(/N=N\Nc2cccc(C(=O)NCCC(=N)N)c2)c1,3.529923917
20924634,20924-63-4,CCOC(=O)c1oc2ccccc2c(=O)c1C,1.967987664
23374427,23374-42-7,Cc1ncc(O)c(C=NC2CCSC2=O)c1CO,2.146653443
23374438,23374-43-8,Cc1ncc(CO)c(C=NC2CCSC2=O)c1O,1.948285789
24159124,24159-12-4,CC(C)(Sc1ccc(Cl)cc1)C(=O)O,2.664107709
24619816,24619-81-6,C[N+](C)(C)CCc1cccc(O)c1,4.380864604
26095590,26095-59-0,CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1,2.684551845
26753139,26753-13-9,C[N+](C)(C)Cc1cccc(O)c1,4.37564794
27958436,27958-43-6,C[N+](C)(C)CCCc1ccc(O)cc1,3.589498326
28104850,28104-85-0,CN1CCCC2(C)c3cc(O)ccc3CC1C2(C)O,3.065064912
28105024,28105-02-4,CC1C2Cc3ccc(O)cc3C1(C)CCCN2C,3.352338543
28331206,28331-20-6,CN1CCCC2(C)CC1Cc1ccc(O)cc12,4.182405266
34183227,34183-22-7,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.232298393
50357454,50357-45-4,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,3.532023998
55792217,55792-21-7,CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,2.860354779
57196608,57196-60-8,CN1CCc2cc(O)ccc2C1,3.668705329
57553294,57553-29-4,C[N+]1(C)CCc2cc(O)c(O)cc2C1,2.385279983
59203735,59203-73-5,Cc1ccoc1CN1CCC2(C)c3cc(O)ccc3CC1C2C,3.009053634
61939604,61939-60-4,CN1CCN(c2cc3c(nn2)Oc2cc([N+](=O)[O-])ccc2N3C)CC1,2.871723917
61939626,61939-62-6,CN(C)CCCN1c2ccc([N+](=O)[O-])cc2Oc2nnc(Cl)cc21,3.012313573
61939648,61939-64-8,CN(C)CCCN1c2ccc([N+](=O)[O-])cc2Oc2nnccc21,2.798065705
61939660,61939-66-0,CCN(CC)CCOc1cc2c(nn1)Oc1cc([N+](=O)[O-])ccc1N2C,3.050411177
61939706,61939-70-6,CN1CCN(c2cc3c(nn2)Oc2cc(N)ccc2N3C)CC1,2.827226097
61939728,61939-72-8,CN(C)CCCN1c2ccc(N)cc2Oc2nnc(Cl)cc21,2.999723049
61939795,61939-79-5,CN(C)CCCN1c2ccccc2Oc2nnccc21,2.732933879
63681050,63681-05-0,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.455440273
63937917,63937-91-7,CN1CCc2c(ccc(O)c2O)C1,3.952354054
63937928,63937-92-8,CN1CCc2cc(O)c(O)cc2C1,2.651324058
63986367,63986-36-7,CCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.747890718
63986378,63986-37-8,CCCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.769960425
63986390,63986-39-0,CCCCCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.768098345
63986403,63986-40-3,CCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.146722668
63986414,63986-41-4,CCCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.166038354
63986425,63986-42-5,CCCCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.120413912
63986436,63986-43-6,CCCCCCOc1ccc(NC(=O)OCCN(CC)CC)c(C)c1,3.289419234
63986447,63986-44-7,CCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.107797227
63986458,63986-45-8,CCCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.162616349
63986469,63986-46-9,CCCCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.110822818
63986470,63986-47-0,CCCCCCOc1ccc(NC(=O)OCCN2CCCCC2)c(C)c1,3.355204801
63986481,63986-48-1,CCCCN(CCCC)CCOC(=O)Nc1ccc(OCCC)cc1C,2.862763271
63986492,63986-49-2,CCCCOc1ccc(NC(=O)OCCN(CCCC)CCCC)c(C)c1,2.578131281
63986505,63986-50-5,CCCCCOc1ccc(NC(=O)OCCN(CCCC)CCCC)c(C)c1,2.593932596
63986516,63986-51-6,CCCOc1ccc(NC(=O)OCCN2CCOCC2)c(C)c1,2.554159259
63986527,63986-52-7,CCCCOc1ccc(NC(=O)OCCN2CCOCC2)c(C)c1,2.526897297
63986538,63986-53-8,CCCCCOc1ccc(NC(=O)OCCN2CCOCC2)c(C)c1,2.544637217
63986550,63986-55-0,CCCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,3.103708219
63986561,63986-56-1,CCCCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,3.097533708
63986572,63986-57-2,CCCCCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,3.20000544
63986583,63986-58-3,CCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.162616349
63986594,63986-59-4,CCCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.171118719
63986607,63986-60-7,CCCCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.280571182
63986618,63986-61-8,CCCCCCOc1ccc(NC(=O)OC(C)CN2CCCCC2)c(C)c1,3.34536335
64020695,64020-69-5,CCCOc1ccc(NC(=O)OC(C)CN(CC)CC)c(C)c1,2.906401043
67497443,67497-44-3,CCCCCCCCCCCCCCCCCC(=O)Oc1ccc(N(CCCl)CCCl)cc1,2.921335257
68986389,68986-38-9,CCCCCOc1ccc(NC(=O)OCCN(C)C)c(C)c1,2.644047309
72571825,72571-82-5,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,2.39804311
73986546,73986-54-6,CN(C)CCCc1ccc(O)cc1,4.554520656
74037380,74037-38-0,CCN(CC)CCN(Cc1ccccc1Br)c1ccccn1,3.533780449
74037391,74037-39-1,CCN(CC)CCN(Cc1ccc(Br)cc1)c1ccccn1,3.412958279
74037404,74037-40-4,CN(C)CCN(Cc1ccccc1Br)c1ccccn1,3.717905734
74037426,74037-42-6,CCN(CC)CCN(Cc1cccc(Cl)c1)c1ccccn1,3.326150085
74037528,74037-52-8,CCN(CC)CCN(Cc1cccc(I)c1)c1ccccn1,3.112370578
77463822,77463-82-2,CCCCCCCOc1ccccc1NC(=O)OCC[N+]1([O-])CCCCC1,2.79992955
79763352,79763-35-2,CCCCOC(=O)Nc1ccccc1OCC(O)CNC(C)C,3.561718952
79763363,79763-36-3,CCCCOC(=O)Nc1ccccc1OCC(O)CNC(C)(C)C,3.589972699
79763374,79763-37-4,CCCCOC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,3.967040914
79763385,79763-38-5,CCCCOC(=O)Nc1cccc(OCC(O)CNC(C)(C)C)c1,4.082333921
83263381,83263-38-1,CCOC(=O)Nc1ccccc1OCC(O)CNC(C)(C)C,2.947845273
83263574,83263-57-4,CCOC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,3.522439837
83263585,83263-58-5,CCOC(=O)Nc1cccc(OCC(O)CNC(C)(C)C)c1,3.640654969
83855474,83855-47-4,CCOC(=O)Nc1ccccc1OCC(O)CNC(C)C,2.959946483
97021755,97021-75-5,CCCc1cc(CN(C)C)cc(CCC)c1O,3.593601702
102609687,102609-68-7,CCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.783529601
112922835,112922-83-5,COc1ccccc1NC(=O)OCCN1CCOCC1,2.748690277
112922857,112922-85-7,COc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.748690277
112922868,112922-86-8,CCOc1ccccc1NC(=O)OCCN1CCOCC1,2.769895511
112922891,112922-89-1,CCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.887023396
112922904,112922-90-4,CCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,3.011962133
112922915,112922-91-5,CCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.790113383
112922926,112922-92-6,CCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.906341777
112922937,112922-93-7,CCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.730250518
112922948,112922-94-8,CCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.809431764
112922959,112922-95-9,CCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.827927293
112922960,112922-96-0,CCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.827927293
112922971,112922-97-1,CCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.827927293
112922982,112922-98-2,CCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.942577226
112922993,112922-99-3,CCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.845667213
112923009,112923-00-9,CCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.845667213
112923010,112923-01-0,CCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.862710847
112923021,112923-02-1,CCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.862710847
112923032,112923-03-2,CCCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.976020809
112923043,112923-04-3,CCCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.879110796
112923054,112923-05-4,CCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.879110796
112923065,112923-06-5,CCCCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.894913914
112923076,112923-07-6,CCCCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.894913914
112923087,112923-08-7,CCCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.894913914
112923098,112923-09-8,CCCCCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1,2.910162121
112923101,112923-10-1,CCCCCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.910162121
112923112,112923-11-2,CCCCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,2.910162121
1198863,1198-86-3,Cc1cccc(CN(C)C)c1O,2.740983418
51384986,51384-98-6,CN(C)CCN(Cc1cccc(Br)c1)c1ccccn1,3.606055371
89366892,89366-89-2,CCCCCCCCOc1ccc(C(=O)NCC(C)C)cc1C(=O)Nc1ccc(C(=O)NCC[N+](CC)(CC)CC)cc1,2.900074951
89366905,89366-90-5,CCCCCCCCNC(=O)c1ccc(OCCCCCCCC)c(C(=O)Nc2ccc(C(=O)NCC[N+](C)(CC)CC)cc2)c1,2.972264114
