RTECS_ID,CAS_RN,SMILES,mouse_intraperitoneal_LD50
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.712636297
50793,50-79-3,O=C(O)c1cc(Cl)ccc1Cl,2.90631458
50817,50-81-7,O=C1OC(C(O)CO)C(O)=C1O,2.373677892
50862,50-86-2,CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.979092011
50895,50-89-5,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1.984210087
50919,50-91-9,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2.578364108
50975,50-97-5,OC(c1ccccc1)c1nc2ccccc2[nH]1,2.883890007
50997,50-99-7,O=CC(O)C(O)C(O)C(O)CO,1.000376226
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.330250527
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.01527014
51127,1951/12/7,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.942491225
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.862976391
51207,51-20-7,O=c1[nH]cc(Br)c(=O)[nH]1,2.134868949
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.114203851
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.850096953
51296,51-29-6,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.353326845
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.84274384
51365,51-36-5,O=C(O)c1cc(Cl)cc(Cl)c1,2.90631458
51456,51-45-6,NCCc1cnc[nH]1,2.350692783
51467,51-46-7,C1CN2CN3CCN(CN1C3)C2,2.789776938
51581,51-58-1,N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])cc1,2.996496106
51616,51-61-6,NCCc1ccc(O)c(O)c1,2.2855584
51650,51-65-0,NC(Cc1ccc(F)cc1)C(=O)O,2.262882796
51718,51-71-8,NNCCc1ccccc1,2.998231217
51730,51-73-0,C(#CCN1CCCC1)CN1CCCC1,3.886052826
51752,51-75-2,CN(CCCl)CCCl,4.758278058
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,2.000701904
51796,51-79-6,CCOC(N)=O,1.762609838
51809,51-80-9,CN(C)CN(C)C,2.666947468
51821,51-82-1,CN(C)CSC(=S)N(C)C,2.638430811
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,6.468931905
51934,51-93-4,CC[N+](C)(C)C,3.343280552
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,3.204728195
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.235583534
52302,52-30-2,CCC1CC[Si](C)(C)CC12C(=O)NC(=O)NC2=O,2.775552198
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.966870239
52415,52-41-5,C[Si]1(C)CCCC2(C1)C(=O)NC(=O)NC2=O,2.380817022
52426,52-42-6,C[Si]1(C)CCCC2(C1)C(=O)NC(=S)NC2=O,3.047195266
52437,52-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.389097259
52448,52-44-8,O=C1NC(=O)C2(CCCCC2)C(=O)N1,2.292712284
52459,52-45-9,O=C1NC(=S)NC(=O)C12CCCCC2,2.548745553
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.889087585
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,3.303158604
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,4.110672239
52528,52-52-8,NC1(C(=O)O)CCCC1,3.035577712
52551,52-55-1,CC1CC[Si](C)(C)CC12C(=O)NC(=O)NC2=O,3.043724395
52562,52-56-2,C[Si]1(C)CCCCC2(C1)C(=O)NC(=O)NC2=O,2.579377428
52573,52-57-3,C[Si]1(C)CCCCC2(C1)C(=O)NC(=S)NC2=O,3.285926832
52664,52-66-4,CC(C)(S)C(N)C(=O)O,2.766272663
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.118414894
52857,52-85-7,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,4.447890152
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.097917565
52891,52-89-1,NC(CS)C(=O)O,1.878660879
53032,1953/3/2,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,3.42407543
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.69055114
53361,53-36-1,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,2.470718611
53394,53-39-4,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,2.521623036
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,3.869286577
53598,53-59-8,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,2.371305372
53849,53-84-9,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,2.185665773
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.55363184
53952,53-95-2,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,2.202804251
53963,53-96-3,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,2.67674224
54035,1954/3/5,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,3.517552164
54068,1954/6/8,CN1CC(O)C2=CC(=O)C(=O)C=C21,3.253277413
54126,1954/12/6,NC(Cc1c[nH]c2ccccc12)C(=O)O,1.969496792
54160,54-16-0,O=C(O)Cc1c[nH]c2ccc(O)cc12,2.230303565
54206,54-20-6,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,2.352387553
54251,54-25-1,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1.338352002
54308,54-30-8,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,3.262758818
54422,54-42-2,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,2.549125927
54580,54-58-0,O=C(O)c1ccccc1Nc1ccccc1F,2.791165064
54591,54-59-1,O=C(O)c1ccccc1Nc1cccc(F)c1,2.805328096
54604,54-60-4,O=C(O)c1ccccc1Nc1ccc(F)cc1,3.208700629
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.850616741
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.05223076
54773,54-77-3,C[N+]1(C)CCN(c2ccccc2)CC1,4.014538701
54808,54-80-8,CC(C)NCC(O)c1ccc2ccccc2c1,3.309436686
54853,54-85-3,NNC(=O)c1ccncc1,3.137170479
54864,54-86-4,O=C(O)c1cccnc1,2.536413832
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.376866998
54886,54-88-6,Cc1cc(N(C)C)ccc1N=Nc1ccccc1,2.841163528
54911,54-91-1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.096675888
54955,54-95-5,C1CCc2nnnn2CC1,3.400063641
54966,54-96-6,Nc1ccncc1N,3.736922119
55185,55-18-5,CCN(CC)N=O,2.888609166
55210,55-21-0,NC(=O)c1ccccc1,1.975395959
55221,55-22-1,O=C(O)c1ccncc1,2.45081037
55345,55-34-5,CCC(=O)c1ccc(NO)cc1,3.090884213
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.347657808
55458,55-45-8,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,3.913641256
55527,55-52-7,CC(Cc1ccccc1)NN,3.495500975
55561,55-56-1,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1,4.060232398
55572,55-57-2,N=C(N=C(N)N)Nc1ccccc1,2.706202537
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.339155109
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,3.169717122
55801,55-80-1,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,2.194291193
55812,55-81-2,COc1ccc(CCN)cc1,3.103433469
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.875998564
55936,55-93-6,CC(CCC(C)OS(C)(=O)=O)OS(C)(=O)=O,4.234200812
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,3.45697654
56042,1956/4/2,Cc1cc(=O)[nH]c(=S)[nH]1,2.851817678
56100,56-10-0,N=C(N)SCCN,2.429354497
56122,1956/12/2,NCCCC(=O)O,1.318741917
56177,56-17-7,NCCSSCCN,2.707726831
56235,56-23-5,ClC(Cl)(Cl)Cl,2.429625248
56257,56-25-7,CC12C(=O)OC(=O)C1(C)C1CCC2O1,5.29270343
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.678421494
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.987167046
56531,56-53-1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,2.697929034
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.37940797
56575,56-57-5,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,3.000361
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.860662558
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.467987283
56815,56-81-5,OCC(O)CO,1.024712084
56893,56-89-3,NC(CSSCC(N)C(=O)O)C(=O)O,2.398041227
56940,56-94-0,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,7.283294989
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.580921974
57090,57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,3.428855777
57147,57-14-7,CN(C)N,2.543409437
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.822155796
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.348741261
57363,57-36-3,CCN(CC)CC(C)OC(=O)C(O)(c1ccccc1)c1ccccc1,3.461446382
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.574703714
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.395452159
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.631002368
57501,57-50-1,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,1.388275057
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.819132228
57556,57-55-6,CC(O)CO,0.893779227
57578,57-57-8,O=C1CCO1,2.250257315
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.385765008
57636,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.073952843
57681,57-68-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.437638531
57716,57-71-6,C=C(O)/C(C)=N\O,3.297202457
57852,57-85-2,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.550411189
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.04445016
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.163297503
57965,57-96-5,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.606908863
57976,57-97-6,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,3.676436174
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.062926526
58140,58-14-0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.526473751
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.136287051
58184,58-18-4,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.878605085
58208,58-20-8,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,2.61554396
58275,58-27-5,CC1=CC(=O)c2ccccc2C1=O,3.798459639
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,3.488563858
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3.52688697
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.493635776
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,3.307844312
58468,58-46-8,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,3.103706592
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.277524696
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,2.243371894
58639,58-63-9,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,1.926762001
58640,58-64-0,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,2.32076163
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.844600981
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.641407658
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.451473787
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.711916639
58946,58-94-6,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.324765879
58957,58-95-7,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.975665208
58968,58-96-8,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1.750761893
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.669737321
59052,1959/5/2,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.836827713
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.002979977
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,3.010443742
59303,59-30-3,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.715417339
59314,59-31-4,O=c1ccc2ccccc2[nH]1,2.985758692
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.563388185
59472,59-47-2,Cc1ccccc1OCC(O)CO,2.755443681
59483,59-48-3,O=C1Cc2ccccc2N1,2.522281179
59494,59-49-4,O=c1[nH]c2ccccc2o1,2.528666073
59529,59-52-9,OCC(S)CS,3.696286477
59530,59-53-0,CC(=O)NC(C(=O)O)C(C)(C)S,2.679545994
59585,59-58-5,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,2.739166887
59632,59-63-2,Cc1cc(C(=O)NNCc2ccccc2)no1,3.374106381
59858,59-85-8,O=C(O)c1ccc([Hg+])cc1,4.109517802
59870,59-87-0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,3.314696542
59892,59-89-2,O=NN1CCOCC1,3.258727053
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,3.486999747
59972,59-97-2,c1ccc(CC2=NCCN2)cc1,3.060714498
60093,1960/9/3,Nc1ccc(N=Nc2ccccc2)cc1,2.9939672
60106,1960/10/6,S=C(N=Nc1ccccc1)NNc1ccccc1,3.107776219
60117,1960/11/7,CN(C)c1ccc(N=Nc2ccccc2)cc1,2.991023717
60184,60-18-4,NC(Cc1ccc(O)cc1)C(=O)O,2.09676862
60195,60-19-5,NCCc1ccc(O)cc1,2.286038782
60231,60-23-1,NCCS,2.444894211
60242,60-24-2,OCCS,2.591821179
60253,60-25-3,C[N+](C)(C)CCCCCC[N+](C)(C)C,3.343741152
60297,60-29-7,CCOCC,1.486137622
60333,60-33-3,CCCCCC=CCC=CCCCCCCCC(=O)O,3.00070051
60344,60-34-4,CNN,3.193686866
60355,60-35-5,CC(N)=O,1.771352266
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.707121457
60548,60-54-8,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.199813449
60560,60-56-0,Cn1cc[nH]c1=S,2.358593408
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.88185579
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.399627579
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.305201514
60899,60-89-9,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,3.268435031
60991,60-99-1,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,3.628295087
61007,61-00-7,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,2.969768583
61018,1961/1/8,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.448339101
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.110108033
61154,61-15-4,COc1ccc(OC)c(C(O)C(C)NC(C)C)c1,3.331825187
61165,61-16-5,COc1ccc(OC)c(C(O)C(C)N)c1,3.423500872
61507,61-50-7,CN(C)CCc1c[nH]c2ccccc12,3.602692492
61563,61-56-3,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,2.240749716
61574,61-57-4,O=C1NCCN1c1ncc([N+](=O)[O-])s1,2.988408951
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,3.27105474
61701,61-70-1,CN1C(=O)Cc2ccccc21,2.097063483
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.277850549
61803,61-80-3,Nc1nc2cc(Cl)ccc2o1,3.226813778
61825,61-82-5,Nc1nnc[nH]1,2.623673038
62135,62-13-5,CNCC(=O)c1ccc(O)c(O)c1,2.302930084
62237,62-23-7,O=C(O)c1ccc([N+](=O)[O-])cc1,2.278545755
62328,62-32-8,CNCCc1ccc(O)c(O)c1,2.896921191
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,4.413351355
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,2.52099029
62500,62-50-0,CCOS(C)(=O)=O,2.455495945
62511,62-51-1,CC(=O)OC(C)C[N+](C)(C)C,3.280976476
62555,62-55-5,CC(N)=S,2.398726816
62566,62-56-6,NC(N)=S,2.881521601
62577,62-57-7,CC(C)(N)C(=O)O,2.138285852
62599,62-59-9,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,5.228064351
62680,62-68-0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,3.507004104
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.001922427
62748,62-74-8,O=C(O)CF,4.060007403
62759,62-75-9,CN(C)N=O,3.59096496
62908,62-90-8,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1,2.609131057
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,3.905741927
63456,63-45-6,COc1cc(NC(C)CCCN)c2ncccc2c1,3.392701977
63569,63-56-9,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,3.392778966
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,4.537085841
63912,63-91-2,NC(Cc1ccccc1)C(=O)O,2.096757556
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,2.060554067
63990,63-99-0,Cc1cccc(NC(N)=O)c1,2.445832716
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.794748819
64040,64-04-0,NCCc1ccccc1,2.892860446
64108,1964/10/8,NC(=O)Nc1ccccc1,2.10872454
64119,1964/11/9,Cc1ccc(CC(C)N)cc1,4.094695264
64175,64-17-5,CCO,1.940774863
64391,64-39-1,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.371765458
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.082604471
64506,64-50-6,CCC(=O)OC1(c2ccccc2)CCN(CCc2ccccc2)CC1,3.787863474
64551,64-55-1,CCC(C)C(C)(COC(N)=O)COC(N)=O,2.703253986
64608,64-60-8,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1,3.848460081
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.792943313
64697,64-69-7,O=C(O)CI,3.394330248
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.690817681
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.397334832
64960,64-96-0,CCN(CC)CCOc1ccc(C2=C(c3ccccc3)Cc3cc(OC)ccc32)cc1,3.223842624
64993,64-99-3,CCn1cnc(C(=O)NC)c1C(=O)NC,2.98028647
65145,65-14-5,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,3.458561501
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,2.58149214
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,4.708274694
65496,65-49-6,Nc1ccc(C(=O)O)c(O)c1,1.578155305
65861,65-86-1,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,2.268598561
66057,1966/5/7,CC(CNN)c1ccccc1,3.152133201
66228,66-22-8,O=c1cc[nH]c(=O)[nH]1,1.869720192
66273,66-27-3,COS(C)(=O)=O,2.786648908
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.533064868
66364,66-36-4,CC[N+](CC)(CC)C1CCC2(C)C(CCC3C2CCC2(C)C3CCC2[N+](CC)(CC)CC)C1,4.765918365
66400,66-40-0,CC[N+](CC)(CC)CC,3.385391201
66502,66-50-2,CC[N+](C)(CC)C1CCC2(C)C(CCC3C2CCC2(C)C3CCC2[N+](C)(CC)CC)C1,5.054204823
66568,66-56-8,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],2.964040306
66579,66-57-9,O=C1NC(=O)C(C(c2ccccc2O)C2C(=O)NC(=O)NC2=O)C(=O)N1,2.838972062
66648,66-64-8,CC12CCC([N+](C)(C)C)CC1CCC1C2CCC2(C)C1CCC2[N+](C)(C)C,4.790634656
66717,66-71-7,c1cnc2c(c1)ccc1cccnc12,3.380717623
66762,66-76-2,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.567684184
66831,66-83-1,COc1ccc2[nH]cc(CCN)c2c1,2.978546272
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,2.979468251
67061,1967/6/1,Cc1ccccc1OCC[N+](C)(C)C,4.033195825
67301,67-30-1,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,3.329734839
67458,67-45-8,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,2.875369985
67481,67-48-1,C[N+](C)(C)CCO,2.383466185
67516,67-51-6,Cc1cc(C)[nH]n1,2.22699764
67527,67-52-7,O=C1CC(=O)NC(=O)N1,2.404213676
67561,67-56-1,CO,0.473705582
67630,67-63-0,CC(C)O,1.127858472
67641,67-64-1,CC(C)=O,1.651086632
67663,67-66-3,ClC(Cl)Cl,2.282436252
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.72105913
