RTECS_ID,CAS_RN,SMILES,guinea pig_intravenous_LDLo
894713,894-71-3,CNCCC=C1c2ccccc2CCc2ccccc21,3.777136713
912607,912-60-7,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,3.697319693
1098448,1098-44-8,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.823974749
1111393,1111-39-3,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,5.676417617
1182872,1182-87-2,COC1C(O)C(C)OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,5.888055241
2552898,2552-89-8,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCl)N3C1OC(=O)CCl,3.507515385
2691465,2691-46-5,CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,3.329869986
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,4.095862971
3737095,09-05-37,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.134618684
3858897,3858-89-7,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,3.619671149
4373346,4373-34-6,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,4.246047803
4410484,4410-48-4,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.068204759
5355486,5355-48-6,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,5.775513361
5511988,5511-98-8,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,5.641234598
6078597,6078-59-7,CC(=O)OC1CCC2(C)C(CCC3C2CC(OC(C)=O)C2(C)C(C4=CC(=O)OC4)CCC32O)C1,4.370970874
6159440,6159-44-0,CC(=O)O[U](=O)(=O)OC(C)=O,4.860606646
6875101,10-01-75,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC=O)CC43O)C2)C1O,6.387704386
7348676,7348-67-6,CC1C2CCC3C4=C(CCC32CN1C)C1CCC(N(C)C)CC1(C)CC4,3.702145645
10176393,10176-39-3,CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,6.098563099
11005702,11005-70-2,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,5.385098445
11006330,11006-33-0,CC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c1C)C(OC1OC(CO)C(O)C(O)C1(C)OC1OC(CO)C(O)C(O)(C(N)=O)C1O)c1cnc[nH]1)C(=O)NCCC1=NC(c2nc(C(N)=O)cs2)CS1,5.008728869
13241435,13241-43-5,CC1CC(OC2C(C)OC(OC3CCC4(C)C(CCC5C4CC(OC=O)C4(C)C(C6=CC(=O)OC6)CCC54O)C3)CC2OC=O)OC(OC=O)C1OC1CC(OC=O)C(OC=O)C(C)O1,5.418333829
13289184,13289-18-4,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.070635675
14046992,14046-99-2,CCC[N+]12C(O)C(CC)C3CC1C1N(C)c4ccccc4C14CC2C3C4O,4.722550487
14435279,14435-27-9,CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,5.480596643
15611435,15611-43-5,C=CC1=C(C)c2cc3[nH]c(c(CC(=O)O)c4[nH]c(cc5nc(cc1n2)C(C)=C5CC)c(C)c4C(=O)O)C(CCC(=O)O)C3C,3.872654405
16479508,16479-50-8,CC1OC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)CC(O)C1O,6.200581716
17575201,17575-20-1,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.969347802
17575212,17575-21-2,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.425877779
17575223,17575-22-3,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,6.292788505
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.22237682
21451456,21451-45-6,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)[N+]3(C)C1O,4.211139619
21715468,21715-46-8,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,3.354410309
22149231,22149-23-1,CC1C(=CC(=O)OCCN(C)C)CCC2C1C(=O)CC1C(C)(C)C(OC(=O)CC(C)(C)O)CCC21C,5.455916252
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.677215973
24815245,24815-24-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)C1OC,4.258518244
26931657,26931-65-7,CC1OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O,5.177837969
30685439,30685-43-9,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,6.085440836
31357581,31357-58-1,COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(C)(O)C(C)CC5C)CC4C)O3)CC2C)C1C,4.868359076
31668458,31668-45-8,CC(=O)OC1CC(OC2C(C)OC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)CC2OC(C)=O)OC(C)C1O,5.445665961
33396371,33396-37-1,COC1C(C)OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C1O,5.904915722
35523898,35523-89-8,NC(=O)OCC1N=C(N)N2CCC(O)(O)C23NC(N)=NC13,7.476093657
36168237,36168-23-7,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,3.040650543
37933667,37933-66-7,COC1C(O)C(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,4.818579361
38455902,38455-90-2,CC(C(O)c1ccccc1)N(C)C,3.11047586
40819930,40819-93-0,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCl)N3C1O,3.526039735
57760368,57760-36-8,CCC1OC(C2(C)CC(C)C(O)(C3(C)CCC(C(O)C4(O)OC(CC5(O)OC(C(C)C(O)CC6OC(C(C)C(=O)O)C(C)CC6C)CCC5C)C(C)CC4C)O3)O2)CCC1(C)O,5.256838457
63951122,63951-12-2,CCN(CC)CCN(CC)c1ccccc1,3.866011509
66641381,66641-38-1,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,3.787802983
73987527,73987-52-7,CCOC(=O)OC12CCC(C3=CC(=O)OC3)C1(C)C(O)CC1C2CCC2CC(OC3CC(OC4CC(O)C(O)C(C)O4)C(OC4CC(O)C(O)C(C)O4)C(C)O3)CCC21C,5.784827105
83913046,83913-04-6,Cn1c(=O)n(CC2CNCCO2)c2ccccc21,3.027732619
107965093,107965-09-3,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCC(=O)OC)N3C1O,4.212621583
1215834,1215-83-4,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,4.177432943
1250960,1250-96-0,CC12CCC(OC=O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,4.717688629
1256242,1256-24-2,CC12CCC(OC=O)CC1CCC1C2CC(OC=O)C2(C)C(C3=CC(=O)OC3)CCC12O,4.973166758
1256582,1256-58-2,CC12CCC(OC=O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)C(OC=O)CC12O,5.602585501
1264513,1264-51-3,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,5.66382849
1355620,1355-62-0,C=CC1CN2CCc3c([nH]c4ccc(OC)cc34)C2CC1CC1NCCc2c1[nH]c1ccc(OC)cc21,3.815725981
1407052,1407-05-2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.940151514
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.408022416
3261538,3261-53-8,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,6.254713997
3690184,3690-18-4,CC(CC(=O)Nc1ccccc1)N1CCCC1,3.402311857
4562361,4562-36-1,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O,5.249169997
4568814,4568-81-4,Cc1cc(C(=O)c2ccc(O)cc2)c(C)o1,3.263045992
4568836,4568-83-6,CCc1ccc(C(=O)c2cc(I)c(O)c(I)c2)o1,3.46344596
4662173,4662-17-3,Cc1cc(C(=O)c2cc(I)c(O)c(I)c2)c(C)o1,3.455427988
