RTECS_ID,CAS_RN,SMILES,mouse_skin_LD50
5421896,5421-89-6,N=C(N)c1ccc(Oc2ccc(C(=N)N)cc2)cc1,3.326153159
5598130,5598-13-0,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,2.061421511
5827054,2005/4/27,CCS(=O)CSP(=S)(OC(C)C)OC(C)C,2.369556934
5903139,5903-13-9,CN(C(=O)CF)c1cccc2ccccc12,2.768744067
5954507,5954-50-7,COP(=O)(F)OC,3.551039773
6164983,6164-98-3,Cc1cc(Cl)ccc1N=CN(C)C,2.94157989
6988212,6988-21-2,CNC(=O)Oc1ccccc1C1OCCO1,2.12864058
7173844,7173-84-4,CCOP(=O)(OCC)SCSc1ccc(Cl)cc1,3.171868669
7292162,7292-16-2,CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,3.290245854
7786347,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,4.27135556
10004441,10004-44-1,Cc1cc(=O)[nH]o1,1.69499545
10233940,10233-94-0,CNC(=O)Oc1cc(C)c(N(C)C=O)c(C)c1,2.373410419
10233951,10233-95-1,CNC(=O)Oc1cc(C)c(NC=O)c(C)c1,2.346830045
10233962,10233-96-2,CNC(=O)Oc1ccc(NC)c(C)c1,3.57232191
10233973,10233-97-3,CNC(=O)Oc1ccc(N)c(C)c1,4.025322735
10233984,10233-98-4,CNC(=O)Oc1ccc(N(C)C=O)c(C)c1,2.647860041
10234352,10234-35-2,CNC(=O)Oc1ccc(NC=O)c(C)c1,2.619546181
10389501,10389-50-1,CNC(=O)Oc1cc(C)c(NC)c(C)c1,4.415517962
10453868,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,1.830520665
10453891,10453-89-1,CC(C)=CC1C(C(=O)O)C1(C)C,1.52694893
13067931,13067-93-1,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,2.703754092
13254336,13254-33-6,COC(=O)CCC[N+](C)(C)C,2.488759462
13265606,13265-60-6,COP(=S)(OC)SCCNC(C)=O,2.71218226
13589156,13589-15-6,COC(=O)N(CCCl)N=O,3.429189452
14297815,14297-81-5,CC(C)=CC1C(C(=O)Cl)C1(C)C,1.642713515
15242963,15242-96-3,CCCCCCCCCCCCCCCCCC(=O)O,2.056117837
15263522,15263-52-2,CN(C)C(CSC(N)=O)CSC(N)=O,2.375389236
16891546,16891-54-6,CC=C(C)C(OC)C(C)C=C(C)C=CC/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,4.347507975
18854018,18854-01-8,CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,3.210423878
19396066,19396-06-6,NC(=O)OCC(O)C(O)C(N)C(=O)NC(C(=O)O)C1OC(n2cc(CO)c(=O)[nH]c2=O)C(O)C1O,2.62617692
19408469,19408-46-9,CC1OC(OC2C(O)C(O)C(O)C(O)C2O)C(N)CC1NC(=N)C(=O)O,1.579058405
21087649,21087-64-9,CSc1nnc(C(C)(C)C)c(=O)n1N,2.331010011
21335433,21335-43-3,NS(=O)(=O)CCl,1.413527751
21725462,21725-46-2,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1.562587067
21727093,21727-09-3,N#CC(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.086893471
22068060,22068-06-0,CCN(CC)CCS[PH](C)=O,6.114539819
22248799,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.688377102
23031369,23031-36-9,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.688821921
23031381,23031-38-1,C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1.757959032
23560590,23560-59-0,COP(=O)(OC)OC1=C(Cl)C2C=CCC12,2.097982264
23564058,23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.534536293
23564069,23564-06-9,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,1.392645374
26087478,26087-47-8,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,1.857858458
27223490,27223-49-0,C#CCc1cc(COC(=O)C2C(C=C(C)C)C2(C)C)c(C)o1,1.778727033
27355222,27355-22-2,O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,1.434431569
28249776,28249-77-6,CCN(CC)C(=O)SCc1ccc(Cl)cc1,1.411259328
28434006,28434-00-6,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.401420647
29104301,29104-30-1,CCN(OC(=O)c1ccccc1)C(=O)c1c(OC)ccc(Cl)c1OC,1.384767854
32809168,32809-16-8,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,1.56144083
32861851,32861-85-1,COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1.798131115
34643464,34643-46-4,CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,2.334017478
35367385,35367-38-5,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,1.699931392
35400432,35400-43-2,CCCSP(=S)(OCC)Oc1ccc(SC)cc1,1.809501805
36001884,36001-88-4,COP(S)(=NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],1.881253378
36335678,36335-67-8,CCOP(S)(=NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],1.822641359
36519003,36519-00-3,CCOP(=O)(Oc1ccc(Cl)cc1Cl)Oc1ccc(Cl)cc1Cl,1.664875876
36614387,36614-38-7,COP(=S)(OC)SCCSC(C)C,3.035406388
39515418,39515-41-8,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,2.674128468
39603480,39603-48-0,NC(=S)NNCNNC(N)=S,2.589478209
41205214,41205-21-4,O=C1C(Cl)=C(Cl)C(=O)N1c1ccc(F)cc1,1.716088524
42609529,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.884649739
50512351,50512-35-1,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,1.45228172
52570168,52570-16-8,CC(Oc1ccc2ccccc2c1)C(=O)Nc1ccccc1,1.987293768
52645531,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,1.592503189
52934835,52934-83-5,CC1OC(CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O,3.764408943
54406483,54406-48-3,C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,1.739420433
54818950,54818-95-0,CCN(CC)C(=O)c1ccc(C)cc1C,1.604820889
55635137,55635-13-7,C=CCON=C(CCC)C1C(=O)CC(C)(C)C(C(=O)OC)C1=O,2.369846157
55814410,55814-41-0,Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1,1.430307305
57018049,57018-04-9,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,1.779785462
58011680,58011-68-0,Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,1.943810971
59227893,59227-89-3,CCCCCCCCCCCCN1CCCCCC1=O,1.546363727
60589062,60589-06-2,COc1nn(-c2ccccc2OC)c(=O)o1,1.64777405
61361997,61361-99-7,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,2.087353261
62850322,62850-32-2,CN(C)C(=O)SCCCCOc1ccccc1,1.500660062
63496480,63496-48-0,Oc1ccccc1,1.098588354
63755055,63755-05-5,Cn1c(=O)sc2cccc(Cl)c21,1.902355408
64036915,64036-91-5,OCC[S+](CCO)CCSCCCl,4.214520655
64047887,64047-88-7,O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,2.911523155
64049214,64049-21-4,CCCCCCC[As](Cl)Cl,3.787150407
64049225,64049-22-5,CCCCCC[As](Cl)Cl,4.062578224
64910630,64910-63-0,CCCCS(=O)(=O)NC1CCCCC1,1.462615843
64965135,64965-13-5,Cc1ccc(C(C)C)c2c(=O)cc(N(C)C)oc12,3.690766492
66952496,66952-49-6,CNC(=O)Sc1ccc(OS(C)(=O)=O)cc1,1.718209293
67527713,67527-71-3,N=C(N)NCC(O)CC(O)(C(=O)O)C1OC(n2cc(CO)c(N)nc2=O)C=CC1NC(=O)C(N)CO,2.012411998
68358792,68358-79-2,CON(C)C(=O)Nc1ccc(OCCc2ccc(C)cc2)cc1,1.798491812
69866213,69866-21-3,COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O,4.902912285
70193214,70193-21-4,CCCCOC(NC(=O)c1ccccc1O)C(Cl)(Cl)Cl,1.83331799
73636950,73636-95-0,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,2.290877327
74051802,74051-80-2,CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,1.816228039
74712199,74712-19-9,CC(C)(NC(=O)C(Br)C(C)(C)C)c1ccccc1,1.795533834
76280916,76280-91-6,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(Cl)c1Cl,2.651196576
76578148,76578-14-8,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,1.571485223
76840169,76840-16-9,CCCCC(CC)C(=O)OCC(COC(=O)C=Cc1ccc(OC)cc1)OC(=O)C=Cc1ccc(OC)cc1,2.976183916
77439760,77439-76-0,O=C1OC(O)C(C(Cl)Cl)=C1Cl,3.2233861
78587050,78587-05-0,CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,1.848665655
80844071,80844-07-1,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,2.245346593
82211243,82211-24-3,O=C(Nc1ccc(Cl)cc1C(O)c1ccccc1)c1ccncc1,1.830965706
82692442,82692-44-2,Cc1ccc(C(=O)COc2c(C(=O)c3ccc(Cl)c(C)c3Cl)c(C)nn2C)cc1,1.935828585
84496560,84496-56-0,Cc1c(Cl)ccc(OC(C)C(=O)Nc2ccccc2)c1Cl,1.811852383
98389049,98389-04-9,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(C(=O)O)cnn2C)n1,2.56496068
101827467,101827-46-7,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,2.598620913
103112363,103112-36-3,O=C(O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,2.273494351
1214397,1214-39-7,c1ccc(CNc2ncnc3nc[nH]c23)cc1,1.653704435
2425107,2010/7/25,CNC(=O)Oc1ccc(C)c(C)c1,2.077292791
2431961,2431-96-1,CCN(CC)C(=O)Cc1ccccc1,2.077535957
2438724,2438-72-4,CCCCOc1ccc(CC(=O)NO)cc1,1.649864258
2465272,2465-27-2,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,2.950001167
3309873,3309-87-3,COP(=O)(OC)Sc1ccc(Cl)cc1,2.438746946
7696120,7696-12-0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1.4323226
26002802,26002-80-2,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,1.845665974
66063056,66063-05-6,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,1.818018597
67330250,67330-25-0,CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.050947873
87130209,87130-20-9,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,1.728069571
88678675,88678-67-5,COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1,1.820139695
