RTECS_ID,CAS_RN,SMILES,rat_oral_LD50
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.221679168
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,2.352350799
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2.848486094
50657,50-65-7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,2.116771072
50704,50-70-4,OCC(O)C(O)C(O)C(O)CO,1.09461618
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,1.435664657
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,5.243549939
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.954625967
50817,50-81-7,O=C1OC(C(O)CO)C(O)=C1O,1.219484432
50919,50-91-9,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,3.058839005
50997,50-99-7,O=CC(O)C(O)C(O)C(O)CO,0.844029025
51036,1951/3/6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1.740611703
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.072461294
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.137317215
51127,1951/12/7,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.244271298
51149,51-14-9,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,2.173674211
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.19619107
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,2.752476015
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.787949047
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.258883695
51525,51-52-5,CCCc1cc(=O)[nH]c(=S)[nH]1,2.134143944
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.762491004
51616,51-61-6,NCCc1ccc(O)c(O)c1,1.728990745
51718,51-71-8,NNCCc1ccccc1,2.811951435
51752,51-75-2,CN(CCCl)CCCl,4.193280471
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.648519386
51796,51-79-6,CCOC(N)=O,1.692409891
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,3.565841918
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.619701543
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,3.915248383
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.596831513
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,2.267062259
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,3.045731432
52528,52-52-8,NC1(C(=O)O)CCCC1,2.664534893
52608,52-60-8,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,2.931682927
52664,52-66-4,CC(C)(S)C(N)C(=O)O,1.997523469
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.757458452
52857,52-85-7,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,4.06519011
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.46782885
52891,52-89-1,NC(CS)C(=O)O,1.679392489
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,2.790945305
53190,53-19-0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.806242399
53361,53-36-1,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1.619629604
53394,53-39-4,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1.486353957
53430,53-43-0,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1.460041936
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.664244959
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,2.109543551
54035,1954/3/5,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,2.366284488
54126,1954/12/6,NC(Cc1c[nH]c2ccccc12)C(=O)O,1.105997428
54308,54-30-8,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,2.329705607
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.104525192
54364,54-36-4,CC(C)(C(=O)c1cccnc1)c1cccnc1,2.637806527
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,1.622096303
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.707949238
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,2.595951122
54808,54-80-8,CC(C)NCC(O)c1ccc2ccccc2c1,2.406205105
54842,54-84-2,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,2.356015653
54853,54-85-3,NNC(=O)c1ccncc1,2.040260466
54864,54-86-4,O=C(O)c1cccnc1,1.245198819
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,2.464822436
54911,54-91-1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209098067
54955,54-95-5,C1CCc2nnnn2CC1,2.994298294
55185,55-18-5,CCN(CC)N=O,2.666760417
55221,55-22-1,O=C(O)c1ccncc1,1.391326855
55378,55-37-8,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,2.465920924
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.189295316
55436,55-43-6,ClCCN(Cc1ccccc1)Cc1ccccc1,2.034394471
55527,55-52-7,CC(Cc1ccccc1)NN,3.645263296
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.334999149
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,2.276164075
55801,55-80-1,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,2.202891365
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.566194644
56042,1956/4/2,Cc1cc(=O)[nH]c(=S)[nH]1,1.976756414
56097,1956/9/7,Nc1nc(=O)cc(O)[nH]1,1.062763116
56177,56-17-7,NCCSSCCN,2.230357673
56188,56-18-8,NCCCNCCCN,2.2499536
56235,56-23-5,ClC(Cl)(Cl)Cl,1.815953415
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,3.835812255
56360,56-36-0,CCCC[Sn](CCCC)(CCCC)OC(C)=O,3.547318386
56371,56-37-1,CC[N+](CC)(CC)Cc1ccccc1,1.937880697
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.163258305
56406,56-40-6,NCC(=O)O,1.151971906
56531,56-53-1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1.951590055
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.727196643
56699,56-69-9,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,2.957266261
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.44568921
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.11143996
56815,56-81-5,OCC(O)CO,0.863860791
56859,56-85-9,NC(=O)CCC(N)C(=O)O,1.28972567
57067,1957/6/7,C=CCN=C=S,2.947109736
57090,57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,2.841377786
57103,1957/10/3,CCCCCCCCCCCCCCCC(=O)O,1.408968832
57136,57-13-6,NC(N)=O,0.844974312
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.432594269
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.173132016
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.250292687
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,3.199378022
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.202766178
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.786675722
57501,57-50-1,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,1.061646644
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.43913972
57556,57-55-6,CC(O)CO,0.580326126
57636,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,2.489621618
57852,57-85-2,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.537182923
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,1.810366954
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,4.337988792
57965,57-96-5,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.053025836
57976,57-97-6,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,2.894282181
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.004934579
58139,58-13-9,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,2.926017464
58140,58-14-0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.752252794
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.909328895
58184,58-18-4,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.082725067
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,2.668489946
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,1.778698943
58366,58-36-6,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.098845254
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.317544517
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,2.88090833
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.481644679
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,1.626289029
58639,58-63-9,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,1.42850573
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.59818404
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.355964422
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.219159603
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.034511783
58946,58-94-6,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,1.470893915
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,1.884266475
59052,1959/5/2,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.527149472
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,1.56300053
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,2.49832554
59405,59-40-5,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,2.340896947
59472,59-47-2,Cc1ccccc1OCC(O)CO,2.464713642
59494,59-49-4,O=c1[nH]c2ccccc2o1,2.285628025
59507,59-50-7,Cc1cc(O)ccc1Cl,1.89162275
59530,59-53-0,CC(=O)NC(C(=O)O)C(C)(C)S,2.301148093
59632,59-63-2,Cc1cc(C(=O)NNCc2ccccc2)no1,2.9169331
59870,59-87-0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,2.526115763
59892,59-89-2,O=NN1CCOCC1,2.614657919
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,2.084694933
59972,59-97-2,c1ccc(CC2=NCCN2)cc1,2.125535481
60015,1960/1/5,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,1.975384413
60093,1960/9/3,Nc1ccc(N=Nc2ccccc2)cc1,2.198087183
60117,1960/11/7,CN(C)c1ccc(N=Nc2ccccc2)cc1,3.051721558
60128,1960/12/8,OCCc1ccccc1,1.834100878
60242,60-24-2,OCCS,2.505461348
60297,60-29-7,CCOCC,1.78537671
60311,60-31-1,CC(=O)OCC[N+](C)(C)C,1.767037068
60344,60-34-4,CNN,3.029157506
60355,60-35-5,CC(N)=O,0.926254226
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.582182721
60560,60-56-0,Cn1cc[nH]c1=S,1.705380895
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.042964459
60899,60-89-9,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,2.492014046
60991,60-99-1,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,2.475117569
61018,1961/1/8,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,2.634234263
61154,61-15-4,COc1ccc(OC)c(C(O)C(C)NC(C)C)c1,2.102677199
61563,61-56-3,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,1.763975758
61574,61-57-4,O=C1NCCN1c1ncc([N+](=O)[O-])s1,2.376589122
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.513307604
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.382059801
61803,61-80-3,Nc1nc2cc(Cl)ccc2o1,2.333607025
61825,61-82-5,Nc1nnc[nH]1,1.883310348
62237,62-23-7,O=C(O)c1ccc([N+](=O)[O-])cc1,1.930772356
62373,62-37-3,COC(C[Hg+])CNC(N)=O,3.344713127
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,3.914510851
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,2.035900106
62511,62-51-1,CC(=O)OC(C)C[N+](C)(C)C,2.329701542
62555,62-55-5,CC(N)=S,2.397281575
62566,62-56-6,NC(N)=S,2.784611588
62680,62-68-0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,2.217983016
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.113896187
62759,62-75-9,CN(C)N=O,3.301516837
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.9419541
63423,63-42-3,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.534403093
63456,63-45-6,COc1cc(NC(C)CCCN)c2ncccc2c1,3.16591801
63683,63-68-3,CSCCC(N)C(=O)O,0.617509982
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,1.644991238
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,2.046765782
63990,63-99-0,Cc1cccc(NC(N)=O)c1,2.052763351
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.081990531
64108,1964/10/8,NC(=O)Nc1ccccc1,1.833000409
64119,1964/11/9,Cc1ccc(CC(C)N)cc1,2.997785251
64175,64-17-5,CCO,0.814604084
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.936002142
64551,64-55-1,CCC(C)C(C)(COC(N)=O)COC(N)=O,2.301553828
64608,64-60-8,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1,3.2006426
64675,64-67-5,CCOS(=O)(=O)OCC,2.243565086
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.035733452
64960,64-96-0,CCN(CC)CCOc1ccc(C2=C(c3ccccc3)Cc3cc(OC)ccc32)cc1,2.87855225
65145,65-14-5,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,1.882976405
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,1.890704295
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,2.708274694
65452,65-45-2,NC(=O)c1ccccc1O,2.145931736
65496,65-49-6,Nc1ccc(C(=O)O)c(O)c1,1.281990148
65861,65-86-1,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,1.155968059
66228,66-22-8,O=c1cc[nH]c(=O)[nH]1,1.27140787
66251,66-25-1,CCCCCC=O,1.311389793
66273,66-27-3,COS(C)(=O)=O,2.689738895
66400,66-40-0,CC[N+](CC)(CC)CC,1.694838655
66751,66-75-1,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,4.851346215
66762,66-76-2,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.128785567
66773,66-77-3,O=Cc1cccc2ccccc12,2.369510707
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,5.148220011
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,1.854464822
67301,67-30-1,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,5.957348935
67425,67-42-5,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,2.001787737
67458,67-45-8,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,1.984018402
67470,67-47-0,O=Cc1ccc(CO)o1,1.702812961
67481,67-48-1,C[N+](C)(C)CCO,1.340931673
67527,67-52-7,O=C1CC(=O)NC(=O)N1,1.40853505
67561,67-56-1,CO,0.902486547
67630,67-63-0,CC(C)O,1.075984396
67641,67-64-1,CC(C)=O,1.000598614
67663,67-66-3,ClC(Cl)Cl,2.234939494
67685,67-68-5,CS(C)=O,0.731483172
67710,67-71-0,CS(C)(=O)=O,1.274781123
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.724936785
67732,67-73-2,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.053552834
67925,67-92-5,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,2.380062524
67970,67-97-0,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.961814188
68122,1968/12/2,CN(C)C=O,1.416729639
68268,68-26-8,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,2.156032476
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.398431352
68360,68-36-0,ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1,1.990169522
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.016145748
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,2.782479139
69272,69-27-2,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,3.076931575
69330,69-33-0,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,4.221181052
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.726390116
69727,69-72-7,O=C(O)c1ccccc1O,2.181082532
69749,69-74-9,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,1.75163417
69794,69-79-4,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0.992823849
69818,69-81-8,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21,1.13579315
70075,1970/7/5,COc1ccccc1OCC1CNC(=O)O1,1.766685305
70100,70-10-0,O=c1[nH]sc2cc(Cl)ccc12,1.635191407
70257,70-25-7,CN(N=O)C(N)=N[N+](=O)[O-],3.213352449
70291,70-29-1,CCS(=O)CC,1.274035173
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.853301705
70382,70-38-2,CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,0.854935768
70439,70-43-9,CC(C)=CC1C(C(=O)OCc2cc3c(cc2Cl)OCO3)C1(C)C,1.351300165
70699,70-69-9,CCC(=O)c1ccc(N)cc1,2.925775181
71001,71-00-1,NC(Cc1cnc[nH]1)C(=O)O,1.014680115
71238,71-23-8,CCCO,1.50700396
71363,71-36-3,CCCCO,1.972325897
71432,71-43-2,c1ccccc1,1.924245929
71556,71-55-6,CC(Cl)(Cl)Cl,1.142900874
71589,71-58-9,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1.78100548
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,4.507969435
71783,71-78-3,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,3.17184342
71794,71-79-4,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,2.461267928
72004,72-00-4,CCOP(=O)(OC=C(Cl)Cl)OCC,4.99831166
72333,72-33-3,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.491973478
72435,72-43-5,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,2.270296417
72548,72-54-8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,3.45213396
72559,72-55-9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.557985417
72560,72-56-0,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1.667967744
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,2.148569819
72639,72-63-9,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.477760644
72800,72-80-0,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,2.53853946
73096,1973/9/6,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,1.443176712
73245,73-24-5,Nc1ncnc2nc[nH]c12,2.77472592
73314,73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1.860867448
73665,73-66-5,CCOCc1cnc(C)nc1N,2.061899439
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,2.868792723
74113,1974/11/3,O=C(O)c1ccc(Cl)cc1,2.126517142
74317,74-31-7,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,2.040792555
74839,74-83-9,CBr,2.64703088
74873,74-87-3,CCl,1.447915662
74884,74-88-4,CI,3.271288149
74953,74-95-3,BrCBr,3.206713466
74964,74-96-4,CCBr,1.90695724
74975,74-97-5,ClCBr,1.412910569
75014,1975/1/4,C=CCl,2.096903064
75058,1975/5/8,CC#N,1.222409792
75081,1975/8/1,CCS,1.959565907
75092,1975/9/2,ClCCl,1.724956482
75127,1975/12/7,NC=O,0.90720738
75150,75-15-0,S=C=S,1.802460145
75183,75-18-3,CSC,1.274836342
75218,75-21-8,C1CO1,2.786642993
75252,75-25-2,BrC(Br)Br,2.432776872
75274,75-27-4,ClC(Cl)Br,2.580922325
75296,75-29-6,CC(C)Cl,1.196131952
75310,75-31-0,CC(C)N,2.726352675
75343,75-34-3,CC(Cl)Cl,2.13512168
75354,75-35-4,C=C(Cl)Cl,2.685490939
75365,75-36-5,CC(=O)Cl,1.935817199
75478,75-47-8,IC(I)I,3.044971257
75503,75-50-3,CN(C)C,2.072705649
75525,75-52-5,C[N+](=O)[O-],1.812486671
75558,75-55-8,CC1CN1,3.477852083
75569,75-56-9,CC1CO1,2.184243011
75570,75-57-0,C[N+](C)(C)C,3.108616673
75605,75-60-5,C[As](C)(=O)O,2.027943185
75650,75-65-0,CC(C)(C)O,1.431727181
75661,75-66-1,CC(C)(C)S,1.280393888
75741,75-74-1,C[Pb](C)(C)C,3.405874645
75810,75-81-0,ClC(Cl)(Br)CBr,3.097759974
75854,75-85-4,CCC(C)(C)O,1.945222317
75865,75-86-5,CC(C)(O)C#N,3.659281343
75898,75-89-8,OCC(F)(F)F,2.6199581
75912,75-91-2,CC(C)(C)OO,2.386629097
75945,75-94-5,C=C[Si](Cl)(Cl)Cl,2.100938354
75978,75-97-8,CC(=O)C(C)(C)C,2.215368817
75989,75-98-9,CC(C)(C)C(=O)O,2.054923579
76006,76-00-6,CC(O)C(Cl)(Cl)Cl,2.213334438
76017,1976/1/7,ClC(Cl)C(Cl)(Cl)Cl,2.342197321
76028,1976/2/8,O=C(Cl)C(Cl)(Cl)Cl,2.481521454
76062,1976/6/2,O=[N+]([O-])C(Cl)(Cl)Cl,2.817895757
76119,1976/11/9,FC(F)(Cl)C(Cl)(Cl)Cl,1.406178117
