RTECS_ID,CAS_RN,SMILES,guinea pig_skin_LD50
110510,110-51-0,[BH3-][n+]1ccccc1,2.667163327
110623,110-62-3,CCCCC=O,0.63414462
110861,110-86-1,c1ccncc1,1.898187464
111159,111-15-9,CCOCCOC(C)=O,0.831953908
111364,111-36-4,CCCCN=C=O,1.996218249
111444,111-44-4,ClCCOCCCl,2.678254262
111875,111-87-5,CCCCCCCCO,2.114714375
111900,111-90-0,CCOCCOCCO,0.622521626
111911,111-91-1,ClCCOCOCCCl,3.007695075
112389,112-38-9,C=CCCCCCCCCC(=O)O,3.566505843
115866,115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.911541111
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,1.899154511
117817,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.59169221
117828,117-82-8,COCCOC(=O)c1ccccc1C(=O)OCCOC,1.149668575
117840,117-84-0,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1.892722206
120616,120-61-6,COC(=O)c1ccc(C(=O)OC)cc1,1.589247912
121142,121-14-2,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.26039341
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.692917913
123057,123-05-7,CCCCC(C=O)CC,0.903818854
128392,128-39-2,CC(C)(C)c1cccc(C(C)(C)C)c1O,1.314560273
128530,128-53-0,CCN1C(=O)C=CC1=O,2.398381028
135206,135-20-6,O=NN(O)c1ccccc1,1.441305431
136367,136-36-7,O=C(Oc1cccc(O)c1)c1ccccc1,4.029830019
136856,136-85-6,Cc1ccc2n[nH]nc2c1,2.124354217
137053,137-05-3,C=C(C#N)C(=O)OC,1.005943132
137666,137-66-6,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,2.140444141
137893,137-89-3,CCCCC(CC)COC(=O)c1cccc(C(=O)OCC(CC)CCCC)c1,1.290662214
139888,139-88-8,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,2.656108526
151564,151-56-4,C1CN1,3.488036753
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.313607831
297972,297-97-2,CCOP(=S)(OCC)Oc1cnccn1,4.39487876
298022,298-02-2,CCOP(=S)(OCC)SCSCC,4.114587634
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.206217168
327924,327-92-4,O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F,2.30981747
368978,368-97-8,F[As](F)c1ccccc1,4.278808456
471250,471-25-0,C#CC(=O)O,2.84538954
498168,498-16-8,C=C(C)C(CO)CC=C(C)C,1.489263615
504290,504-29-0,Nc1ccccn1,2.274698071
505602,505-60-2,ClCCSCCCl,3.900588317
531599,531-59-9,COc1ccc2ccc(=O)oc2c1,1.546964415
532274,532-27-4,O=C(CCl)c1ccccc1,2.189198253
541253,541-25-3,ClC=C[As](Cl)Cl,4.237457859
555771,555-77-1,ClCCN(CCCl)CCCl,4.009722776
563122,563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,2.623460566
590863,590-86-3,CC(C)CC=O,1.032084629
593511,593-51-1,CN,1.19114349
598787,598-78-7,CC(Cl)C(=O)O,2.935155248
615678,615-67-8,Oc1ccc(O)c(Cl)c1,2.461069122
619249,619-24-9,N#Cc1cccc([N+](=O)[O-])c1,2.170616635
621921,621-92-1,Oc1ccc(NCc2ccccc2)cc1,2.299404869
622151,622-15-1,C(=Nc1ccccc1)Nc1ccccc1,2.292816304
622402,622-40-2,OCCN1CCOCC1,1.719911064
623701,623-70-1,CC=CC(=O)OCC,1.358483083
630104,630-10-4,NC(N)=[Se],3.390995127
632791,632-79-1,O=C1OC(=O)c2c(Br)c(Br)c(Br)c(Br)c21,2.666238032
635223,635-22-3,Nc1ccc(Cl)c([N+](=O)[O-])c1,2.236967816
670542,670-54-2,N#CC(C#N)=C(C#N)C#N,3.107528788
680319,680-31-9,CN(C)P(=O)(N(C)C)N(C)C,2.183309833
695341,695-34-1,Cc1ccnc(N)c1,2.335032425
696242,696-24-2,Br[As](Br)c1ccccc1,4.715775001
696286,696-28-6,Cl[As](Cl)c1ccccc1,4.746116317
824793,824-79-3,Cc1ccc(S(=O)O)cc1,2.193697711
877247,877-24-7,O=C(O)c1ccccc1C(=O)O,2.220453293
928041,928-04-1,O=C(O)C#CC(=O)O,3.659178128
944229,944-22-9,CCOP(=S)(CC)Sc1ccccc1,2.947484852
947024,947-02-4,CCOP(=O)(N=C1SCCS1)OCC,3.674658756
1124330,1124-33-0,O=[N+]([O-])c1cc[n+]([O-])cc1,2.146431935
1134367,1134-36-7,Nc1cc(-c2ccccc2)ccc1O,2.267701948
1551446,1551-44-6,CCCC(=O)OC1CCCCC1,1.532122218
1603403,1603-40-3,Cc1cccnc1N,2.732972433
1603414,1603-41-4,Cc1ccc(N)nc1,2.431942438
1824813,1824-81-3,Cc1cccc(N)n1,2.732972433
1866155,1866-15-5,CC(=O)SCC[N+](C)(C)C,2.511289642
1939362,1939-36-2,O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O,2.486105877
2051798,2051-79-8,CCN(CC)c1ccc(N)c(C)c1,2.251100189
2111753,2111-75-3,C=C(C)C1CC=C(C=O)CC1,1.477760644
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.215510666
2227136,2227-13-6,Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,1.596810235
2229552,2229-55-2,CCC(COC(=O)c1ccccc1C(=O)OCC(CC)CC(C)C)CC(C)C,1.59169221
2277192,2277-19-2,CCC=CCCCCC=O,1.447858541
2487016,01-06-87,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],1.614368374
2578452,2578-45-2,O=[N+]([O-])c1cnc(Cl)c([N+](=O)[O-])c1,2.308651904
2807309,2807-30-9,CCCOCCO,2.017655104
3391831,3391-83-1,O=C1CCCCCCCCCOCCCCCO1,1.709924302
3425465,3425-46-5,N#C[SeH],3.326278497
3473118,11-08-73,C=NO,2.653608024
3964189,3964-18-9,CC(C)([N+](=O)[O-])C(C)(C)[N+](=O)[O-],2.245936885
4439241,4439-24-1,CC(C)COCCO,1.124605666
4965177,4965-17-7,CCCCC[N+](CCCCC)(CCCCC)CCCCC,4.07711925
5254411,5254-41-1,CC(=O)Nc1ccccc1CCNC(=O)c1ccc2ccccc2c1O,2.542080639
5450964,5450-96-4,O=S(=O)(O)C(O)CCC(O)S(=O)(=O)O,2.398374086
5903139,5903-13-9,CN(C(=O)CF)c1cccc2ccccc12,4.637975787
5910850,5910-85-0,CCC=CC=CC=O,1.343038153
6596743,6596-74-3,CC(=O)NNc1ccc(N)cc1,2.217999527
7327608,7327-60-8,N#CCN(CC#N)CC#N,2.127564777
7337453,7337-45-3,CC(C)(C)N,1.864149018
11042641,11042-64-1,COc1cc(C=CC(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O,3.780245284
15299997,15299-99-7,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,2.132515835
17788000,17788-00-0,Cc1c(Cl)ccc(O)c1Cl,2.248046869
17874349,17874-34-9,Cc1cc(C(C)(C)C)c2oc(=O)cc(C)c2c1,1.663337134
18318837,18318-83-7,CCCC=CC(OC)OC,1.460037419
18829555,18829-55-5,CCCCC=CC=O,1.865193032
19683988,19683-98-8,COC1C(=O)CCC2(CO2)C1(O)C1(C)OC1CC=C(C)C,6.170793987
21662099,21662-09-9,CCCCCC=CCCC=O,1.489263615
23564058,23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.534536293
23564069,23564-06-9,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,1.568736633
28069729,28069-72-9,CCC=CCCC=CCO,1.447858541
28140605,28140-60-5,C(C/C=N/c1ccccc1)=Nc1ccccc1,2.34692188
29632982,29632-98-2,O=S(=O)(O)c1cc(O)ccc1O,2.279155709
33921129,33921-12-9,Nc1ccccc1,1.858495229
34320826,34320-82-6,O=C1CC(Nc2ccc([N+](=O)[O-])cc2)=NN1c1c(Cl)cc(Cl)cc1Cl,2.601648302
40334698,40334-69-8,ClC=C[As](Cl)C=CCl,4.464930846
42790352,42790-35-2,CCc1ccc([N+](O)=Cc2ccccc2)cc1,2.354682635
51959149,51959-14-9,CCC(C)(C)c1ccc(OCCCCN)c(C(C)(C)CC)c1,1.78604974
53061102,53061-10-2,O=S(=O)(CCCl)COCS(=O)(=O)CCCl,2.475957235
59997512,59997-51-2,CC(C)(C)C(=O)CC#N,2.097503722
61827745,61827-74-5,CCN(CC)c1ccc(N)c(CCNS(C)(=O)=O)c1,2.45547375
62346967,62346-96-7,CC(=O)OCc1ccc(C)cc1C,1.552013239
63123397,63123-39-7,CC(=O)SCC(=O)Nc1nc2ccccc2s1,2.425447809
64037736,64037-73-6,CC(C/N=N/CC(C)CC(=N)N)CC(=N)N,2.354738286
67746309,67746-30-9,CCCC=CC(OCC)OCC,1.537234607
68104029,68104-02-9,COc1cc(N)c(C)cc1N(C)C,2.255877683
68527797,68527-79-7,CC(C=Cn1ccc2ccccc21)CCCC(C)(C)O,1.73464624
121518454,121518-45-4,CCc1c(Cl)ccc(O)c1Cl,2.58219295
1420071,1420-07-1,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.204508864
1438160,1438-16-0,NN1C(=O)CSC1=S,3.170883368
2431961,2431-96-1,CCN(CC)C(=O)Cc1ccccc1,1.430397591
2463845,2463-84-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,2.172684646
3148729,3148-72-9,O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,2.508219879
3182023,02-03-82,O=C1CC(Nc2ccc(Cl)cc2Cl)=NN1c1c(Cl)cc(Cl)cc1Cl,2.626867771
3724650,3724-65-0,CC=CC(=O)O,2.633922712
7696120,7696-12-0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,1.219338234
7774825,7774-82-5,CCCCCCCCCCC=CC=O,1.59402551
62708547,62708-54-7,CN(C)c1ccc(N)c2ccccc12,2.270114935
