RTECS_ID,CAS_RN,SMILES,rat_intramuscular_LD50
590283,590-28-3,N#CO,2.142359185
590636,590-63-6,CC(C[N+](C)(C)C)OC(N)=O,2.865009705
597251,597-25-1,COP(=O)(OC)N1CCOCC1,1.574376339
597886,597-88-6,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.464288301
602415,602-41-5,COc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2,4.311657554
603350,603-35-0,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.242693786
671045,671-04-5,CNC(=O)Oc1cc(C)c(C)cc1Cl,3.949520113
693301,693-30-1,OCCSCCCl,5.449123413
749020,749-02-0,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,3.371813047
751973,751-97-3,CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.24516213
832928,832-92-8,COc1cc(CCN)cc(OC)c1OC,2.806305391
846491,846-49-1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,3.735873494
894713,894-71-3,CNCCC=C1c2ccccc2CCc2ccccc21,3.190140468
950356,950-35-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,5.16506161
987780,987-78-0,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,2.115575012
1622624,1622-62-4,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,2.194913765
1639607,1639-60-7,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,3.334913262
1684408,1684-40-8,Nc1c2c(nc3ccccc13)CCCC2,3.765775899
1695778,1695-77-8,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,2.123659595
1743131,1743-13-1,C1NNCN2CNNCN12,3.185783192
1769999,1769-99-9,CN(C)CCCC1(C#N)c2ccccc2CCc2ccccc21,2.691105744
1841196,1841-19-6,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,3.512873466
1953022,02-02-53,CC(S)C(=O)NCC(=O)O,2.000527228
2058528,2058-52-8,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,3.059289452
2058891,2058-89-1,ON=Cc1cc[n+](C[n+]2ccc(C=NO)cc2)cc1,2.604557431
2163771,2163-77-1,Nc1cc([As](=O)(O)O)ccc1O,2.66848842
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,1.193872833
2631370,2631-37-0,CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.673090057
2686999,2686-99-9,CNC(=O)Oc1cc(C)c(C)c(C)c1,2.834324078
2731160,2731-16-0,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(N)CC2,4.004058649
3562990,3562-99-0,COc1ccc(C(=O)CCC(=O)O)c2ccccc12,2.713109003
4255247,4255-24-7,C=CCC(N)Cc1ccccc1,2.964456288
4269889,4269-88-9,C[N+]1(CCN(C2CCCCC2)C2CCCCC2)CCCCC1,3.487910083
4985153,4985-15-3,CN(C)CCON=C1c2ccccc2CCc2ccccc21,3.148788569
5002471,5002-47-1,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.011740736
5027167,5027-16-7,CCOC(=O)NCO,1.996803439
5370014,01-04-70,Cc1cccc(C)c1OCC(C)N,2.974737059
5588330,5588-33-0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,2.88052834
5610402,5610-40-2,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,4.096446518
5778803,5778-80-3,COc1ccc2nc3c(c(N)c2c1)CCCC3,2.946876694
5786210,5786-21-0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.192103948
5965402,5965-40-2,C=CCN=C(Nc1cccc(C(=O)O)c1)S[Cu],2.90139874
5984598,5984-59-8,CC(C)CCCC(C)N,2.947067616
6000744,6000-74-4,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)(O)O,2.469768033
6504774,6504-77-4,COCCNC(=O)c1nc2c(N)nc(-c3ccccc3)nc2nc1NCCOC,1.900300477
6781051,05-01-81,CCOC(=O)NCN(C)C,2.465947662
6809525,6809-52-5,CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,1.82027504
7081449,7081-44-9,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.224402561
8068288,8068-28-8,CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)O)C(=O)NC(C(=O)NC(CCNCS(=O)(=O)O)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)O)NC1=O)C(C)O,4.571374488
9008542,9008-54-2,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(CCN)NC(=O)C(NC(=O)C(CCN)NC(=O)C(NC(=O)C(CCN)NC=O)C(C)O)CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC1=O,4.66245643
10070958,10070-95-8,Cc1c(CN(CCCl)CCCl)c(=O)n(C)n1-c1ccccc1,4.05724758
11111232,11111-23-2,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)CC3N)C2O)C(N)C(O)C1OC1OC(CO)C(O)C(O)C1O,2.638789237
13930319,13930-31-9,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,2.936727388
14679733,14679-73-3,CCOC(=O)NNc1nncc2ccccc12,2.843498399
15351050,15351-05-0,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCCC1,2.64285264
15440467,15440-46-7,COc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1F,2.357294362
15440489,15440-48-9,CC1(C)SC2C(NC(=O)COc3ccc(Cl)c(Cl)c3)C(=O)N2C1C(=O)O,2.571357839
15440514,15440-51-4,Cc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1Cl,2.600829196
15545387,15545-38-7,Cc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,2.498647945
15545423,15545-42-3,Cc1cc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)ccc1Cl,2.526378477
16816674,16816-67-4,CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,2.036513043
17754448,17754-44-8,C=C1C2CCC3C4(C)CC(OC5OC(CO)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O,3.226947209
20228277,20228-27-7,CCOc1ccccc1C(=O)N/N=C(\C)C(=O)O,3.084513807
20820808,20820-80-8,CCOP(C)(=O)SCCN(C)C,7.002612371
20830813,20830-81-3,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,4.276639666
21149882,21149-88-2,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,3.919388054
21259201,21259-20-1,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.996778925
21259767,21259-76-7,COC(CNC(=O)C1CCC(C)(C(=O)O)C1(C)C)C[Hg]SCC(=O)O,4.573683693
21462395,21462-39-5,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,3.192217086
21626891,21626-89-1,O=C1c2ccccc2CN2C(=O)c3ccccc3CN12,1.944949617
21738421,21738-42-1,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,3.667981878
22078315,22078-31-5,O=C(C=NO)NCCN1CCCCC1,2.407312446
22173644,22173-64-4,CCC1(CC=C2CCCCC2)C(=O)NC(=O)NC1=O,3.82007825
23182469,23182-46-9,CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCCC1,2.370534304
23239410,23239-41-0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,1.644130252
23239512,23239-51-2,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,2.499383411
23327573,23327-57-3,CN1CCOC(c2ccccc2)c2ccccc2C1,3.647837482
23883456,23883-45-6,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,2.929745801
24151937,24151-93-7,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,2.146976592
24729962,24729-96-2,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1,2.159197533
25223874,25223-87-4,O=C(CCN(CCCl)CCCl)c1ccccc1,4.324109843
25332392,25332-39-2,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,2.57039348
27318861,27318-86-1,COc1cc(OC)cc(OCCO)c1,2.079659146
27855432,27855-43-2,O=C(CCN(CCCl)CCCl)c1ccc(Cl)cc1,4.027048584
28002188,28002-18-8,CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,1.698405578
28395031,28395-03-1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,4.862635775
29701073,29701-07-3,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O,2.5321252
29975164,29975-16-4,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,2.530926721
31431397,31431-39-7,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,2.926192461
31540622,31540-62-2,O=C(CCCN1CCc2[nH]c3ccc(F)cc3c2C1)c1ccc(F)cc1,3.668680121
32986564,32986-56-4,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,2.709329417
33103218,33103-21-8,NCCC(O)C(N)CC(=O)NC1CNC(=O)C(C2CC(O)N=C(N)N2)NC(=O)C(C=NC(N)=O)NC(=O)C(CO)NC(=O)C(CO)NC1=O,2.943060871
33103229,33103-22-9,NCCC(O)C(N)CC(=O)NC1CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(C=NC(N)=O)NC(=O)C(CO)NC(=O)C(CO)NC1=O,2.535104154
33765683,33765-68-3,CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O,1.480665076
33765809,33765-80-9,CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1OC(C)=O,1.537182923
34433313,34433-31-3,NC(=O)c1cc[n+](COC[n+]2ccccc2C=NO)cc1,2.567204153
34493986,34493-98-6,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,2.906489927
35035053,35035-05-3,COC1CC(=C(c2cccs2)c2cccs2)C[N+](C)(C)C1,2.995287089
35748653,35748-65-3,NC(CCCNC(=O)CI)C(=O)O,3.973469524
36672772,36672-77-2,OCCN(CCO)[Co]N(CCO)CCO,2.518336806
37106971,37106-97-1,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,2.606834773
37106993,37106-99-3,CN(C)C1C(=O)C(C(=O)NCN2CCCC2C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,2.860553086
37883004,37883-00-4,NCCCC(N)CC(=O)NC1CNC(=O)C(C2CC(O)N=C(N)N2)NC(=O)C(C=NC(N)=O)NC(=O)C(CO)NC(=O)C(CO)NC1=O,2.722190797
39340460,39340-46-0,COCC1OC(OC2OCC3OC4(OCC(O)(C(C)OC)C5OCOC54)OC3C2OC)C(OC)C(O)C1OC1OC(C)C(OC)C(OC2CC3(C)OC4(CC(O)C(OC5CC(OC6CC(C)([N+](=O)[O-])C(OC)C(C)O6)C(OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)C(C)O5)C(C)O4)OC3C(C)O2)C1O,3.584725755
39831555,39831-55-5,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,2.416584148
40246546,40246-54-6,C[N+](CCO)(CCO)[Co][N+](C)(CCO)CCO,2.481911859
40478146,40478-14-6,O=C(NCN(CCCl)CCCl)c1ccccc1,4.02464194
40478157,40478-15-7,O=C(NCN(CCCl)CCCl)c1ccc(Cl)cc1,2.9593557
40478168,40478-16-8,O=C(NCN(CCCl)CCCl)c1cccc(Cl)c1,3.837622103
40478179,40478-17-9,O=C(NCN(CCCl)CCCl)c1ccccc1Cl,4.110623375
40478180,40478-18-0,O=C(NCN(CCCl)CCCl)c1ccc(Br)cc1,2.373004005
40478191,40478-19-1,O=C(NCN(CCCl)CCCl)c1ccc(F)cc1,3.961968067
40478204,40478-20-4,O=C(NCN(CCCl)CCCl)c1ccc([N+](=O)[O-])cc1,4.000238796
40478215,40478-21-5,O=C(NCN(CCCl)CCCl)c1cccc([N+](=O)[O-])c1,3.852176261
40478226,40478-22-6,Cc1ccc(C(=O)NCN(CCCl)CCCl)cc1,4.046233951
40478248,40478-24-8,O=C1CCC(=O)N1CN(CCCl)CCCl,4.081122609
40478259,40478-25-9,O=C1c2ccccc2C(=O)N1CN(CCCl)CCCl,3.876756044
42064879,42064-87-9,Cc1ccccc1OC(CC[N+]1(C)CCCCC1C)c1ccccc1,3.678319569
42064891,42064-89-1,CC1CCCC[N+]1(C)CCC(Oc1ccccc1Cl)c1ccccc1,2.742100032
42839361,42839-36-1,N=C(N)NCC1CCCCCCN1,2.232070945
50924497,50924-49-7,NC(=O)C1N=CN(C2OC(CO)C(O)C2O)C1=O,1.966507124
51120355,51120-35-5,COP(=O)(OC)OP(=S)(OC)OC,6.000258762
51771507,51771-50-7,CCOC(=O)c1c(-c2ccccc2)oc2ccc(O)c(CN(C)C)c12,3.270628933
52093217,52093-21-7,CNCC1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.870240926
52152939,52152-93-9,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,1.984461388
52712762,52712-76-2,CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,3.390397016
53152219,53152-21-9,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,2.891769688
53164059,53164-05-9,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.333357465
53583792,53583-79-2,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,2.743401962
53639820,53639-82-0,CS(=O)(=O)OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,2.572311536
54782557,54782-55-7,CN1CCC2(C)CC(Cc3ccc(O)cc32)C1,2.961128333
55268741,55268-74-1,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,2.193699102
55399321,55399-32-1,C=CC[N+](CCO)(CCO)[Co][N+](CC=C)(CCO)CCO,2.543244586
55658474,55658-47-4,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCNCCCCN)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,4.149938717
55981232,55981-23-2,Clc1ccc(C(c2ccccc2)N2CC[N+]3(CCOCC3)CC2)cc1,3.048617787
56238632,56238-63-2,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,2.32673617
56395665,56395-66-5,CCCn1c(=O)c2c(ncn2CCCCC(C)O)n(C)c1=O,3.023706169
56420452,56420-45-2,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,4.531099542
56839431,56839-43-1,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,2.811898261
57236369,57236-36-9,CC12CCCCCC(Cc3ccc(O)cc31)C2N,3.037631865
57464718,57464-71-8,CCCCN(CCC)CCc1ccc(O)c(O)c1,3.224222186
57495144,57495-14-4,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.308410729
57808658,57808-65-8,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,4.368247589
58050423,58050-42-3,COC(=O)NCN(CCCl)CCCl,4.318645673
58050434,58050-43-4,CCOC(=O)NCN(CCCl)CCCl,3.970872347
58050445,58050-44-5,CC(C)OC(=O)NCN(CCCl)CCCl,4.10917511
58050456,58050-45-6,CC(C)COC(=O)NCN(CCCl)CCCl,4.132240473
58050467,58050-46-7,O=C(NCN(CCCl)CCCl)OCc1ccccc1,3.882531653
58050478,58050-47-8,O=C(NCN(CCCl)CCCl)Oc1ccccc1,3.723795869
58050489,58050-48-9,O=C(NCN(CCCl)CCCl)NCN(CCCl)CCCl,4.419880253
58050490,58050-49-0,CCOC(=O)NCN1CCOCC1,2.797560666
58373196,58373-19-6,CCN(CC)CCS/C(=N\O)c1ccncc1,2.651181916
58373210,58373-21-0,CCN(CC)CCS/C(=N\O)c1cc[n+](C)cc1,2.826732229
58581898,58581-89-8,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,3.521259778
58807015,58807-01-5,CCC[N+](CCO)(CCO)[Co][N+](CCC)(CCO)CCO,2.53151657
58932540,58932-54-0,C=C(C)C[N+](CCO)(CCO)[Co][N+](CCO)(CCO)CC(=C)C,2.55983852
59122462,59122-46-2,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,4.303924388
59178379,59178-37-9,NCCCNCCSP(=O)(O)O,2.73317902
59467708,59467-70-8,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,3.813946416
59937289,59937-28-9,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,2.158950201
61177455,61177-45-5,O=C(O)C1C(=CCO)OC2CC(=O)N21,2.073897197
61941568,61941-56-8,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,2.964525113
62305913,62305-91-3,CC1SCC(C(=O)NC(Cc2cnc[nH]2)C(=O)N2CCCC2C(N)=O)NC1=O,4.310145055
63521153,63521-15-3,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)C3SC2)s1,1.739141
63765775,63765-77-5,CCOC(=O)CCCC(C)F,1.848333724
63765786,63765-78-6,CC(F)CCCC(=O)OCCF,5.000467821
63968649,63968-64-9,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,2.040664181
64048131,64048-13-1,CCOP(=S)(OCC)OP(=S)(OC)OC,5.468747465
64485934,64485-93-4,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,2.357433595
65321246,65321-24-6,O=C(c1ccccc1)c1ccc[n+](COC[n+]2ccccc2C=NO)c1,2.641307579
66357593,66357-59-3,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,2.252691436
67466584,67466-58-4,COc1ccccc1C(=O)N(CC(C[Hg]O)OCCO)C(=O)O,4.166807193
67479010,67479-01-0,COC(CNC(=O)c1ccccc1OCC(=O)O)C[Hg]SC(CC(=O)O)C(=O)O,4.082017586
67814760,67814-76-0,CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3OC(CN)C(O)C(O)C3O)C2O)OCC1(C)O,2.433467479
69095836,69095-83-6,CCc1ccccc1-c1nnc(-c2cccc(OC)c2)[nH]1,2.145107797
70458967,70458-96-7,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,2.805277877
72275673,72275-67-3,COC1C(O)C(N)C(OC2OC(C(C)N)CCC2N)C(O)C1N(C)C(=O)CN,2.604095408
72324186,72324-18-6,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,2.181181533
72558828,72558-82-8,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,2.136399483
73245917,73245-91-7,COC1C(O)C(N)C(OC2OC(C(C)N)CCC2N)C(O)C1N(C)C(=O)CNC=N,2.544341245
73803482,73803-48-2,NS(=O)(=O)c1cc(C(=O)NN2CC3C4CCC(C4)C3C2)ccc1Cl,2.267023808
73806492,73806-49-2,COc1cccc(C2(O)CCCCC2CN(C)C)c1,3.033194616
73963721,73963-72-1,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,2.567578005
