RTECS_ID,CAS_RN,SMILES,bird - wild_oral_LD50
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.768197488
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.628912323
313053,313-05-3,CN(C)CCCN(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,2.964235046
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,5.346916018
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,3.932091728
320672,320-67-2,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,3.387758108
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,5.319111267
330643,330-64-3,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1,4.371671758
333299,333-29-9,CCOP(=S)(N=C1SCCS1)OCC,5.178287729
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,5.182346164
350038,350-03-8,CC(=O)c1cccnc1,2.832863982
371404,371-40-4,Nc1ccc(F)cc1,3.045788324
372190,372-19-0,Nc1cccc(F)c1,3.297600297
452777,452-77-7,Cc1ccc(N)cc1F,4.983473621
452802,452-80-2,Cc1ccc(N)c(F)c1,3.097416973
462088,462-08-8,Nc1cccnc1,3.849816435
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.704858029
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,4.441843721
487263,487-26-3,O=C1CC(c2ccccc2)Oc2ccccc21,3.475688618
500287,500-28-7,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,4.172684646
504290,504-29-0,Nc1ccccn1,3.473980993
524425,524-42-5,O=C1C=Cc2ccccc2C1=O,3.324024409
536903,536-90-3,COc1cccc(N)c1,2.340715733
540374,540-37-4,Nc1ccc(I)cc1,3.340493689
555771,555-77-1,ClCCN(CCCl)CCCl,3.811065689
563122,563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,3.931669147
578541,578-54-1,CCc1ccccc1N,2.208380436
584087,584-08-7,O=C(O)O,2.792559771
584849,584-84-9,Cc1ccc(N=C=O)cc1N=C=O,3.240945922
586958,586-95-8,OCc1ccncc1,2.412623745
586981,586-98-1,OCc1ccccn1,2.162874933
587020,587-02-0,CCc1cccc(N)c1,2.583754617
589162,589-16-2,CCc1ccc(N)cc1,3.208380436
591275,591-27-5,Nc1cccc(O)c1,2.66318785
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.715454163
615747,615-74-7,Cc1ccc(Cl)c(O)c1,2.404337524
624180,624-18-0,Nc1ccc(N)cc1,3.034002429
626608,626-60-8,Clc1cccnc1,2.180114401
635223,635-22-3,Nc1ccc(Cl)c([N+](=O)[O-])c1,3.236967816
636475,636-47-5,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,3.825279128
637490,637-49-0,CCCC1CCCCN1,3.354856625
640197,640-19-7,NC(=O)CF,4.137081417
644644,644-64-4,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,4.426444386
670382,670-38-2,CNC(=O)Oc1cc(C)c(Cl)c(C)c1Cl,3.394642518
671045,671-04-5,CNC(=O)Oc1cc(C)c(C)cc1Cl,5.079311352
672060,672-06-0,CCc1cc(OC(=O)NC)c(Cl)c(C)c1Cl,4.304583316
673007,673-00-7,CNC(=O)Oc1cc(C)c(Cl)c(C)c1,3.329731355
673198,673-19-8,CCC(C)c1cccc(OC(=O)NC)c1,4.653784902
694597,694-59-7,O[n+]1ccccc1,1.982764059
732116,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.246235889
759944,759-94-4,CCCN(CCC)C(=O)SCC,3.277205672
786196,786-19-6,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4.786947794
869249,869-24-9,CCN(CC)CCCl,3.509132087
873745,873-74-5,N#Cc1ccc(N)cc1,3.697644944
900958,900-95-8,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.611800816
926067,926-06-7,CC(C)OS(C)(=O)=O,2.682588435
944229,944-22-9,CCOP(=S)(CC)Sc1ccccc1,4.391529648
947024,947-02-4,CCOP(=O)(N=C1SCCS1)OCC,5.03230417
953173,953-17-3,COP(=S)(OC)SCSc1ccc(Cl)cc1,4.242791189
956901,956-90-1,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,4.638121841
1003403,1003-40-3,Nc1ccncc1,4.598919729
1003674,1003-67-4,Cc1cc[n+](O)cc1,2.041929299
1068571,1068-57-1,CC(=O)NN,3.24440611
1079330,1079-33-0,CNC(=O)Oc1cccc2sccc12,4.066082919
1121308,1121-30-8,On1ccccc1=S,3.104377841
1122629,1122-62-9,CC(=O)c1ccccn1,2.083283984
1124330,1124-33-0,O=[N+]([O-])c1cc[n+]([O-])cc1,4.243341948
1129415,1129-41-5,CNC(=O)Oc1cccc(C)c1,3.217989011
1137413,1137-41-3,Nc1ccc(C(=O)c2ccccc2)cc1,2.545252073
1174830,1174-83-0,COP(=S)(OC)Oc1ccc(S(=O)(=O)c2ccc(OP(=S)(OC)OC)cc2)cc1,4.074395834
1178296,1178-29-6,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC)C1OC,3.631980217
1563662,1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,5.721645766
1688717,1688-71-7,CCCC(=O)c1ccc(N)cc1,3.587460923
1689834,1689-83-4,N#Cc1cc(I)c(O)c(I)c1,3.859709743
1689845,1689-84-5,N#Cc1cc(Br)c(O)c(Br)c1,3.743376477
1689992,1689-99-2,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,3.362389833
1754581,1754-58-1,CNP(=O)(NC)Oc1ccccc1,4.187472994
1757182,1757-18-2,CCOP(=S)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,3.699711725
1783819,1783-81-9,CSc1cccc(N)c1,2.268649724
1933502,1933-50-2,CC(=O)Nc1ccc(N=NN(C)C)cc1,3.566203825
1943799,1943-79-9,CNC(=O)Oc1ccccc1,3.179451248
1990905,1990-90-5,Cc1cnccc1N,4.653791187
2015283,2015-28-3,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.101208811
2032599,2032-59-9,CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.619637945
2032657,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,4.972575008
2104645,2104-64-5,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,5.134870792
2116656,2116-65-6,c1ccc(Cc2ccncc2)cc1,3.97319715
2152343,2152-34-3,N=C1NC(=O)C(c2ccccc2)O1,3.24594428
2179251,2179-25-1,CNC(=O)Oc1cc(C)c(S(C)(=O)=O)c(C)c1,5.155185848
2213845,2213-84-5,CCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl,3.754954134
2237301,2237-30-1,N#Cc1cccc(N)c1,2.322656975
2275232,2275-23-2,CNC(=O)C(C)SCCSP(=O)(OC)OC,3.914332577
2589653,2589-65-3,CNC(=O)Oc1ccc(Cl)c(C)c1,3.300241035
2592623,2592-62-3,CC1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.888647807
2620533,2620-53-3,CNC(=O)Oc1ccc(Cl)cc1,3.268601371
2622266,2622-26-6,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,3.562889758
2631370,2631-37-0,CNC(=O)Oc1cc(C)cc(C(C)C)c1,4.617572729
2631405,2631-40-5,CNC(=O)Oc1ccccc1C(C)C,3.536374198
2635101,10-01-35,CNC(=O)Oc1cc(C)c(S(C)=O)c(C)c1,3.759329629
2636262,2636-26-2,COP(=S)(OC)Oc1ccc(C#N)cc1,4.908885172
2655143,2655-14-3,CNC(=O)Oc1cc(C)cc(C)c1,3.378322786
2668920,2668-92-0,CCOP(=S)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,4.312285543
2675776,2675-77-6,COc1cc(Cl)c(OC)cc1Cl,1.617117816
2686999,2686-99-9,CNC(=O)Oc1cc(C)c(C)c(C)c1,4.286110513
2820511,2820-51-1,CN1CCCC1c1cccnc1,3.959727228
2864611,2864-61-1,CCNP(=O)(OCC)Oc1cc(Cl)c(Cl)cc1Cl,4.141647016
2865705,2865-70-5,Cl[As]1c2ccccc2Oc2ccccc21,3.444934344
2883989,2883-98-9,CC=Cc1cc(OC)c(OC)cc1OC,2.443538345
2917193,2917-19-3,CCC(C)c1ccc(Cl)c(OC(=O)NC)c1,5.00309775
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.845830759
2984658,2984-65-8,CCP(=S)(OC)Sc1ccc(C)cc1,4.643341621
3054215,3054-21-5,S=P(NC1CCCCC1)(N1CC1)N1CC1,4.389754199
3070164,3070-16-4,COP(=S)(OC)Oc1ccc(SC)cc1,5.723140304
3356578,3356-57-8,COP(=S)(OC)Oc1ccc(SSc2ccc(OP(=S)(OC)OC)cc2)cc1,5.521613977
3383968,3383-96-8,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,4.163682119
3535759,3535-75-9,Nc1cc[n+]([O-])cc1,3.112431501
3544249,3544-24-9,NC(=O)c1cccc(N)c1,2.134030405
3566005,3566-00-5,CNC(=O)Oc1ccc(SC)c(C)c1,3.72281073
3568567,3568-56-7,CCOP(S)(=NC)Oc1ccc(SC)c(C)c1,5.209184253
3570465,3570-46-5,CCCCNCC1COc2cccc(OCC)c2O1,3.423824002
3750434,3750-43-4,CN(C)P(=S)(N1CC1)N1CC1,4.157727094
3861470,3861-47-0,CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,2.696455994
3971899,3971-89-9,CNC(=O)Oc1ccc(C)c(C)c1C,3.662861223
3983457,3983-45-7,COP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl,4.229711699
4104147,4104-14-7,CC(N)=NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,4.951033216
4114312,4114-31-2,CCOC(=O)NN,3.642739929
4410484,4410-48-4,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,3.263383367
4460860,4460-86-0,COc1cc(OC)c(OC)cc1C=O,2.667390979
4806875,4806-87-5,CC(N)Cc1ccc(Cl)c(Cl)c1,3.434781741
4824786,4824-78-6,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,4.283801879
5221421,5221-42-1,CC(=O)Nc1ccncc1,4.020087052
5234684,5234-68-4,CC1=C(C(=O)Nc2ccccc2)SCCO1,3.746324242
5581408,5581-40-8,CN(C)C1CC(c2ccccc2)c2ccccc21,3.500320654
5598130,5598-13-0,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,4.39463619
5796145,5796-14-5,NC(Cc1ccc(O)c(O)c1)C(=O)O,3.294884887
5836102,10-02-36,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.132538881
5902523,5902-52-3,COP(=N)(S)Oc1ccc(C(C)(C)C)cc1Cl,3.592925482
6358641,6358-64-1,COc1cc(Cl)c(OC)cc1N,3.27329302
6392467,6392-46-7,C=CCN(CC=C)c1c(C)cc(OC(=O)NC)cc1C,4.324383774
6436051,05-01-36,CCOP(=S)(OCC)SC1CCC2C=CCC1S2,3.636117301
6923224,6923-22-4,CNC(=O)C=C(C)OP(=O)(OC)OC,5.445536096
6988212,6988-21-2,CNC(=O)Oc1ccccc1C1OCCO1,4.238158958
7149793,7149-79-3,CC(=O)Nc1ccc(C)c(Cl)c1,5.150019202
7780338,7780-33-8,CCNP(=S)(OC)Oc1ccc(C(C)(C)C)cc1Cl,2.729448285
7786347,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,5.20440877
10331574,10331-57-4,O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O,4.423994056
10453868,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,3.654429405
12712286,12712-28-6,OCC(CO)(CCl)CCl,4.857932755
13171216,13171-21-6,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,5.223827447
13194484,13194-48-4,CCCSP(=O)(OCC)SCCC,4.76015376
13822054,13822-05-4,Clc1ccc(C2NCCNCc3ccccc32)cc1,3.435810933
14285439,14285-43-9,CNC(=O)Oc1ccc(SC)c(C(C)C)c1,5.123742782
14458958,14458-95-8,O[N+]1=NC2CC1C1C2C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,4.18627471
14816183,14816-18-3,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,4.724922761
15662336,15662-33-6,CC1CCC2(O)C3(C)CC4(O)OC2(C1O)C1(O)C3(O)C(OC(=O)c2ccc[nH]2)C(O)(C(C)C)C41C,5.442913794
15879933,15879-93-3,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,4.536458835
15942480,15942-48-0,CCC(C)(C)c1ccc(Cl)c(OC(=O)NC)c1,4.453564642
16752775,16752-77-5,CNC(=O)ON=C(C)SC,4.210088334
17467151,17467-15-1,Nc1nc(-c2ccccc2)ns1,3.498805823
17576419,17576-41-9,CCNC(=O)Oc1ccc([N+](=O)[O-])cc1,3.447548721
17804352,17804-35-2,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,3.462881443
22248799,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,3.563438366
23103982,23103-98-2,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,3.899986385
23505411,23505-41-1,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,5.045836525
24303875,24303-87-5,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)c(C)c2)cc1C,4.995225273
24353615,24353-61-5,COP(=N)(S)Oc1ccccc1C(=O)OC(C)C,5.586276662
29118874,29118-87-4,CNC(=O)ON=C(C)SCCC#N,4.678425596
30560191,30560-19-1,COP(=O)(NC(C)=O)SC,3.116723939
33921129,33921-12-9,Nc1ccccc1,2.219348624
34067033,34067-03-3,CCC(C(=O)N1CCCC1C)(c1ccccc1)c1ccccc1,3.61269487
35335605,35335-60-5,CCP(N)(=S)Oc1ccc(SC)c(C)c1,4.91207585
35944640,35944-64-0,Cc1ccc(N)cc1I,4.987241593
35944731,35944-73-1,O=S(=O)(F)C1CCC(S(=O)(=O)F)C1,5.255726977
35944742,35944-74-2,COC(=O)c1cncn1C(C)c1ccccc1,3.857081725
35944797,35944-79-7,CCOP(=O)(NC(C)CC)Oc1cc(Cl)c(Cl)cc1Cl,3.681970481
35944822,35944-82-2,CCNP(=O)(O)Oc1cc(Cl)c(Cl)cc1Cl,4.735394991
35944833,35944-83-3,CC(C)NP(=O)(S)Oc1cc(Cl)c(Cl)cc1Cl,4.679417513
35944844,35944-84-4,CNP(=O)(S)OC(C)C,3.228364423
35944855,35944-85-5,O=P(O)(O)OC(=CCl)c1ccc(Cl)cc1Cl,4.976958631
35944866,35944-86-6,CCOP(=O)(OCC)OC(=CSCC)c1ccc(Cl)cc1,4.545064537
35944888,35944-88-8,CCOP(=O)(OCC)SC(C#N)=NOc1ccccc1,4.992198548
36031660,36031-66-0,CCNP(=O)(O)Oc1ccc(Cl)cc1Cl,4.556386135
37893020,37893-02-0,FC(F)(F)N=C1SC(=Nc2ccccc2)N(c2ccccc2)C1=NC(F)(F)F,2.619458569
50335096,50335-09-6,CCN(CC)Cc1cc(Cl)cc(Cl)c1OP(O)(=S)CC,4.928511678
51308544,51308-54-4,CCCCSC(=Nc1cccnc1)SCc1ccc(C(C)(C)C)cc1,1.571246347
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.468368358
55285148,55285-14-8,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,4.165442943
55512339,55512-33-9,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,1.578553259
60168889,60168-88-9,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,3.219062955
63333357,63333-35-7,CN(c1c(Br)cc(Br)cc1Br)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,5.099119662
63815532,63815-53-2,CCOP(C)(S)=NOc1cccc2ccccc12,4.193923472
64050540,64050-54-0,COP(=O)(OC)ON1C(=O)c2cccc3cccc(c23)C1=O,5.126598096
67747095,67747-09-5,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,2.805110173
69581335,69581-33-5,O=C1OCCC1N(C(=O)C1CC1)c1cccc(Cl)c1,2.145698182
75736333,75736-33-3,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,1.540258431
78491028,78491-02-8,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,2.092207389
100784201,100784-20-1,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,2.286124996
1193028,1193-02-8,Nc1ccc(S)cc1,3.472278002
1329868,1329-86-8,OCC(Br)(Br)Br,2.951726283
1397940,1397-94-0,CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,5.040311922
2348825,2348-82-5,COC1=CC(=O)c2ccccc2C1=O,2.774890997
