RTECS_ID,CAS_RN,SMILES,guinea pig_intravenous_LD50
26342665,26342-66-5,CC1(O)CC23CC(O)C4(O)C(C5OC5C4(C)C)C(C)(O)C2CCC1C3O,6.420274099
26807658,26807-65-8,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,3.128724659
28894737,28894-73-7,CC(O)C(=O)OC1C2CCC3C(C)(O)C4C5OC5C(C)(C)C4(O)C(O)CC13CC2(C)O,7.342948451
28894748,28894-74-8,CC1(O)CC23CC1CCC2C(C)(O)C1C2OC2C(C)(C)C1(O)C(O)C3O,6.612159625
30272174,30272-17-4,C=C1C2CCC3C(OC(C)=O)C2(CC(O)C2(O)C1CC(O)C2(C)C)CC3(C)O,5.104694121
30460345,30460-34-5,CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(OC(C)=O)CC13CC2(C)O,5.259651208
31136615,31136-61-5,CC(=O)OC1C(O)C2(O)C(C3OC3C2(C)C)C(C)(O)C2CCC3CC12CC3(C)O,6.011260576
34206605,34206-60-5,CC1(O)CC23C(O)C1CCC2(O)C(C)(O)C1C2OC2C(C)(C)C1(O)C(O)C3O,5.602567819
35607137,35607-13-7,OC(CNCCNCC(O)COc1ccccc1)COc1ccccc1,4.253653792
36499657,36499-65-7,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3.639670801
38455902,38455-90-2,CC(C(O)c1ccccc1)N(C)C,3.181608653
52794975,52794-97-5,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O,5.564411567
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,3.226878597
54781612,54781-61-2,CC1(O)CC23CC1CCC2C(C)(O)C1CC(O)C(C)(C)C1(O)C(O)C3,6.34548033
54782557,54782-55-7,CN1CCC2(C)CC(Cc3ccc(O)cc32)C1,3.429750403
56395665,56395-66-5,CCCn1c(=O)c2c(ncn2CCCCC(C)O)n(C)c1=O,3.181592983
56436294,56436-29-4,NCCc1nnc(N)[nH]1,4.311928091
57495144,57495-14-4,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.752108229
57808669,57808-66-9,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,3.996870742
58581898,58581-89-8,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,4.220229783
60607343,60607-34-3,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,4.268256364
61012337,61012-33-7,CNCCc1nnc(N)[nH]1,3.988399023
65277421,65277-42-1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.358098318
69598750,69598-75-0,CN1C(=O)C(c2cc(Cl)c(O)c(Cl)c2)NC(=O)C2NC(=O)C(c3cc(Cl)c(O)c(Cl)c3)NC(=O)C(NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4cc(ccc34)-c3cc2cc(c3O)Oc2ccc(cc2)CC1C(=O)NC(C(=O)O)c1ccc(O)cc1,4.822424068
73954173,73954-17-3,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,4.395203597
84849092,84849-09-2,CCCC(=O)OC1C2CCC3(O)C(C)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.564840575
84849105,84849-10-5,CCCCC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.427184331
84849116,84849-11-6,CCCCCC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.139352097
84849138,84849-13-8,CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3OC(=O)CCCl,6.433247294
84849149,84849-14-9,CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3OC(=O)C1CCCCC1,6.190460024
84849150,84849-15-0,CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3OC(=O)c1ccccc1,5.545988475
84849161,84849-16-1,CC(C)(C)C(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.101330752
84863605,84863-60-5,CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3OC1OC(CO)C(O)C(O)C1O,4.948271928
84893936,84893-93-6,CC(O)C(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.742871377
97174793,97174-79-3,O=C1c2ccccc2C(=O)N1CCc1ccccn1,3.401870772
102612931,102612-93-1,O=C1CSC(c2ccc3c(c2)OCO3)N1CCNC1CCCCC1,4.286890398
102612942,102612-94-2,CC(C)CNCCCN1C(=O)CSC1c1ccc2c(c1)OCO2,4.225899573
1401690,1401-69-0,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,5.359888581
2404184,2404-18-4,O=C(OCCN1CCCCC1)C(c1ccccc1)N1CCCCC1,3.401863373
3253621,3253-62-1,CC1OC(OC2CCC3(CO)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.61535402
3321800,3321-80-0,CN1CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4.281979304
3625181,3625-18-1,CCC1(C(C)C=C(C)C)C(=O)NC(=O)NC1=O,4.034677669
3688800,3688-80-0,COc1ccc(C(=Cc2ccc(C(=N)N)cc2)c2ccc(OC)cc2)cc1,4.192689844
3689734,3689-73-4,CCN(CC)CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,4.369891503
4678459,4678-45-9,CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3O,5.96671181
4720096,2009/6/20,CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,5.501504815
65860380,65860-38-0,CC(C)NC1CCc2c(ccc(O)c2CO)C1O,3.347158976
67293678,67293-67-8,CCOP(=O)(C=Cc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,5.34700762
92413995,92413-99-5,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,1.791369194
92546764,92546-76-4,CC(C(=O)c1ccc(Cl)cc1Cl)N(C)C,3.391176903
