RTECS_ID,CAS_RN,SMILES,dog_intravenous_LDLo
545551,545-55-1,O=P(N1CC1)(N1CC1)N1CC1,5.604969089
555771,555-77-1,ClCCN(CCCl)CCCl,5.310752772
565366,565-36-6,Nc1cccc(S(=O)(=O)Nc2ncc(Cl)cn2)c1,3.454430178
576681,576-68-1,OC(CNCCCl)C(O)C(O)C(O)CNCCCl,4.603773783
584087,584-08-7,O=C(O)O,2.491529775
589924,589-92-4,CC1CCC(=O)CC1,2.481682739
595211,595-21-1,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)C1O,6.016630532
603509,603-50-9,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,3.955924552
605696,605-69-6,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,4.245674051
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.588580926
621590,621-59-0,COc1ccc(C=O)cc1O,2.014951768
624180,624-18-0,Nc1ccc(N)cc1,3.803553508
627134,627-13-4,CCCO[N+](=O)[O-],2.720543794
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,7.03450888
637490,637-49-0,CCCC1CCCCN1,3.706652932
645056,645-05-6,CN(C)c1nc(N(C)C)nc(N(C)C)n1,3.322808295
685916,685-91-6,CCN(CC)C(C)=O,2.061361992
738647,738-64-7,O=Nc1ccc(NNC(=O)c2cc[n+](O)cc2)c(=O)cc1,4.157237601
738705,738-70-5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,3.508638933
751984,751-98-4,CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.549426718
757584,757-58-4,CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,5.590425973
820757,820-75-7,[N-]=[N+]=CC(=O)NCC(=O)NN,3.605202795
857954,857-95-4,NC(Cc1ccc(Oc2ccc(N(CCCl)CCCl)cc2)cc1)C(=O)O,4.423029492
912607,912-60-7,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,3.752480815
956901,956-90-1,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,3.687339864
1030064,1030-06-4,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,5.006062225
1076228,1076-22-8,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,2.743352951
1095905,1095-90-5,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.075621349
1165486,1165-48-6,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,5.509729272
1465265,1465-26-5,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,5.851123189
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.426600554
2126707,2126-70-7,COc1ccc(C(=O)C(Br)=CC(=O)O)cc1,3.153956558
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,3.370412626
2619978,2619-97-8,O=C(O)CN(CCCl)CCCl,5.301171118
2691410,2691-41-0,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3.869460544
2799077,07-07-99,NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,3.38439165
2862160,2862-16-0,O=c1nc[nH]c2c1ccn2C1OC(CO)C(O)C1O,3.745661851
2885394,2885-39-4,CC(=O)OC1(C)CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,5.566908655
2931900,2931-90-0,COc1cc(C=O)cc(C=O)c1O,2.687454238
2954509,2954-50-9,NC1CCCc2ccccc21,4.167969763
3374047,04-07-74,CC(C(=O)O)N(CCCl)CCCl,5.233690426
3570589,3570-58-9,CS(=O)(=O)OCCCl,3.695169634
3737095,09-05-37,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.003808184
3778732,3778-73-2,O=P1(NCCCl)OCCCN1CCCl,3.597244639
3819009,3819-00-9,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,4.108250985
4005510,4005-51-0,Nc1nncs1,2.828805926
4213405,4213-40-5,Cc1cc(N(CCCl)CCCl)ccc1N=Nc1ccccc1C(=O)O,5.60237417
4213449,4213-44-9,CC(CCCN(CCCl)CCCl)Nc1ccnc2cc(Cl)ccc12,6.288662749
4238668,4238-66-8,Cc1c2ccncc2cc2c1[nH]c1ccccc12,3.490961772
4386792,4386-79-2,CC1OCC(C[N+](C)(C)C)O1,8.204762805
4410484,4410-48-4,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.204173202
5107493,5107-49-3,C=CCOc1cc(C(F)(F)F)ccc1C(=O)NCCN(CC)CC,3.934974147
5373422,5373-42-2,COc1cc(CC2c3cc(OC)c(OC)cc3CCN2C)c(Oc2cc3c(cc2OC)-c2c(OC)c(OC)cc4c2C(C3)N(C)CC4)cc1OC,4.046559362
5421465,5421-46-5,O=C(O)CS,2.26537921
5486771,5486-77-1,C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,3.793545938
5746134,5746-13-4,O=C(O)CC(O)(CC(=O)O)C(=O)O,3.539286376
5980336,5980-33-6,Cc1cc(=O)oc2cc(O)ccc12,2.794147984
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,4.37539589
6155573,6155-57-3,O=C1NS(=O)(=O)c2ccccc21,1.864957012
6708696,6708-69-6,C/C=N/c1nc(N)nc(/N=C/C)n1,5.648845271
6714290,6714-29-0,c1cc2n(n1)CCN2,2.435892123
6742127,12-07-42,Nc1ncnc2c(C3OC(CO)C(O)C3O)[nH]nc12,4.125879593
7059247,7059-24-7,COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(OC(C)=O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1,6.772049087
7414837,7414-83-7,CC(O)(P(=O)(O)O)P(=O)(O)O,3.80877416
9014022,2002/2/14,CNC1C(OC2C(OC(=O)c3c(O)ccc4c(C)cc(OC)cc34)C=C3C#CC4(C5COC(=O)O5)OC4C#CCC32)OC(C)C(O)C1O,6.519604885
10176393,10176-39-3,CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,5.699441336
10328628,10328-62-8,CCN(CC)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,4.25338405
10330673,10330-67-3,C=CCOc1cc(Cl)ccc1C(=O)NCCN(C)C,3.752464863
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,4.142093682
10380775,10380-77-5,C[N+]1(CC2Cc3cc(C(=O)c4ccc5c(c4)OC(C[N+]4(C)CCCCC4)C5)ccc3O2)CCCCC1,6.088745446
10453868,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,3.13155066
11003831,11003-83-1,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)C(C)OC(C)=O)CCC3(C)C5CC(OC(C)=O)C4C21O,5.823880298
11015375,11015-37-5,C=C(CC=C(C)CCC=C(C)C)CCC(C)(C)C=CCCC(C)=CCCOC(=O)C(O)COP(=O)(O)OC1OC(C(=O)O)C(C)(O)C(OC(N)=O)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(OC2OC(C)C(OC3OC(C(=O)NC4C(=O)CCC4=O)C(O)C(O)C3O)C(O)C2NC(C)=O)C(O)C1NC(C)=O,3.425319248
13010474,13010-47-4,O=NN(CCCl)C(=O)NC1CCCCC1,4.66968685
13365383,13365-38-3,CN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,4.797134531
13495095,13495-09-5,CCOC(=O)C1(c2ccccc2)CCN(CCCNc2ccccc2)CC1,3.973015297
13551923,13551-92-3,O=[N+]([O-])c1nccn1CC(O)CO,2.016928929
13830052,13830-05-2,CCOC(=O)C1(c2ccccc2)CCN(CCNc2ccccc2)CC1,3.956067409
13909029,13909-02-9,O=NN(CCCl)C(=O)NC1CCC(=O)NC1=O,4.942261111
14008798,14008-79-8,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,4.086718205
14062238,14062-23-8,CCOC(=O)Cc1ccc(-c2ccccc2)cc1,2.982817377
14709627,14709-62-7,N#C[Fe](C#N)(C#N)(C#N)(C#N)N=O,3.940584468
15879933,15879-93-3,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,3.411520099
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,3.755070285
17433317,17433-31-7,CC(=O)NNC(=O)c1ccccn1,3.253287108
19072572,19072-57-2,CC[N+]1(CC)C(C)CCCC1C,3.83332564
19351203,19351-20-3,CCN(CC)C(=O)c1cccc(OC)c1O,2.757769656
19351214,19351-21-4,CCN(CC)C(=O)c1ccc(OC)c(O)c1,2.485511403
19590853,19590-85-3,COc1cc(C(=O)NC2CCCC3CN(C)CCC32)cc(OC)c1OC,3.957212076
19767454,19767-45-4,O=S(=O)(O)CCS,2.550842659
20073807,20073-80-7,O=C(NO)c1ccc(C(=O)NO)cc1,2.842365772
20724769,20724-76-9,NCCCCCNCCSP(=O)(O)O,2.782259366
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.591592677
21755668,21755-66-8,c1ccc(N(CCN2CCCCC2)Cc2ccccn2)cc1,4.072514586
21898191,21898-19-1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,3.789572878
22254246,22254-24-6,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,4.22071463
22661967,22661-96-7,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,3.444230588
23191755,23191-75-5,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C(F)(F)F,5.754122173
23239410,23239-41-0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,1.752469727
23255698,23255-69-8,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,5.595196056
23261203,23261-20-3,OC(C1CO1)C(O)C1CO1,3.960655064
25332096,25332-09-6,CN(C)CCC(c1ccccc1)c1ccccn1,3.403120521
26629867,26629-86-7,CC(C)N1CCOC(c2cccc(C(F)(F)F)c2)C1,4.658485203
28046039,28046-03-9,C=CCOc1cc(Cl)ccc1C(=O)NCCN1CCOCC1,3.335535458
28046040,28046-04-0,C=CCOc1cc(Cl)ccc1C(=O)NCCN1CCN(C)CC1,3.35263395
28046051,28046-05-1,C=CCOc1cc(Cl)ccc1C(=O)NCCN1CCCC1,4.012568694
28046073,28046-07-3,C=CCOc1cc(Cl)ccc1C(=O)NCCN,3.451815422
28395031,28395-03-1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,5.862635775
29546596,29546-59-6,CC[N+](C)(CC)CCOC(C)(c1ccccc1)C1CC2C=CC1C2,3.850043834
29622488,29622-48-8,CN(C)CCCNc1nc(-c2cccc(C(Cl)(Cl)Cl)c2)nc(C(Cl)(Cl)Cl)n1,3.490625351
30194639,30194-63-9,Nc1ccc(C(=O)NCCN2CCN(c3ccccn3)CC2)cc1,4.813468898
31329585,31329-58-5,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)C(O)C(O)C7C(CN8CC(C)CCC8C7(C)O)C6CC53OC24O)cc1OC,4.821014094
32954588,32954-58-8,CC(O)CCC(=O)c1ccoc1,3.845594093
33069624,33069-62-4,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,4.755324909
33178868,33178-86-8,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,3.992293176
33185874,33185-87-4,CC1CCC(NC(=O)N(CCCl)N=O)CC1,4.247843555
33286225,33286-22-5,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,4.015492832
33921129,33921-12-9,Nc1ccccc1,2.668054944
33986117,33986-11-7,NCCCCCNCCSSCCNCCCCCN,3.633586945
34758844,34758-84-4,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,3.847726291
34920644,34920-64-4,Oc1ccc(C(O)CCNCCCSc2ccccc2)cc1,3.688767447
35285699,35285-69-9,CCCOC(=O)c1ccc(O)cc1,3.326343091
35543249,35543-24-9,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,3.788719731
36417160,36417-16-0,O=C1C(O)=C(CC=C(Cl)Cl)C(=O)c2ccccc21,3.713967883
36637191,36637-19-1,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,4.441575747
40202399,40202-39-9,O=[N+]([O-])c1cc(C2CCCC2)c(O)c([N+](=O)[O-])c1,4.401789853
41451756,41451-75-6,COC(=O)C12OCC34C(CC5C(C)=C(O)C(=O)CC5(C)C3C(O)C1O)OC(=O)C(OC(=O)C=C(C)C(C)C)C24,6.040273924
41992227,41992-22-7,CC[Ge]1(CC)CCC2(CCN(CCCN(C)C)C2)CC1,3.930820455
