RTECS_ID,CAS_RN,SMILES,rabbit_skin_LD50
74975,74-97-5,ClCBr,0.810850578
75058,1975/5/8,CC#N,1.312314904
75070,75-07-0,CC=O,1.094972227
75127,1975/12/7,NC=O,0.423159103
75183,75-18-3,CSC,1.094380277
75310,75-31-0,CC(C)N,2.191892057
75650,75-65-0,CC(C)(C)O,1.568922993
75810,75-81-0,ClC(Cl)(Br)CBr,2.710543831
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,2.873112416
76506,76-50-6,CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,1.678283414
76879,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,2.360588681
77065,1977/6/5,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,2.238521558
77474,77-47-4,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,2.802332925
77532,77-53-2,CC1CCC2C(C)(C)C3CC12CCC3(C)O,1.648110098
77543,77-54-3,CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,1.723306229
77736,77-73-6,C1=CC2C3C=CC(C3)C2C1,1.415387453
77792,77-79-2,O=S1(=O)CC=CC1,1.373489451
77816,77-81-6,CCOP(=O)(C#N)N(C)C,4.811920695
77930,77-93-0,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.742387303
78193,78-19-3,C=CC1OCC2(CO1)COC(C=C)OC2,1.428112286
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,1.998081351
78342,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.730069421
78353,78-35-3,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,1.651944455
78375,78-37-5,C=CC(C)(CCC=C(C)C)OC(=O)C=Cc1ccccc1,1.754958061
78422,78-42-2,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.337101695
78433,78-43-3,O=P(OCC(Cl)CCl)(OCC(Cl)CCl)OCC(Cl)CCl,1.333353554
78488,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,3.510879294
78579,78-57-9,COP(=S)(OC)SCc1nc(N)nc(N)n1,2.546084377
78693,78-69-3,CCC(C)(O)CCCC(C)C,1.500469756
78706,78-70-6,C=CC(C)(O)CCC=C(C)C,1.439270758
78820,78-82-0,CC(C)C#N,2.538492045
78831,78-83-1,CC(C)CO,1.338474071
78933,78-93-3,CCC(C)=O,1.046402421
78955,78-95-5,CC(=O)CCl,2.817039981
79016,1979/1/6,ClC=C(Cl)Cl,0.817529012
79083,1979/8/3,O=C(O)CBr,3.365425478
79094,1979/9/4,CCC(=O)O,1.654851263
79196,79-19-6,NNC(N)=S,1.617281578
79209,79-20-9,COC(C)=O,1.170725107
79221,79-22-1,COC(=O)Cl,1.122938028
79414,79-41-4,C=C(C)C(=O)O,2.235982703
79527,79-52-7,O=C(C(F)(F)Cl)C(F)(Cl)Cl,2.446724729
79787,79-78-7,C=CCCC(=O)/C=C/C1C(C)=CCCC1(C)C,1.667204447
79925,79-92-5,C=C1C2CCC(C2)C1(C)C,1.736358251
80002,80-00-2,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1,2.40264305
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1.792928972
80091,1980/9/1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,1.387693605
80251,80-25-1,CC(=O)OC(C)(C)C1CCC(C)CC1,1.59836585
80386,80-38-6,O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,2.128271611
80466,80-46-6,CCC(C)(C)c1ccc(O)cc1,1.914470094
80591,80-59-1,CC=C(C)C(=O)O,1.301537823
80626,80-62-6,C=C(C)C(=O)OC,1.301537823
80637,80-63-7,C=C(Cl)C(=O)OC,2.649749408
81141,81-14-1,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,1.468800592
81152,81-15-2,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],1.297055441
81210,81-21-0,C1C2OC2C2C1C1CC2C2OC12,1.312293745
81845,81-84-5,O=C1OC(=O)c2cccc3cccc1c23,1.990628222
83590,83-59-0,CCCOC(=O)C1c2cc3c(cc2CC(C)C1C(=O)OCCC)OCO3,2.985183285
83669,83-66-9,COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],2.127540495
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2.595962232
84515,84-51-5,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,1.072378586
85223,85-22-3,CCc1c(Br)c(Br)c(Br)c(Br)c1Br,1.796442499
85347,85-34-7,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,2.220915825
85449,85-44-9,O=C1OC(=O)c2ccccc21,1.170604907
85687,85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.494662366
86260,86-26-0,COc1ccccc1-c1ccccc1,1.566409206
86306,86-30-6,O=NN(c1ccccc1)c1ccccc1,1.397337924
86522,86-52-2,ClCc1cccc2ccccc12,1.946073812
86862,86-86-2,NC(=O)Cc1cccc2ccccc12,1.966671952
86873,86-87-3,O=C(O)Cc1cccc2ccccc12,1.770003
87194,87-19-4,CC(C)COC(=O)c1ccccc1O,4.589346306
87296,87-29-6,Nc1ccccc1C(=O)OCC=Cc1ccccc1,1.7046669
87683,87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.416244303
88120,88-12-0,C=CN1CCCC1=O,2.297697996
88186,88-18-6,CC(C)(C)c1ccccc1O,1.304574376
88415,88-41-5,CC(=O)OC1CCCCC1C(C)(C)C,1.59836585
88733,88-73-3,O=[N+]([O-])c1ccccc1Cl,2.595374955
88755,88-75-5,O=[N+]([O-])c1ccccc1O,1.243537848
88846,88-84-6,CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,1.611419514
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.477510136
89576,89-57-6,Nc1ccc(O)c(C(=O)O)c1,1.486110131
89725,89-72-5,CCC(C)c1ccccc1O,1.431655857
89758,89-75-8,O=C(Cl)c1ccc(Cl)cc1Cl,1.821411943
90028,1990/2/8,O=Cc1ccccc1O,1.60967621
90051,1990/5/1,COc1ccccc1O,1.431150411
90153,90-15-3,Oc1cccc2ccccc12,2.214401263
90175,90-17-5,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,2.126357104
90426,90-42-6,O=C1CCCCC1C1CCCCC1,1.363879445
90879,90-87-9,COC(OC)C(C)c1ccccc1,1.556898041
91010,91-01-0,OC(c1ccccc1)c1ccccc1,1.566409206
91203,91-20-3,c1ccc2ccccc2c1,0.806769942
91510,91-51-0,COC(=O)c1ccccc1/N=C/C(C)Cc1ccc(C(C)(C)C)cc1,1.829256159
91623,91-62-3,Cc1ccc2ncccc2c1,1.456939652
91872,91-87-2,CCCCCC(=Cc1ccccc1)C(OC)OC,1.696122139
92488,92-48-8,Cc1ccc2oc(=O)ccc2c1,1.505616594
92499,92-49-9,CCN(CCCl)c1ccccc1,2.963036604
92524,92-52-4,c1ccc(-c2ccccc2)cc1,1.488280444
92535,92-53-5,c1ccc(N2CCOCC2)cc1,2.656470873
92886,92-88-6,Oc1ccc(-c2ccc(O)cc2)cc1,2.019582998
93049,1993/4/9,COc1ccc2ccccc2c1,1.500236475
93152,93-15-2,C=CCc1ccc(OC)c(OC)c1,1.944558216
93163,93-16-3,CC=Cc1ccc(OC)c(OC)c1,1.552013239
93185,93-18-5,CCOc1ccc2ccccc2c1,1.537131232
93287,93-28-7,C=CCc1ccc(OC(C)=O)c(OC)c1,1.615405001
93298,93-29-8,CC=Cc1ccc(OC(C)=O)c(OC)c1,1.615405001
93538,93-53-8,CC(C=O)c1ccccc1,1.42871131
93721,93-72-1,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,1.925426517
93925,93-92-5,CC(=O)OC(C)c1ccccc1,1.516413728
94462,94-46-2,CC(C)CCOC(=O)c1ccccc1,1.584914416
94473,94-47-3,O=C(OCCc1ccccc1)c1ccccc1,1.655666569
94484,94-48-4,CC(C)=CCCC(C)=CCOC(=O)c1ccccc1,1.713256952
94586,94-58-6,CCCc1ccc2c(c1)OCO2,1.516413728
94597,94-59-7,C=CCc1ccc2c(c1)OCO2,1.511048714
94804,94-80-4,CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.141680186
94962,94-96-2,CCCC(O)C(CC)CO,1.864006484
95067,1995/6/7,C=C(Cl)CSC(=S)N(CC)CC,2.007425758
95294,95-29-4,CC(C)N(Sc1nc2ccccc2s1)C(C)C,2.124561279
95318,95-31-8,CC(C)(C)NSc1nc2ccccc2s1,1.477451135
95330,95-33-0,c1ccc2sc(SNC3CCCCC3)nc2c1,1.522472156
95487,95-48-7,Cc1ccccc1O,2.084596359
95501,95-50-1,Clc1ccccc1Cl,1.167329152
95965,95-96-5,CC1OC(=O)C(C)OC1=O,1.857712338
96128,1996/12/8,ClCC(Br)CBr,2.22739817
96139,96-13-9,OCC(Br)CBr,2.83854623
96333,96-33-3,C=CC(=O)OC,1.840481579
96479,96-47-9,CC1CCCO1,1.281962102
96491,96-49-1,O=C1OCCO1,1.46766729
97007,97-00-7,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,3.192595328
97165,97-16-5,O=S(=O)(Oc1ccc(Cl)cc1Cl)c1ccccc1,2.50855264
97176,97-17-6,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,1.720377085
97610,97-61-0,CCCC(C)C(=O)O,1.667116595
97643,97-64-3,CCOC(=O)C(C)O,1.373397552
97814,97-81-4,CCOC(=O)C1CC2CC1C1OC21,1.711590397
97847,97-84-7,CC(CCN(C)C)N(C)C,2.65400197
97858,97-85-8,CC(C)COC(=O)C(C)C,1.224508972
97870,97-87-0,CCCCOC(=O)C(C)C,1.460037419
98000,98-00-0,OCc1ccco1,2.389613443
98077,1998/7/7,ClC(Cl)(Cl)c1ccccc1,1.689033452
98511,98-51-1,Cc1ccc(C(C)(C)C)cc1,0.942232217
98522,98-52-2,CC(C)(C)C1CCC(O)CC1,1.494902829
98533,98-53-3,CC(C)(C)C1CCC(=O)CC1,1.489263615
98737,98-73-7,CC(C)(C)c1ccc(C(=O)O)cc1,2.296740734
99309,99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.014973917
99638,99-63-8,O=C(Cl)c1cccc(C(=O)Cl)c1,2.158328267
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.94683478
99729,99-72-9,Cc1ccc(C(C)C=O)cc1,1.471892851
99752,99-75-2,COC(=O)c1ccc(C)cc1,1.47763342
100005,100-00-5,O=[N+]([O-])c1ccc(Cl)cc1,1.714561363
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,1.444388346
100061,100-06-1,COc1ccc(C(C)=O)cc1,1.47763342
100298,100-29-8,CCOc1ccc([N+](=O)[O-])cc1,1.323322252
100469,100-46-9,NCc1ccccc1,2.105737208
100470,100-47-0,N#Cc1ccccc1,1.916449737
100516,100-51-6,OCc1ccccc1,1.73295637
100765,100-76-5,C1CN2CCC1CC2,3.196638505
100867,100-86-7,CC(C)(O)Cc1ccccc1,1.477760644
101053,101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1.467034734
101100,101-10-0,CC(Oc1cccc(Cl)c1)C(=O)O,2.001346395
101144,101-14-4,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1.727799805
101202,101-20-2,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,4.599298603
101279,101-27-9,O=C(Nc1cccc(Cl)c1)OCC#CCCl,1.050066899
101371,101-37-1,C=CCOc1nc(OCC=C)nc(OCC=C)n1,1.462171562
101393,101-39-3,CC(C=O)=Cc1ccccc1,1.465944691
101417,101-41-7,COC(=O)Cc1ccccc1,1.796392183
101495,101-49-5,c1ccc(CC2OCCO2)cc1,1.800410384
101542,101-54-2,Nc1ccc(Nc2ccccc2)cc1,1.566418635
101779,101-77-9,Nc1ccc(Cc2ccc(N)cc2)cc1,2.996224821
101815,101-81-5,c1ccc(Cc2ccccc2)cc1,1.526956674
101848,101-84-8,c1ccc(Oc2ccccc2)cc1,1.331167121
101859,101-85-9,CCCCCC(=Cc1ccccc1)CO,1.611325996
101940,101-94-0,Cc1ccc(OC(=O)Cc2ccccc2)cc1,1.655666569
101962,101-96-2,CCC(C)Nc1ccc(NC(C)CC)cc1,1.895045097
102067,102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,2.425013219
102136,102-13-6,CC(C)COC(=O)Cc1ccccc1,1.584914416
102170,102-17-0,COc1ccc(COC(=O)Cc2ccccc2)cc1,1.709780296
102227,102-22-7,CC(C)=CCCC(C)=CCOC(=O)Cc1ccccc1,1.736217967
102852,102-85-2,CCCCOP(OCCCC)OCCCC,2.09746382
103059,103-05-9,CC(C)(O)CCc1ccccc1,1.671432046
103082,103-08-2,CCCCC(CC)CCC(C)O,1.558708571
103264,103-26-4,COC(=O)C=Cc1ccccc1,1.511048714
103297,103-29-7,c1ccc(CCc2ccccc2)cc1,1.561735658
103366,103-36-6,CCOC(=O)C=Cc1ccccc1,1.54707287
103377,103-37-7,CCCC(=O)OCc1ccccc1,1.552013239
103388,103-38-8,CC(C)CC(=O)OCc1ccccc1,1.584914416
103457,103-45-7,CC(=O)OCCc1ccccc1,1.422292132
103560,103-56-0,CCC(=O)OCC=Cc1ccccc1,1.580336399
103593,103-59-3,CC(C)C(=O)OCC=Cc1ccccc1,1.611232458
103606,103-60-6,CC(C)C(=O)OCCOc1ccccc1,1.619629604
103719,103-71-9,O=C=Nc1ccccc1,1.222906092
103822,103-82-2,O=C(O)Cc1ccccc1,1.435047641
104201,104-20-1,COc1ccc(CCC(C)=O)cc1,1.552013239
104278,104-27-8,CCC(=O)C=Cc1ccc(OC)cc1,1.580336399
104450,104-45-0,CCCc1ccc(OC)cc1,1.477760644
104461,104-46-1,CC=Cc1ccc(OC)cc1,1.471892851
104530,104-53-0,O=CCCc1ccccc1,1.42871131
104541,104-54-1,OCC=Cc1ccccc1,1.42871131
104574,104-57-4,O=COCc1ccccc1,1.83298765
104610,104-61-0,CCCCCC1CCC(=O)O1,1.494780529
104621,104-62-1,O=COCCc1ccccc1,1.47763342
104767,104-76-7,CCCCC(CC)CO,1.820248149
104938,104-93-8,COc1ccc(C)cc1,1.387983905
105011,105-01-1,CC(C)COC(=O)CCc1ccco1,1.991770818
105135,105-13-5,COc1ccc(CO)cc1,1.66327993
105215,105-21-5,CCCC1CCC(=O)O1,1.408819768
105317,105-31-7,C#CC(O)CCC,3.793211092
105395,105-39-5,CCOC(=O)CCl,2.726589023
105544,105-54-4,CCCC(=O)OCC,1.764026608
105646,105-64-6,CC(C)OC(=O)OOC(=O)OC(C)C,2.007850996
105760,105-76-0,CCCCOC(=O)C=CC(=O)OCCCC,1.358483083
105862,105-86-2,CC(C)=CCCC(C)=CCOC=O,1.56172851
105873,105-87-3,CC(=O)OCC=C(C)CCC=C(C)C,1.593928171
105895,105-89-5,C=C(C)CCCC(C)CCOC(=O)CC,1.628047491
105908,105-90-8,CCC(=O)OCC=C(C)CCC=C(C)C,1.623904374
106025,106-02-5,O=C1CCCCCCCCCCCCCCO1,1.681940973
106218,106-21-8,CC(C)CCCC(C)CCO,1.819228519
106229,106-22-9,CC(C)=CCCC(C)CCO,1.770626959
106230,106-23-0,CC(C)=CCCC(C)CC=O,1.790293611
106241,106-24-1,CC(C)=CCCC(C)=CCO,1.489263615
106274,106-27-4,CCCC(=O)OCCC(C)C,1.500349014
106296,106-29-6,CCCC(=O)OCC=C(C)CCC=C(C)C,1.651944455
106309,106-30-9,CCCCCCC(=O)OCC,1.500349014
106365,106-36-5,CCCOC(=O)CC,0.914975917
106445,106-44-5,Cc1ccc(O)cc1,2.55541987
106467,106-46-7,Clc1ccc(Cl)cc1,1.866299156
106478,106-47-8,Nc1ccc(Cl)cc1,2.549459672
106490,106-49-0,Cc1ccc(N)cc1,2.080626487
106650,106-65-0,COC(=O)CCC(=O)OC,1.465805042
106672,106-67-2,CCC(CO)CC(C)C,1.415744371
106729,106-72-9,CC(C)=CCCC(C)C=O,1.447858541
106730,106-73-0,CCCCCCC(=O)OC,1.460037419
106898,106-89-8,ClCC1CO1,2.254451865
106901,106-90-1,C=CC(=O)OCC1CO1,3.308300108
106923,106-92-3,C=CCOCC1CO1,1.650912907
106934,106-93-4,BrCCBr,2.796717687
107028,107-02-8,C=CC=O,2.447654084
107051,107-05-1,C=CCCl,1.568678696
107062,107-06-2,ClCCCl,1.548301655
107073,107-07-3,OCCCl,3.079796601
107108,107-10-8,CCCN,2.169615662
107119,107-11-9,C=CCN,3.212537639
107131,107-13-1,C=CC#N,2.925459435
107153,107-15-3,NCCN,0.972694498
107164,107-16-4,N#CCO,4.057300869
107186,107-18-6,C=CCO,3.110814094
107197,107-19-7,C#CCO,3.544564097
107200,107-20-0,O=CCCl,2.46834733
107255,107-25-5,C=COC,0.860936621
107313,107-31-3,COC=O,1.079557472
107448,107-44-8,CC(C)OP(C)(=O)F,5.180277803
107459,107-45-9,CC(C)(C)CC(C)(C)N,1.634299217
107744,107-74-4,CC(CCO)CCCC(C)(C)O,1.542287515
107879,107-87-9,CCCC(C)=O,1.122261259
107880,107-88-0,CC(O)CCO,0.653800825
107891,107-89-1,CC(O)CC=O,2.798877449
107982,107-98-2,COCC(C)O,0.840887469
108054,108-05-4,C=COC(C)=O,1.566665823
108098,108-09-8,CC(C)CC(C)N,2.226999221
108167,108-16-7,CC(O)CN(C)C,1.996499043
108189,108-18-9,CC(C)NC(C)C,1.005150471
108236,108-23-6,CC(C)OC(=O)Cl,1.035238416
108292,108-29-2,CC1CCC(=O)O1,1.301537823
108316,108-31-6,O=C1C=CC(=O)O1,1.573177311
108394,108-39-4,Cc1cccc(O)c1,1.722232504
108441,108-44-1,Cc1cccc(N)c1,1.518133133
108463,108-46-3,Oc1cccc(O)c1,1.515495374
108554,108-55-4,O=C1CCCC(=O)O1,1.806865642
108598,108-59-8,COC(=O)CC(=O)OC,1.421982125
108656,108-65-6,COCC(C)OC(C)=O,1.42212674
108781,108-78-1,Nc1nc(N)nc(N)n1,2.100794292
108827,108-82-7,CC(C)CC(O)CC(C)C,1.496382075
108838,108-83-8,CC(C)CC(=O)CC(C)C,0.948907867
108985,108-98-5,Sc1ccccc1,2.915001911
109091,109-09-1,Clc1ccccn1,3.24899569
109159,109-15-9,CCCCCCCCOC(=O)C(C)C,1.602758643
109171,109-17-1,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,2.041888551
109193,109-19-3,CCCCOC(=O)CC(C)C,1.500349014
109217,109-21-7,CCCCOC(=O)CCC,1.460037419
109295,109-29-5,O=C1CCCCCCCCCCCCCCCO1,1.706571002
109422,109-42-2,C=CCCCCCCCCC(=O)OCCCC,1.681940973
109864,109-86-4,COCCO,1.774146152
110178,110-17-8,O=C(O)C=CC(=O)O,1.871602869
110189,110-18-9,CN(C)CCN(C)C,1.333647262
110190,110-19-0,CC(=O)OCC(C)C,0.824507355
110270,110-27-0,CCCCCCCCCCCCCC(=O)OC(C)C,1.733128222
110418,110-41-8,CCCCCCCCCC(C)C=O,1.26557953
110452,110-45-2,CC(C)CCOC=O,1.366086599
110758,110-75-8,C=COCCCl,1.647350364
110805,110-80-5,CCOCCO,1.436316881
110861,110-86-1,c1ccncc1,1.848581852
110930,110-93-0,CC(=O)CCC=C(C)C,1.402085909
111126,111-12-6,CCCCCC#CC(=O)OC,1.669595781
111137,111-13-7,CCCCCCC(C)=O,1.981807429
111400,111-40-0,NCCNCCN,1.976122723
111444,111-44-4,ClCCOCCCl,3.201133008
111466,111-46-6,OCCOCCO,0.950619479
111615,111-61-5,CCCCCCCCCCCCCCCCCC(=O)OCC,1.795932824
111626,111-62-6,CCCCCCCCC=CCCCCCCCC(=O)OCC,1.79312237
111706,111-70-6,CCCCCCCO,1.764191082
111762,111-76-2,CCCCOCCO,2.730106605
111922,111-92-2,CCCCNCCCC,2.224929746
111977,111-97-7,N#CCCSCCC#N,1.493569573
112061,112-06-1,CCCCCCCOC(C)=O,1.500349014
112072,112-07-2,CCCCOCCOC(C)=O,2.028606494
112129,112-12-9,CCCCCCCCCC(C)=O,1.532234443
112141,112-14-1,CCCCCCCCOC(C)=O,1.537234607
112174,112-17-4,CCCCCCCCCCOC(C)=O,1.602758643
112243,112-24-3,NCCNCCNCCN,2.259264359
112254,112-25-4,CCCCCCOCCO,2.256551461
112301,112-30-1,CCCCCCCCCCO,1.647989763
112323,112-32-3,CCCCCCCCOC=O,1.500349014
112345,112-34-5,CCCCOCCOCCO,1.778764727
112436,112-43-6,C=CCCCCCCCCCO,1.532234443
112458,112-45-8,C=CCCCCCCCCC=O,1.527062499
112561,112-56-1,CCCCOCCOCCSC#N,3.776673415
112607,112-60-7,OCCOCCOCCOCCO,0.987279607
112709,112-70-9,CCCCCCCCCCCCCO,1.553636001
112721,112-72-1,CCCCCCCCCCCCCCO,1.632240597
113484,113-48-4,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,2.767853462
115275,115-27-5,O=C1OC(=O)C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,2.092053606
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.655276132
115311,115-31-1,CC1(C)C2CCC1(C)C(OC(=O)CSC#N)C2,1.625598799
115322,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,2.296934884
115719,115-71-9,CC(=CCCC1(C)C2CC3C(C2)C31C)CO,1.644154876
115786,115-78-6,CCCC[P+](CCCC)(CCCC)Cc1ccc(Cl)cc1Cl,2.684061009
115844,115-84-4,CCCCC(CC)(CO)CO,1.623892033
115866,115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.615974011
115935,115-93-5,COP(=S)(OC)Oc1ccc(S(N)(=O)=O)cc1,2.075246136
115991,115-99-1,C=CC(C)(CCC=C(C)C)OC=O,1.56172851
116029,116-02-9,CC1CC(O)CC(C)(C)C1,1.705869819
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,2.133237717
116165,116-16-5,O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,1.948619705
116176,116-17-6,CC(C)OP(OC(C)C)OC(C)C,2.017529988
116290,116-29-0,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,1.551519528
116665,116-66-5,Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,1.745555686
117088,117-08-8,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,1.757239594
117806,117-80-6,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,2.657143851
117817,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.193752201
118525,118-52-5,CC1(C)C(=O)N(Cl)C(=O)N1Cl,0.993482523
118821,118-82-1,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,2.481922524
119120,119-12-0,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,2.230884275
119517,119-51-7,CC(=NO)C(=O)c1ccccc1,1.610596292
119539,119-53-9,O=C(c1ccccc1)C(O)c1ccccc1,1.378919987
119619,119-61-9,O=C(c1ccccc1)c1ccccc1,1.712211391
119846,119-84-6,O=C1CCc2ccccc2O1,1.471763896
120149,120-14-9,COc1ccc(C=O)cc1OC,1.521598297
120218,120-21-8,CCN(CC)c1ccc(C=O)cc1,2.646518902
120456,120-45-6,CCC(=O)OC(C)c1ccccc1,1.552013239
120514,120-51-4,O=C(OCc1ccccc1)c1ccccc1,1.724783615
120627,120-62-7,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,1.556953454
120672,120-67-2,OCCOc1ccc(Cl)cc1Cl,2.219177807
120729,120-72-9,c1ccc2[nH]ccc2c1,2.171118909
120785,120-78-5,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,1.621971147
120809,120-80-9,Oc1ccccc1O,2.138744664
121062,121-06-2,Cc1cccc(C)c1OP(=O)(Oc1c(C)cccc1C)Oc1c(C)cccc1C,1.715633169
121324,121-32-4,CCOc1cc(C=O)ccc1O,1.320747798
121335,121-33-5,COc1cc(C=O)ccc1O,1.482431376
121459,121-45-9,COP(OC)OC,1.678714436
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.906208859
