RTECS_ID,CAS_RN,SMILES,man_oral_TDLo
5787735,5787-73-5,CCCCCC(C)NC,4.655510231
7232215,7232-21-5,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,5.242823708
10187867,10187-86-7,Cn1c(N)nnc1-c1ccc([N+](=O)[O-])o1,3.22011847
10265926,10265-92-6,COP(N)(=O)SC,2.555583309
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,5.752927598
12244574,12244-57-4,O=C(O)CC(S[Au])C(=O)O,4.798856477
12789036,12789-03-6,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,5.125273061
13655522,13655-52-2,C=CCc1ccccc1OCC(O)CNC(C)C,5.640180231
14028445,14028-44-5,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,4.426788342
15307796,15307-79-6,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.009118138
16105785,16105-78-5,CCNC(C)Cc1ccccc1,4.580838266
17321776,17321-77-6,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,5.945449275
18559949,18559-94-9,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,4.622029685
19237844,19237-84-4,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.437632646
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.693869925
22204531,22204-53-1,COc1ccc2cc(C(C)C(=O)O)ccc2c1,3.629830399
23327573,23327-57-3,CN1CCOC(c2ccccc2)c2ccccc2C1,4.173263416
24204135,24204-13-5,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,4.031965043
25332392,25332-39-2,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5.746267646
29122687,29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,4.416667576
31121934,31121-93-4,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.465287518
31677937,31677-93-7,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,3.573571396
33089611,33089-61-1,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,1.914690982
33286225,33286-22-5,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.785043911
34183227,34183-22-7,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.636634518
34758844,34758-84-4,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,4.554967292
36167632,36167-63-2,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,4.845464423
38194502,38194-50-2,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.016665509
40180049,40180-04-9,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,4.831731277
40828464,40828-46-4,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.959587285
42200339,42200-33-9,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,5.733892623
49746045,49746-04-5,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,4.589020506
50679088,50679-08-8,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.740671244
50782699,50782-69-9,CCOP(C)(=O)SCCN(C(C)C)C(C)C,7.825060806
52645531,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,2.236477331
53152219,53152-21-9,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,5.339905827
53558251,53558-25-1,O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,4.09256754
56073100,56073-10-0,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,6.567906433
56296787,56296-78-7,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.259974524
57495144,57495-14-4,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,4.648380506
59178379,59178-37-9,NCCCNCCSP(=O)(O)O,4.289481521
59865133,59865-13-3,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,4.925223193
60525157,60525-15-7,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,3.94507175
61336707,61336-70-7,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,4.708900967
64092484,64092-48-4,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,5.309954818
66778367,66778-36-7,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,3.91366356
73954173,73954-17-3,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,5.183758607
73963721,73963-72-1,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,5.47136342
77182822,77182-82-2,CP(=O)(O)CCC(N)C(=O)O,2.513692609
78246498,78246-49-8,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,5.721805341
82419361,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,3.846756066
84057841,84057-84-1,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,4.129649194
1197213,1197-21-3,CC(C)(N)Cc1ccccc1,5.018844281
1229294,1229-29-4,CN(C)CCC=C1c2ccccc2COc2ccccc21,5.89353176
1264626,1264-62-6,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,5.178599273
3700898,3700-89-8,COC(=O)CC(SP(=S)(OC)OC)C(=O)OC,2.585029967
32221811,32221-81-1,NC(CCC(=O)O)C(=O)O,4.614911385
51481619,51481-61-9,CN/C(=N\C#N)NCCSCc1[nH]cnc1C,4.946087906
63905602,63905-60-2,CC(C)(N)c1ccco1,5.635105724
65793502,65793-50-2,Nn1cnc2cc3ccccc3cc2c1=O,5.266697032
91161716,91161-71-6,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,4.871481746
93107085,93107-08-5,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,3.219253047
