RTECS_ID,CAS_RN,SMILES,guinea pig_intraperitoneal_LD50
475810,475-81-0,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,3.404630933
492886,492-88-6,CCOc1cccc(C=O)c1O,2.715418323
500287,500-28-7,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,2.753555338
508758,508-75-8,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.439841704
512243,512-24-3,O=C(O)CC(CO)(C(=O)O)C(=O)O,3.364501267
532274,532-27-4,O=C(CCl)c1ccccc1,3.958749331
535897,535-89-7,Cc1cc(N(C)C)nc(Cl)n1,4.809714096
549848,549-84-8,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,3.63588731
577913,577-91-3,O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,2.72530202
584087,584-08-7,O=C(O)O,2.616468512
614686,614-68-6,Cc1ccccc1N=C=O,2.823311175
622582,622-58-2,Cc1ccc(N=C=O)cc1,3.726401162
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.444683345
635858,635-85-8,COc1ccc(CCN)cc1OC,2.684210804
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,4.228292542
673314,673-31-4,NC(=O)OCCCc1ccccc1,2.545813874
673461,673-46-1,CN(C)CCc1cnc[nH]1,3.967554216
728405,728-40-5,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,2.636809426
826391,826-39-1,CNC1(C)C2CCC(C2)C1(C)C,3.424145008
832928,832-92-8,COc1cc(CCN)cc(OC)c1OC,2.808945487
848533,848-53-3,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.617303899
859187,859-18-7,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.549216831
900958,900-95-8,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,5.038929214
919868,919-86-8,CCSCCSP(=O)(OC)OC,4.265366953
1082888,1082-88-8,COc1cc(CC(C)N)cc(OC)c1OC,3.117209613
1113140,1113-14-0,CCCS(=O)(=O)C=CS(=O)(=O)CCC,4.320139058
1115704,1115-70-4,CN(C)C(=N)N=C(N)N,2.810121577
1146958,1146-95-8,CCC(CN)=C(c1ccccc1)c1ccccc1,3.977441908
1162658,1162-65-8,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,5.348411963
1474802,1474-80-2,CCOP(=O)(OCC)OP(=O)(N(C)C)N(C)C,4.760755616
1476535,1476-53-5,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,4.708018432
1653641,1653-64-1,NCCc1ccc2c(c1)OCO2,2.828822927
1716092,1716-09-2,CCOP(=S)(OCC)Oc1ccc(SC)c(C)c1,4.009151914
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.480958216
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,2.256856726
2227136,2227-13-6,Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,2.770261398
2483570,2483-57-0,COC(=O)C[N+](=O)[O-],2.065100372
2496915,2496-91-5,CCOP(=O)(OCC)SCCS(=O)(=O)CC,4.533492434
2496926,2496-92-6,CCOP(=O)(OCC)SCCS(=O)CC,4.739325462
2674911,2674-91-1,CCS(=O)CC(C)SP(=O)(OC)OC,3.415502531
2698411,2698-41-1,N#CC(C#N)=Cc1ccccc1Cl,3.412257973
2700892,2700-89-2,CS(=O)(=O)C(Cl)=CCl,4.146217367
2702729,2702-72-9,O=C(O)COc1ccc(Cl)cc1Cl,2.520994678
2949226,2949-22-6,CCOC(=O)CN=C=O,3.412006695
3468039,03-09-68,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN(C)C)cccc2c1=O,3.047493675
3468040,3468-04-0,CCN(CC)CCOC(=O)c1cccc2c(=O)c(C)c(-c3ccccc3)oc12,2.801010174
3468051,05-01-68,CCCN(CCC)CCOC(=O)c1cccc2c(=O)c(C)c(-c3ccccc3)oc12,2.911168266
3468062,06-02-68,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN(C(C)C)C(C)C)cccc2c1=O,2.434047011
3468073,07-03-68,Cc1c(-c2ccccc2)oc2c(C(=O)OCCCN(C)C)cccc2c1=O,3.358683027
3468084,08-04-68,CCN(CC)CCCOC(=O)c1cccc2c(=O)c(C)c(-c3ccccc3)oc12,3.293895978
3922905,3922-90-5,COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,2.467732818
3926623,3926-62-3,O=C(O)CCl,2.914720181
4104147,4104-14-7,CC(N)=NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,4.428154471
4185471,4185-47-1,O=[N+]([O-])OCCN(CCO[N+](=O)[O-])[N+](=O)[O-],3.079412808
4269889,4269-88-9,C[N+]1(CCN(C2CCCCC2)C2CCCCC2)CCCCC1,3.487910083
4270046,04-06-70,CCCCCCCCCCSC(=N)N,3.002806755
4880824,4880-82-4,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,2.888001137
5053087,08-07-53,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,3.093316601
5421465,5421-46-5,O=C(O)CS,2.768449562
5503082,2008/2/3,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,3.271124379
5746134,5746-13-4,O=C(O)CC(O)(CC(=O)O)C(=O)O,3.481421041
5928698,5928-69-8,c1ccc(C(OCCN2CCOCC2)c2ccccc2)cc1,3.269218061
5984598,5984-59-8,CC(C)CCCC(C)N,3.520355864
5986061,06-01-86,C=CC1CN2CCc3c([nH]c4ccccc34)C2CC1C(=COC)C(=O)OC,3.67193316
6055487,6055-48-7,Cc1ccccc1OCC(COC(O)C(Cl)(Cl)Cl)OC(O)C(Cl)(Cl)Cl,3.015755995
6098200,6098-20-0,CCCC(CCC)C(=O)NC(N)=O,2.190926694
6292917,6292-91-7,CC(N)Cc1ccc2c(c1)OCO2,3.806226018
6423434,6423-43-4,CC(CO[N+](=O)[O-])O[N+](=O)[O-],2.616114817
6903793,6903-79-3,CN(CCOP(=O)(O)O)C(=N)N,1.789604947
10236472,10236-47-2,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,2.462801405
10423377,10423-37-7,NC(=O)C1c2ccccc2C=Cc2ccccc21,2.72814341
13018503,13018-50-3,CN1CCC(CNC(=O)CCCCCCCCC(=O)NCC2(c3ccccc3)CCN(C)CC2)(c2ccccc2)CC1,4.157497566
13078756,13078-75-6,COc1ccc(CC(C)N)cc1OC,3.000583122
13292461,13292-46-1,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,3.109874175
13929356,13929-35-6,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,2.401293677
14271024,14271-02-4,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3.249708731
14362313,14362-31-3,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.478325475
15105927,15105-92-7,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,3.34265801
16777427,16777-42-7,COc1cccc(C(=O)CCNC(C)C(O)c2ccccc2)c1,3.577016742
17040196,17040-19-6,CCS(=O)(=O)CCSP(=O)(OC)OC,3.489361152
17854590,17854-59-0,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,3.560339266
18010407,18010-40-7,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,3.8514039
18559632,18559-63-2,COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,2.735413304
19089248,19089-24-8,CCCCN1CCCC1C(=O)Nc1c(C)cc(C)cc1C,1.786842677
19683988,19683-98-8,COC1C(=O)CCC2(CO2)C1(O)C1(C)OC1CC=C(C)C,4.731461293
19982877,19982-87-7,N=C(N)N/N=C(\c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1,4.232167903
20724769,20724-76-9,NCCCCCNCCSP(=O)(O)O,2.949750453
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.989532686
21062282,21062-28-2,CCN1CCCC(Nc2cc(C)nc(NC(=N)Nc3ccc(Cl)c(Cl)c3)n2)C1,4.178528863
21259201,21259-20-1,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.589695537
21649570,21649-57-0,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2C1C(=O)O,2.608319687
21794014,21794-01-4,CCCCCCC(O)C1C2=C(CC(C(O)C3CC=CC(=O)O3)CC3=C(C(=O)OC3=O)C1O)C(=O)OC2=O,6.033520087
21820826,21820-82-6,CN1CC(CCN2CC=C(c3ccccc3)CC2)OC1=O,3.180473298
22248799,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.864468361
23255698,23255-69-8,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,5.850468561
23828924,23828-92-4,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,3.130457835
24600360,24600-36-0,CN(CC(=O)N1CCOCC1)Cc1c(Cl)cccc1NC(=O)c1ccccc1,2.695626504
26807658,26807-65-8,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,3.022964088
28616480,28616-48-0,CCOP(=O)(OP(=O)(OCC)N(C)C)N(C)C,4.345782268
28814359,28814-35-9,CC(N)Cc1cnc[nH]1,2.639635703
29094619,29094-61-9,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,2.268680333
30685439,30685-43-9,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,5.997264031
31232276,31232-27-6,CN1CCC(=C2c3ccccc3C(O)c3ccccc32)CC1,3.36411006
31282049,31282-04-9,CNC1CC(N)C(O)C(OC2OC(CO)C(O)C3OC4(OC(C(N)CO)C(O)C(O)C4O)OC23)C1O,4.608298871
31755256,31755-25-6,CCCCN1CCCC(OC(=O)Nc2c(C)cccc2Cl)C1,3.716500955
31755267,31755-26-7,CCCCN1CCCC(OC(=O)Nc2c(C)cccc2C)C1,3.657418351
33921129,33921-12-9,Nc1ccccc1,2.96908494
33986117,33986-11-7,NCCCCCNCCSSCCNCCCCCN,3.199018041
34491128,34491-12-8,CCSP(=O)(CCl)SCC,3.302444128
36011195,36011-19-5,CC1CC=CC2C3OC3(C)C(C)C3C(Cc4ccccc4)NC(=O)C23OC(=O)OC=CC(C)(O)C1=O,5.996136756
36050278,36050-27-8,COc1ccccc1OC(=O)c1cccs1,2.74133887
36376473,36376-47-3,Cc1nc[nH]c1CCN,2.710624378
36499657,36499-65-7,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3.388597608
37338800,37338-80-0,[O-][n+]1ccc(O)c(O)c1-c1c(O)c(O)cc[n+]1[O-],4.498624098
40036791,40036-79-1,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,3.718305672
42542074,42542-07-4,CCC(N)Cc1ccc2c(c1)OCO2,3.341627841
53164059,53164-05-9,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.335613545
53179138,53179-13-8,Cc1ccc(=O)n(-c2ccccc2)c1,2.604944116
56021875,56021-87-5,CC(OC(=O)c1cccnc1)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,3.193305517
59178379,59178-37-9,NCCCNCCSP(=O)(O)O,2.721279797
59937289,59937-28-9,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,2.455229041
63732274,63732-27-4,O=[N+]([O-])C(Br)(CC(O)C(O)c1ccccc1)[N+](=O)[O-],3.993708471
63938932,63938-93-2,O=C(O)CSc1ccccc1O[Sb](O)O,2.986108593
64057701,64057-70-1,CNC(C)Cc1ccc2c(c1)OCO2,3.294884438
75393009,75393-00-9,CCN(CC)CCON=C1CC(c2ccccc2)Oc2ccccc21,3.529495802
75393010,75393-01-0,CCN(CC)CCON=C1CC(c2ccc(OC)c(OC)c2)Oc2ccccc21,3.220220353
75393021,75393-02-1,CCN(CC)CCON=C1CC(c2ccc(C)cc2)Oc2ccccc21,3.29185951
75393032,75393-03-2,CCN(CC)CCON=C1CC(c2ccc(OC)cc2)Oc2ccccc21,3.31113788
75842863,75842-86-3,CN1CCCN(CCOC(c2ccccc2)c2cccc(Cl)c2)CC1,3.427352936
75842885,75842-88-5,CN1CCCN(CCCOC(c2ccccc2)c2ccccc2)CC1,3.274279753
75842896,75842-89-6,CC(C)N1CCCN(CCOC(c2ccccc2)c2ccccc2)CC1,3.40105819
75842909,75842-90-9,CN1CCCN(CCOC(c2ccccc2)c2ccc(F)cc2)CC1,3.154396074
75842910,75842-91-0,CN1CCCN(CCOC(c2ccccc2)c2ccccc2)CC1,3.255899367
75842921,75842-92-1,Cc1ccc(C(OCCN2CCCN(C)CC2)c2ccccc2)cc1,3.415608906
75842932,75842-93-2,CN1CCCN(CCOC(c2ccccc2)c2ccccc2Cl)CC1,3.350869206
80756850,80756-85-0,CON=C(C(=O)Sc1nc2ccccc2s1)c1csc(N)n1,2.788751209
101997517,101997-51-7,c1ccc(CN(CCN2CCCCC2)c2ccccc2)cc1,3.427607074
104485010,104485-01-0,CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,3.810052819
1225554,1225-55-4,CNCCCC1c2ccccc2C=Cc2ccccc21,4.098370094
1403663,1403-66-3,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.954791176
1404939,1404-93-9,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,3.293682114
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,2.929665614
2312767,2312-76-7,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.944776489
3160916,3160-91-6,N=C(N=C(N)N)N1CCOCC1,2.455362657
3253621,3253-62-1,CC1OC(OC2CCC3(CO)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.265337564
3624871,3624-87-1,CCCCOc1c(N)cccc1C(=O)OCCN(CC)CC,3.162809488
3626662,3626-66-2,c1ccc(C(OCCC2CCCCN2)c2ccccc2)cc1,3.847199424
3658488,3658-48-8,CCCCC(CC)CO[PH](=O)OCC(CC)CCCC,2.641228989
3724898,3724-89-8,NCCSP(=O)(O)O,2.642378848
4685147,4685-14-7,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,4.792993681
7654037,03-07-54,CC(NNC(=O)c1ccccc1)c1ccccc1,2.868881253
7681938,7681-93-8,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.869057576
32221811,32221-81-1,NC(CCC(=O)O)C(=O)O,0.991609976
