RTECS_ID,CAS_RN,SMILES,cat_oral_LDLo
88891,88-89-1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,2.962092663
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,2.77879064
90051,1990/5/1,COc1ccccc1O,1.917816984
91156,91-15-6,N#Cc1ccccc1C#N,3.806634388
91203,91-20-3,c1ccc2ccccc2c1,2.107799938
95534,95-53-4,Cc1ccccc1N,2.853925235
95545,95-54-5,Nc1ccccc1N,2.63606242
96504,96-50-4,Nc1nccs1,2.921452361
97449,97-44-9,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,3.263386702
97745,97-74-5,CN(C)C(=S)SC(=S)N(C)C,3.318849781
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.090296859
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.794224617
100254,100-25-4,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,3.763190383
101542,101-54-2,Nc1ccc(Nc2ccccc2)cc1,3.265388639
102012,102-01-2,CC(=O)CC(=O)Nc1ccccc1,2.549501066
102089,102-08-9,S=C(Nc1ccccc1)Nc1ccccc1,2.501211459
103844,103-84-4,CC(=O)Nc1ccccc1,2.732927453
108452,108-45-2,Nc1cccc(N)c1,2.556881174
109740,109-74-0,CCCC#N,3.538492045
112561,112-56-1,CCCCOCCOCCSC#N,3.29955216
115797,115-79-7,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,5.526319889
115866,115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.212571106
118967,118-96-7,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.089106597
121595,121-59-5,NC(=O)Nc1ccc([As](=O)(O)O)cc1,3.017168618
121824,121-82-4,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3.346581799
123637,123-63-7,CC1OC(C)OC(C)O1,1.602582804
124992,124-99-2,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,5.124603909
127184,127-18-4,ClC(Cl)=C(Cl)Cl,1.617613585
128370,128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,2.369997027
135193,135-19-3,Oc1ccc2ccccc2c1,3.158883935
137268,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,3.019286108
137428,137-42-8,CNC(=S)S,3.030206939
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.867337828
152238,152-23-8,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1OC)Cc1ccccc1OC,3.723240524
300549,300-54-9,CC1OC(C[N+](C)(C)C)CC1O,4.396109638
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.616483391
311091,311-09-1,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,4.696435821
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.443267416
351837,351-83-7,CC(=O)Nc1ccc(F)cc1,2.787194007
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.386099266
479925,479-92-5,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,3.186223422
491929,491-92-9,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.623884412
499752,499-75-2,Cc1ccc(C(C)C)cc1O,3.176730649
504632,504-63-2,OCCCO,1.404234867
505759,505-75-9,CCCC(O)C=CC=CC=CC#CC#CCCCO,4.567128917
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,2.889786161
509875,509-87-5,CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,2.475807338
511137,511-13-7,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.559017386
515833,515-83-3,CCOC(O)C(Cl)(Cl)Cl,2.587614444
542905,542-90-5,CCSC#N,3.940252441
548629,548-62-9,CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,3.571168247
554007,554-00-7,Nc1ccc(Cl)cc1Cl,3.156487504
554723,554-72-3,NC(=O)CNc1ccc([As](=O)(O)O)cc1,3.136891715
556649,556-64-9,CSC#N,3.934617257
560532,560-53-2,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.073604723
577913,577-91-3,O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,2.994814964
584087,584-08-7,O=C(O)O,4.19049978
591117,591-11-7,CC1C=CC(=O)O1,2.29270343
607910,607-91-0,C=CCc1cc(OC)c2c(c1)OCO2,2.681725025
624180,624-18-0,Nc1ccc(N)cc1,3.034002429
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,5.067932635
765151,765-15-1,CCCCCCCCCCCCSC#N,2.104941472
867276,867-27-6,CCSCCOP(=S)(OC)OC,3.885155711
964523,964-52-3,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.872164045
1173882,1173-88-2,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.728563708
1502950,1502-95-0,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,4.266486881
1836755,1836-75-5,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,2.976346922
2015283,2015-28-3,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.60635879
2033945,2033-94-5,C#CC(C)(O)C(O)c1ccccc1,2.945012879
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.833140735
2104963,2104-96-3,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,2.688419822
2152343,2152-34-3,N=C1NC(=O)C(c2ccccc2)O1,2.768823025
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.738389412
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,2.017781574
3040446,3040-44-6,OCCN1CCCCC1,2.713332589
3129917,3129-91-7,C1CCC(NC2CCCCC2)CC1,3.559482892
5610402,5610-40-2,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,2.638025762
6045392,6045-39-2,COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,3.959569224
6873467,6873-46-7,CCCCCCCCCCCCCCSC#N,1.459907886
10078258,10078-25-8,O=S1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(Cl)ccc21,2.623226541
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,2.966002423
10490741,10490-74-1,Oc1ccc2c(O)c(CNC3CCCCC3)ccc2c1CNC1CCCCC1,2.980625944
13289184,13289-18-4,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,5.161246383
14008447,14008-44-7,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,2.949984924
15686712,15686-71-2,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,3.142884805
16090021,16090-02-1,O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,3.245991115
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,3.23219154
16568664,16568-66-4,NC(=O)N1CCC(c2ccccc2)CC1,2.708150976
17013411,17013-41-1,CCCCC1(CCCC)C(=O)NC(=O)NC1=O,2.836691148
17617231,17617-23-1,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,3.190764096
19942780,19942-78-0,CCCCCCCCSC#N,2.812176253
24789784,24789-78-4,CCN(CC)CCNC(=O)COc1cc(OC)c(OC)c(OC)c1,4.134075059
24853803,24853-80-3,CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1,3.172255473
25047487,25047-48-7,COc1cc2c(OC3OCC(OC)C(OC)C3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,3.732812572
27199402,27199-40-2,Clc1ccccc1-c1nc(-c2ccncc2)no1,2.411080712
31900046,31900-04-6,CNc1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(NC)nc(Nc5ccccc5)n4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)n1,3.487897091
33279571,33279-57-1,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,5.242021852
33921129,33921-12-9,Nc1ccccc1,2.96908494
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.423755666
36226649,36226-64-9,CCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,2.789344465
57801817,57801-81-7,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,3.595162105
60525157,60525-15-7,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,3.598284264
63496480,63496-48-0,Oc1ccccc1,3.07055963
83394449,83394-44-9,CC(C)Cc1ccc(C(C)C(=O)NCCO)cc1,2.618665089
1328901,1328-90-1,COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,5.138851931
1391124,1391-12-4,C=C(CCC1(O)OC2CC3C4CCC5CC(OC6OC(C)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC(OC6OC(C)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)C5(C)C4CCC3C2(C)C1C)COC1OC(CO)C(O)C(O)C1O,3.969327008
1415732,1415-73-2,O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,2.922619596
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.777238273
2343364,2343-36-4,O=C(CF)NNc1ccccc1,5.526781102
2409554,2409-55-4,Cc1ccc(O)c(C(C)(C)C)c1,2.242372236
4695130,4695-13-0,NC(=O)C(c1ccccc1)c1ccccc1,2.324825498
4746876,4746-87-6,NC(=O)C(O)(c1ccccc1)c1ccccc1,2.657558731
63979271,63979-27-1,CCN(CC)C(=O)c1nnn(-c2ccccc2)c1C,3.412166438
63979282,63979-28-2,Cc1c(C(=O)O)nnn1-c1ccccc1,3.432864577
63979293,63979-29-3,Cc1c(C(=O)N(C)C)nnn1-c1ccccc1,3.663269243
