RTECS_ID,CAS_RN,SMILES,frog_subcutaneous_LDLo
134532,134-53-2,CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.311660637
140294,140-29-4,N#CCc1ccccc1,2.027353315
141797,141-79-7,CC(=O)C=C(C)C,1.845740144
144627,144-62-7,O=C(O)C(=O)O,2.075310666
151508,151-50-8,N#C[K],3.035536464
299263,299-26-3,CC(N)Cc1c[nH]c2ccccc12,2.940135314
300549,300-54-9,CC1OC(C[N+](C)(C)C)CC1O,6.241207678
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.042164109
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,1.563972059
372098,372-09-8,N#CCC(=O)O,1.815792237
442513,442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,2.849730536
464482,464-48-2,CC12CCC(CC1=O)C2(C)C,2.802308975
465167,465-16-7,COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC(C)=O)CC43O)C2)OC(C)C1O,5.408787766
499752,499-75-2,Cc1ccc(C(C)C)cc1O,3.301669385
504154,504-15-4,Cc1cc(O)cc(O)c1,3.394938238
508656,508-65-6,CC1CCC2N(C1)CC1C(C(O)C(O)C3(O)C1CC14OC5(O)C(O)CCC1(C)C5CC(O)C34)C2(C)O,3.008293503
529191,529-19-1,Cc1ccccc1C#N,2.165656013
532285,532-28-5,N#CC(O)c1ccccc1,5.34618992
532321,532-32-1,O=C(O)c1ccccc1,3.086797464
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,2.57682314
542541,542-54-1,CC(C)CCC#N,1.783371993
544138,544-13-8,N#CCCCC#N,1.496546821
545937,545-93-7,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,2.983970399
554847,554-84-7,O=[N+]([O-])c1cccc(O)c1,2.939238368
584087,584-08-7,O=C(O)O,2.394619762
605696,605-69-6,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,3.591374442
624180,624-18-0,Nc1ccc(N)cc1,4.034002429
625285,625-28-5,CC(C)CC#N,1.339995081
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.164842648
673665,673-66-5,O=C1CCCCCCN1,2.706502715
675207,675-20-7,O=C1CCCCN1,1.519096994
952374,952-37-4,CCN(CC)CC1COc2ccccc2O1,2.947041405
2571860,2571-86-0,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,4.444519448
2646971,2646-97-1,Nc1cccc(C(F)(F)F)c1,2.9126994
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.43199598
2870715,2870-71-5,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.784488911
2954509,2954-50-9,NC1CCCc2ccccc21,2.593938496
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.305574909
5908894,5908-89-4,CN1C2CCC1CC(OC(=O)C1CCC(C(=O)Oc3ccccc3)(C3CC4CCC(C3)N4C)c3ccccc31)C2,3.035605822
5913826,5913-82-6,CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,2.89512305
6028075,2007/5/28,CC1=NCCc2c1[nH]c1cc(O)ccc21,2.903612997
6091447,6091-44-7,C1CCNCC1,1.930184652
13559665,13559-66-5,CC12CCC(CC1=NO)C2(C)C,3.181978635
17617457,17617-45-7,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,5.424416815
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.677215973
51775178,51775-17-8,CCN(CCCl)CC1COc2ccccc2O1,3.708837147
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.575306056
63496480,63496-48-0,Oc1ccccc1,2.804919987
4720096,2009/6/20,CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,5.217508159
63885687,63885-68-7,CCCCCOc1ccc2c(c1)[nH]c1c(C)nccc12,3.127687788
