RTECS_ID,CAS_RN,SMILES,rat_intraperitoneal_LD50
54308,54-30-8,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,1.961728822
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.616408553
54422,54-42-2,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,1.947065935
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.054805886
54853,54-85-3,NNC(=O)c1ccncc1,2.612125672
54864,54-86-4,O=C(O)c1cccnc1,2.226973999
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.327648975
54911,54-91-1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.405392712
54955,54-95-5,C1CCc2nnnn2CC1,3.348034641
55038,1955/3/8,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,4.589319473
55185,55-18-5,CCN(CC)N=O,2.674729346
55210,55-21-0,NC(=O)c1ccccc1,2.19063295
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.029594473
55527,55-52-7,CC(Cc1ccccc1)NN,3.574682221
55561,55-56-1,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1,3.925533824
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.347588276
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,5.157954678
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,4.136202486
56042,1956/4/2,Cc1cc(=O)[nH]c(=S)[nH]1,2.189059846
56100,56-10-0,N=C(N)SCCN,2.590612826
56122,1956/12/2,NCCCC(=O)O,1.280953356
56177,56-17-7,NCCSSCCN,3.170156197
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,5.076361503
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.163258305
56531,56-53-1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,3.897232393
56699,56-69-9,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,3.383831142
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.684571299
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.251461518
56815,56-81-5,OCC(O)CO,1.318809067
56826,56-82-6,O=CC(O)CO,1.653588739
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.29452748
57136,57-13-6,NC(N)=O,1.079586399
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.254317016
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.51511051
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.058659897
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.13885824
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.949866587
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.726176365
57556,57-55-6,CC(O)CO,1.057881892
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.155186427
57636,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,2.798871944
57830,57-83-0,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.983030087
57852,57-85-2,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.770027057
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.318548996
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.908024566
58140,58-14-0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.550607431
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.085420154
58184,58-18-4,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.459475777
58275,58-27-5,CC1=CC(=O)c2ccccc2C1=O,3.360929007
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,3.714712694
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,2.602607684
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.97075703
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.848176223
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,2.052257762
58639,58-63-9,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,1.966107733
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.856575938
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.739987205
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.251344287
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,3.10462862
58946,58-94-6,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.329130684
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.342515165
59052,1959/5/2,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,4.87933199
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.311188557
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,2.816424086
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.445080028
59472,59-47-2,Cc1ccccc1OCC(O)CO,2.808807223
59529,59-52-9,OCC(S)CS,3.073037186
59632,59-63-2,Cc1cc(C(=O)NNCc2ccccc2)no1,3.065238055
59892,59-89-2,O=NN1CCOCC1,2.614657919
59972,59-97-2,c1ccc(CC2=NCCN2)cc1,3.204716727
60117,1960/11/7,CN(C)c1ccc(N=Nc2ccccc2)cc1,2.991023717
60231,60-23-1,NCCS,2.521859204
60253,60-25-3,C[N+](C)(C)CCCCCC[N+](C)(C)C,3.125316549
60311,60-31-1,CC(=O)OCC[N+](C)(C)C,2.767037068
60322,60-32-2,NCCCCCC(=O)O,1.272753033
60333,60-33-3,CCCCCC=CCC=CCCCCCCCC(=O)O,0.748888537
60344,60-34-4,CNN,3.120622848
60355,60-35-5,CC(N)=O,0.758515042
60457,60-45-7,CCC1C(=O)NC(=O)C1(C)c1ccccc1,2.96041881
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.360333971
60548,60-54-8,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.150918732
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.03675775
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.223523426
60899,60-89-9,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,3.190984051
61007,61-00-7,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.367708592
61018,1961/1/8,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.519833518
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.193467394
61563,61-56-3,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,2.245461818
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.954416653
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.198669303
61803,61-80-3,Nc1nc2cc(Cl)ccc2o1,3.218213606
61905,61-90-5,CC(C)CC(N)C(=O)O,1.348428588
62237,62-23-7,O=C(O)c1ccc([N+](=O)[O-])cc1,2.140243057
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,2.451294792
62500,62-50-0,CCOS(C)(=O)=O,2.549917157
62566,62-56-6,NC(N)=S,2.242035111
62680,62-68-0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,3.336209185
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.168253849
62748,62-74-8,O=C(O)CF,4.604526661
62759,62-75-9,CN(C)N=O,3.446472687
62908,62-90-8,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1,2.834614091
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,3.497501962
63423,63-42-3,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.534403093
63683,63-68-3,CSCCC(N)C(=O)O,1.496708844
63912,63-91-2,NC(Cc1ccccc1)C(=O)O,1.48588201
63990,63-99-0,Cc1cccc(NC(N)=O)c1,2.563831135
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.133822169
64175,64-17-5,CCO,4.107106285
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.293940653
64551,64-55-1,CCC(C)C(C)(COC(N)=O)COC(N)=O,2.753227961
64562,64-56-2,CC1CCCC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1,3.821480775
64573,64-57-3,O=C(CCCN1CCC2(CCCCCC2)CC1)c1ccc(F)cc1,3.645389516
64584,64-58-4,CC(C)(C)C1CCC2(CC1)CCN(CCCC(=O)c1ccc(F)cc1)CC2,3.794204466
64595,64-59-5,CC1CCC2(CC1)CCN(CCCC(=O)c1ccc(F)cc1)CC2,3.645389516
64608,64-60-8,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1,3.723521345
64619,64-61-9,CC1CCC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1,3.802702591
64631,64-63-1,O=C(CCCN1CCC2(CCCC2)C1)c1ccc(F)cc1,3.683338272
64642,64-64-2,O=C(CCCN1CCC2(CCCC2)CC1)c1ccc(F)cc1,3.783075631
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.81067208
64697,64-69-7,O=C(O)CI,3.394330248
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.497434348
65145,65-14-5,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,3.581946409
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,2.490748995
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,4.342786709
65452,65-45-2,NC(=O)c1ccccc1O,2.359006561
65496,65-49-6,Nc1ccc(C(=O)O)c(O)c1,1.490474936
66057,1966/5/7,CC(CNN)c1ccccc1,2.921469708
66273,66-27-3,COS(C)(=O)=O,2.985016561
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.482898259
66400,66-40-0,CC[N+](CC)(CC)CC,3.067733605
66568,66-56-8,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],2.9863167
66751,66-75-1,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,5.304664555
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,4.881048283
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,2.741693655
67436,67-43-6,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,2.826139949
67481,67-48-1,C[N+](C)(C)CCO,2.390118919
67561,67-56-1,CO,0.628982319
67630,67-63-0,CC(C)O,1.341888236
67663,67-66-3,ClC(Cl)Cl,2.12558678
67685,67-68-5,CS(C)=O,0.979037322
67732,67-73-2,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,4.032363535
68122,1968/12/2,CN(C)C=O,1.717759635
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,3.298060807
68768,68-76-8,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,5.665121127
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.10057005
69238,69-23-8,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.641008829
69330,69-33-0,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,5.425301034
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.782115699
69727,69-72-7,O=C(O)c1ccccc1O,2.675313389
69749,69-74-9,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,1.673229932
69794,69-79-4,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.048681666
69818,69-81-8,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21,2.267486214
70224,70-22-4,O=C1CCCN1CC#CCN1CCCC1,4.671023394
70291,70-29-1,CCS(=O)CC,1.385602184
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,4.26707248
70586,70-58-6,NC(=O)c1cncc(F)c1,2.398302803
70699,70-69-9,CCC(=O)c1ccc(N)cc1,3.433385757
71001,71-00-1,NC(Cc1cnc[nH]1)C(=O)O,1.417154855
71238,71-23-8,CCCO,1.44358831
71363,71-36-3,CCCCO,1.819960131
71410,71-41-0,CCCCCO,2.182543753
71432,71-43-2,c1ccccc1,4.851336192
71556,71-55-6,CC(Cl)(Cl)Cl,1.56971489
71589,71-58-9,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,2.632942944
71625,71-62-5,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC,5.284462962
72173,72-17-3,CC(O)C(=O)O,1.653588739
72184,72-18-4,CC(C)C(N)C(=O)O,1.310524907
72195,72-19-5,CC(O)C(N)C(=O)O,1.381159114
72333,72-33-3,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,2.014852223
72639,72-63-9,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.849371714
73096,1973/9/6,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,2.256620019
73245,73-24-5,Nc1ncnc2nc[nH]c12,2.834086587
73314,73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,2.312554822
73325,73-32-5,CCC(C)C(N)C(=O)O,1.252720989
73518,73-51-8,C[N+](C)(CCO)C(=O)Cc1ccc(-c2ccc(CC(=O)[N+](C)(C)CCO)cc2)cc1,6.964360215
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.26474625
74113,1974/11/3,O=C(O)c1ccc(Cl)cc1,2.194703004
74555,74-55-5,CCC(CO)NCCNC(CC)CO,2.23111688
74613,74-61-3,O=S(=O)(O)CC(S)CS,2.275496654
74884,74-88-4,CI,3.147780367
74942,74-94-2,CNC,3.062967467
74964,74-96-4,CCBr,1.79425296
75036,1975/3/6,CCI,2.674515994
75058,1975/5/8,CC#N,1.683925974
75081,1975/8/1,CCS,2.439241842
75092,1975/9/2,ClCCl,1.967180991
75116,1975/11/6,ICI,2.822562283
75127,1975/12/7,NC=O,0.897733168
75252,75-25-2,BrC(Br)Br,2.785658175
75569,75-56-9,CC1CO1,2.587935349
75570,75-57-0,C[N+](C)(C)C,3.674626031
75627,75-62-7,ClC(Cl)(Cl)Br,3.221718807
75661,75-66-1,CC(C)(C)S,2.184311191
75741,75-74-1,C[Pb](C)(C)C,3.472821434
75898,75-89-8,OCC(F)(F)F,2.677950047
75912,75-91-2,CC(C)(C)OO,3.015311568
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,4.140718656
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.639295574
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.722391034
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.996121858
76904,76-90-4,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,3.333387322
77021,1977/2/1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.393281962
77656,77-65-6,CCC(Br)(CC)C(=O)NC(N)=O,2.744498184
77736,77-73-6,C1=CC2C3C=CC(C3)C2C1,2.82022117
77758,77-75-8,C#CC(C)(O)CC,2.261893894
77770,77-77-0,C=CS(=O)(=O)C=C,4.595338201
77792,77-79-2,O=S1(=O)CC=CC1,1.567309477
77816,77-81-6,CCOP(=O)(C#N)N(C)C,5.519664624
77930,77-93-0,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.839297316
78002,78-00-2,CC[Pb](CC)(CC)CC,4.333713211
78284,78-28-4,CCC(C)(CC)OC(N)=O,2.528504143
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,2.168343066
78342,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,4.182367092
78400,78-40-0,CCOP(=O)(OCC)OCC,2.357353494
78422,78-42-2,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.161010436
78444,78-44-4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2.762318378
78488,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,3.175431734
78535,78-53-5,CCOP(=O)(OCC)SCCN(CC)CC,5.652160892
78671,78-67-1,CC(C)(C#N)N=NC(C)(C)C#N,3.817464882
78706,78-70-6,C=CC(C)(O)CCC=C(C)C,2.701095244
78831,78-83-1,CC(C)CO,2.012620492
78875,78-87-5,CC(Cl)CCl,2.011635792
78922,78-92-2,CCC(C)O,1.793312545
78933,78-93-3,CCC(C)=O,2.074788736
78955,78-95-5,CC(=O)CCl,3.063169107
79005,79-00-5,ClCC(Cl)Cl,2.701926233
79016,1979/1/6,ClC=C(Cl)Cl,2.010670982
79061,1979/6/1,C=CC(N)=O,2.8974988
79083,1979/8/3,O=C(O)CBr,3.443882296
79107,1979/10/7,C=CC(=O)O,3.515289657
79163,79-16-3,CNC(C)=O,1.424554977
80002,80-00-2,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1,2.703673046
80068,1980/6/8,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.5664253
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,3.102732892
80091,1980/9/1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,2.796357479
80126,1980/12/6,O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,1.69495058
80159,80-15-9,CC(C)(OO)c1ccccc1,3.204671073
80499,80-49-9,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.549157335
80626,80-62-6,C=C(C)C(=O)OC,1.877309752
80637,80-63-7,C=C(Cl)C(=O)OC,3.649749408
80773,80-77-3,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.869138125
81458,81-45-8,O=C(Nc1ccc(Cl)c2c1C(=O)c1ccccc1C2=O)c1ccccc1,2.25741936
81516,81-51-6,Nc1c(O)cc(O)c2c1C(=O)c1ccccc1C2=O,2.00899001
81607,81-60-7,O=C1c2c(O)ccc(O)c2C(=O)c2c(O)ccc(O)c21,2.092484586
81641,81-64-1,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,2.05837902
81845,81-84-5,O=C1OC(=O)c2cccc3cccc1c23,2.996023254
81889,81-88-9,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,3.597741206
81969,81-96-9,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,2.109974866
81981,81-98-1,O=C1c2cc(Br)ccc2-c2ccc(Br)c3cccc1c23,1.898700561
82020,82-02-0,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,3.570284354
82053,1982/5/3,O=C1c2ccccc2-c2cccc3cccc1c23,2.186138558
82348,82-34-8,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-],2.3822967
82359,82-35-9,O=C1c2cccc([N+](=O)[O-])c2C(=O)c2cccc([N+](=O)[O-])c21,1.978977865
82451,82-45-1,Nc1cccc2c1C(=O)c1ccccc1C2=O,2.172663246
82688,82-68-8,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.771346384
83078,1983/7/8,Cc1c(N)c(=O)n(-c2ccccc2)n1C,2.228838624
83125,1983/12/5,O=C1c2ccccc2C(=O)C1c1ccccc1,3.06807449
83329,83-32-9,c1cc2c3c(cccc3c1)CC2,2.409966919
83749,83-74-9,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,3.330611071
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,5.391842249
83885,83-88-5,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,2.827425818
84162,84-16-2,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,3.130931718
84220,84-22-0,c1ccc2c(c1)CCCC2C1=NCCN1,3.215288594
84366,84-36-6,CCOC(=O)Oc1c(OC)cc(C(=O)OC2CC3CN4CCc5c([nH]c6cc(OC)ccc56)C4CC3C(C(=O)OC)C2OC)cc1OC,3.367580056
