RTECS_ID,CAS_RN,SMILES,rabbit_intraperitoneal_LD50
336618,336-61-8,O=C(Nc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,4.55803321
356274,356-27-4,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.986036842
377004,377-00-4,O=C=NCC(F)(F)C(F)(F)C(F)(F)F,4.097031598
404864,404-86-4,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,3.785924625
422640,422-64-0,O=C(O)C(F)(F)C(F)(F)F,3.379864536
461585,461-58-5,N#CNC(=N)N,1.447581779
467630,467-63-0,CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,3.511374159
494973,494-97-3,c1cncc(C2CCCN2)c1,4.03415401
502556,502-55-6,CCOC(=S)SSC(=S)OCC,2.879404136
518752,518-75-2,CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)C1=O,3.699404082
533744,533-74-4,CN1CSC(=S)N(C)C1,3.106469307
535897,535-89-7,Cc1cc(N(C)C)nc(Cl)n1,4.535625729
548005,548-00-5,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,3.380596401
548629,548-62-9,CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,4.872198243
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.674485577
554994,554-99-4,CN(C)CC(O)c1ccc(O)c(O)c1,3.993951787
587633,587-63-3,COC1=CC(=O)OC(CCc2ccccc2)C1,2.821941903
616308,616-30-8,NCC(O)CO,2.662900856
616682,616-68-2,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,3.417375532
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,3.705413796
662500,662-50-0,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,3.22811507
673314,673-31-4,NC(=O)OCCCc1ccccc1,2.79853919
777117,777-11-7,Clc1cc(Cl)c(OCC#CI)cc1Cl,3.421259169
867845,867-84-5,NCC(F)C(=O)O,3.598360821
900958,900-95-8,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.611800816
991424,991-42-4,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,2.708914407
1018719,1018-71-9,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,3.388872235
1069665,1069-66-5,CCCC(CCC)C(=O)O,2.079826177
1492020,1492-02-0,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,2.996227011
1520781,1520-78-1,C[PbH2+](C)C,4.229290964
1553602,1553-60-2,CC(C)Cc1ccc(CC(=O)O)cc1,4.28388442
1746016,1746-01-6,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,6.106420262
1824528,1824-52-8,CC(c1ccccc1)C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,2.206174756
1882264,1882-26-4,CNC(=O)OCc1cccc(COC(=O)NC)n1,2.233301457
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.13417073
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,1.892842837
2698411,2698-41-1,N#CC(C#N)=Cc1ccccc1Cl,3.769549589
2702729,2702-72-9,O=C(O)COc1ccc(Cl)cc1Cl,2.742408916
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.064019194
3007532,3007-53-2,CCCCCCCCCCCC(=O)N(C)C,2.356775181
3015654,3015-65-4,CCCCCCCCCCCCCC(=O)N(C)C,2.231207847
3131279,3131-27-9,COCc1c(CO)cnc(C)c1O,4.032493142
3426582,3426-58-2,Cn1cc(CCc2cc[n+](CCC[N+](C)(C)C)cc2)c2ccccc21,3.574045422
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.606604905
5830308,5830-30-8,CCCCCC(=O)N(C)C,2.440030648
5984598,5984-59-8,CC(C)CCCC(C)N,3.467967795
6064831,6064-83-1,O=C(O)c1ccccc1OP(=O)(O)O,2.519113721
9067327,9067-32-7,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(O)C1O,2.630154518
14187327,14187-32-7,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2.923323557
14433762,14433-76-2,CCCCCCCCCC(=O)N(C)C,1.998560101
14641964,14641-96-4,CN1C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2,3.180988444
14679733,14679-73-3,CCOC(=O)NNc1nncc2ccccc12,2.712730119
17854590,17854-59-0,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,3.785453403
18787401,18787-40-1,CCCCCCCCc1ccc(C(=O)CCN2CCCCC2)cc1,3.300408378
19902911,19902-91-1,COC1=CC(=O)OC(CCc2ccc3c(c2)OCO3)C1,2.964240768
21256188,21256-18-8,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,3.072892957
22904401,22904-40-1,O=C(O)CN1CCN(CC(=O)O)CC(=O)O[PbH2]OC(=O)C1,2.737065706
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.756397219
23978554,23978-55-4,C1COCCOCCNCCOCCOCCN1,3.369663046
24916516,24916-51-6,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,2.83304997
26305033,26305-03-3,CC(C)CC(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(O)CC(=O)NC(C)C(=O)NC(CC(C)C)C(O)CC(=O)O)C(C)C)C(C)C,2.922449483
28434006,28434-00-6,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1.43138387
32954588,32954-58-8,CC(O)CCC(=O)c1ccoc1,3.74868408
33100275,33100-27-5,C1COCCOCCOCCOCCO1,2.594757466
42003394,42003-39-4,ClC[Si]12OCCN(CCO1)CCO2,1.87260685
50782699,50782-69-9,CCOP(C)(=O)SCCN(C(C)C)C(C)C,6.607576862
51762051,51762-05-1,COC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,1.960721625
54708519,54708-51-9,COc1cc(C(=O)N(C)C)nn1-c1cccc(Cl)c1,2.429701048
55792217,55792-21-7,CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,3.249694616
56611655,56611-65-5,CCOC(=O)c1c(C)cc2c(CO)n[nH]c(=O)c2c1C,2.59627027
59937289,59937-28-9,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,2.643076358
60325464,60325-46-4,CS(=O)(=O)NC(=O)CCCC=CCC1C(=O)CC(O)C1C=CC(O)COc1ccccc1,5.190861867
68931033,68931-03-3,CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC,3.880492038
77967056,77967-05-6,C[N+](C)(CCO)C(=O)CCc1ccc(-c2ccc(CCC(=O)[N+](C)(C)CCO)cc2)cc1,4.344981414
104485010,104485-01-0,CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,3.848356259
1403663,1403-66-3,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.548733278
2312767,2312-76-7,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.925891145
4685147,4685-14-7,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,4.01484243
7681938,7681-93-8,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.990791173
25425121,25425-12-1,COc1cc(=O)oc(C=CC=CC=CC(C)=CC2(C)OC(C)C(C)(O)C2O)c1C,4.002691866
51481619,51481-61-9,CN/C(=N\C#N)NCCSCc1[nH]cnc1C,2.375464882
51627146,51627-14-6,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1,2.489032685
67330250,67330-25-0,CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1,1.467371288
