RTECS_ID,CAS_RN,SMILES,rabbit_oral_LDLo
77781,77-78-1,COS(=O)(=O)OC,3.447616212
77861,77-86-1,NC(CO)(CO)CO,2.083273229
78002,78-00-2,CC[Pb](CC)(CC)CC,4.032683215
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075
78831,78-83-1,CC(C)CO,1.295921721
79016,1979/1/6,ClC=C(Cl)Cl,1.253455033
79243,79-24-3,CC[N+](=O)[O-],2.176479056
79469,79-46-9,CC(C)[N+](=O)[O-],2.250878453
80091,1980/9/1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,1.726319612
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2.391842249
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,1.477370179
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.580335094
87901,87-90-1,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,2.08750121
88891,88-89-1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,3.280851426
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,2.301669385
90051,1990/5/1,COc1ccccc1O,1.792878247
90493,90-49-3,CCC(C(=O)NC(N)=O)c1ccccc1,2.314383429
90642,90-64-2,O=C(O)C(O)c1ccccc1,1.881239107
91156,91-15-6,N#Cc1ccccc1C#N,3.709724375
91203,91-20-3,c1ccc2ccccc2c1,1.630678683
92875,92-87-5,Nc1ccc(-c2ccc(N)cc2)cc1,2.964358644
94097,1994/9/7,CCOC(=O)c1ccc(N)cc1,2.157291171
94597,94-59-7,C=CCc1ccc2c(c1)OCO2,2.210018718
95487,95-48-7,Cc1ccccc1O,2.060858512
96333,96-33-3,C=CC(=O)OC,2.487794676
97052,1997/5/2,O=C(O)c1cc(S(=O)(=O)O)ccc1O,2.224883528
97392,97-39-2,Cc1ccccc1NC(=N)Nc1ccccc1C,3.475892637
97449,97-44-9,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,3.342567948
97632,97-63-2,C=C(C)C(=O)OCC,1.497546463
97745,97-74-5,CN(C)C(=S)SC(=S)N(C)C,3.318849781
98011,1998/1/1,O=Cc1ccco1,2.079565607
98806,98-80-6,OB(O)c1ccccc1,2.307966447
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.245198819
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,2.62352839
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.3652071
100630,100-63-0,NNc1ccccc1,3.63606242
102089,102-08-9,S=C(Nc1ccccc1)Nc1ccccc1,2.182452697
103844,103-84-4,CC(=O)Nc1ccccc1,1.954776203
106445,106-44-5,Cc1ccc(O)cc1,2.241594676
108032,108-03-2,CCC[N+](=O)[O-],2.551908449
108203,108-20-3,CC(C)OC(C)C,1.231201897
108394,108-39-4,Cc1cccc(O)c1,1.88785833
108872,108-87-2,CC1CCCCC1,1.390002846
108930,108-93-0,OC1CCCCC1,1.658275971
108941,108-94-1,O=C1CCCCC1,1.787748197
109319,109-31-9,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,2.552116787
109740,109-74-0,CCCC#N,3.140552036
109784,109-78-4,N#CCCO,1.8974988
109977,109-97-7,c1cc[nH]c1,2.65934693
110009,110-00-9,c1ccoc1,2.463771793
110178,110-17-8,O=C(O)C=CC(=O)O,1.365757463
110690,110-69-0,CCCC=NO,2.940127837
110827,110-82-7,C1CCCCC1,1.184753358
113008,113-00-8,N=C(N)N,2.072411671
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.350751818
115695,115-69-5,CC(N)(CO)CO,1.845664322
115866,115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.036479847
118558,118-55-8,O=C(Oc1ccccc1)c1ccccc1O,1.85373876
118967,118-96-7,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.657308321
120321,120-32-1,Oc1ccc(Cl)cc1Cc1ccccc1,2.547423334
120809,120-80-9,Oc1ccccc1O,2.740804655
121324,121-32-4,CCOc1cc(C=O)ccc1O,1.743447046
121335,121-33-5,COc1cc(C=O)ccc1O,1.705147848
121595,121-59-5,NC(=O)Nc1ccc([As](=O)(O)O)cc1,3.114078631
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.43981147
121824,121-82-4,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,2.647611795
123422,123-42-2,CC(=O)CC(C)(C)O,1.397323551
123751,123-75-1,C1CCNC1,2.454070058
124685,124-68-5,CC(C)(N)CO,1.950062886
124765,124-76-5,CC1(C)C2CCC1(C)C(O)C2,1.887203624
126114,126-11-4,O=[N+]([O-])C(CO)(CO)CO,2.781376189
127184,127-18-4,ClC(Cl)=C(Cl)Cl,1.520703572
127639,127-63-9,O=S(=O)(c1ccccc1)c1ccccc1,1.666910118
128370,128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,2.020905586
130267,130-26-7,Oc1c(I)cc(Cl)c2cccnc12,3.087074049
131793,131-79-3,Cc1ccccc1N=Nc1c(N)ccc2ccccc12,2.417185945
135193,135-19-3,Oc1ccc2ccccc2c1,1.579100339
137973,137-97-3,Cc1ccccc1NC(=S)Nc1ccccc1C,1.931752725
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.825945143
144752,144-75-2,O=S(O)CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)O)cc2)cc1,2.129787608
144809,144-80-9,CC(=O)NS(=O)(=O)c1ccc(N)cc1,1.631942718
144832,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,1.095683572
300549,300-54-9,CC1OC(C[N+](C)(C)C)CC1O,3.065116419
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.139362136
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,2.723887836
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.292752418
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,3.785820809
333937,333-93-7,NCCCCN,1.741122041
464482,464-48-2,CC12CCC(CC1=O)C2(C)C,1.881490221
468280,468-28-0,CC(C)=CCC1C(=O)C(=C(O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,2.617614632
477327,477-32-7,CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,2.811145861
479925,479-92-5,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,2.663344677
491929,491-92-9,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,3.156522995
494473,494-47-3,C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,3.729605343
499752,499-75-2,Cc1ccc(C(C)C)cc1O,3.176730649
500287,500-28-7,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,2.473714641
504881,504-88-1,O=C(O)CC[N+](=O)[O-],2.525595884
515833,515-83-3,CCOC(O)C(Cl)(Cl)Cl,2.245191764
524834,524-83-4,CCN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,3.174693884
528927,528-92-7,C=CCC(C(=O)NC(N)=O)C(C)C,2.168471555
530358,530-35-8,CCN(C)C(C)C(O)c1ccccc1,2.545846697
532321,532-32-1,O=C(O)c1ccccc1,1.785767469
538078,538-07-8,CCN(CCCl)CCCl,5.054569648
540727,540-72-7,N#CS,2.013868948
545937,545-93-7,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,3.108909136
554723,554-72-3,NC(=O)CNc1ccc([As](=O)(O)O)cc1,3.136891715
555771,555-77-1,ClCCN(CCCl)CCCl,5.009722776
563417,563-41-7,NNC(N)=O,2.27341221
573580,573-58-0,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,2.036571678
594718,594-71-8,CC(C)(Cl)[N+](=O)[O-],2.392834077
594729,594-72-9,CC(Cl)(Cl)[N+](=O)[O-],2.982141529
595482,595-48-2,CC(=O)C(O)(O)C(=O)O,1.282288634
598925,598-92-5,CC(Cl)[N+](=O)[O-],3.03946171
600259,600-25-9,CCC(Cl)[N+](=O)[O-],3.392834077
617050,617-05-0,CCOC(=O)c1ccc(O)c(OC)c1,1.815582175
624180,624-18-0,Nc1ccc(N)cc1,2.63606242
625229,625-22-9,CCCCOS(=O)(=O)OCCCC,3.039527718
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,4.921804599
680319,680-31-9,CN(C)P(=O)(N(C)C)N(C)C,2.07725644
753731,753-73-1,C[Sn](C)(Cl)Cl,3.642834354
818086,818-08-6,CCCC[Sn](=O)CCCC,2.220006915
938738,938-73-8,CCOc1ccccc1C(N)=O,2.041897752
941695,941-69-5,O=C1C=CC(=O)N1c1ccccc1,3.238475165
964523,964-52-3,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.145165317
991424,991-42-4,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,2.708914407
1071734,1071-73-4,CC(=O)CCCO,1.465098044
1461252,1461-25-2,CCCC[Sn](CCCC)(CCCC)CCCC,1.84157844
1520270,1520-27-0,NC(=S)Nc1ccc(O)cc1,2.748758956
1631294,1631-29-4,O=C1C=CC(=O)N1c1ccc(Cl)cc1,2.773192775
1879090,1879-09-0,Cc1cc(C)c(O)c(C(C)(C)C)c1,3.510727756
1937377,1937-37-7,Nc1ccc(N=Nc2ccc(-c3ccc(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)c(N=Nc6ccccc6)c(O)c5c4N)cc3)cc2)c(N)c1,2.766867523
2052462,2052-46-2,CN(C)c1ccc(N)cc1,2.958079471
2063196,2063-19-6,CC(C)(O)C#CBr,2.735103649
2095581,2095-58-1,C=CCC1(C(C)CC)C(=O)NC(=S)NC1=O,2.681834368
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.562298153
2227136,2227-13-6,Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1,2.380290319
2244215,2244-21-5,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,2.179194242
2602462,2602-46-2,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c12,2.324714477
2633547,2633-54-7,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.923730902
2702729,2702-72-9,O=C(O)COc1ccc(Cl)cc1Cl,2.44137892
2929875,2929-87-5,Cc1cc(C(C)(C)C)c(OB(OC(C)C)OC(C)C)c(C(C)(C)C)c1,1.69690032
2959344,2959-34-4,CCn1nc2c3ccccc3c3ccccc3c2nc1=N,3.73929855
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,2.937598124
3542367,3542-36-7,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,3.221221175
4129173,4129-17-3,N#[N+][N-]P(=O)(c1ccccc1)c1ccccc1,3.593582595
4281678,4281-67-8,O=P(Oc1ccccc1)(Oc1ccccc1)OC1CCCCC1,1.521577388
4335095,09-05-35,Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5ccc(O)cc5)cc4)cc3)c(O)c12,2.284809973
4368289,4368-28-9,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)CO,4.629096849
5588330,5588-33-0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,2.684156135
5746134,5746-13-4,O=C(O)CC(O)(CC(=O)O)C(=O)O,1.43848132
6045392,6045-39-2,COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,3.135660483
6155573,6155-57-3,O=C1NS(=O)(=O)c2ccccc21,1.612382023
6360549,6360-54-9,Cc1cc(N=Nc2ccc(S(=O)(=O)O)cc2)c(N)c(N=Nc2ccc(-c3ccc(N=Nc4cc(C)c(O)c(C(=O)O)c4)cc3)cc2)c1N,2.021224582
6637883,6637-88-3,Cc1cc(-c2ccc(N=Nc3c(N)c(C)cc(S(=O)(=O)O)c3N)c(C)c2)ccc1N=Nc1ccc(O)c(C(=O)O)c1,1.680198736
8047992,8047-99-2,CCNS(=O)(=O)c1ccc(C)cc1,1.998422822
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,2.443123678
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,4.566376203
13021506,13021-50-6,CCOCC(O)COC(C)C,1.417736802
13347427,13347-42-7,Oc1ccc(Cl)cc1C1CCCC1,2.670504285
13559665,13559-66-5,CC12CCC(CC1=NO)C2(C)C,3.320281333
14008447,14008-44-7,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,2.347924933
14484641,14484-64-1,CN(C)C1=[S][Fe+3]23([S]=C(N(C)C)[S-]2)([S]=C(N(C)C)[S-]3)[S-]1,2.142505221
14729294,14729-29-4,CC1=CC2OC3CC4OC(=O)C=CC=CC(C(C)O)OCCC(C)C(O)C(=O)OCC2(CC1)C4(C)C31CO1,5.364697788
15686712,15686-71-2,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,2.142884805
16071866,16071-86-6,O=C(O)c1cc(/N=N/c2ccc(-c3ccc(NN=c4c(=O)ccc(=NNc5cc(S(=O)(=O)O)ccc5O)c4=O)cc3)cc2)ccc1O,2.514957284
16090021,16090-02-1,O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,2.944961119
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,2.834251531
16891853,16891-85-3,CC1=CC(=O)OCC23CCC(C)=CC2OC2CC(OC(=O)C=CC=CC(C(C)O)OCC1)C3(C)C21CO1,4.473436338
17086203,17086-20-3,CCCO[Bi](O)O,2.319956555
21462395,21462-39-5,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,5.628379733
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.610269183
24082368,24082-36-8,c1ccc(P(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,2.664157589
24204135,24204-13-5,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,2.877063083
24789784,24789-78-4,CCN(CC)CCNC(=O)COc1cc(OC)c(OC)c(OC)c1,2.532015067
25047487,25047-48-7,COc1cc2c(OC3OCC(OC)C(OC)C3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,4.033842567
25103097,25103-09-7,CC(C)CCCCCOC(=O)CS,2.231161516
28407376,28407-37-6,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c3c(c12)O[Cu]Oc1cc(-c2ccc4c(c2)O[Cu]Oc2c(c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)cc(N)c25)N=N4)ccc1N=N3,2.406669633
29717268,29717-26-8,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c(I)c(I)c(I)c(I)c21,2.927606091
31900046,31900-04-6,CNc1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(NC)nc(Nc5ccccc5)n4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)n1,2.8858371
33820530,33820-53-0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],2.189442586
33921129,33921-12-9,Nc1ccccc1,2.270114935
35285699,35285-69-9,CCCOC(=O)c1ccc(O)cc1,1.477610766
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.326845653
53179116,53179-11-6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,3.474442097
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.447252661
53734795,53734-79-5,COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1,3.009146528
57590202,57590-20-2,CCCC/C=N/N(C)C=O,2.60883766
57590213,57590-21-3,CC(C)C/C=N/N(C)C=O,2.60883766
63496480,63496-48-0,Oc1ccccc1,2.350400327
63833998,63833-99-8,CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1CCCC1,2.571668078
63917408,63917-40-8,CB1P(C)B(C)P(C)B(C)P1C,3.731524301
68401821,68401-82-1,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,2.07851459
73080510,73080-51-0,Cc1ccc2c([nH]c(=O)c3c(=O)cc(C(=O)OCCC(C)C)oc32)c1C,1.851735199
73954173,73954-17-3,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,2.088710705
119168773,119168-77-3,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,3.523568292
120162552,120162-55-2,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,1.928808441
1328901,1328-90-1,COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,3.962760672
1329868,1329-86-8,OCC(Br)(Br)Br,2.41002068
1421289,1421-28-9,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,2.555334817
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.476208277
2343364,2343-36-4,O=C(CF)NNc1ccccc1,4.995302185
2409554,2409-55-4,Cc1ccc(O)c(C(C)(C)C)c1,1.893280795
2429734,2429-73-4,Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c2c1,1.883534251
2429847,2429-84-7,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)cc1,1.987950638
3333526,3333-52-6,CC(C)(C#N)C(C)(C)C#N,3.736230722
3696239,3696-23-9,NC(=S)Nc1ccc(Cl)cc1,3.726999503
4618182,4618-18-2,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,1.154191851
4685147,4685-14-7,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,3.431077062
41814782,41814-78-2,Cc1cccc2sc3nncn3c12,2.771869846
65928587,65928-58-7,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,2.493353473
