RTECS_ID,CAS_RN,SMILES,mouse_oral_LDLo
300549,300-54-9,CC1OC(C[N+](C)(C)C)CC1O,2.366146415
303219,303-21-9,Cc1c([N+](=O)[O-])cc(C(C)C)c(O)c1[N+](=O)[O-],3.234472087
306127,306-12-7,Nc1cc([As]=O)ccc1O,3.122851286
306672,306-67-2,NCCCNCCCCNCCCN,3.053241593
314421,314-42-1,Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,1.818827417
328041,328-04-1,CCP(=S)(Oc1ccc([N+](=O)[O-])cc1Cl)OC(C)C,3.71780199
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,3.563972059
329895,329-89-5,NC(=O)c1ccc(N)nc1,2.6320205
333299,333-29-9,CCOP(=S)(N=C1SCCS1)OCC,3.641168545
333937,333-93-7,NCCCCN,1.741122041
363428,363-42-8,Cc1cccc(C)c1OC(C)C[N+](C)(C)C,2.200913004
403907,403-90-7,NC(Cc1ccc(O)c(F)c1)C(=O)O,4.153119873
477736,477-73-6,Cc1cc2nc3cc(C)c(N)cc3[n+](-c3ccccc3)c2cc1N,2.294741706
479414,479-41-4,O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=O,1.418745304
495545,495-54-5,Nc1ccc(N=Nc2ccccc2)c(N)c1,2.104924376
498168,498-16-8,C=C(C)C(CO)CC=C(C)C,1.489263615
501304,501-30-4,O=c1cc(CO)occ1O,1.550564648
512481,512-48-1,C=CCC(CC)(CC)C(N)=O,2.713885177
513122,513-12-2,CCS(=O)(=O)CCO,0.994342296
517259,517-25-9,O=[N+]([O-])C([N+](=O)[O-])[N+](=O)[O-],2.70195347
524425,524-42-5,O=C1C=Cc2ccccc2C1=O,2.169701895
524834,524-83-4,CCN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,3.687588409
533733,533-73-3,Oc1ccc(O)c(O)c1,4.100752969
536436,536-43-6,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,3.461527039
541957,541-95-7,CCCC(C)OC(N)=O,2.117851073
563473,563-47-3,C=C(C)CCl,1.45721576
573206,573-20-6,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,1.855776506
590283,590-28-3,N#CO,4.031660888
591082,591-08-2,CC(=O)NC(N)=S,3.099346304
592621,592-62-1,CC(=O)OCN=[N+](C)O,3.580198101
598527,598-52-7,CNC(N)=S,1.653940553
599882,599-88-2,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,1.217993612
603338,603-33-8,c1ccc([Bi](c2ccccc2)c2ccccc2)cc1,3.138596734
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.287550931
624180,624-18-0,Nc1ccc(N)cc1,3.034002429
625536,625-53-6,CCNC(N)=S,2.318806011
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,3.705413796
639145,639-14-5,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC43C)C2C1,2.371708667
672060,672-06-0,CCc1cc(OC(=O)NC)c(Cl)c(C)c1Cl,3.445398815
709557,709-55-7,CCNCC(O)c1cccc(O)c1,2.720422977
789026,789-02-6,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,2.549605214
828002,828-00-2,CC(=O)OC1CC(C)OC(C)O1,1.793880147
836306,836-30-6,O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,1.728808133
869249,869-24-9,CCN(CC)CCCl,2.627231399
872504,872-50-4,CN1CCCC1=O,1.519096994
930734,930-73-4,C[n+]1ccccc1,1.769640371
965526,965-52-6,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,1.66152874
989388,989-38-8,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C,3.947989224
1080122,1080-12-2,COc1cc(C=CC(C)=O)ccc1O,1.982755021
1122583,1122-58-3,CN(C)c1ccncc1,2.414870271
1135995,1135-99-5,Cl[Sn](Cl)(c1ccccc1)c1ccccc1,2.864244646
1620195,1620-19-5,C[N+](C)(C)c1cccc(O)c1,2.881433163
1689823,1689-82-3,Oc1ccc(N=Nc2ccccc2)cc1,2.39406844
1695778,1695-77-8,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,1.220569608
1941271,1941-27-1,CCCC[N+](CCCC)(CCCC)CCCC,2.180539821
2032599,2032-59-9,CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.345480096
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.736230722
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.738389412
2205734,2205-73-4,CC(=O)SC1CC2=CC(=O)CC(SC(C)=O)C2(C)C2CCC3(C)C(CCC3(C)O)C12,2.321416335
2469343,2469-34-3,CC1(C)CCC2(C(=O)O)CCC3=C(C(CCl)CC4C3(C)CCC3C4(C)CC(O)C(O)C3(C)C(=O)O)C2C1,2.730085069
2611827,2611-82-7,O=C1C=Cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2C1=NNc1ccc(S(=O)(=O)O)c2ccccc12,1.82812556
2782914,2782-91-4,CN(C)C(=S)N(C)C,2.422366562
2835394,2835-39-4,C=CCOC(=O)CC(C)C,2.453923484
2845821,2845-82-1,O=c1[nH]nc(-c2ccncc2)o1,1.911519814
2865705,2865-70-5,Cl[As]1c2ccccc2Oc2ccccc21,3.821685054
2984658,2984-65-8,CCP(=S)(OC)Sc1ccc(C)cc1,2.540271299
2986176,2986-17-6,CC(C)NC(=S)NC(C)C,2.175511813
3094095,09-05-94,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O,1.69230746
3473118,11-08-73,C=NO,3.653608024
3569593,3569-59-3,C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1,3.056451696
3613738,3613-73-8,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,2.952955614
3819247,3819-24-7,c1ccc2c(c1)ccc[n+]2CCCCCCCCCCCCCCCCCCCC[n+]1cccc2ccccc21,3.333539162
3983402,3983-40-2,CNC(=O)Oc1ccc([N+](C)(C)C)cc1,3.621734895
4373346,4373-34-6,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,3.848107795
4808304,4808-30-4,CCCC[Sn](CCCC)(CCCC)S[Sn](CCCC)(CCCC)CCCC,3.114784826
5035676,5035-67-6,CCCCC(CC)C(=O)O[Sn](CCCC)(CCCC)CCCC,2.785495259
5230875,5230-87-5,CC1CC(O)C2(O)C13CC(OC(=O)C3O)C(C)(O)C21COC1=O,5.516293371
5509295,5509-29-5,Cc1cc(OCC[N+](C)(C)C)n(-c2ccccc2)n1,1.814711895
5547295,5547-29-5,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(CO)CSC12,1.248474746
5591708,5591-70-8,Nc1[nH]ncc1-c1ccccc1,2.599861248
5840959,5840-95-9,CCOC(=O)NCCSP(=S)(OC)OC,2.764567198
5847483,5847-48-3,CCCC[Sn](CCCC)(CCCC)OC(=O)CO,2.890316354
5976476,5976-47-6,C=C(Cl)CO,3.166918544
6033132,6033-13-2,N=C(N)CCCCCCCCCCCC(=N)N,3.982985422
6279545,6279-54-5,CCCCOC(=O)c1ccc(O)c(CN(C)C)c1,2.099207424
6284839,6284-83-9,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,2.582420298
6361213,6361-21-3,O=Cc1cc([N+](=O)[O-])ccc1Cl,1.763348428
6440580,6440-58-0,CC1(C)C(=O)N(CO)C(=O)N1CO,1.797459133
6505755,6505-75-5,O=C(Nc1cccc(Cl)c1)c1cc([N+](=O)[O-])ccc1O,2.61513173
6860602,6860-60-2,CC(=O)NNC(=O)CSSCC(=O)NNC(C)=O,1.565785856
7368129,12-09-68,Cc1cc(OCC[N+](C)(C)C)n(Cc2ccccc2)n1,1.834895954
7532607,7532-60-7,CCCCNCC(O)CNc1ccc(C)cc1,4.072542148
8052162,8052-16-2,CCC(C)C1NC(=O)C(NC(=O)C2C(N)C(=O)C(C)C3Oc4c(C)ccc(C(=O)NC5C(=O)NC(C(C)C)C(=O)N6CCCC6C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC5C)c4NC32)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O,3.406714885
10433597,10433-59-7,O=C(O)CCCOc1ccc(Cl)cc1Cl,2.52130026
11024241,11024-24-1,CC1CCC2(OC1)OC1C(O)C3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C,4.135423498
13171216,13171-21-6,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,4.221401196
13430121,13430-12-1,O=C(c1ccccc1)C1CCC(N2CCCCC2)CC1,2.154862643
14362313,14362-31-3,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.302234216
15942480,15942-48-0,CCC(C)(C)c1ccc(Cl)c(OC(=O)NC)c1,3.784557861
16055337,16055-33-7,CC[n+]1c(C=C2Sc3ccccc3N2C)ccc2ccccc21,4.106466962
16297431,16297-43-1,CC(=O)N=C(c1ccccc1)C1(N2CCCCC2)CCCCC1,2.439794397
16846347,16846-34-7,COC1C(O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,2.293345426
17586946,17586-94-6,CCCCCCCC[Sn](CCCCCCCC)(OC(C)=O)OC(C)=O,3.665812615
18864103,18864-10-3,COc1ccc(CNC(C)C(O)c2ccccc2)cc1OC,3.00200182
18871142,18871-14-2,CCCCCC1COCCC1OC(C)=O,1.640836224
19645422,19645-42-2,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(SC(C)C)c1,2.855994443
19962506,19962-50-6,CCC1CCCC(CC)C1N,3.54767683
21263694,21263-69-4,CN(C)CCCNc1ccccc1[N+](=O)[O-],2.871720788
21486293,21486-29-3,O=c1[nH]n(-c2cccc(C(F)(F)F)c2)c2ccccc12,2.666257388
21487149,21487-14-9,CN(C)CCCOc1nn(-c2cccc(C(F)(F)F)c2)c2ccccc12,2.560364606
22001418,22001-41-8,O=C(Nc1ccccc1)Oc1cc(Cl)c(Cl)cc1Cl,1.597381141
25205087,25205-08-7,CC(C)OC(=O)c1ccccc1O[PH](=S)OCCN,4.226628542
25377768,25377-76-8,S=C1NCCS1,2.225068911
26548709,26548-70-9,O=C(O)C(=C1OC(=O)C(c2ccccc2)=C1O)c1ccccc1,2.488958029
27975195,27975-19-5,CC12CCC3C(CCC4C(C)(C(=O)O)CCCC34C)(CC1=O)C2,1.798900283
29025670,29025-67-0,Clc1ccc([Si]23OCCN(CCO2)CCO3)cc1,4.552976796
29094619,29094-61-9,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,2.046831583
29118874,29118-87-4,CNC(=O)ON=C(C)SCCC#N,3.157610011
34491128,34491-12-8,CCSP(=O)(CCl)SCC,3.017651332
35287695,35287-69-5,COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(=O)C4C(=O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(=O)C1C(=O)CC(C)C2O,4.328092698
35462545,35462-54-5,CN(C)c1ccccc1,2.539373655
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.326845653
35944731,35944-73-1,O=S(=O)(F)C1CCC(S(=O)(=O)F)C1,3.396542476
36735225,36735-22-5,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,1.888517584
36791045,36791-04-5,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,1.785698117
39754648,39754-64-8,S=C1NCCC(COc2ccccc2)O1,2.503784848
42609529,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.615804427
42784134,42784-13-4,COC(=O)Nc1nc2ccccc2n1C(=O)COc1ccccc1,1.512316104
50539736,50539-73-6,CC1(C)Cc2cccc(OC(=O)NCSc3ccc(Cl)cc3)c2O1,3.861971472
50539769,50539-76-9,CN(Sc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(=O)Oc1cccc2c1OC(C)(C)C2,4.001427349
50602409,50602-40-9,CCCCCCCCCCCCCCCCCC1=NC(C)CC(C)(C)N1,2.56189051
51023564,51023-56-4,COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,2.45637932
51207319,51207-31-9,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,4.707534693
51287662,51287-66-2,NC(=NP(=O)(O)O)N=C(N)Nc1ccccc1,2.491175986
53310239,53310-23-9,CC[N+](CC)(CC)CCCC#CC1(O)CCCCC1,2.124584099
54826845,54826-84-5,Oc1ccc(C2CNCCO2)cc1O,2.086399876
55156246,55156-24-6,N#[N+][CH-]C(=O)CCC(NC(=O)C(CCC(=O)[CH-][N+]#N)NC(=O)CCC(N)C(=O)O)C(=O)O,3.635303711
59467708,59467-70-8,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,2.813946416
60398223,60398-22-3,CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,4.074309834
62346967,62346-96-7,CC(=O)OCc1ccc(C)cc1C,1.552013239
63680784,63680-78-4,CNC(=O)Oc1cccc2ccc[n+](C)c12,3.035925791
63867527,63867-52-7,OCCN(CCO)c1nc(-c2ccccc2)c(-c2ccccc2)o1,2.149326233
63907040,63907-04-0,CC1C2CCC(C2)C1(C)N(C)C,3.006001613
64048824,64048-82-4,CCC1C2CCC(C2)CN1C,2.758943063
64059183,64059-18-3,CCN(CC)c1cccc(OC(=O)NC)c1,4.045886023
64059490,64059-49-0,CC1C2CCC(C2)CN1C,2.515381323
64633370,64633-37-0,Cc1ccccc1N(CC(C)CN(C)C)c1ccccc1C,2.77299317
64633392,64633-39-2,Cc1ccccc1N(CCCN1CCCCCC1)c1ccccc1C,2.828044748
64633416,64633-41-6,Cc1ccccc1N(OC(=O)CCCN(C)C)c1ccccc1C,2.814833365
64633461,64633-46-1,Cc1ccccc1N(CCCN(C)C)c1ccc(Cl)cc1C,3.023768093
64633483,64633-48-3,Cc1cccc(N(CCCN(C)C)c2ccccc2C)c1,2.751942359
64633507,64633-50-7,Cc1ccccc1NCCCN(C)C,2.58502283
64686824,64686-82-4,NC(=O)c1sc(=S)n(Cc2ccccc2)c1N,3.02590036
71256898,71256-89-8,CCN(CC)CCN=[SH](=O)c1ccsc1-c1cccs1,3.039451135
71257608,71257-60-8,CN(C)CCCN=S(=O)(c1ccccc1)c1cccs1,2.586125762
72956093,72956-09-3,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,1.705951332
73806323,73806-32-3,CN(C)CCCn1c2c(c3ccccc31)CCCCC2,2.227918826
73815119,73815-11-9,COCC1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1,2.052261612
74531876,74531-87-6,CCOC(=O)C(=O)Nc1nc(-c2ccccc2)cs1,2.441407605
74531887,74531-88-7,CCOC(=O)C(=O)Nc1nc(-c2ccc(OC)cc2)cs1,2.486207961
75348413,75348-41-3,CCN(CC)CCOc1ccc(C(=O)NC2CCCCC2)cn1,3.106461524
78361816,78361-81-6,CCCCCC(O)C1C(=O)OC(C)C(O)C=CC=CC=CC=CC=C(C)C(O)C(O)C(O)CC(O)CC(O)CC(O)CC(O)CC1O,2.428676999
82349120,82349-12-0,CC(=O)N1C(=O)C(=C2Nc3ccccc3C2=O)c2ccccc21,1.483309088
82349153,82349-15-3,O=C1C(=C2C(NO)=Nc3ccccc32)Nc2ccccc21,1.442923244
82371946,82371-94-6,CON=C1C(=C2Nc3ccccc3C2=O)c2ccccc2N1C,1.484779434
83156381,83156-38-1,CN1/C(=N\O)C(=C2Nc3ccccc3C2=O)c2ccccc21,1.464355393
83156392,83156-39-2,CN1C(=O)C(=C2C(=O)c3ccccc3N2C)c2ccccc21,1.462879947
84541559,84541-55-9,COc1cc(C(C)C)c(OCCN(C)CCOc2ccccc2)cc1C,2.252238762
84541582,84541-58-2,COc1cc(C(C)C)c(OCCNCCOc2ccccc2)cc1C,2.535885017
96753934,96753-93-4,COC(=O)Nc1nc2ccc(Oc3ccc4nc(NC(=O)OC)[nH]c4c3)cc2[nH]1,2.598093107
99522799,99522-79-9,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,2.24502778
109825470,109825-47-0,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.510891235
117039006,117039-00-6,Cc1ccc(-n2c(SC(CN3CCCCC3)CN3CCCC3=O)nc3ccccc3c2=O)cc1,3.669595781
117039062,117039-06-2,COc1ccc(-n2c(SC(CN3CCCCCC3)CN3CCCC3=O)nc3ccccc3c2=O)cc1,2.98291629
117039073,117039-07-3,N=C(N)SC(CN1CCCCC1)CN1CCCC1=O,3.468996748
125628979,125628-97-9,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,2.948649599
126463669,126463-66-9,Nc1c(NCC=CCOc2cc(CN3CCCCC3)ccn2)c(=O)c1=O,1.852999372
1193028,1193-02-8,Nc1ccc(S)cc1,2.592440475
1253845,1253-84-5,CC(C)CCCC(C)C1CCC2C3CC(O)C4(O)CC(O)CCC4(C)C3CCC12C,2.322919805
1329868,1329-86-8,OCC(Br)(Br)Br,2.752443361
2432908,2432-90-8,CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCC,2.525286735
2439012,01-02-39,Cc1ccc2nc3sc(=O)sc3nc2c1,2.340397779
3267785,3267-78-5,CCC[Sn](CCC)(CCC)OC(C)=O,3.164950202
3336194,3336-19-4,N#Cc1c(Cl)cc(O)cc1Cl,2.121899535
3687136,3687-13-6,CS(=O)(=O)Oc1ccc(Cl)cc1Cl,2.352804426
7568936,7568-93-6,NCC(O)c1ccccc1,2.040387117
7663776,7663-77-6,NCCCN1CCCC1=O,1.948785722
23623316,23623-31-6,C=C(O)C(=O)NC1C=C(C)C=CC(O)CC=C(C)C=CC(O)CC2OC(=O)C1(C)C(=O)C2C,2.963352371
25953177,25953-17-7,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,3.474784264
51671148,51671-14-8,O=C(O)c1ccccc1Nc1ccc(Cl)c2ccccc12,1.871778651
63906887,63906-88-7,O=C(NC(CCN1CCCCC1)c1ccccc1)c1ccccc1,3.51282988
63907028,63907-02-8,CC1C2CCC(C2)C1(C)N,3.013436484
63979884,63979-88-4,Nc1ccc(S(=O)(=O)Nc2nc(-c3ccccc3)cs2)cc1,2.168198816
63982321,63982-32-1,CNC(=O)Oc1cccc(C(C)N(C)C)c1,5.045886023
88475698,88475-69-8,CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21,4.123305981
88671890,88671-89-0,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,2.346626768
89406166,89406-16-6,COc1cc(C=CC(=O)c2ccccc2)ccc1O,2.104290747
90098047,90098-04-7,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,1.870160351
90494498,90494-49-8,COc1ccc(N2CCN(CCc3ccccc3NC3OC(=O)c4ccccc43)CC2)cc1,2.345909651
90494523,90494-52-3,COc1ccccc1N1CCN(CCc2ccccc2NC2OC(=O)c3ccccc32)CC1,2.646939646
91524151,91524-15-1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccc3)cc21,1.778569419
92077786,92077-78-6,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,1.921692717
191217819,191217-81-9,CCCNC1CCc2nc(N)sc2C1,2.094520452
