RTECS_ID,CAS_RN,SMILES,duck_oral_LD50
303479,303-47-9,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,5.907215669
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.502039086
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.869794764
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.444050003
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,4.939308116
386174,386-17-4,O=C1OC(c2cc(I)c(O)c(I)c2)(c2cc(I)c(O)c(I)c2)c2ccccc21,4.01610014
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,2.846187182
556616,556-61-6,CN=C=S,2.730497274
671045,671-04-5,CNC(=O)Oc1cc(C)c(C)cc1Cl,4.949520113
732116,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2.239057305
956901,956-90-1,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,3.511248605
1003403,1003-40-3,Nc1ccncc1,1.350418785
1079330,1079-33-0,CNC(=O)Oc1cccc2sccc12,2.263424478
1162658,1162-65-8,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,5.969495191
1165395,1165-39-5,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,5.621369476
1520781,1520-78-1,C[PbH2+](C)C,3.929711034
1563662,1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,5.72684696
1646884,1646-88-4,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,3.821828227
1689845,1689-84-5,N#Cc1cc(Br)c(O)c(Br)c1,3.141316486
1702176,1702-17-6,O=C(O)c1nc(Cl)ccc1Cl,2.117465866
1757182,1757-18-2,CCOP(=S)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,2.273742992
1861401,1861-40-1,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],2.224380243
1918021,2002/1/18,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,2.081816999
1918167,1918-16-7,CC(C)N(C(=O)CCl)c1ccccc1,2.616434485
2032599,2032-59-9,CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.956880113
2032657,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,4.238842898
2104645,2104-64-5,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,5.032497883
2235430,2235-43-0,O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O,2.076068633
2279643,2279-64-3,NC(=O)N[Hg]c1ccccc1,2.226269871
2631370,2631-37-0,CNC(=O)Oc1cc(C)cc(C(C)C)c1,4.772474689
2675776,2675-77-6,COc1cc(Cl)c(OC)cc1Cl,1.617117816
2686999,2686-99-9,CNC(=O)Oc1cc(C)c(C)c(C)c1,3.943687832
2764729,2764-72-9,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2.514109535
2864611,2864-61-1,CCNP(=O)(OCC)Oc1cc(Cl)c(Cl)cc1Cl,3.646796995
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.663987171
3383968,3383-96-8,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,3.771205006
5086748,5086-74-8,c1ccc(C2CN3CCSC3=N2)cc1,2.328898606
5131248,5131-24-8,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,1.235540056
6923224,6923-22-4,CNC(=O)C=C(C)OP(=O)(OC)OC,4.822286806
7220817,7220-81-7,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1CCOC1O2,5.266885787
7241987,7241-98-7,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1CCOC1O2,5.12973197
7786347,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,4.687778974
10141192,10141-19-2,C=COCC(C)CCCC(C)CC(C)C,2.026077486
10311849,10311-84-9,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,2.622207407
12789036,12789-03-6,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,2.533371632
13171216,13171-21-6,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,4.985312007
13194484,13194-48-4,CCCSP(=O)(OCC)SCCC,5.284065311
13516273,13516-27-3,N=C(N)NCCCCCCCCNCCCCCCCCNC(=N)N,2.557494988
14285439,14285-43-9,CNC(=O)Oc1ccc(SC)c(C(C)C)c1,4.503954023
15879933,15879-93-3,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,3.867452054
16752775,16752-77-5,CNC(=O)ON=C(C)SC,4.033997075
19666309,19666-30-9,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,2.538103496
21564170,21564-17-0,N#CSCSc1nc2ccccc2s1,2.259965725
21725462,21725-46-2,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,2.080442486
22042962,22042-96-2,O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CCN(CP(=O)(O)O)CP(=O)(O)O,2.358631703
22224926,22224-92-6,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,5.25665476
22248799,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,2.26240837
23103982,23103-98-2,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,4.141579193
23135220,23135-22-0,CNC(=O)ON=C(SC)C(=O)N(C)C,4.925997946
23184669,23184-66-9,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,1.827431946
23422539,23422-53-9,CNC(=O)Oc1cccc(/N=C/N(C)C)c1,4.265721662
23505411,23505-41-1,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,5.125017771
23950585,23950-58-5,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.262335805
25057890,25057-89-0,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,1.204633594
25059807,25059-80-7,CCOC(=O)Cn1c(=O)sc2cccc(Cl)c21,1.957008343
28249776,28249-77-6,CCN(CC)C(=O)SCc1ccc(Cl)cc1,1.411259328
29091052,29091-05-2,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1.508183492
30560191,30560-19-1,COP(=O)(NC(C)=O)SC,2.71878393
31876387,31876-38-7,O=c1cc(O)c1=O,4.425630783
33089611,33089-61-1,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,1.622382792
33245395,33245-39-5,CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],2.437140513
33820530,33820-53-0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],2.189442586
34014181,34014-18-1,CNC(=O)N(C)c1nnc(C(C)(C)C)s1,2.659575854
35944742,35944-74-2,COC(=O)c1cncn1C(C)c1ccccc1,3.426211869
36031660,36031-66-0,CCNP(=O)(O)Oc1ccc(Cl)cc1Cl,4.317504046
36476785,36476-78-5,O=C(O)C1CNC1,1.703742638
36734197,36734-19-7,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,1.501705586
38727558,38727-55-8,CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,1.493888646
39196184,39196-18-4,CNC(=O)ON=C(CSC)C(C)(C)C,3.301671003
39515418,39515-41-8,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,2.506332308
50594666,50594-66-6,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.107896191
51218452,51218-45-2,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,2.053337139
52645531,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,1.539424745
52820005,52820-00-5,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.036950519
53780340,53780-34-0,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,1.825259596
55283686,55283-68-6,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3.221761013
55285148,55285-14-8,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,4.671931272
55335063,55335-06-3,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,2.180383
55512339,55512-33-9,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,1.578553259
56073100,56073-10-0,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,5.417825296
57018049,57018-04-9,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,1.779785462
57375630,57375-63-0,CCN(C(=O)Oc1cccc(NC(=O)OC(C)C)c1)c1ccccc1,1.932467423
58138082,58138-08-2,Clc1cc(Cl)cc(C2(CC(Cl)(Cl)Cl)CO2)c1,2.106059448
59682529,59682-52-9,CCOP(=O)(O)C(N)=O,1.375877383
66215278,66215-27-8,Nc1nc(N)nc(NC2CC2)n1,1.442448411
67485294,67485-29-4,CC1(C)CN=C(NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1,2.294477644
67564914,67564-91-4,CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,1.232212629
67747095,67747-09-5,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,2.080140432
68085858,68085-85-8,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.005289967
68505691,68505-69-1,CCS(=O)(=O)Oc1ccc2c(c1)C(C)(C)CO2,1.408787577
69377817,69377-81-7,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,2.105564681
69806504,69806-50-4,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,1.353164672
70124775,70124-77-5,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,2.254954213
71422678,71422-67-8,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,2.333249715
71626114,71626-11-4,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,1.734276975
72178020,72178-02-0,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1.943263952
74115245,74115-24-5,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,2.004539183
74222972,74222-97-2,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1,1.862588103
74223646,74223-64-6,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,2.181672805
75736333,75736-33-3,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,1.540258431
76738620,76738-62-0,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,1.570421744
77732093,77732-09-3,COCC(=O)N(c1c(C)cccc1C)N1CCOC1=O,2.044851969
79277273,79277-27-3,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,2.188484774
79510488,79510-48-8,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)O)n1,1.866101764
79538322,79538-32-2,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,1.999726277
79983714,79983-71-4,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,1.895168304
80060099,80060-09-9,CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,2.408905599
81334341,81334-34-1,CC(C)C1(C)NC(c2ncccc2C(=O)O)=NC1=O,2.08466937
81335377,81335-37-7,CC(C)C1(C)NC(c2nc3ccccc3cc2C(=O)O)=NC1=O,2.160797856
81335775,81335-77-5,CCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,2.128962512
81406373,81406-37-3,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,2.263929444
81777891,81777-89-1,CC1(C)CON(Cc2ccccc2Cl)C1=O,1.979997936
82657043,82657-04-3,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,1.977850973
83055996,83055-99-6,COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,2.213542096
83657185,83657-18-5,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,2.212489907
86479063,86479-06-3,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,2.362807508
97780068,97780-06-8,CCOc1nc(NC)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)n1,2.261037532
100728845,100728-84-5,Cc1ccc(C(=O)O)c(C2=NC(=O)C(C)(C(C)C)N2)c1,2.105819012
110235477,110235-47-7,CC#Cc1cc(C)nc(Nc2ccccc2)n1,1.99666536
110488705,110488-70-5,COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,2.287648357
113036887,113036-88-7,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1,2.383727421
116255482,116255-48-2,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,2.243982369
119446683,119446-68-3,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,2.276375225
1397940,1397-94-0,CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,5.276883929
1420060,1420-06-0,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,2.517780284
1445756,1445-75-6,CC(C)OP(C)(=O)OC(C)C,2.082529955
2385855,2385-85-5,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,2.356620134
3691358,3691-35-8,O=C1C(=C(O)C(c2ccccc2)c2ccc(Cl)cc2)C(=O)c2ccccc21,3.573826232
4685147,4685-14-7,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,2.971261859
7696120,7696-12-0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,2.52036823
7745893,7745-89-3,Cc1ccc(N)cc1Cl,3.895793815
25606411,25606-41-1,CCCOC(=O)NCCCN(C)C,1.47544288
25875518,25875-51-8,N=C(NN=Cc1ccc(Cl)cc1)N/N=C/c1ccc(Cl)cc1,2.516698487
41814782,41814-78-2,Cc1cccc2sc3nncn3c12,3.277019824
67306007,67306-00-7,CC(Cc1ccc(C(C)(C)C)cc1)CN1CCCCC1,2.158146561
87130209,87130-20-9,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,2.074857057
87237487,87237-48-7,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,2.304861099
87818313,87818-31-3,Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2,1.688654122
87820880,87820-88-0,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,2.037769386
89269647,89269-64-7,C/C(=N/Nc1nc(C)cc(C)n1)c1ccccc1C,2.940026693
90035088,90035-08-8,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)Cc2ccccc21,3.734442169
95465999,95465-99-9,CCOP(=O)(SC(C)CC)SC(C)CC,3.070278851
