RTECS_ID,CAS_RN,SMILES,mouse_intraperitoneal_LDLo
328745,328-74-5,Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.86452435
357084,357-08-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,3.611962157
378756,378-75-6,COC(=O)C(F)(F)C(F)(F)F,2.250556613
422059,422-05-9,OCC(F)(F)C(F)(F)F,2.176224422
439894,439-89-4,C=Cc1cncc2c1CCOC2=O,2.641441884
457603,457-60-3,Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.772493825
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.756010551
481856,481-85-6,Cc1cc(O)c2ccccc2c1O,2.638985666
495487,495-48-7,O[N+](=Nc1ccccc1)c1ccccc1,2.60039127
513122,513-12-2,CCS(=O)(=O)CCO,1.140470331
516052,516-05-2,CC(C(=O)O)C(=O)O,2.373235763
520092,520-09-2,Cc1[nH]c(=O)[nH]c(=O)c1N(CCCl)CCCl,4.947969315
536801,536-80-1,O=[IH2]c1ccccc1,3.550521861
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,2.795976136
538329,538-32-9,NC(=O)NCc1ccccc1,2.523402478
541413,541-41-3,CCOC(=O)Cl,3.859434534
554847,554-84-7,O=[N+]([O-])c1cccc(O)c1,3.298260311
557404,557-40-4,C=CCOCC=C,2.593928171
577924,577-92-4,CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,3.859176678
579102,579-10-2,CC(=O)N(C)c1ccccc1,3.076838434
586061,586-06-1,CC(C)NCC(O)c1cc(O)cc(O)c1,2.944608089
594650,594-65-0,NC(=O)C(Cl)(Cl)Cl,2.169201362
597648,597-64-8,CC[Sn](CC)(CC)CC,3.875447748
598550,598-55-0,COC(N)=O,2.574419064
598947,598-94-7,CN(C)C(N)=O,1.124823742
602528,602-52-8,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,4.196469118
603338,603-33-8,c1ccc([Bi](c2ccccc2)c2ccccc2)cc1,3.245806704
603361,603-36-1,c1ccc([Sb](c2ccccc2)c2ccccc2)cc1,2.848900654
608719,608-71-9,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,3.291007232
617845,617-84-5,CCN(C=O)CC,1.499811615
619249,619-24-9,N#Cc1cccc([N+](=O)[O-])c1,2.772676627
622786,622-78-6,S=C=NCc1ccccc1,3.173821215
624464,624-46-4,CC/C(C)=N\NC(N)=O,2.713198115
629174,629-17-4,N#CSCCSC#N,4.460067532
632144,632-14-4,CNC(=O)N(C)C,1.505664785
632224,632-22-4,CN(C)C(=O)N(C)C,1.60267356
636464,636-46-4,O=C(O)c1ccc(O)c(C(=O)O)c1,2.14644052
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,4.006443792
644973,644-97-3,ClP(Cl)c1ccccc1,3.252819062
650511,650-51-1,O=C(O)C(Cl)(Cl)Cl,2.514247494
688744,688-74-4,CCCCOB(OCCCC)OCCCC,2.663054184
706070,706-07-0,O=[N+]([O-])C=Cc1ccc(Cl)cc1,4.087767225
821067,821-06-7,BrCC=CCBr,4.756179517
930734,930-73-4,C[n+]1ccccc1,2.631337673
949019,949-01-9,S=C(Cc1ccccc1)N1CCOCC1,2.947090464
961455,961-45-5,Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O,3.010749287
999973,999-97-3,C[Si](C)(C)N[Si](C)(C)C,2.394982101
1070424,1070-42-4,OP(OCCCl)OCCCl,2.91801565
1079216,1079-21-6,Oc1ccc(O)c(-c2ccccc2)c1,2.872062991
1082888,1082-88-8,COc1cc(CC(C)N)cc(OC)c1OC,3.051708064
1111917,1111-91-7,C[Ge](I)(I)I,3.391823415
1116763,1116-76-3,CCCCCCCCN(CCCCCCCC)CCCCCCCC,3.752729257
1131186,1131-18-6,Cc1cc(N)n(-c2ccccc2)n1,2.33550554
1461252,1461-25-2,CCCC[Sn](CCCC)(CCCC)CCCC,3.299999196
1477572,1477-57-2,O=C(NCCCCCCCCNC(=O)C(Cl)Cl)C(Cl)Cl,3.38752745
1505959,1505-95-9,CC(C)C(CCN(C)C)(C(N)=O)c1cccc2ccccc12,3.07690247
1507148,1507-14-8,Cn1cnc2c1c(=O)n(CCO)c(=O)n2C,2.499416
1623194,1623-19-4,C=CCOP(=O)(OCC=C)OCC=C,2.639862848
1646759,1646-75-9,CSC(C)(C)C=NO,3.124556389
1722629,1722-62-9,Cc1cccc(C)c1NC(=O)C1CCCCN1C,3.26122585
1985122,12-02-85,S=C=Nc1ccc(Br)cc1,3.330590296
2062773,2062-77-3,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,3.436080977
2117364,2117-36-4,CCCC[Ge](Cl)(CCCC)CCCC,2.33903353
2125340,2125-34-0,O=S1(=O)CS(=O)(=O)CS(=O)(=O)C1,3.272817787
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,3.817570658
2210255,2210-25-5,C=CC(=O)NC(C)C,2.354722934
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,1.938600328
2257092,09-02-57,S=C=NCCc1ccccc1,3.212839888
2275618,2275-61-8,CNP(=O)(N1CC1)N1CC1,3.95194433
2507917,2507-91-7,CCOC(C)C(C=NNC(N)=S)=NNC(N)=S,2.441523897
2702729,2702-72-9,O=C(O)COc1ccc(Cl)cc1Cl,3.247558894
2789926,2789-92-6,Nc1c(Cl)cc(Cl)cc1C(=O)O,2.614956242
2826326,2826-32-6,N#CC(C#N)=Cc1cccc([N+](=O)[O-])c1,3.719438146
2876780,2876-78-0,COC(=O)Cc1cccc2ccccc12,2.592274369
2923184,2923-18-4,O=C(O)C(F)(F)F,2.880897395
3572803,3572-80-3,CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1,4.433616244
4099632,4099-63-2,CCc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,3.849544299
4104432,4104-43-2,CNCCc1ccccc1,2.852255212
4270046,04-06-70,CCCCCCCCCCSC(=N)N,2.937305206
4472440,4472-44-0,Cc1cc(C)nc(Cl)n1,2.853056028
4916385,4916-38-5,CC[Ge](I)(I)I,3.3611736
5347126,12-06-47,O=[N+]([O-])c1csc([N+](=O)[O-])c1,5.240891058
5355420,5355-42-0,c1ccc2c(CN3CCCCC3)c[nH]c2c1,3.632076485
5399064,06-04-99,S=C(CN1CCOCC1)c1cccc2ccccc12,2.734615835
5428375,5428-37-5,C(=NN=Cc1ccco1)c1ccco1,3.177677298
5431345,5431-34-5,O=P(O)(O)c1cccc(Cl)c1,2.585546452
5431356,5431-35-6,O=P(O)(O)c1ccc(Cl)cc1,2.585546452
5468473,5468-47-3,C[n+]1cccc(C2CCC[N+]2(C)C)c1,2.280101668
5534098,09-08-34,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,2.415849405
5579817,5579-81-7,NC(=O)NC1N=C(O[Al](O)O)NC1=O,1.73660563
5748265,5748-26-5,CC(C)C(=O)N(C)C(=O)Oc1cccc(C(C)C)c1,3.195202602
5857374,5857-37-4,Cl[Hg]c1ccco1,4.180570269
6028075,2007/5/28,CC1=NCCc2c1[nH]c1cc(O)ccc21,2.939825169
6276626,6276-62-6,CCOc1ccc(C2=CC(=O)C=CC2=O)cc1,2.960465069
6283245,6283-24-5,CC(=O)O[Hg]c1ccc(N)cc1,4.432296927
6341975,6341-97-5,CC(=O)Oc1ccc(Cl)cc1Cl,2.913898585
6379697,6379-69-7,CC=CC(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,3.12371578
6440580,6440-58-0,CC1(C)C(=O)N(CO)C(=O)N1CO,2.154006457
6959713,6959-71-3,CCCCOCCC#N,2.405472719
7491761,7491-76-1,CCC1(C)CCC(C)(C(C)C)c2cc3c4c(c[nH]c4c21)CC(CO)NC(=O)C(C(C)C)N3C,6.179619764
11029611,11029-61-1,CC(C)CC(NC(=O)C(C)NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,4.97366623
12627359,12627-35-9,C=C(C)C1OC2CCC3(C)C4(C)c5[nH]c6cc(Cl)c7c8c6c5C(OC(C)(C)C5CC(C(=C)C7)C85O)C4CCC3(O)C23OC3C1O,5.760842455
12789036,12789-03-6,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,3.204946051
13112748,13112-74-8,CCC[N+](C)(C)CCCCCC[N+](C)(C)CCC,3.157177962
13460963,13460-96-3,Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,1.877624228
13839924,13839-92-4,c1ccc2c3c([nH]c2c1)SSSSc1[nH]c2ccccc2c1-3,3.554535192
14721767,14721-76-7,CNC(=O)OCC[N+](C)(C)C,3.976983464
15436110,15436-11-0,CS(=O)(=O)C=Cc1ccccc1,2.482501989
17753229,17753-22-9,CCCN(CCC)CCOc1ccccc1OC,3.400313445
18417895,18417-89-5,NC(=O)c1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12,4.888294654
18818616,18818-61-6,O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,2.231482334
18997723,18997-72-3,CN(C)CCCNC(=S)S,4.075123409
19022710,19022-71-0,CCN(CC)CCNC(=S)S,3.886158955
19974697,19974-69-7,CN1CCCCC1C(c1ccccc1)c1cccc(O)c1,3.917843633
23135220,23135-22-0,CNC(=O)ON=C(SC)C(=O)N(C)C,4.979243458
23184669,23184-66-9,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,2.493949926
24394090,24394-09-0,C=C(C(=O)OC1CC(C)=CCCC(CO)=CC2OC(=O)C(=C)C21)C(O)CO,4.18003522
26106161,26106-16-1,CCOC(=O)C1(CCCN(C)C)SC(C)(C)c2ccccc21,3.808192061
26106218,26106-21-8,COC(=O)C1(CCCN(C)C)SC(C)(C)c2ccccc21,3.788817206
26106230,26106-23-0,CC(=O)C1(CCCN(C)C)SC(C)(C)c2ccccc21,3.765608956
27078439,27078-43-9,CCN(CC)CCOCC(O)c1ccccc1,2.977436419
27276251,27276-25-1,COc1cc(C(=O)NCCCCCC(=O)O)cc(OC)c1OC,2.035244239
28466695,28466-69-5,Cc1nn(Cc2ccccc2)c(C)c1N,2.50444497
31282049,31282-04-9,CNC1CC(N)C(O)C(OC2OC(CO)C(O)C3OC4(OC(C(N)CO)C(O)C(O)C4O)OC23)C1O,4.944090973
33286225,33286-22-5,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.275130143
33543612,33543-61-2,CNCCc1cccc(O)c1,2.62327514
35205540,35205-54-0,CC(N)COc1ccccc1,3.003486382
35449366,35449-36-6,CC(C)(CO)CCCCCCC(C)(C)CO,2.352591761
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,2.887512959
36965363,36965-36-3,O=C(NS(=O)(=O)c1ccccc1)C(Br)Br,2.707598155
40036791,40036-79-1,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,3.417275677
41148770,41148-77-0,COc1cc2cccnc2c2[nH]cc(C(=O)O)c(=O)c12,3.334846047
42609529,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.884649739
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.616044682
53663142,53663-14-2,O=C1O[Hg]c2c1cccc2[N+](=O)[O-],4.067573497
54340602,54340-60-2,COc1cc(C(=O)Nc2c(Br)cc(Br)cc2CN(C)C2CCCCC2)ccc1OC(C)=O,2.277460986
55156246,55156-24-6,N#[N+][CH-]C(=O)CCC(NC(=O)C(CCC(=O)[CH-][N+]#N)NC(=O)CCC(N)C(=O)O)C(=O)O,4.225129246
55466290,55466-29-0,C=CCC(O)C(=O)C(C=O)(N(C)C(=O)C(NC(=O)C1NCCC1C)C(C)C=C)C(C)(C)C(=O)CCNC(=O)C(C)NC,3.552030179
57543007,57543-00-7,COc1ccc(CC2=NCCc3cc(OC)c(OC)cc32)cc1OC,2.834302417
57856210,57856-21-0,CCOP(=S)(Oc1ccccc1[N+](=O)[O-])c1ccccc1,4.0140748
58493473,58493-47-3,CCCCCCCCNC(=O)c1ccc(O)c(OC)c1,3.747225309
58957929,58957-92-9,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,5.851695045
59413148,59413-14-8,Cn1cnc2c1c(=O)n(CCCO)c(=O)n2C,2.297846195
63717124,63717-12-4,C=CC1C[N+]2(CCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.26424271
63732569,63732-56-9,CN1CCC23c4c5ccc(Oc6ccc([N+](=O)[O-])cc6[N+](=O)[O-])c4OC2C(O)C=CC3C1C5,3.177473972
64038273,64038-27-3,CCCC1(CC)C(=O)NC(=O)NC1=O,2.706087247
64059310,64059-31-0,CCCCc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,3.362483983
66827461,66827-46-1,CC(C)(COC(=O)C(c1ccccc1)c1ccccc1)CN1CCOCC1,2.486063098
66902496,66902-49-6,O=C(OCCCCCCN1CCOCC1)C(c1ccccc1)c1ccccc1,2.979452765
67000888,67000-88-8,CP(=O)(F)OCCCCc1ccc2ccc3cccc4ccc1c2c34,3.549445919
69928478,69928-47-8,CC1CC(CN2CCCCC2)C(=O)c2ccccc21,3.71159973
70384291,70384-29-1,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCNC(C)c3ccccc3)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,4.168383739
70497142,70497-14-2,C=CC(C)(CCC=C(C)C)c1ccc2c3c(c[nH]c13)CC(CO)NC(=O)C(C(C)C)N2C,6.163983846
71277797,71277-79-7,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,2.915369228
73623242,73623-24-2,CCN(CC)CCOC(=S)Nc1ccccc1,3.146787593
73688912,73688-91-2,O=[N+]([O-])C=Cc1cc(Cl)ccc1[N+](=O)[O-],4.359059128
74103063,74103-06-3,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,3.407004882
74861793,74861-79-3,COc1ccc2[nH]c3c(C)c4ccnc(NCCCN5CCN(CCCN)CC5)c4cc3c2c1,3.964378444
78829137,78829-13-7,CCCCCNC(=O)NC,2.497206783
83881521,83881-52-1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.449953273
83905015,83905-01-5,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,3.272419507
100427789,100427-78-9,OC(c1ccccc1)C1(N2CCCCC2)CCCC1,3.413958252
101564323,101564-32-3,OC(c1ccccc1)C1(N2CCCCC2)CCCCC1,3.26073902
117039028,117039-02-8,Cc1ccc(-n2c(SC(CN3CCOCC3)CN3CCCC3=O)nc3ccccc3c2=O)cc1,3.099064052
117039039,117039-03-9,O=C1CCCN1CC(CN1CCOCC1)Sc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,2.969778094
117039040,117039-04-0,COc1ccc(-n2c(SC(CN3CCOCC3)CN3CCCC3=O)nc3ccccc3c2=O)cc1,3.424756095
120162552,120162-55-2,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,1.928808441
124620899,124620-89-9,CC1OC2(CS1)CN1CCC2CC1,3.396458713
1187037,1187-03-7,CCN(CC)C(=O)N(CC)CC,3.267731747
1402831,1402-83-1,CCC1OC(=O)CC(O)C(C)C(OC2CC(N(C)C)C(OC3CC(C)(O)C(O)C(C)O3)C(C)O2)C(CC=O)CC(C)C(=O)C=CC2(C)OC2C1COC1OC(C)C(O)C(OC)C1OC,3.514790541
1405192,1405-19-2,C=C1C(=O)OC2C1C(O)C(OC(=O)C(C)=CC)C(C)=C1C(=O)C=C(C)C12O,5.698261817
1438308,1438-30-8,Cn1cc(NC(=O)c2cc(NC(=O)CNC(=N)N)cn2C)cc1C(=O)NCCC(=N)N,3.934975913
2410095,2009/5/10,CSc1c(C)cc(OC(=O)NCC(C)=O)cc1C,1.968593425
2425061,2006/1/25,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,5.065786295
2426542,2426-54-2,C=CC(=O)OCCN(CC)CC,3.738060882
3694459,3694-45-9,S=C=NCc1ccc(Cl)cc1,3.264021674
4593811,4593-81-1,CCCC[Ge](Cl)(Cl)CCCC,3.428924071
7761639,7761-63-9,CCOP(=O)(NCCc1ccc(OC)c(OC)c1)OCC,3.325408924
7761651,7761-65-1,CC(Cc1ccccc1)NP(=O)(Oc1ccccc1)Oc1ccccc1,3.56512142
7761684,7761-68-4,COc1ccc(CCNP(=O)(Oc2ccccc2)Oc2ccccc2)cc1OC,3.616380978
23795031,23795-03-1,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.455400706
63979533,63979-53-3,COc1cc(C2c3cc4c(cc3CCN2C)OCO4)cc(OC)c1OC,3.15522183
65928587,65928-58-7,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,2.493353473
88338061,88338-06-1,Cn1c(=O)c2c(ncn2CCc2noc(CCN3CCOCC3)n2)n(C)c1=O,2.590413791
91524151,91524-15-1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccc3)cc21,2.176509428
