RTECS_ID,CAS_RN,SMILES,women_oral_TDLo
24526645,24526-64-5,CN1Cc2c(N)cccc2C(c2ccccc2)C1,5.678215998
25332096,25332-09-6,CN(C)CCC(c1ccccc1)c1ccccn1,4.234716091
26171233,26171-23-3,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,4.507331232
28311311,28311-31-1,NCC(CC(=O)O)c1ccc(Cl)cc1,4.292196354
28911015,28911-01-5,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,6.535568791
29122687,29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,4.221318043
31121934,31121-93-4,CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.411377662
31828509,31828-50-9,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,4.844367812
33286225,33286-22-5,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,4.538643351
34381685,34381-68-5,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,3.345053709
34758844,34758-84-4,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,4.329646429
35543249,35543-24-9,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,3.536700505
35604672,35604-67-2,CCOc1ccccc1OCC1CNCCO1,3.898174653
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.177200986
38304915,38304-91-5,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],6.019641697
40180049,40180-04-9,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,4.821088852
40828464,40828-46-4,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.813437534
50679088,50679-08-8,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.594470819
50700726,50700-72-6,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1,6.6325663
51803782,51803-78-2,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,5.187964659
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,5.218104673
53558251,53558-25-1,O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,3.943628527
56073100,56073-10-0,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,6.483326845
58602667,58602-66-7,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,6.564685787
65277421,65277-42-1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.947302989
66357593,66357-59-3,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,5.020376477
68844779,68844-77-9,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.190204391
71320779,71320-77-9,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4.150585176
72571825,72571-82-5,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,4.578813924
77182822,77182-82-2,CP(=O)(O)CCC(N)C(=O)O,1.990813863
81131706,81131-70-6,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,4.402603196
99614014,99614-01-4,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,6.263295718
106266062,106266-06-2,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,5.522343123
3691358,3691-35-8,O=C1C(=C(O)C(c2ccccc2)c2ccc(Cl)cc2)C(=O)c2ccccc21,4.874856228
25451154,25451-15-4,NC(=O)OCC(COC(N)=O)c1ccccc1,3.230892113
32221811,32221-81-1,NC(CCC(=O)O)C(=O)O,3.468731231
32780646,32780-64-6,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,5.215389022
51384511,51384-51-1,COCCc1ccc(OCC(O)CNC(C)C)cc1,3.251019793
62571862,62571-86-2,CC(CS)C(=O)N1CCCC1C(=O)O,4.33703974
93107085,93107-08-5,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.520283043
