RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_unreported_LD50
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.79393117
76879,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,2.865738659
77714,77-71-4,CC1(C)NC(=O)NC1=O,0.904893528
78342,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.562926048
78488,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,3.267202107
78579,78-57-9,COP(=S)(OC)SCc1nc(N)nc(N)n1,2.494931854
79209,79-20-9,COC(C)=O,2.539281338
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.248860927
80386,80-38-6,O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,2.315358255
81298,81-29-8,Clc1cc(Cl)c2ccc3c(Cl)cc(Cl)c4ccc1c2c43,1.929464907
85347,85-34-7,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,2.148829395
86248,86-24-8,CCN(CC)CCOC(c1ccccc1)c1ccccc1,3.510414779
86293,86-29-3,N#CC(c1ccccc1)c1ccccc1,1.742049211
87332,87-33-2,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2.328230656
87683,87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.115214308
88744,88-74-4,Nc1ccccc1[N+](=O)[O-],1.165257438
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.602448873
91667,91-66-7,CCN(CC)c1ccccc1,1.763943387
93721,93-72-1,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.617663139
95954,95-95-4,Oc1cc(Cl)c(Cl)cc1Cl,3.11936148
98920,98-92-0,NC(=O)c1cccnc1,1.68887168
99309,99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.139912654
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.900320302
101213,101-21-3,CC(C)OC(=O)Nc1cccc(Cl)c1,1.8526101
101279,101-27-9,O=C(Nc1cccc(Cl)c1)OCC#CCCl,3.031583493
102603,102-60-3,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,1.874942466
102692,102-69-2,CCCN(CCC)CCC,2.286935666
102705,102-70-5,C=CCN(CC=C)CC=C,2.345044715
103695,103-69-5,CCNc1ccccc1,2.305290449
103902,103-90-2,CC(=O)Nc1ccc(O)cc1,2.229573544
107028,107-02-8,C=CC=O,3.095471566
107108,107-10-8,CCCN,2.00824766
107119,107-11-9,C=CCN,1.862843922
107186,107-18-6,C=CCO,2.944482672
107197,107-19-7,C#CCO,3.024408211
107277,107-27-7,CC[Hg]Cl,4.168145414
108101,108-10-1,CC(=O)CC(C)C,1.855813234
108189,108-18-9,CC(C)NC(C)C,2.226999221
108623,108-62-3,CC1OC(C)OC(C)OC(C)O1,2.46788423
108907,108-90-7,Clc1ccccc1,1.68965239
109002,109-00-2,Oc1cccnc1,2.023942574
109739,109-73-9,CCCCN,2.093297006
111273,111-27-3,CCCCCCO,1.621607488
111706,111-70-6,CCCCCCCO,1.426731821
111762,111-76-2,CCCCOCCO,1.896438027
111875,111-87-5,CCCCCCCCO,1.512654384
112561,112-56-1,CCCCOCCOCCSC#N,2.567789642
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.320655089
115184,115-18-4,C=CC(C)(C)O,2.296685359
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.479006224
115322,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,2.932288594
118525,118-52-5,CC1(C)C(=O)N(Cl)C(=O)N1Cl,2.595542515
118923,118-92-3,Nc1ccccc1C(=O)O,1.337128452
119380,119-38-0,Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,4.283434869
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.820022712
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.290564413
122349,122-34-9,CCNc1nc(Cl)nc(NCC)n1,2.158493881
122429,122-42-9,CC(C)OC(=O)Nc1ccccc1,2.25338405
123284,123-28-4,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,1.535595363
123308,123-30-8,Nc1ccc(O)cc1,2.287427801
123864,123-86-4,CCCCOC(C)=O,1.86311354
123966,123-96-6,CCCCCCC(C)O,1.273730538
124027,124-02-7,C=CCNCC=C,2.443423932
125699,125-69-9,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.257524985
127208,127-20-8,CC(Cl)(Cl)C(=O)O,1.335697944
131895,131-89-5,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.726324506
135546,135-54-6,COc1ccc(OC)c(CNN)c1,3.105267155
135853,135-85-3,COc1ccc(CNN)cc1OC,3.160232647
136163,136-16-3,Cc1nc(=O)c(C[n+]2csc(CCO)c2C)c[nH]1,2.066205715
136254,136-25-4,CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.718922612
137268,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,2.778953953
137428,137-42-8,CNC(=S)S,2.376994425
139402,139-40-2,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,1.583038104
139684,139-68-4,CC(Cc1ccccc1)NC(=O)c1cccnc1,2.301583368
140567,140-56-7,CN(C)c1ccc(N=NS(=O)(=O)O)cc1,3.582178932
142847,142-84-7,CCCNCCC,2.226999221
143088,143-08-8,CCCCCCCCCO,0.880386306
143500,143-50-0,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,3.590391521
148243,148-24-3,Oc1cccc2cccnc12,2.161849951
150685,150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1,1.754027084
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.022364026
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.905187172
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.142796036
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,3.979163205
330687,330-68-7,O=C(CF)Nc1ccccc1,4.185134015
332989,332-98-9,CCOC(=O)CCCCCCCCCCF,3.366122116
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.602562568
333675,333-67-5,CCOC(=O)CCCCF,2.966660815
339162,339-16-2,COC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,3.020456585
373262,373-26-2,CCOC(=O)CCCCCCCCCCCF,4.090550777
407487,407-48-7,O=C(CCCCCBr)OCCF,3.507135947
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.413064947
445283,445-28-3,NC(=O)c1ccccc1F,2.098094685
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.212451185
475263,475-26-3,Fc1ccc(C(c2ccc(F)cc2)C(Cl)(Cl)Cl)cc1,2.826049144
494520,494-52-0,c1cncc(C2CCCCN2)c1,3.619082623
501688,501-68-8,O=C(CCCl)NCc1ccccc1,2.159843679
502556,502-55-6,CCOC(=S)SSC(=S)OCC,2.606402864
545551,545-55-1,O=P(N1CC1)(N1CC1)N1CC1,4.062346286
553275,553-27-5,ClCCN(CCCl)c1ccccc1,3.338709426
554143,554-14-3,Cc1cccs1,1.891608246
580187,580-18-7,Oc1cnc2ccccc2c1,2.643336011
589797,589-79-7,CCOC(=O)CCCCCF,4.608001569
591275,591-27-5,Nc1cccc(O)c1,1.942766844
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.986520935
609665,609-66-5,NC(=O)c1ccccc1Cl,2.191964933
616444,616-44-4,Cc1ccsc1,1.787858808
618484,618-48-4,NC(=O)c1cccc(Cl)c1,2.191964933
619556,619-55-6,Cc1ccc(C(N)=O)cc1,2.130867462
619567,619-56-7,NC(=O)c1ccc(Cl)cc1,2.109179563
619807,619-80-7,NC(=O)c1ccc([N+](=O)[O-])cc1,2.22046375
624920,624-92-0,CSSC,2.834190257
640153,640-15-3,CCSCCSP(=S)(OC)OC,3.546470393
640197,640-19-7,NC(=O)CF,4.284757742
645090,645-09-0,NC(=O)c1cccc([N+](=O)[O-])c1,2.22046375
650511,650-51-1,O=C(O)C(Cl)(Cl)Cl,1.694703559
693210,693-21-0,O=[N+]([O-])OCCOCCO[N+](=O)[O-],2.195600799
732116,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,3.899448403
759944,759-94-4,CCCN(CCC)C(=O)SCC,2.057097584
824759,824-75-9,NC(=O)c1ccc(F)cc1,2.143417664
886500,886-50-0,CCNc1nc(NC(C)(C)C)nc(SC)n1,1.920274497
919302,919-30-2,CCO[Si](CCCN)(OCC)OCC,1.743064659
919868,919-86-8,CCSCCSP(=O)(OC)OC,3.760216974
944229,944-22-9,CCOP(=S)(CC)Sc1ccccc1,4.161080727
950378,950-37-8,COc1nn(CSP(=S)(OC)OC)c(=O)s1,4.082554164
957517,957-51-7,CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.533877325
992212,992-21-2,CN(C)C1C(=O)C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.376938154
1014693,1014-69-3,CNc1nc(NC(C)C)nc(SC)n1,2.02798122
1067976,1067-97-6,CCCC[Sn](O)(CCCC)CCCC,2.788261727
1086028,1086-02-8,N#Cc1c(Cl)nc(Cl)c(C#N)c1-c1ccccc1,1.738954875
1114712,1114-71-2,CCCCN(CC)C(=O)SCCC,2.455156783
1122436,1122-43-6,Cc1ccc(O)c(C)n1,2.261148276
1126789,1126-78-9,CCCCNc1ccccc1,2.723627402
1134232,1134-23-2,CCSC(=O)N(CC)C1CCCCC1,1.97144124
1468377,1468-37-7,COC(=S)SSC(=S)OC,2.950928455
1522005,1522-00-5,CCN(CC)C(=O)CCC(=O)O,1.937547981
1541191,1541-19-1,CCOC(=O)NC1CCCCC1,2.534635215
1594565,1594-56-5,N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.653569454
1596845,1596-84-5,CN(C)NC(=O)CCC(=O)O,1.280310024
1684408,1684-40-8,Nc1c2c(nc3ccccc13)CCCC2,3.805893122
1689834,1689-83-4,N#Cc1cc(I)c(O)c(I)c1,3.490093151
1689845,1689-84-5,N#Cc1cc(Br)c(O)c(Br)c1,3.16359288
1689992,1689-99-2,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,2.982178591
1698608,1698-60-8,Nc1cnn(-c2ccccc2)c(=O)c1Cl,2.044631862
1776303,1776-30-3,O=C(C=Cc1ccc(O)cc1O)c1ccccc1,2.574497884
1851770,1851-77-0,CCOC(=S)SSSC(=S)OCC,2.739539118
1912249,1912-24-9,CCNc1nc(Cl)nc(NC(C)C)n1,2.187697948
1918009,1918-00-9,COc1c(Cl)ccc(Cl)c1C(=O)O,2.344468907
1918167,1918-16-7,CC(C)N(C(=O)CCl)c1ccccc1,2.422614459
1929880,1929-88-0,CNC(=O)Nc1nc2ccccc2s1,2.316511303
1953022,02-02-53,CC(S)C(=O)NCC(=O)O,1.890495537
2104963,2104-96-3,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,1.989449818
2163806,2163-80-6,C[As](=O)(O)O,3.447064958
2212671,2212-67-1,CCSC(=O)N1CCCCCC1,2.41522383
2275141,2275-14-1,CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl,3.27567983
2475185,2475-18-5,CCCCCCCCCCCCS[As](C)SCCCCCCCCCCCC,2.69263104
2487016,01-06-87,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.84845158
2533893,2533-89-3,CCCC(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.415247201
2570265,2570-26-5,CCCCCCCCCCCCCCCN,2.307641186
2597979,2597-97-9,C[Hg]C#N,4.20708296
2633547,2633-54-7,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,3.007276953
2669321,2669-32-1,CCOc1nn(CSP(=S)(OC)OC)c(=O)s1,3.148007285
2703379,2703-37-9,CCS(=O)CCSP(=S)(OC)OC,3.640743061
2752650,2752-65-0,CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(CC=C(C)C(=O)O)C4=O)C3=O,4.058123597
2764729,2764-72-9,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2.663328648
2782914,2782-91-4,CN(C)C(=S)N(C)C,2.519276575
2854708,2854-70-8,CCNc1nc([N-][N+]#N)nc(NC(C)(C)C)n1,2.710674645
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.332613159
3040117,11-07-40,CN(C)CCN1C(=O)CCc2ccccc21,3.091080469
3050279,3050-27-9,COC(=Nc1ccc(Cl)cc1)N(C)C,2.151635393
3336490,3336-49-0,Oc1cncc2ccccc12,2.730486187
3383968,3383-96-8,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,2.066772106
3424939,3424-93-9,COc1ccc(C(N)=O)cc1,2.179451248
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,2.516079374
3773497,3773-49-7,CC1NC(C)N(CCN2C(=S)SC(C)NC2C)C(=S)S1,1.845846862
3780721,3780-72-1,CC1(c2ccccc2)CC(=O)N(CN2CCOCC2)C1=O,2.7786742
3785204,3785-20-4,CC(=O)Nc1c(CCl)cccc1C(C)(C)C,2.129331368
3930834,3930-83-4,NC(=O)c1ccccc1I,2.392758489
3956078,07-08-56,NC(=O)c1ccc(I)cc1,2.392758489
4055394,4055-39-4,COC1=C(C)C(=O)C2=C(C1=O)C(COC(N)=O)C1(OC)C3NC3CN21,5.24222205
4115155,4115-15-5,c1ccc(-c2nsc(-c3ccccc3)n2)cc1,2.97921137
4115177,4115-17-7,Clc1ccc(-c2nsc(-c3ccc(Cl)cc3)n2)cc1,3.089488271
4121135,4121-13-5,CCCCOC(=O)CCCCC(=O)OCc1ccccc1,1.178138505
4149002,4149-00-2,O=c1c2ccccc2[nH]c2nc3ccccc3n12,2.225394212
4212946,4212-94-6,CC(=O)ON(C(=O)OC(C)C)c1ccccc1,1.898094119
4315882,4315-88-2,COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1OC,2.670034766
4956143,4956-14-3,CCC(=O)OC1(c2ccccc2)CC[N+](C)([O-])CC1,2.876443839
4956154,4956-15-4,C=[N+](O)CCC(C)(C(=O)OCC)c1ccccc1,3.097462085
5142767,5142-76-7,CC(=O)O[Bi]=O,1.277262251
5221534,5221-53-4,CCCCc1c(C)[nH]c(N(C)C)nc1=O,1.718694712
5234684,5234-68-4,CC1=C(C(=O)Nc2ccccc2)SCCO1,1.866486714
5302454,5302-45-4,NC(CNC(=O)C(=O)O)C(=O)O,2.227544095
5424840,5424-84-0,O=c1[nH]c(=S)[nH]cc1CN1CCCCC1,2.35279396
5598527,5598-52-7,COP(=O)(OC)Oc1nc(Cl)c(Cl)cc1Cl,2.547366775
5778858,5778-85-8,Cc1ccc2nc3c(c(N)c2c1)CCCCC3,4.12427977
5813865,5813-86-5,COc1cccc(C(N)=O)c1,2.179451248
5902512,5902-51-2,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,1.63682477
6077232,6077-23-2,O=C(C=CC=Cc1ccccc1)c1cc(Cl)ccc1O,2.801239017
6115679,6115-67-9,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,3.875460817
6129346,6129-34-6,CC(C)=CCCC1(C)C=Cc2c(O)c(CC=C(C)C)c3c(c2O1)C(=O)C1=CC2CC4C(C)(C)OC(CC=C(C)C(=O)O)(C2=O)C14O3,4.497456291
6263383,6263-38-3,CNC(=O)N(O)c1ccccc1,1.52160875
6308856,6308-85-6,CCOC(=O)N1CCN(CCCl)CC1,3.29072389
6683198,6683-19-8,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,2.07101808
6780387,6780-38-7,O=C(Cl)CN1C(=O)c2ccccc2C1=O,2.349500932
6873412,6873-41-2,Cc1cccc(C(C)(C)C)c1NC(=O)CBr,2.453619489
6921284,6921-28-4,C#CCNCC#C,2.790107992
6921295,6921-29-5,C#CCN(CC#C)CC#C,2.806107144
6988212,6988-21-2,CNC(=O)Oc1ccccc1C1OCCO1,3.348748668
7286762,7286-76-2,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Br,1.71786847
7287196,7287-19-6,CSc1nc(NC(C)C)nc(NC(C)C)n1,2.127399989
7287367,7287-36-7,CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,1.777691379
7421503,7421-50-3,CCOP(=S)(OC)SCCSCC,5.336436384
7491749,7491-74-9,NC(=O)CN1CCCC1=O,1.152771305
9006422,9006-42-2,S=C(S)NCCNC(=S)S,1.719051114
10117109,10117-10-9,CCOC(=O)CCF,2.778596174
10388199,10388-19-9,NC(=O)c1cccc(I)c1,2.392758489
10388984,10388-98-4,CC(C#N)=NOCc1ccccc1,3.542085626
10473708,10473-70-8,C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,3.058015833
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,5.478240115
12122677,12122-67-7,S=C([S-])NCCNC1=[S][Zn+2][S-]1,2.310203801
13038921,13038-92-1,Cn1cccc2c3ccccc3cc1-2,3.383187998
13265606,13265-60-6,COP(=S)(OC)SCCNC(C)=O,3.085094263
13323665,13323-66-5,O=C(C=Cc1ccc(O)cc1)c1ccccc1O,2.595348023
13323676,13323-67-6,COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1O,2.65745501
13351105,13351-10-5,COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,2.622260623
13551876,13551-87-6,COCC(O)Cn1ccnc1[N+](=O)[O-],2.0731402
13684634,13684-63-4,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,2.000454324
13745205,13745-20-5,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,2.612101404
14143647,14143-64-7,CCN(CC)CCON=C(c1ccccc1)c1ccccn1,3.439920129
14255880,14255-88-0,O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,3.122398835
14379192,14379-19-2,CC(Cc1ccccc1)NC(=O)CCCN,2.88064804
15115294,15115-29-4,O=C1NC2(CCCCC2)C(=O)N1CN1CCN(CN2C(=O)NC3(CCCCC3)C2=O)CC1,2.348842043
15129369,15129-36-9,CCO[Si](CNCCCCCCN)(OCC)OCC,2.767149927
15131803,15131-80-3,O=C(C=Cc1ccccc1O)c1ccccc1O,2.601081366
15155381,15155-38-1,O=C1CC(c2ccccc2)C(=O)N1CN1CCN(CN2C(=O)CC(c3ccccc3)C2=O)CC1,2.885110448
15155392,15155-39-2,O=C1CC(c2ccc(Cl)cc2)C(=O)N1CN1CCN(CN2C(=O)CC(c3ccc(Cl)cc3)C2=O)CC1,2.945652375
15155405,15155-40-5,CC1(c2ccccc2)CC(=O)N(CN2CCN(CN3C(=O)CC(C)(c4ccccc4)C3=O)CC2)C1=O,2.910791546
15180479,15180-47-9,CCO[Si](CN(CC)CC)(OCC)OCC,1.30003345
15383207,15383-20-7,CCO[Si](C)(CNCCCCCCN)OCC,2.640928421
15972608,15972-60-8,CCc1cccc(CC)c1N(COC)C(=O)CCl,2.351815626
16154782,16154-78-2,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,3.268368861
16339165,16339-16-5,CN(CCCl)N=O,3.745908353
16672870,16672-87-0,O=P(O)(O)CCCl,1.536600523
17174388,17174-38-8,CCC(C)OC(Cc1ccc(Cl)cc1)N1CCCCC1,2.869017454
17174399,17174-39-9,CCC(C)OC(Cc1cccc(Cl)c1)N1CCCCC1,2.869017454
17174402,17174-40-2,CCC(C)OC(Cc1ccc(C)cc1)N1CCCCC1,2.741050698
17174413,17174-41-3,CCC(C)OC(Cc1ccc(Cl)c(C)c1)N1CCCCC1,2.889134957
17174435,17174-43-5,CCC(C)OC(Cc1ccc(C2CCCC2)cc1)N(CC)CC,2.848554469
17174446,17174-44-6,CCCCCCOC(CN(CC)CC)c1ccc(C2CCCC2)cc1,2.517347991
17174457,17174-45-7,CCCCCCCCOC(CN(CC)CC)c1ccc(C2CCCCC2)cc1,2.111320774
17243253,17243-25-3,CCC(C)OC(Cc1ccccc1)N1CCCCC1,3.11629054
17493731,17493-73-1,Cc1cccc(C)c1N(COC(C)C)C(=O)CCl,2.181798514
17572393,17572-39-3,CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC)C1c1ccccc1,2.638981927
17609802,17609-80-2,Nc1ccc(O)cc1Cl,1.332101314
17804352,17804-35-2,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1.462881443
18010725,18010-72-5,CC(Cc1ccccc1)NC(=S)c1cccnc1,2.086654685
18528784,18528-78-4,Nc1c2c(nc3ccccc13)CCC2,4.022350591
18638976,18638-97-6,COc1ccc(CCNN)cc1,3.062331237
18638987,18638-98-7,COc1cccc(CCNN)c1OC,3.143590553
18691979,18691-97-9,CNC(=O)N(C)c1nc2ccccc2s1,1.947011967
19158908,19158-90-8,NCC1OCCc2ccccc21,2.911743378
19253884,19253-88-4,C[N+](C)(C)CCCCC(N)C(=O)O,1.976072437
19320173,19320-17-3,CC(=O)N(c1ccccc1)c1cccs1,2.939105727
19729874,19729-87-4,CCCN1CCN(C(=O)c2ccccc2)CC1,2.985888443
19729896,19729-89-6,CCCN1CCN(C(=O)c2ccc(OC)cc2)CC1,3.080429541
19729909,19729-90-9,CCCN1CCN(C(=O)c2ccc(Cl)cc2)CC1,3.647988994
19729910,19729-91-0,CC(C)CN1CCN(C(=O)c2ccc(Cl)cc2)CC1,2.892093056
19739005,19739-00-5,O=C(C=Cc1cc(Br)cc(Br)c1O)c1ccc(O)cc1O,3.662809231
19831379,19831-37-9,CCCCCOC(CN1CCCCC1)c1ccccc1,3.042080694
19831391,19831-39-1,CCCCCCOC(CN1CCCCC1)c1ccccc1,3.038347185
19831415,19831-41-5,CCCCCCCCOC(CN1CCCCC1)c1ccccc1,2.957698938
19831426,19831-42-6,CCCCCCCCCCCCOC(CN1CCCCC1)c1ccccc1,1.970375937
19909387,19909-38-7,CCC(C)OC(Cc1ccc(C2CCCC2)cc1)N1CCN(C)CC1,2.724330074
20826044,20826-04-4,O=C(O)c1cncc(Br)c1,2.402276432
20980227,20980-22-7,c1cnc(N2CCNCC2)nc1,3.101461538
21312458,21312-45-8,CCCN1CCN(C(=O)c2ccc(N)cc2)CC1,3.241009524
21312481,21312-48-1,CCCCN1CCN(C(=O)c2ccc(N)cc2)CC1,3.310044107
21452142,21452-14-2,Cc1cccc(NC(=O)c2cnc(N)s2)c1,3.21868818
21583313,21583-31-3,COc1cc(C=CC(=O)c2ccc(O)cc2O)ccc1O,2.65745501
21787348,21787-34-8,CNC(=O)c1c(-c2ccc([N+](=O)[O-])o2)noc1C,3.922894923
21787359,21787-35-9,CNC(=O)c1c(C)noc1-c1ccc([N+](=O)[O-])o1,3.922894923
21787360,21787-36-0,Cc1onc(-c2ccc([N+](=O)[O-])o2)c1C(=O)OC1CCN(C)CC1,3.224424281
21849707,21849-70-7,O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O,2.649647625
21982434,21982-43-4,C=C(C#N)C(=O)OCCOCC,1.566536335
22248799,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.961378374
22668015,22668-01-5,O=C(Cn1ccnc1[N+](=O)[O-])NCCO,1.640584862
22692575,22692-57-5,CCN(CC)C(=O)CCC(=O)N(CC)CC,2.333268524
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.156514147
23560590,23560-59-0,COP(=O)(OC)OC1=C(Cl)C2C=CCC12,3.330826398
24204135,24204-13-5,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,3.358549143
24813216,24813-21-6,O=C(NC12CC3CC(CC(C3)C1)C2)c1cccnc1,2.449790235
24813249,24813-24-9,O=C(NC12CC3CC(CC(C3)C1)C2)c1ccncc1,2.896948267
24813261,24813-26-1,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccnc1,2.25587688
25136532,25136-53-2,C=CCOC(CO)CO,1.121096744
25323686,25323-68-6,Clc1ccc(-c2ccccc2)c(Cl)c1Cl,5.331675249
26401207,26401-20-7,CC(C)(C)CCO,2.465285103
26594069,26594-06-9,CCOP(N)(=O)N(C=O)c1ncc(OC)c(CC)n1,2.760790272
26594070,26594-07-0,CCOP(=O)(NC(=O)Nc1ncc(OC)cn1)OCC,2.881160603
