RTECS_ID,CAS_RN,SMILES,rat_unreported_LD50
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.32542261
87876,87-87-6,Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,1.873255259
88051,1988/5/1,Cc1cc(C)c(N)c(C)c1,2.426858296
90437,90-43-7,Oc1ccccc1-c1ccccc1,1.799623859
91565,91-56-5,O=C1Nc2ccccc2C1=O,2.307372084
92433,92-43-3,O=C1CCN(c2ccccc2)N1,2.72007095
92524,92-52-4,c1ccc(-c2ccccc2)cc1,1.534905656
93174,93-17-4,COc1ccc(CC#N)cc1OC,2.072379811
93765,93-76-5,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.708393703
94804,94-80-4,CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.478922355
95136,95-13-6,C1=Cc2ccccc2C1,1.703339983
95498,95-49-8,Cc1ccccc1Cl,1.346510821
95545,95-54-5,Nc1ccccc1N,2.214458494
95556,95-55-6,Nc1ccccc1O,1.889950875
95874,95-87-4,Cc1ccc(C)c(O)c1,2.223631049
96311,96-31-1,CNC(=O)NC,1.643995206
97110,97-11-0,CC(C)=CC1C(C(=O)OC2CC(=O)C(C3C=CCC3)=C2C)C1(C)C,2.562229401
97165,97-16-5,O=S(=O)(Oc1ccc(Cl)cc1Cl)c1ccccc1,2.335552458
98000,98-00-0,OCc1ccco1,2.328915603
99627,99-62-7,CC(C)c1cccc(C(C)C)c1,1.274243498
100185,100-18-5,CC(C)c1ccc(C(C)C)cc1,1.148048485
100447,100-44-7,ClCc1ccccc1,2.306505659
100561,100-56-1,Cl[Hg]c1ccccc1,3.796781025
101020,101-02-0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,2.318580111
101213,101-21-3,CC(C)OC(=O)Nc1cccc(Cl)c1,1.804686548
101279,101-27-9,O=C(Nc1cccc(Cl)c1)OCC#CCCl,2.68998412
102067,102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,2.815631199
104836,104-83-6,ClCc1ccc(Cl)cc1,2.175501026
105602,105-60-2,O=C1CCCCCN1,2.290264945
106434,106-43-4,Cc1ccc(Cl)cc1,1.500325685
106445,106-44-5,Cc1ccc(O)cc1,1.875623873
106489,106-48-9,Oc1ccc(Cl)cc1,2.31321909
106514,106-51-4,O=C1C=CC(=O)C=C1,4.285621597
107073,107-07-3,OCCCl,3.054613055
107211,107-21-1,OCCO,0.678924399
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.413462923
107813,107-81-3,CCCC(C)Br,1.438749415
108203,108-20-3,CC(C)OC(C)C,1.239975821
108452,108-45-2,Nc1cccc(N)c1,2.488695313
108781,108-78-1,Nc1nc(N)nc(N)n1,1.322643042
108883,108-88-3,Cc1ccccc1,1.125603831
108918,108-91-8,NC1CCCCC1,2.498100413
109591,109-59-1,CC(C)OCCO,1.920745091
109693,109-69-3,CCCCCl,1.624042891
110178,110-17-8,O=C(O)C=CC(=O)O,1.232218555
110805,110-80-5,CCOCCO,1.065529119
110838,110-83-8,C1=CCCCC1,1.613556425
111400,111-40-0,NCCNCCN,2.026777487
111466,111-46-6,OCCOCCO,0.831286992
111762,111-76-2,CCCCOCCO,2.11015995
111900,111-90-0,CCOCCOCCO,1.252610341
112345,112-34-5,CCCCOCCOCCO,1.556915977
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.570019863
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.320655089
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.00745865
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,4.44766676
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,5.310882805
116290,116-29-0,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,1.852549524
117180,117-18-0,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,3.018519089
117817,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0.919594352
118525,118-52-5,CC1(C)C(=O)N(Cl)C(=O)N1Cl,2.55414983
118752,118-75-2,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,1.46385943
121211,121-21-1,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.534200678
121540,121-54-0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,2.992319929
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.865780202
121799,121-79-9,CCCOC(=O)c1cc(O)c(O)c(O)c1,1.928807418
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.980454759
122156,122-15-6,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,3.148728072
122349,122-34-9,CCNc1nc(Cl)nc(NCC)n1,2.161607116
123308,123-30-8,Nc1ccc(O)cc1,2.208632423
123319,123-31-9,Oc1ccc(O)cc1,2.184502155
123331,123-33-1,O=c1ccc(=O)[nH][nH]1,0.969293493
123397,123-39-7,CNC=O,1.391141024
125337,125-33-7,CCC1(c2ccccc2)C(=O)NCNC1=O,2.037936196
126227,126-22-7,CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,2.670150393
126738,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,2.279272485
127071,127-07-1,NC(=O)NO,1.247659315
127195,127-19-5,CC(=O)N(C)C,1.463006582
127639,127-63-9,O=S(=O)(c1ccccc1)c1ccccc1,2.037977981
129635,129-63-5,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.761221049
131113,131-11-3,COC(=O)c1ccccc1C(=O)OC,1.310494311
133062,133-06-2,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,2.054734434
133073,133-07-3,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,1.472115502
135886,135-88-6,c1ccc(Nc2ccc3ccccc3c2)cc1,1.401493634
136254,136-25-4,CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.285267051
137268,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,2.511782225
137428,137-42-8,CNC(=S)S,2.289844249
141593,141-59-3,CC(C)(C)CC(C)(C)S,3.914821355
141662,141-66-2,COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.032677356
142847,142-84-7,CCCNCCC,2.55799244
144412,144-41-2,COP(=S)(OC)SCC(=O)N1CCOCC1,3.176589269
144627,144-62-7,O=C(O)C(=O)O,1.80827851
150505,150-50-5,CCCCSP(SCCCC)SCCCC,2.930909753
150685,150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1,1.741792627
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.502507537
157039,157-03-9,N#[N+][CH-]C(=O)CCC(N)C(=O)O,3.352578536
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,4.915667822
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.420304035
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,5.040464673
299456,299-45-6,CCOP(=S)(OCC)Oc1ccc2c(C)cc(=O)oc2c1,4.237551675
299865,299-86-5,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,2.578468036
301111,301-11-1,CCCCCCCCCCCC(=O)OCCSC#N,2.978413357
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.578533422
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.358205376
302705,302-70-5,C[N+]([O-])(CCCl)CCCl,3.324583258
303344,303-34-4,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,3.757032066
303479,303-47-9,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,4.263762993
305339,305-33-9,CC(C)NNC(=O)c1ccncc1,2.709325698
315220,315-22-0,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,3.734214244
330541,330-54-1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.83605963
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.085436151
340567,340-56-7,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,2.885244985
340578,340-57-8,Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl,3.034578728
359831,359-83-1,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.008343108
366701,366-70-1,CNNCc1ccc(C(=O)NC(C)C)cc1,2.625520413
371868,371-86-8,CC(C)NP(=O)(F)NC(C)C,3.56152831
399871,399-87-1,COC(=O)C(O)=CF,3.176377076
420042,420-04-2,N#CN,1.900094022
433487,433-48-7,O=C(O)C(O)=CF,3.122428876
480795,480-79-5,CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23,3.923503067
500287,500-28-7,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,2.529231969
502396,502-39-6,C[Hg]NC(=N)NC#N,3.822021255
504154,504-15-4,Cc1cc(O)cc(O)c1,2.167565796
504176,504-17-6,O=C1CC(=O)NC(=S)N1,1.454679194
504905,504-90-5,NC(=S)SSC(N)=S,2.39637844
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,5.889786161
512561,512-56-1,COP(=O)(OC)OC,2.447390627
517168,517-16-8,CC[Hg]N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,3.978603189
527208,527-20-8,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.24773438
528745,528-74-5,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,5.223237103
534225,534-22-5,Cc1ccco1,2.233112499
535897,535-89-7,Cc1cc(N(C)C)nc(Cl)n1,5.13768572
538078,538-07-8,CCN(CCCl)CCCl,5.531690903
542187,542-18-7,ClC1CCCCC1,1.596989066
548436,548-43-6,CN1CC(CO)=CC2c3cccc4[nH]cc(c34)CC21,3.298192744
551586,551-58-6,CC(C)C(O)(C(=O)OCC1=CCN2CCCC12)C(C)O,2.850290814
555373,555-37-3,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.398222603
555771,555-77-1,ClCCN(CCCl)CCCl,4.912812763
563122,563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,3.844518971
569153,569-15-3,O=C1C=CC(=O)c2c1ccc1ccccc21,2.929348015
572485,572-48-5,CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,3.390217753
576681,576-68-1,OC(CNCCCl)C(O)C(O)C(O)CNCCCl,3.581497388
580483,580-48-3,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,1.867162642
590283,590-28-3,N#CO,1.633720879
591275,591-27-5,Nc1cccc(O)c1,1.986783673
591786,591-78-6,CCCCC(C)=O,2.039752456
598947,598-94-7,CN(C)C(N)=O,1.643995206
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.366732177
609869,609-86-9,Nc1c(I)cc(I)cc1C(=O)O,3.334598939
611198,611-19-8,ClCc1ccccc1Cl,2.573441034
617845,617-84-5,CCN(C=O)CC,1.764412345
623154,623-15-4,CC(=O)C=Cc1ccco1,2.627512613
624180,624-18-0,Nc1ccc(N)cc1,2.910150788
625503,625-50-3,CCNC(C)=O,1.542187828
626175,626-17-5,N#Cc1cccc(C#N)c1,1.875176518
627452,627-45-2,CCNC=O,1.386766416
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,3.669992626
632144,632-14-4,CNC(=O)N(C)C,1.912273084
632224,632-22-4,CN(C)C(=O)N(C)C,1.918943522
637070,637-07-0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,2.208982096
645783,645-78-3,CCOP(=O)(OCC)OP(=S)(OCC)OCC,5.78711602
645885,645-88-5,NOCC(=O)O,2.797988259
671045,671-04-5,CNC(=O)Oc1cc(C)c(C)cc1Cl,2.862863734
673198,673-19-8,CCC(C)c1cccc(OC(=O)NC)c1,2.785063816
683181,683-18-1,CCCC[Sn](Cl)(Cl)CCCC,3.382287266
685916,685-91-6,CCN(CC)C(C)=O,1.885270733
689134,689-13-4,O=CN(O)CC(=O)O,1.376854233
709988,709-98-8,CCC(=O)Nc1ccc(Cl)c(Cl)c1,2.22467846
726909,726-90-9,O=C(NP(=O)(N1CC1)N1CC1)c1cccc(Br)c1,4.138463226
726921,726-92-1,O=C(NP(=O)(N1CC1)N1CC1)c1ccc(F)cc1,3.722530691
730905,730-90-5,O=C(NP(=O)(N1CC1)N1CC1)c1cc(Br)cc(Br)c1,3.611742421
732116,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,3.380934463
741582,741-58-2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,2.712872629
753731,753-73-1,C[Sn](C)(Cl)Cl,3.472572639
758178,758-17-8,CN(N)C=O,2.26765857
759944,759-94-4,CCCN(CCC)C(=O)SCC,2.057097584
780110,780-11-0,CNC(=O)Oc1cccc(C(C)(C)C)c1,2.644444875
813785,813-78-5,COP(=O)(O)OC,1.160318404
819830,819-83-0,O=P(O)(O)OC(CO)CO,1.704233813
869249,869-24-9,CCN(CC)CCCl,3.655260123
871589,871-58-9,CCCCOC(=S)S,2.509413553
872504,872-50-4,CN1CCCC1=O,1.151120209
873574,873-57-4,S=C(S)N1CCCCC1,2.278201979
873767,873-76-7,OCc1ccc(Cl)cc1,1.569742616
877247,877-24-7,O=C(O)c1ccccc1C(=O)O,2.179060608
886771,886-77-1,O=C(C=Cc1ccco1)C=Cc1ccco1,1.889950933
919540,919-54-0,CCOC(=O)CSP(=S)(OCC)OCC,2.413902998
953173,953-17-3,COP(=S)(OC)SCSc1ccc(Cl)cc1,3.242791189
956934,956-93-4,O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1Br,3.755246474
973217,973-21-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)OC(C)C,3.367495693
999815,999-81-5,C[N+](C)(C)CCCl,2.196463167
1031476,1031-47-6,CN(C)P(=O)(N(C)C)n1nc(-c2ccccc2)nc1N,4.468788786
1079330,1079-33-0,CNC(=O)Oc1cccc2sccc12,2.947287064
1085989,1085-98-9,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,2.823783212
1095905,1095-90-5,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.043436666
1113026,1113-02-6,CNC(=O)CSP(=O)(OC)OC,3.588414326
1114712,1114-71-2,CCCCN(CC)C(=O)SCCC,2.25709379
1128445,1128-44-5,Cc1ccc2c(c1)NC(=O)C2=O,2.395682253
1129415,1129-41-5,CNC(=O)Oc1cccc(C)c1,2.584520556
1134232,1134-23-2,CCSC(=O)N(CC)C1CCCCC1,1.966746118
1141373,1141-37-3,O=C(O)c1ccc(N(CCCl)CCCl)cc1,3.619186119
1162658,1162-65-8,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,4.716388748
1173882,1173-88-2,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.603624971
1461229,1461-22-9,CCCC[Sn](Cl)(CCCC)CCCC,2.150839167
1508458,1508-45-8,CCNNC(=O)C1C(c2cc(OC)c(OC)c(OC)c2)c2cc3c(cc2C(O)C1CO)OCO3,3.530117334
1563662,1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,4.066141456
1593277,1593-27-7,CCOP(=S)(CC)Oc1ccc(Cl)cc1Cl,3.600840809
1836755,1836-75-5,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1.976346922
1918167,1918-16-7,CC(C)N(C(=O)CCl)c1ccccc1,2.302040528
1929824,1929-82-4,Clc1cccc(C(Cl)(Cl)Cl)n1,1.798183517
1970407,1970-40-7,O=c1c(Cl)c[nH]c(Cl)c1Cl,3.394530477
1982474,1982-47-4,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,2.463519723
2032599,2032-59-9,CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.619637945
2032657,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,3.35278625
2077465,2077-46-5,Cc1c(Cl)ccc(Cl)c1Cl,1.609852206
2088724,2088-72-4,CCOC(=O)CSP(=O)(OC)OC,2.358327059
2104645,2104-64-5,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.664521098
2122614,2122-61-4,Nc1c(I)cc(C(=O)O)cc1I,2.878064215
2128883,2128-88-3,CCN(CC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(CC)CC)C3)cc2)C1,2.949290372
2163691,2163-69-1,CN(C)C(=O)NC1CCCCCCC1,2.246192092
2185866,2185-86-6,CCNc1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)c2ccccc12,2.256709525
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.562298153
2212671,2212-67-1,CCSC(=O)N1CCCCCC1,2.454990957
2227170,2227-17-0,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,2.185002641
2253443,2253-44-3,CCCCOP(=S)(S)OCCCC,2.028409999
2275185,2275-18-5,CCOP(=S)(OCC)SCC(=O)NC(C)C,4.55231985
2275232,2275-23-2,CNC(=O)C(C)SCCSP(=O)(OC)OC,3.652220648
2279643,2279-64-3,NC(=O)N[Hg]c1ccccc1,3.828329862
2491158,2491-15-8,O=CNCC(=O)O,1.536040515
2496915,2496-91-5,CCOP(=O)(OCC)SCCS(=O)(=O)CC,5.161881364
2595542,2595-54-2,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,3.961394724
2611827,2611-82-7,O=C1C=Cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2C1=NNc1ccc(S(=O)(=O)O)c2ccccc12,2.430185551
2633547,2633-54-7,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.729910876
2636262,2636-26-2,COP(=S)(OC)Oc1ccc(C#N)cc1,2.622578433
2646971,2646-97-1,Nc1cccc(C(F)(F)F)c1,2.525924388
2655143,2655-14-3,CNC(=O)Oc1cc(C)cc(C)c1,2.864217965
2667494,2667-49-4,COP(C)(=S)Oc1ccc(Cl)cc1Cl,3.287009492
2674911,2674-91-1,CCS(=O)CC(C)SP(=O)(OC)OC,3.394313232
2691410,2691-41-0,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.608197676
2778043,04-03-78,COc1coc(CSP(=O)(OC)OC)cc1=O,3.97040577
2828424,2828-42-4,CC(C)=NOC(=O)Nc1ccccc1,1.806672799
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.368709504
2987464,2987-46-4,N#CSc1ccc(N)cc1,3.062743929
3060897,3060-89-7,CON(C)C(=O)Nc1ccc(Br)cc1,1.825200735
3085981,3085-98-1,O=C(O)c1cccc(N(CCCl)CCCl)c1,3.377133983
3085992,3085-99-2,O=C(O)c1ccccc1N(CCCl)CCCl,2.91337669
3091256,3091-25-6,CCCCCCCC[Sn](Cl)(Cl)Cl,1.949510699
3129917,3129-91-7,C1CCC(NC2CCCCC2)CC1,2.506404448
3347226,3347-22-6,N#CC1SC2=C(SC1C#N)C(=O)c1ccccc1C2=O,2.468257089
3383968,3383-96-8,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,1.734333646
3400246,3400-24-6,CCCCCCC(=O)NC,1.855003996
3407930,3407-93-0,NNc1c2ccccc2nc2ccccc12,4.241488372
3415621,3415-62-1,CN(CCCOS(C)(=O)=O)CCCOS(C)(=O)=O,3.606957176
3468324,3468-32-4,O=C(Oc1ccc(C2CCCCC2)cc1)c1cccnc1,2.106831957
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.778553992
3530130,3530-13-0,CC(=O)N(C)N,2.740905219
3541422,3541-42-2,O=CC=Cc1ccccc1O,2.295672637
3542367,3542-36-7,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,1.774063144
3572869,3572-86-9,CS(=O)(=O)N(SC(Cl)(Cl)Cl)c1ccc(Cl)cc1,1.851374553
3778732,3778-73-2,O=P1(NCCCl)OCCCN1CCCl,2.904905214
3928038,2003/8/28,COP(=S)(OC)SCC(=O)NC(C)C,3.012528471
3942549,3942-54-9,CNC(=O)Oc1ccccc1Cl,3.092510112
4039070,4039-07-0,O=C(NP(=O)(N1CC1)N1CC1)c1cc(I)cc(I)c1,2.62240228
4086582,4086-58-2,O=C(NP(=O)(N1CC1)N1CC1)c1cc(I)cc(I)c1I,2.622500003
4110661,4110-66-1,O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1,3.701094579
4119817,4119-81-7,O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1I,3.707250149
4119828,4119-82-8,O=C(NP(=O)(N1CC1)N1CC1)c1cccc(I)c1,4.085120175
4205521,4205-52-1,CCCCNP(=S)(OCC)Sc1ccccc1,2.984386276
4253229,4253-22-9,CCCC[Sn](=S)CCCC,3.26189426
4261590,4261-59-0,ClCCN(CCCl)C1CCCCC1,4.873465924
4275176,4275-17-6,CN(CCBr)CCBr,4.486001641
4312872,4312-87-2,O=CNO,2.029739669
4408780,4408-78-0,O=C(O)CP(=O)(O)O,2.845194195
4412093,2009/3/12,O=C1OC(OC2OC(=O)C(Cl)=C2Cl)C(Cl)=C1Cl,2.203999178
4460326,4460-32-6,O=C(NP(=O)(N1CC1)N1CC1)c1cc(I)ccc1I,2.7721646
4543333,4543-33-3,O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3c2c1,3.142638457
4824786,4824-78-6,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,3.218978783
4891547,4891-54-7,CCOP(=S)(OCC)OCCS(=O)(=O)CC,3.985790105
5029469,5029-46-9,O=C(O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.909161037
5029481,5029-48-1,CC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.867516591
5131248,5131-24-8,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,1.7771193
5138909,5138-90-9,O=S(=O)(O)c1ccc(Cl)cc1,1.239385164
