RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_intraperitoneal_LD50
30534293,30534-29-3,Clc1cccc(N2CCN(CN3CCN(c4cccc(Cl)c4)CC3)CC2)c1,2.970365089
31591727,31591-72-7,O=C1CC(c2ccccc2)C(=O)N1c1ccc(Cl)cc1,2.434766542
31876387,31876-38-7,O=c1cc(O)c1=O,4.649055921
32868874,32868-87-4,NC(=O)c1cc(Sc2ccc(N(CCCl)CCCl)cc2)c([N+](=O)[O-])cc1[N+](=O)[O-],3.823257756
32868885,32868-88-5,NC(=O)c1cc(Sc2ccc(N(CCBr)CCBr)cc2)c([N+](=O)[O-])cc1[N+](=O)[O-],3.975521336
32868910,32868-91-0,CCN(CC(C)Cl)c1ccc(Sc2cc(C(N)=O)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,4.137208676
32868932,32868-93-2,NC(=O)c1cc(NCc2ccc(N(CCCl)CCCl)cc2)c([N+](=O)[O-])cc1[N+](=O)[O-],3.32882337
32868943,32868-94-3,CCN(CCCl)c1ccc(CNc2cc(C(N)=O)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,3.426491701
32869015,32869-01-5,CCN(CC(C)Cl)c1ccc(Nc2cc(C(N)=O)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,4.133787094
32869026,32869-02-6,CCN(CCBr)c1ccc(Nc2cc(C(N)=O)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,4.257452971
32869037,32869-03-7,NC(=O)c1cc(Nc2ccc(N(CCBr)CCBr)cc2)c([N+](=O)[O-])cc1[N+](=O)[O-],4.101976889
32869048,32869-04-8,NC(=O)c1cc(Sc2ccc(N(CCI)CCI)cc2)c([N+](=O)[O-])cc1[N+](=O)[O-],2.631587833
32869060,32869-06-0,CCN(CCI)c1ccc(CNc2cc(C(N)=O)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,2.914484478
32869128,32869-12-8,CCN(CCBr)c1ccc(NC(=O)c2cc(N3CC3)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,2.718282011
33084376,33084-37-6,CCN(CCCl)c1ccc(Nc2cc(C(N)=O)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,3.013865035
33084387,33084-38-7,CCN(CCCl)c1ccc(NC(=O)c2cc(N3CC3)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,2.306522137
34811115,34811-11-5,CC(C)CNc1c2c(nc3ccccc13)CCCC2,4.104447845
34811126,34811-12-6,CNc1c2c(nc3ccc(C)cc13)CCCC2,4.053698696
34811137,34811-13-7,CCNc1c2c(nc3ccc(C)cc13)CCCC2,4.079814131
34811148,34811-14-8,CCCCNc1c2c(nc3ccc(C)cc13)CCCC2,4.127758988
34811159,34811-15-9,Cc1ccc2nc3c(c(NCC(C)C)c2c1)CCCC3,4.127758988
34811160,34811-16-0,CCCCNc1c2c(nc3ccc(Cl)cc13)CCCC2,4.159600275
34811171,34811-17-1,CC(C)CNc1c2c(nc3ccc(Cl)cc13)CCCC2,4.159600275
34811182,34811-18-2,CCCCNc1c2c(nc3ccc(Br)cc13)CCCC2,4.221770135
34811193,34811-19-3,CC(C)CNc1c2c(nc3ccc(Br)cc13)CCCC2,4.221770135
34837677,34837-67-7,O=C(O)c1ccccc1NS(=O)(=O)c1ccccc1,2.710557676
35424921,35424-92-1,COc1ccc(CCN[Si](C)(C)C)cc1OC,3.102807463
36226785,36226-78-5,COc1ccc(N2CCN(CCNc3ccccc3C(N)=O)CC2)cc1,3.072438627
37796013,37796-01-3,C=C(C)C(=O)Oc1ccc(NC(C)=O)cc1,2.641949789
38520977,38520-97-7,O=C(CN1CCOCC1)Nc1ccccc1C(=O)Nc1ccccc1,2.053584185
38697368,38697-36-8,C=C(C)C(=O)Oc1ccccc1C(=O)O,2.615312338
38879559,38879-55-9,O=C(NC(=Cc1ccccc1)C(=O)N1CCCCC1)c1ccccc1,4.223260948
38879560,38879-56-0,O=C(NC(=Cc1ccccc1)C(=O)N1CCOCC1)c1ccccc1,4.225814372
40012144,40012-14-4,Cn1c(NN)cc(=O)n(C)c1=O,2.531918099
40012155,40012-15-5,Cn1c(N=N)c(NO)c(=O)n(C)c1=O,3.396133936
42856575,42856-57-5,O=C1CC(c2ccccc2)C(=O)N1Cc1ccccc1,2.742515656
50679088,50679-08-8,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,4.04018361
50823080,50823-08-0,CCC(=O)OC1(c2ccccc2)CCN(C2Cc3ccccc3C2)CC1,3.03153151
50823182,50823-18-2,CCC(=O)OC1(c2ccccc2)CCN(C2Cc3ccccc3C2C)CC1,3.016437566
51012294,51012-29-4,O=C(O)c1ccccc1NS(=O)(=O)c1ccc(Br)cc1,2.966229528
51012307,51012-30-7,O=C(O)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,2.873653115
51012318,51012-31-8,O=C(O)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,3.054468196
51896118,51896-11-8,COc1ccc(C=C(NC(=O)c2ccc(NC(C)=O)cc2)C(=O)NC2CCCCC2)cc1,4.161890838
51896129,51896-12-9,CC(=O)Nc1ccc(C(=O)NC(=Cc2ccccc2Cl)C(=O)NC2CCCCC2)cc1,4.245456403
51896130,51896-13-0,O=C(NC(=CC=Cc1ccccc1)C(=O)N1CCCCC1)c1ccccc1,4.158913455
51896141,51896-14-1,CC(=O)Nc1ccc(C(=O)NC(=Cc2ccc(Cl)cc2)C(=O)N2CCCCC2)cc1,4.328293959
51896152,51896-15-2,O=C(NC(=Cc1ccccc1Cl)C(=O)N1CCOCC1)c1ccccc1,3.967121897
51896163,51896-16-3,COc1ccc(C=C(NC(=O)c2ccc(NC(C)=O)cc2)C(=O)N2CCOCC2)cc1,4.450730364
51896174,51896-17-4,CC(=O)Nc1ccc(C(=O)NC(=Cc2ccc(N(C)C)cc2)C(=O)N2CCOCC2)cc1,4.162874933
51896709,51896-70-9,O=C(NC(=Cc1ccco1)C(=O)N1CCOCC1)c1ccccc1,3.911626287
51921676,51921-67-6,O=C(NC1CCCCC1)C(=Cc1ccccc1)NC(=O)c1ccccc1,4.065014229
51921687,51921-68-7,CN(C)c1ccc(C=C(NC(=O)c2ccccc2)C(=O)N2CCCCC2)cc1,3.974843159
52781007,52781-00-7,NC(=O)C(=O)Nc1ccccn1,2.486295072
52781018,52781-01-8,CNC(=O)C(=O)Nc1ccccn1,2.077195849
52781029,52781-02-9,CCNC(=O)C(=O)Nc1ccccn1,3.281699235
52781030,52781-03-0,CCCNC(=O)C(=O)Nc1ccccn1,2.140367655
52781041,52781-04-1,CC(C)CNC(=O)C(=O)Nc1ccccn1,2.724766853
52781110,52781-11-0,CCOC(=O)C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,2.180868188
52794975,52794-97-5,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O,5.59659625
53760193,53760-19-3,C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23C(OC(C)=O)C=CC(C)(O)CC(C)CC=CC3C1O,5.324012449
54965036,54965-03-6,COc1ccc(CN[Si](C)(C)C)cc1,3.144812822
55643599,55643-59-9,O=C1OCC(c2ccccc2)C1CN1CCOCC1,2.779684582
55707681,55707-68-1,CN(C(=O)c1ccccc1NC(=O)CN1CCOCC1)c1ccccc1,2.48759574
55707692,55707-69-2,CN(C(=O)CN1CCOCC1)c1ccccc1C(=O)Nc1ccccc1,3.116929816
55707705,55707-70-5,CN(C(=O)c1ccccc1N(C)C(=O)CN1CCOCC1)c1ccccc1,3.088075815
55707738,55707-73-8,Cc1ccc(N(C)C(=O)c2ccccc2NC(=O)CN2CCCCC2)cc1,2.085738797
55707749,55707-74-9,Cc1ccc(NC(=O)c2ccccc2N(C)C(=O)CN2CCCCC2)cc1,3.386768792
55707750,55707-75-0,Cc1ccc(N(C)C(=O)c2ccccc2N(C)C(=O)CN2CCCCC2)cc1,3.256997063
55740335,55740-33-5,Cc1ccc(NC(=O)c2ccccc2NC(=O)CN2CCCCC2)cc1,2.068742293
56420452,56420-45-2,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,4.805800599
62153928,62153-92-8,Cc1ccc(S(=O)(=O)NC(=O)C(=O)NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)cc1,2.246779186
62919453,62919-45-3,Cc1ccc(S(=O)(=O)NNC(=O)C(O)N=O)cc1,2.354165656
62919511,62919-51-1,O=NC(O)C(=O)NNS(=O)(=O)c1ccc(Br)cc1,2.404591039
63290619,63290-61-9,O=C1CC(c2ccc(Cl)cc2)C(=O)N1Cc1ccccc1,2.705917322
63735853,63735-85-3,NS(=O)(=O)c1nn2cc(-c3ccc([N+](=O)[O-])cc3)nc2s1,2.060539013
64046840,64046-84-0,Nc1ccc2nc3ccc(N)cc3cc2c1,2.843548363
65009521,65009-52-1,CC(C)(C)C(=O)C1CC1CO,2.079807181
65009634,65009-63-4,CC(C)(C)C(=O)C1CC1COC(N)=O,2.600428326
65263152,65263-15-2,Cc1ccccc1-n1c(SCC(=O)N(Cc2ccccc2)Cc2ccccc2)nc2ccc(Br)cc2c1=O,2.863723505
65263185,65263-18-5,O=C(CSc1nc2ccc(Br)cc2c(=O)n1-c1ccc(Cl)cc1)N(Cc1ccccc1)Cc1ccccc1,2.878634519
65263210,65263-21-0,CC(C)CN(CC(C)C)C(=O)CSc1nc2ccc(Br)cc2c(=O)n1-c1ccccc1,2.798027065
65263221,65263-22-1,Cc1ccccc1-n1c(SCC(=O)N(CC(C)C)CC(C)C)nc2ccc(Br)cc2c1=O,2.809984543
65263243,65263-24-3,CC(C)CN(CC(C)C)C(=O)CSc1nc2ccc(Br)cc2c(=O)n1-c1ccc(Cl)cc1,2.951760758
65263254,65263-25-4,COc1ccc(-n2c(SCC(=O)N(CC(C)C)CC(C)C)nc3ccc(Br)cc3c2=O)cc1,2.823232887
65263265,65263-26-5,O=C(CSc1nc2ccc(Br)cc2c(=O)n1-c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,2.978113533
65284926,65284-92-6,CN1CCc2c3n(c4ccccc24)C(C)(O)CCC31,3.890317688
65285032,65285-03-2,CCCN1CCc2c3n(c4ccccc24)C(=O)CCC31,3.127687788
67170438,67170-43-8,C=CCC1(CC=C)C(=O)Nc2ccccc2OC1=O,1.997960672
67170483,67170-48-3,C=CCC1(CC=C)C(=O)Oc2ccccc2OC1=O,2.0211439
67543140,67543-14-0,CC(Cc1ccccc1)NC(Cc1cnc[nH]1)C(=O)NC(=O)C1CCC(=O)N1,2.843348318
67877729,67877-72-9,C=CCN1CCc2c3n(c4ccccc24)C(=O)CCC31,3.124412922
67877730,67877-73-0,CN1CCc2c3n(c4ccccc24)C(=O)CCC31,3.862250675
67877741,67877-74-1,CN1CCc2c3n(c4ccccc24)CCCC31,3.836214751
67877763,67877-76-3,CC=CCN1CCc2c3n(c4ccccc24)C(=O)CCC31,3.146703095
67877774,67877-77-4,C#CCN1CCc2c3n(c4ccccc24)C(=O)CCC31,3.121113174
67877796,67877-79-6,C=CCC1(O)CCC2c3c(c4ccccc4n31)CCN2C,3.93233076
68710601,68710-60-1,CCN(CC)CCOC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)O)CCC32)C1,3.459473598
69415378,69415-37-8,C=CCOc1ccc(N/C(=N\c2ccccc2)NCc2ccccc2)cc1,2.553223806
69415389,69415-38-9,C=CCOc1ccc(N/C(=N\c2ccc(C)cc2)NCc2ccccc2)cc1,2.569940113
69415390,69415-39-0,C=CCOc1ccc(N/C(=N\c2ccc(OC)cc2)NCc2ccccc2)cc1,2.685162667
69415403,69415-40-3,C=CCOc1ccc(N/C(=N\c2ccc(OCC)cc2)NCc2ccccc2)cc1,2.904726362
69415414,69415-41-4,C=CCOc1ccc(N/C(=N\c2ccc(Cl)cc2)NCc2ccccc2)cc1,2.718116216
69415425,69415-42-5,C=CCOc1ccc(/N=C(\NCc2ccccc2)Nc2ccc(Br)cc2)cc1,2.639837966
69415436,69415-43-6,C=CCOc1ccc(N/C(=N\c2ccccc2)NCCc2ccc(Cl)cc2)cc1,2.733388815
69415447,69415-44-7,C=CCOc1ccc(N/C(=N\c2ccc(C)cc2)NCCc2ccc(Cl)cc2)cc1,2.62320379
69415458,69415-45-8,C=CCOc1ccc(/N=C(/NCCc2ccc(Cl)cc2)Nc2ccc(OC)cc2)cc1,2.940471659
69415469,69415-46-9,C=CCOc1ccc(N/C(=N\c2ccc(Cl)cc2)NCCc2ccc(Cl)cc2)cc1,2.768760407
69415470,69415-47-0,C=CCOc1ccc(NC(=NCCc2ccc(Cl)cc2)Nc2ccc(Br)cc2)cc1,2.782495019
70029377,70029-37-7,CCC(=O)NC(c1ccccc1)C1CCCN(C)C1,2.691333421
70661802,70661-80-2,O=C1Nc2ncccc2S(=O)(=O)N1,2.600299708
70661813,70661-81-3,NC1=Nc2ncccc2S(=O)(=O)N1,2.598148984
70661824,70661-82-4,CN1C(N)=NS(=O)(=O)c2cccnc21,2.627844955
70661835,70661-83-5,O=S1(=O)NC=Nc2ncccc21,2.5639365
70661846,70661-84-6,CN1C=NS(=O)(=O)c2cccnc21,2.595978748
70661857,70661-85-7,CC1=NS(=O)(=O)c2cccnc2N1C,2.926848486
70661868,70661-86-8,CC1=NS(=O)(=O)c2cccnc2N1,2.595978748
70796202,70796-20-2,O=C1CC(c2ccccc2)C(=O)N1CCN1CCNCC1,2.996032851
70796213,70796-21-3,O=C1CC(c2ccc(Cl)cc2)C(=O)N1CCN1CCNCC1,3.092623488
72583870,72583-87-0,N=C(N)c1cc2ccccc2o1,3.125416198
72583881,72583-88-1,N=C(Nc1ccccc1)c1cc2ccccc2o1,2.419173424
72583905,72583-90-5,CCOC(=O)NN=CNc1cc2ccccc2o1,2.438900817
72583916,72583-91-6,N=C(NC(=O)Nc1ccccc1)c1cc2ccccc2o1,2.491826871
72583938,72583-93-8,c1ccc2oc(C3=NCCCN3)cc2c1,3.979333711
72583949,72583-94-9,N=C(Nc1ccc(Cl)cc1)c1cc2ccccc2o1,2.478276228
72600341,72600-34-1,COc1ccc(NC(=N)c2cc3ccccc3o2)cc1,2.471128657
72935616,72935-61-6,CCOC(=O)CN1C(=O)C(c2ccccc2)(c2ccccc2)c2cc(C)cc(C)c21,2.902535908
72935752,72935-75-2,COc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)C(=O)N2CC(=O)NO,2.589304938
74101512,74101-51-2,C/C(=N/c1cc(Cl)ccc1C(=O)O)Nc1cc(C)cc(C)c1,2.500768722
74101523,74101-52-3,Cc1nc2cc(C(=O)O)ccc2c(=O)n1-c1cccc(Cl)c1,2.497935382
74101534,74101-53-4,Cc1nc2cc(Cl)ccc2c(=O)n1-c1ccccc1Cl,2.484533299
74101545,74101-54-5,Cc1nc2cc(C(=O)O)ccc2c(=O)n1-c1ccccc1Cl,2.497935382
74101556,74101-55-6,Cc1nc2cc(Cl)ccc2c(=O)n1-c1cccc(Cl)c1,2.484533299
74101567,74101-56-7,Cc1nc2ccc(I)cc2c(=O)n1-c1ccc(F)cc1,2.579966419
74101578,74101-57-8,Cc1nc2cc(C(=O)O)ccc2c(=O)n1-c1ccc(Br)cc1,2.555310937
74101589,74101-58-9,Cc1cc(C)cc(-n2c(C)nc3cc(Cl)ccc3c2=O)c1,2.475341348
74101590,74101-59-0,Cc1cc(C)cc(-n2c(C)nc3ccc(I)cc3c2=O)c1,2.591313976
74101603,74101-60-3,Cc1cc(C)cc(-n2c(C)nc3cc(C(=O)O)ccc3c2=O)c1,2.489025643
74101614,74101-61-4,Cc1ccccc1-n1c(C)nc2cc(C(=O)O)ccc2c1=O,2.885606245
74101625,74101-62-5,CCCCNC(=O)c1ccc2c(=O)n(-c3ccccc3C)c(C)nc2c1,2.54336516
74101636,74101-63-6,COc1ccc(CCNC(=O)c2ccc3c(=O)n(-c4ccccc4C)c(C)nc3c2)cc1OC,2.660419576
74101647,74101-64-7,COc1cc2c(cc1OC)C(c1ccc3c(=O)n(-c4ccccc4C)c(C)nc3c1)=NCC2,2.642973701
74101692,74101-69-2,Cc1ccc(CN2CCN(c3ccccc3)CC2)cc1[N+](=O)[O-],2.493297688
