RTECS_ID,CAS_RN,SMILES,cat_oral_LD50
120514,120-51-4,O=C(OCc1ccccc1)c1ccccc1,1.976595588
120809,120-80-9,Oc1ccccc1O,3.041834651
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.290564413
123319,123-31-9,Oc1ccc(O)cc1,3.342864647
123911,123-91-1,C1COCCO1,1.643975489
125644,125-64-4,CCC1(CC)C(=O)NCC(C)C1=O,2.484895103
125859,125-85-9,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,2.870462432
130267,130-26-7,Oc1c(I)cc(Cl)c2cccnc12,2.882954066
140454,140-45-4,O=C(CO)Nc1ccc([As](=O)(O)O)cc1,2.414172096
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,4.915667822
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.678130345
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.523231249
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,3.585951149
420042,420-04-2,N#CN,2.623673038
453189,453-18-9,COC(=O)CF,5.486992171
466068,466-06-8,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,6.148473366
496673,496-67-3,CC(C)C(Br)C(=O)NC(N)=O,2.695228654
506774,506-77-4,N#CCl,4.010519028
508758,508-75-8,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,5.178578836
524367,524-36-7,Cc1ncc(CO)c(CN)c1O,2.225815663
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.874921954
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.065702181
626175,626-17-5,N#Cc1cccc(C#N)c1,2.40869438
629403,629-40-3,N#CCCCCCCC#N,3.736230722
630659,630-65-9,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1OC1OCC(O)C(O)C1O,6.144542293
650511,650-51-1,O=C(O)C(Cl)(Cl)Cl,1.611157507
651069,651-06-9,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,2.447637042
759944,759-94-4,CCCN(CCC)C(=O)SCC,3.227987649
824113,824-11-3,CCC12COP(OC1)OC2,4.81190998
991424,991-42-4,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,2.708914407
999815,999-81-5,C[N+](C)(C)CCCl,4.24345973
1005932,1005-93-2,CCC12COP(=O)(OC1)OC2,4.551752435
1085321,1085-32-1,Cc1cc(C(=O)NNCc2ccccc2)on1,3.364091131
1085989,1085-98-9,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,2.522753216
1090535,1090-53-5,O=C(NNCc1ccccc1)c1noc2c1CCCC2,3.361599801
1111393,1111-39-3,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,6.50892653
1113026,1113-02-6,CNC(=O)CSP(=O)(OC)OC,3.629807011
1121308,1121-30-8,On1ccccc1=S,3.070954086
1162658,1162-65-8,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,5.754177309
1609478,1609-47-8,CCOC(=O)OC(=O)OCC,3.209892847
1689834,1689-83-4,N#Cc1cc(I)c(O)c(I)c1,3.694213133
1776836,1776-83-6,CCOP(=S)(Oc1cccc2cccnc12)c1ccccc1,3.642610909
1912250,1912-25-0,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,2.272987018
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,2.290782846
2240144,2240-14-4,CCNC1C2CCC(C2)C1c1ccccc1,3.801645792
2540821,2540-82-1,COP(=S)(OC)SCC(=O)N(C)C=O,3.088174916
2591573,2591-57-3,CCOP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.995694726
2898126,12-06-98,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,2.557528054
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.3513324
3572358,3572-35-8,CC[N+](C)(CC)CCCOc1ccc(OCCC[N+](C)(CC)CC)nn1,4.867545265
4985153,4985-15-3,CN(C)CCON=C1c2ccccc2CCc2ccccc21,3.16790486
5511988,5511-98-8,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,6.614362452
5571971,5571-97-1,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)c(Cl)c1,3.011691651
5836293,5836-29-3,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,3.766909325
5903139,5903-13-9,CN(C(=O)CF)c1cccc2ccccc12,4.939005783
6869518,6869-51-8,CC1OC(OC2CCC3(C)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,5.844831727
7195279,7195-27-9,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,1.884105154
7242048,04-08-42,CC(=O)OC1CC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC(C)=O)CC65O)C4)CC3OC(C)=O)CC2OC(C)=O)OC(C)C1OC(C)=O,6.695102379
7242071,07-01-42,CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(O)C(OC7CC(O)C(O)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1,6.836211201
7242402,7242-40-2,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)OC(C)C1O,5.216422443
13055760,13055-76-0,CNCCON=C1c2ccccc2CCc2ccccc21,3.447733091
13121705,13121-70-5,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,2.682573742
13238318,13238-31-8,CC(=O)OC1CC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)CC3OC(C)=O)CC2OC(C)=O)OC(C)C1OC(C)=O,6.57198725
13265606,13265-60-6,COP(=S)(OC)SCCNC(C)=O,2.773340402
13593038,13593-03-8,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,3.599597814
14222607,14222-60-7,CCCc1cc(C(N)=S)ccn1,2.255937913
14255880,14255-88-0,O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,3.875215266
14437173,14437-17-3,COC(=O)C(Cl)Cc1ccc(Cl)cc1,2.367531095
14816183,14816-18-3,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,3.076719068
15386513,15386-51-3,CCN(CC)CCNc1c(Cl)cc(C)c2ncccc12,4.465123982
15879933,15879-93-3,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,3.092761336
17186957,17186-95-7,Cn1cnc2c1c(=O)[nH]c(=O)n2C,2.954645251
17754904,17754-90-4,CCN(CC)c1ccc(C=O)c(O)c1,1.985080518
17902237,17902-23-7,O=c1[nH]c(=O)n(C2CCCO2)cc1F,3.745094319
18691979,18691-97-9,CNC(=O)N(C)c1nc2ccccc2s1,2.344951976
19044883,19044-88-3,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],2.539534
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.591592677
20856579,20856-57-9,O=CNC(Nc1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,2.827928584
21087649,21087-64-9,CSc1nnc(C(C)(C)C)c(=O)n1N,2.632040007
21590250,21590-25-0,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C2OC(C)(C)OC2C1O,6.41598126
21608060,21608-06-0,CCN(CCC(=O)OC)c1ccccc1,2.015512738
21721926,21721-92-6,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,1.792738286
21829254,21829-25-4,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],3.539501399
22224926,22224-92-6,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,4.481964042
23256306,23256-30-6,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,1.8562711
23505411,23505-41-1,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,4.125017771
23947606,23947-60-6,CCCCc1c(C)[nH]c(NCC)nc1=O,2.320754703
24691803,24691-80-3,Cc1occc1C(=O)Nc1ccccc1,1.914515852
25046791,25046-79-1,Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1,2.050701587
25057890,25057-89-0,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2.681754849
26605696,26605-69-6,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,2.995256887
28772567,28772-56-7,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,4.324211645
28986030,28986-03-0,CC(=O)OC1CC(OC2CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC(C)C2OC2CC(O)C(OC(C)=O)C(C)O2)OC(C)C1OC(C)=O,6.551967427
31431397,31431-39-7,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,2.664080532
34014181,34014-18-1,CNC(=O)N(C)c1nnc(C(C)(C)C)s1,3.057515862
34183227,34183-22-7,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.755177139
35317794,35317-79-4,OC(Nc1nccs1)C(Cl)(Cl)Cl,2.54853682
35523898,35523-89-8,NC(=O)OCC1N=C(N)N2CCC(O)(O)C23NC(N)=NC13,6.071259941
36245304,36245-30-4,O=C1NC(c2ccccc2)N(CCN2CCN(c3ccccc3)CC2)c2ccccc21,2.615462906
37338800,37338-80-0,[O-][n+]1ccc(O)c(O)c1-c1c(O)c(O)cc[n+]1[O-],4.711518005
39603480,39603-48-0,NC(=S)NNCNNC(N)=S,3.112356954
41083118,41083-11-8,c1ncn([Sn](C2CCCCC2)(C2CCCCC2)C2CCCCC2)n1,4.241777512
49745951,49745-95-1,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,3.877063083
51022710,51022-71-0,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,5.571183402
52237033,52237-03-3,O=S(=O)(O)c1cc(-n2ncc(-c3ccccc3)n2)ccc1C=Cc1ccc(-n2ncc(-c3ccccc3)n2)cc1S(=O)(=O)O,2.098073058
53164059,53164-05-9,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,2.840763523
53179138,53179-13-8,Cc1ccc(=O)n(-c2ccccc2)c1,2.568731944
55283686,55283-68-6,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3.221761013
56073075,56073-07-5,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,3.647901076
56073100,56073-10-0,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,4.320915283
59756604,59756-60-4,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,3.119679417
63333357,63333-35-7,CN(c1c(Br)cc(Br)cc1Br)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,5.506604988
67696826,67696-82-6,CC(C)=CC(=O)OC1CCC2(C=O)C3CCC4(C)C(c5ccc(=O)oc5)CCC4(O)C3CCC2(O)C1,5.981762867
69884157,69884-15-7,COCC(=O)Nc1ccc(N=C(C)N(C)C)cc1,2.521685403
81412433,81412-43-3,CCCCCCCCCCCCCN1CC(C)OC(C)C1,2.741132623
1264513,1264-51-3,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,4.906866539
2310170,2310-17-0,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,3.516412594
2312767,2312-76-7,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.597989003
2439012,01-02-39,Cc1ccc2nc3sc(=O)sc3nc2c1,2.369781556
2465272,2465-27-2,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,3.251031163
3330469,3330-46-9,C=C(Br)CC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.459917217
3689245,3689-24-5,CCOP(=S)(OCC)OP(=S)(OCC)OCC,5.031172737
4562361,4562-36-1,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O,4.494682664
4636833,4636-83-3,CC1COCC(C)N1C(=O)C[n+]1ccc(-c2cc[n+](CC(=O)N3C(C)COCC3C)cc2)cc1,3.466680448
4685147,4685-14-7,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,3.726046891
7681938,7681-93-8,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.34617883
7700176,7700-17-6,COP(=O)(OC)OC(C)=CC(=O)OC(C)c1ccccc1,2.593134085
23593751,23593-75-1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,2.537623933
