RTECS_ID,CAS_RN,SMILES,mouse_intramuscular_LD50
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.878452329
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,4.006814316
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.915111366
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.345628898
59529,59-52-9,OCC(S)CS,3.041148042
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.210934299
61290,61-29-0,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,3.326007968
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.780479332
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.672369382
64891,64-89-1,CCC(=O)c1ccc2c(c1)Sc1ccccc1N2C(C)CN(C)C,3.209887618
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.7263313
68122,1968/12/2,CN(C)C=O,1.272823063
69727,69-72-7,O=C(O)c1ccccc1O,2.259449266
70188,70-18-8,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,1.885542138
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.121878719
74613,74-61-3,O=S(=O)(O)CC(S)CS,2.031800739
74908,74-90-8,C#N,4.000418008
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.261216808
77816,77-81-6,CCOP(=O)(C#N)N(C)C,5.566408028
78706,78-70-6,C=CC(C)(O)CCC=C(C)C,1.285143632
82020,82-02-0,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,3.496304302
82575,82-57-5,COc1c2ccoc2cc2oc(C)cc(=O)c12,3.272236052
87081,1987/8/1,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.295360782
87332,87-33-2,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2.339738447
87990,87-99-0,OCC(O)C(O)C(O)CO,1.173660367
93141,93-14-1,COc1ccccc1OCC(O)CO,1.952750816
94622,94-62-2,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,5.853307232
94633,94-63-3,C[n+]1ccccc1C=NO,2.944889478
96082,1996/8/2,CC1OC1C1CCC2(C)OC2C1,2.447767684
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,6.311098772
98555,98-55-5,CC1=CCC(C(C)(C)O)CC1,1.887203624
100016,100-01-6,Nc1ccc([N+](=O)[O-])cc1,2.237185448
100378,100-37-8,CCN(CC)CCO,2.449804635
106229,106-22-9,CC(C)=CCCC(C)CCO,1.591812842
106241,106-24-1,CC(C)=CCCC(C)=CCO,1.648642996
107357,107-35-7,NCCS(=O)(=O)O,1.252329344
107448,107-44-8,CC(C)OP(C)(=O)F,5.931575688
108930,108-93-0,OC1CCCCC1,2.000698652
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.150168359
114909,114-90-9,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.130978893
123397,123-39-7,CNC=O,1.339988502
125520,125-52-0,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,3.214913198
128461,128-46-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,3.222044262
128507,128-50-7,CC1(C)C2CC=C(CCO)C1C2,2.52182822
129577,129-57-7,CCC(=O)Nc1c(I)c(NC(=O)CC)c(I)c(C(=O)O)c1I,1.480216439
129635,129-63-5,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.660957671
130836,130-83-6,C=CCN1Cc2ccccc2-c2ccccc2C1,2.593526044
132183,132-18-3,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,3.641111577
135319,135-31-9,Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,2.571228646
141253,141-25-3,C=C(C)CCCC(C)CCO,1.591812842
144821,144-82-1,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.867479376
144832,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.356903014
152114,152-11-4,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.004427426
154938,154-93-8,O=NN(CCCl)C(=O)NCCCl,3.394508494
155975,155-97-5,CN(C)C(=O)Oc1ccc[n+](C)c1,4.987049825
286204,286-20-4,C1CCC2OC2C1,1.991868179
305339,305-33-9,CC(C)NNC(=O)c1ccncc1,2.464518627
306127,306-12-7,Nc1cc([As]=O)ccc1O,3.853852327
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.588385347
334225,334-22-5,ClCCNCCCl,2.705218998
359831,359-83-1,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.464275063
404864,404-86-4,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,4.592800026
438415,438-41-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,2.914751986
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.641544275
468280,468-28-0,CC(C)=CCC1C(=O)C(=C(O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,2.839463382
470826,470-82-6,CC12CCC(CC1)C(C)(C)O2,2.188233619
474259,474-25-9,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2.593928171
477305,477-30-5,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,3.630361233
477327,477-32-7,CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,2.669173785
477338,477-33-8,CC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)C=C(C)C,2.916791265
479505,479-50-5,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,2.930046921
509864,509-86-4,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,2.097427384
518150,518-15-0,COc1cc2c(c(OC)c1OC)-c1cccc(=O)cc1C(NC(C)=O)CC2,3.775125188
519028,519-02-8,O=C1CCCC2C3CCCN4CCCC(CN12)C34,3.524987982
529055,529-05-5,CCc1ccc(C)c2ccc(C)c-2c1,1.788361662
530789,530-78-9,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,2.750096275
532321,532-32-1,O=C(O)c1ccccc1,1.723938161
534769,534-76-9,N=C(N)NCCCCCCCCC(=O)NC(CCCN)C(O)CCCCCCCCNC(=N)N,4.606322237
551111,551-11-1,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,3.367756725
562743,562-74-3,CC1=CCC(O)(C(C)C)CC1,2.296139017
569653,569-65-3,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,2.796250087
583595,583-59-5,CC1CCCCC1O,2.057620466
590636,590-63-6,CC(C[N+](C)(C)C)OC(N)=O,2.924131157
591231,591-23-1,CC1CCCC(O)C1,2.057620466
597251,597-25-1,COP(=O)(OC)N1CCOCC1,1.609138445
633669,633-66-9,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,4.364547768
702545,702-54-5,CCC1(CC)COC(=O)NC1=O,3.580281099
737315,737-31-5,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,1.479565173
749020,749-02-0,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,3.500212316
846491,846-49-1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,3.661627466
859187,859-18-7,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,1.91013862
894713,894-71-3,CNCCC=C1c2ccccc2CCc2ccccc21,3.190140468
987780,987-78-0,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,2.039104485
1005307,1005-30-7,O=C(O)c1ccc(I)cc1,2.662091192
1050482,1050-48-2,CC[N+]1(CC)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,3.409700399
1069665,1069-66-5,CCCC(CCC)C(=O)O,2.238884097
1622624,1622-62-4,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,2.194913765
1684408,1684-40-8,Nc1c2c(nc3ccccc13)CCCC2,3.834856818
1686142,1686-14-2,CC1(C)C2CC3OC3(C)C1C2,3.182520217
1695778,1695-77-8,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,1.822629599
1743131,1743-13-1,C1NNCN2CNNCN12,3.062001032
1841196,1841-19-6,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,3.651920457
1867669,1867-66-9,CNC1(c2ccccc2Cl)CCCCC1=O,2.824633992
2058528,2058-52-8,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,3.332290724
2058891,2058-89-1,ON=Cc1cc[n+](C[n+]2ccc(C=NO)cc2)cc1,2.760814445
2062773,2062-77-3,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,3.805992262
2532174,2532-17-4,O=C(O)c1ccccc1I,2.45797121
2532185,2532-18-5,O=C(O)c1cccc(I)c1,2.515963157
2746818,2746-81-8,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.50459966
2758067,06-07-58,C[N+](C)(C)CCBr,3.444747222
2988321,2988-32-1,CN(C)CCC1(c2ccccc2)C=Cc2ccccc21,3.442865784
3105973,3105-97-3,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,3.148928049
3476504,3476-50-4,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N)CC2,3.862965759
3483123,12-03-83,OC(CS)C(O)CS,2.926550948
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.822705956
3564667,3564-66-7,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,3.120694896
3818722,3818-72-2,CCCCCCCCCCCC(=O)NS(=O)(=O)c1ccc(NC(C)=O)c2ccccc12,3.710412108
4255247,4255-24-7,C=CCC(N)Cc1ccccc1,2.97196589
4434053,05-03-34,COC1C(OC(=O)c2ccc(C)[nH]2)C(O)C(Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(OC7OC(C)(C)C(OC)C(OC(=O)c8ccc(C)[nH]8)C7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C,3.346388969
4985153,4985-15-3,CN(C)CCON=C1c2ccccc2CCc2ccccc21,3.310572363
5002471,5002-47-1,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.994011969
5086748,5086-74-8,c1ccc(C2CN3CCSC3=N2)cc1,3.227478745
5110690,5110-69-0,C[N+](C)(C)CCI,3.216612457
5169788,5169-78-8,CN1CCCC(=C(c2cccs2)c2cccs2)C1,2.951479447
5201887,5201-88-7,Oc1c(CN2CCCC2)cc(Nc2ccnc3cc(Cl)ccc23)cc1CN1CCCC1,3.533258548
5318763,5318-76-3,O=C(Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1,3.617811325
5370014,01-04-70,Cc1cccc(C)c1OCC(C)N,3.14628069
5610402,5610-40-2,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,4.050988645
5778803,5778-80-3,COc1ccc2nc3c(c(N)c2c1)CCCC3,3.261586387
5952410,5952-41-0,COP(=O)(OC)C(OC(C)=O)C(Cl)(Cl)Cl,2.631261083
6000744,6000-74-4,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)(O)O,2.677376343
6130876,6130-87-6,CN(C)N=NN(C)C,2.031662757
6199673,6199-67-3,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,5.311025352
6483154,6483-15-4,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,3.406539446
6581937,6581-93-7,c1ccc2c(c1)CCc1cc3c([o+]c1-2)-c1ccccc1CC3,2.978280973
6809525,6809-52-5,CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,1.82027504
6877254,6877-25-4,COc1c2c(cc3c1-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC3)OCO2,5.012992439
7081449,7081-44-9,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.572169407
7200239,7200-23-9,CN(C)CCCN1c2ccccc2N(C)S(=O)(=O)c2ccccc21,2.958624229
7336369,7336-36-9,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.366423802
7336405,7336-40-5,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N(C)C(C)=O)CC2,5.456576157
7336449,7336-44-9,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N(C)C)CC2,3.284949321
8068288,8068-28-8,CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)O)C(=O)NC(C(=O)NC(CCNCS(=O)(=O)O)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCNCS(=O)(=O)O)NC1=O)C(C)O,3.340925567
10125856,10125-85-6,C[N+]1(C)CCC(c2ccccc2)CC1,3.832303578
11056067,11056-06-7,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,3.719569427
11111232,11111-23-2,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)CC3N)C2O)C(N)C(O)C1OC1OC(CO)C(O)C(O)C1O,2.752137394
12244574,12244-57-4,O=C(O)CC(S[Au])C(=O)O,2.636129179
13930319,13930-31-9,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,3.245043017
14271024,14271-02-4,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3.270162561
14511672,14511-67-2,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1CC=C2,3.523357483
14679733,14679-73-3,CCOC(=O)NNc1nncc2ccccc12,2.745806578
14686614,14686-61-4,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N(C)C=O)CC2,3.744122318
15172857,15172-85-7,C[N+]1(CC(=O)c2ccc(-c3ccc(C(=O)C[N+]4(C)CCCCC4)cc3)cc2)CCCCC1,5.659933188
15219973,15219-97-3,NCCOCC(N)C(=O)O,1.803380911
15351050,15351-05-0,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCCC1,3.242746569
15436110,15436-11-0,CS(=O)(=O)C=Cc1ccccc1,2.30641073
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,3.254467935
16816674,16816-67-4,CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,2.036513043
16837528,16837-52-8,O=C1CCCC2CCCC=[N+](O)CCCCCN12,2.993815212
16892038,16892-03-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N(C)Cc1ccccc1O)CC2,3.529806103
17224463,17224-46-3,C=C(O)/C(CN(C)C)=N/O,2.103126483
17226754,17226-75-4,COc1c2ccoc2cc2oc(COC3OC(CO)C(O)C(O)C3O)cc(=O)c12,3.360622129
17274123,17274-12-3,O=C(O)c1cc(I)cc(I)c1I,3.502906158
17411197,17411-19-7,Cc1ccc2c(c1)C1CN(C)CCC1N2,3.366478777
18010407,18010-40-7,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.103009292
19246243,19246-24-3,CC1NC(=O)C(C(C)O)NC(=O)C(NC(=O)C(CO)NC(=O)CC(N)C(=O)O)C(C)OC(=O)C2C(O)CCN2C(=O)C(C(O)C(C)C)NC(=O)C(C(C)c2c[nH]c3ccccc23)NC(=O)C(=Cc2c[nH]c3ccccc23)NC(=O)C2C(O)CCN2C(=O)CNC1=O,3.104602157
20011090,20011-09-0,CN1CCN(c2ccc(CO)c(Cl)c2)CC1,3.080507436
20228277,20228-27-7,CCOc1ccccc1C(=O)N/N=C(\C)C(=O)O,3.131209299
20603616,20603-61-6,CCC(CCl)N(CCCl)P(=O)(O)OCC1OC(n2ncc(=O)[nH]c2=O)C(O)C1O,3.678735017
20603638,20603-63-8,CC(=O)OC1C(COP(=O)(O)N(CCCl)CCCl)OC(n2ncc(=O)[nH]c2=O)C1OC(C)=O,3.249816125
20830813,20830-81-3,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,4.354887948
20973868,20973-86-8,CN(C)C=Cc1ccncn1,2.474790086
21200248,21200-24-8,CN=C1NC(=O)C(C(C)c2c[nH]c3ccccc23)O1,2.507337984
21462395,21462-39-5,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.586987048
21626244,21626-24-4,O=C(O)CN1CCN(CC(=O)O)CC(=O)O[Fe]OC(=O)C1,2.463620756
21626891,21626-89-1,O=C1c2ccccc2CN2C(=O)c3ccccc3CN12,1.944949617
21655845,21655-84-5,Cc1nccc2c1[nH]c1ccccc12,3.475280507
21704449,21704-44-9,CCSC(=N)N,2.364563502
21738421,21738-42-1,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,2.145103133
21749666,21749-66-6,Cn1c(C=NO)[n+](C)c2ccccc21,2.779582793
22325275,22325-27-5,Cc1cc(C)[nH]c(=S)n1,2.447812082
22625236,22625-23-6,NC(=O)c1ccc[n+](COC[n+]2ccccc2C=NO)c1,2.922036092
22693896,22693-89-6,N=C(N)C(O)c1ccc2c(c1)OCO2,2.675443005
23076359,23076-35-9,Cc1cccc(C)c1NC1=NCCCS1,3.305668818
23239410,23239-41-0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,1.586138305
23239512,23239-51-2,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,2.821936907
23327573,23327-57-3,CN1CCOC(c2ccccc2)c2ccccc2C1,3.679436468
23883456,23883-45-6,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,2.628715805
24151937,24151-93-7,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,2.448006587
24167406,24167-40-6,CCN(CC)CCn1nc2c3ccc(Cl)cc3sc3c(CO)ccc1c32,2.49185007
24342561,24342-56-1,Cc1ccccc1C(c1ccccc1)N1CCN(C)CC1,3.493558732
24729962,24729-96-2,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1,2.661872893
25221209,25221-20-9,NC(=O)c1ccc[n+](COC[n+]2ccc(C=NO)cc2)c1,2.777321892
25223874,25223-87-4,O=C(CCN(CCCl)CCCl)c1ccccc1,3.906574278
25332392,25332-39-2,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,2.89369987
26195653,26195-65-3,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(=O)C(F)(F)F)CC2,5.997529125
26225592,26225-59-2,COc1ccc(C=CC(=O)c2c(OCCN(C)C)c(OC)c3occc3c2OC)cc1,3.829539622
27122889,27122-88-9,ON=Cc1cccc[n+]1COC[n+]1cccc(I)c1,3.712249731
27183626,27183-62-6,CN(C)c1ccc[n+](COC[n+]2ccccc2C=NO)c1,3.704046606
27318861,27318-86-1,COc1cc(OC)cc(OCCO)c1,2.236445249
27844719,27844-71-9,CS(=O)(=O)c1ccc[n+](CCC[n+]2ccc(C=NO)cc2)c1,3.328071628
27844731,27844-73-1,CC(C)(C)c1ccc[n+](COC[n+]2ccc(C=NO)cc2)c1,4.200375238
27855432,27855-43-2,O=C(CCN(CCCl)CCCl)c1ccc(Cl)cc1,3.663371779
27918521,27918-52-1,ON=Cc1cc[n+](COC[n+]2cccc(I)c2)cc1,3.596454374
27918543,27918-54-3,CN(C)c1ccc[n+](COC[n+]2ccc(C=NO)cc2)c1,3.847137605
27918565,27918-56-5,CSc1ccc[n+](COC[n+]2ccc(C=NO)cc2)c1,3.540174491
28002188,28002-18-8,CC1(C)SC2C(NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2C1C(=O)O,1.596294371
28395031,28395-03-1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,4.16366577
29025147,29025-14-7,CCCCOc1ccc(C[N+]2(C)C3CCC2CC(OC(=O)C(CO)c2ccccc2)C3)cc1,3.200884083
29144421,29144-42-1,CC(O)=C1C(=O)C(N)C2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)C2(O)C1=O,3.664884837
29701073,29701-07-3,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O,2.886453901
29975164,29975-16-4,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,2.696391753
31121934,31121-93-4,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.67697792
31540622,31540-62-2,O=C(CCCN1CCc2[nH]c3ccc(F)cc3c2C1)c1ccc(F)cc1,3.500275691
31984551,31984-55-1,ON=Cc1cc[n+](COC[n+]2cccc(Cl)c2)cc1,3.16570102
32079268,32079-26-8,S=c1nc(-c2ccccc2)cc(-c2ccccc2)[nH]1,2.723214239
32986564,32986-56-4,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,3.026347518
33103229,33103-22-9,NCCC(O)C(N)CC(=O)NC1CNC(=O)C(C2CCN=C(N)N2)NC(=O)C(C=NC(N)=O)NC(=O)C(CO)NC(=O)C(CO)NC1=O,2.359012895
33765683,33765-68-3,CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O,1.480665076
34211284,34211-28-4,ON=Cc1cccc[n+]1COC[n+]1ccccc1,3.193766026
34211364,34211-36-4,NC(=O)c1ccc[n+](CCC[n+]2ccc(C=NO)cc2)c1,3.058934428
34329696,34329-69-6,NC(=O)c1ccc[n+](COC[n+]2cccc(C(N)=O)c2)c1,2.537129729
34388379,34388-37-9,Nc1cc(Nc2ccc([As]=O)cc2)nc(N)n1,4.121688147
34409239,34409-23-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3cc[n+](C)cc3)C2SC1,2.039916539
34433313,34433-31-3,NC(=O)c1cc[n+](COC[n+]2ccccc2C=NO)cc1,2.805678645
34493986,34493-98-6,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,3.065644886
35035053,35035-05-3,COC1CC(=C(c2cccs2)c2cccs2)C[N+](C)(C)C1,3.206979023
35071171,35071-17-1,Cc1ccnc(=S)[nH]1,2.402034286
35543249,35543-24-9,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,3.089749726
35892592,35892-59-2,Cc1cc(C)[n+]2ncsc2n1,2.521736788
36637191,36637-19-1,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,3.67681696
36979621,36979-62-1,ON=Cc1cc[n+](COC[n+]2cccc(C=NO)c2)cc1,3.491372238
37091659,37091-65-9,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O,1.476087332
37106971,37106-97-1,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,2.606834773
37106993,37106-99-3,CN(C)C1C(=O)C(C(=O)NCN2CCCC2C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.305292868
37293177,37293-17-7,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCNCCCCNCCCN)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,4.327045436
37636514,37636-51-4,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)CC3N)C2O)C(N)C(O)C1O,5.649810962
