RTECS_ID,CAS_RN,SMILES,guinea pig_subcutaneous_LDLo
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.016145748
69727,69-72-7,O=C(O)c1ccccc1O,2.237172871
70553,70-55-3,Cc1ccc(S(N)(=O)=O)cc1,1.932527034
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840254
74908,74-90-8,C#N,5.431781772
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.08916182
78671,78-67-1,CC(C)(C#N)N=NC(C)(C)C#N,3.516434886
79209,79-20-9,COC(C)=O,1.392573856
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,2.952864093
88755,88-75-5,O=[N+]([O-])c1ccccc1O,2.189115841
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,2.135337964
90051,1990/5/1,COc1ccccc1O,2.139665733
91010,91-01-0,OC(c1ccccc1)c1ccccc1,1.964349215
95487,95-48-7,Cc1ccccc1O,3.489918321
95567,95-56-7,Oc1ccccc1Br,2.061977437
95578,95-57-8,Oc1ccccc1Cl,2.20600912
98011,1998/1/1,O=Cc1ccco1,2.982655594
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.187206872
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.842328355
100970,100-97-0,C1N2CN3CN1CN(C2)C3,2.669595781
102067,102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,3.023803725
105602,105-60-2,O=C1CCCCCN1,2.075969333
106445,106-44-5,Cc1ccc(O)cc1,2.73295637
107028,107-02-8,C=CC=O,5.498264078
107211,107-21-1,OCCO,1.093897747
108189,108-18-9,CC(C)NC(C)C,1.859022436
108394,108-39-4,Cc1cccc(O)c1,2.556865111
108463,108-46-3,Oc1cccc(O)c1,2.43977466
109604,109-60-4,CCCOC(C)=O,1.532044834
109740,109-74-0,CCCC#N,2.83952204
110496,110-49-6,COCCOC(C)=O,1.373397552
113008,113-00-8,N=C(N)N,2.771381675
118616,118-61-6,CCOC(=O)c1ccccc1O,2.044477042
119368,119-36-8,COC(=O)c1ccccc1O,2.006177843
120809,120-80-9,Oc1ccccc1O,2.740804655
123308,123-30-8,Nc1ccc(O)cc1,1.861844937
123319,123-31-9,Oc1ccc(O)cc1,2.564713396
123922,123-92-2,CC(=O)OCCC(C)C,1.415597615
127855,127-85-5,Nc1ccc([As](=O)(O)O)cc1,3.491473755
130267,130-26-7,Oc1c(I)cc(Cl)c2cccnc12,3.183984062
131895,131-89-5,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.124264514
135193,135-19-3,Oc1ccc2ccccc2c1,1.732372674
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.690904554
140114,140-11-4,CC(=O)OCc1ccccc1,1.69948217
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.964247841
151508,151-50-8,N#C[K],3.910597728
154416,154-41-6,CC(N)C(O)c1ccccc1,2.401426391
299865,299-86-5,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,3.765988757
300629,300-62-9,CC(N)Cc1ccccc1,3.553329918
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.935967711
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.598949099
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,3.836730003
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,5.236139571
403907,403-90-7,NC(Cc1ccc(O)c(F)c1)C(=O)O,4.396157921
442513,442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,3.326851791
457603,457-60-3,Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.772493825
485358,485-35-8,O=c1cccc2n1CC1CNCC2C1,3.677255543
499445,499-44-5,CC(C)c1cccc(=O)c(O)c1,2.516413728
504154,504-15-4,Cc1cc(O)cc(O)c1,2.315756992
511137,511-13-7,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.34816402
532321,532-32-1,O=C(O)c1ccccc1,2.086797464
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,2.989112636
537122,537-12-2,O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,2.997249827
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.053276763
540727,540-72-7,N#CS,2.421151864
545937,545-93-7,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,3.558001667
553684,553-68-4,CC(C)CNCCOC(=O)c1ccc(N)cc1,3.041052829
554847,554-84-7,O=[N+]([O-])c1cccc(O)c1,2.444388346
568218,568-21-8,COc1cc2c3c(c1O)-c1c(cccc1OC)CC3N(C)CC2,3.493292109
593511,593-51-1,CN,2.19114349
605696,605-69-6,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,3.466435705
607910,607-91-0,C=CCc1cc(OC)c2c(c1)OCO2,1.982755021
628739,628-73-9,CCCCCC#N,2.496130282
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.766902639
637490,637-49-0,CCCC1CCCCN1,3.405622936
645590,645-59-0,N#CCCc1ccccc1,2.941769746
832928,832-92-8,COc1cc(CCN)cc(OC)c1OC,2.625849327
926283,926-28-3,CNC(=O)C(C)(C)SCCSP(=S)(OC)OC,3.501658914
935024,935-02-4,N#CC#Cc1ccccc1,3.062910017
952374,952-37-4,CCN(CC)CC1COc2ccccc2O1,2.742921423
1012619,1012-61-9,COP(=S)(OC)SCC1(C)OCCS1,3.43833504
1071983,1071-98-3,N#CC#CC#N,2.59111029
1079330,1079-33-0,CNC(=O)Oc1cccc2sccc12,3.918562913
1136841,1136-84-1,CNC(=O)Oc1cccc2c1CCCC2,3.613327973
1502950,1502-95-0,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,2.965456886
1563673,1563-67-3,CNC(=O)Oc1cccc2c1OC(C)C2,3.918510523
1604019,1604-01-9,CCCC1=NCCCC1,2.921565099
1977102,10-02-77,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.515628822
2032599,2032-59-9,CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.619637945
2038575,2038-57-5,NCCCc1ccccc1,2.829978817
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.13417073
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.914480671
2571860,2571-86-0,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.057307648
2595542,2595-54-2,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,3.818727221
2631370,2631-37-0,CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.918602725
2752649,2752-64-9,COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,7.198463948
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.034055971
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.544800763
2984658,2984-65-8,CCP(=S)(OC)Sc1ccc(C)cc1,3.993589639
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.025226326
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,3.095862971
3581111,11-01-81,COc1cc(C#N)ccc1OP(=S)(OC)OC,3.436560171
3739104,10-04-39,CCN(CC)CCOC(=O)Nc1ccccc1,3.19740003
3983399,3983-39-9,CNC(=O)Oc1cccc([N+](C)(C)C)c1,5.92276489
4170303,4170-30-3,CC=CC=O,1.721484201
4360478,4360-47-8,N#CC=Cc1ccccc1,2.997191409
4386792,4386-79-2,CC1OCC(C[N+](C)(C)C)O1,6.329701542
4492960,4492-96-0,CCC(C)(C)c1ccc(OP(=O)(NC)OC)c(Cl)c1,3.485355102
5342950,5342-95-0,Oc1ccc2ccccc2c1CN1CCCCC1,3.081588516
5853292,5853-29-2,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(O)c(OC)cc21,4.765875224
5903139,5903-13-9,CN(C(=O)CF)c1cccc2ccccc12,5.336945792
5913826,5913-82-6,CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,2.631533902
5954905,5954-90-5,CP(=S)(Oc1ccccc1)Oc1ccc(C#N)cc1,4.762372425
6028075,2007/5/28,CC1=NCCc2c1[nH]c1cc(O)ccc21,2.824431751
6161780,6161-78-0,COP(=O)(OC)Oc1ccc(Cl)cc1Cl,3.734056975
6249656,6249-65-6,CC[N+](C)(CC)c1cccc(OC(=O)N(C)C)c1,6.40027889
6746594,6746-59-4,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.01897358
10265926,10265-92-6,COP(N)(=O)SC,4.149625496
10265937,10265-93-7,CCOP(N)(=O)SC,4.491806968
10380775,10380-77-5,C[N+]1(CC2Cc3cc(C(=O)c4ccc5c(c4)OC(C[N+]4(C)CCCCC4)C5)ccc3O2)CCCCC1,6.088745446
13067931,13067-93-1,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,3.481905343
13171227,13171-22-7,COP(=O)(OC)OCCNC(=O)C=C(C)Cl,3.433988925
13835159,13835-15-9,CN(C)CCn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,3.533825421
14260403,14260-40-3,CNC(=O)Oc1ccc(NC(C)=O)cc1,3.318516185
14306253,14306-25-3,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,2.217503684
14628069,14628-06-9,CNC(=O)Oc1cccc2ccc(C)nc12,3.334936033
16298901,16298-90-1,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14,7.352678938
16960400,16960-40-0,CNC(=O)ON=C(SC)c1ccc(Cl)cc1,3.412846789
17730824,17730-82-4,CCCC(=O)N1CCN(CC=Cc2ccccc2)CC1,2.833134357
17788113,17788-11-3,CCC(=O)Nc1cccc(OC(=O)NC)c1,3.346830045
18278449,18278-44-9,CNC(=O)CSP(C)(=S)OC,3.930977542
18466110,18466-11-0,COP(C)(=S)SCSc1ccc(Cl)cc1,3.475412568
18936522,18936-52-2,COP(=S)(OC)Oc1ccc(Cl)cc1C#N,3.443527396
18936668,18936-66-8,CCOP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,3.629510515
22591215,22591-21-5,CC(C)(C)C(=O)C(Cl)Cl,1.926987748
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.756397219
24204135,24204-13-5,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,3.576033088
34491048,34491-04-8,COP(=O)(OC)OCNC(=O)C=C(C)Cl,3.711992713
51893824,51893-82-4,CCOP(=O)(NC(C)C)SCC(=O)NCOC,4.453804355
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.616044682
63496480,63496-48-0,Oc1ccccc1,2.320437104
63951122,63951-12-2,CCN(CC)CCN(CC)c1ccccc1,2.945192755
64046077,64046-07-7,C=CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.371634847
64046204,64046-20-4,CCC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.37533983
64050017,64050-01-7,CNC(=O)Oc1cc([N+](C)(C)C)ccc1C,6.348880943
64050959,64050-95-9,C=CC[N+](C)(C)c1ccc(OC(=O)NC)cc1C,5.91966025
65567320,65567-32-0,CCC1(c2ccccc2)NC(=O)NC1=O,2.659602413
68931033,68931-03-3,CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC,2.959673284
69343459,69343-45-9,CCCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.821398225
73972971,73972-97-1,COc1ccc(Cc2nn(CCN(C)C)c(=O)c3ccccc23)cc1,3.528174682
1421289,1421-28-9,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,2.759454799
1424277,1424-27-7,CC(=O)Nc1nnc(S(N)(=O)=O)s1,2.170752465
3689734,3689-73-4,CCN(CC)CCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,3.460971972
4786203,4786-20-3,CC=CC#N,2.464936429
7568936,7568-93-6,NCC(O)c1ccccc1,2.163580269
25417203,25417-20-3,CCCCc1ccc2c(S(=O)(=O)O)cc(CCCC)cc2c1,2.60267571
63981533,63981-53-3,CC(C)c1cc(OC(=O)N(C)C)ccc1[N+](C)(C)C,6.42386328
