RTECS_ID,CAS_RN,SMILES,rat_oral_LDLo
946316,946-31-6,O=[N+]([O-])c1cc(Cl)c(O)c([N+](=O)[O-])c1,2.640584781
982434,982-43-4,c1ccc(C(Cc2noc(CCN3CCCCC3)n2)c2ccccc2)cc1,2.257065091
989388,989-38-8,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C,3.550049216
1003787,1003-78-7,CC1CC(C)S(=O)(=O)C1,3.170927319
1066575,1066-57-5,CC[Sn](Cl)(Cl)Cl,3.104029359
1068582,1068-58-2,CSC(=N)N,2.256000544
1098448,1098-44-8,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,4.125004744
1117415,1117-41-5,CC(=O)C(C)=CC=C(C)CCC=C(C)C,1.615590269
1121308,1121-30-8,On1ccccc1=S,2.232221568
1135995,1135-99-5,Cl[Sn](Cl)(c1ccccc1)c1ccccc1,2.923558647
1145739,1145-73-9,CN(C)c1ccc(C=Cc2ccccc2)cc1,3.64995567
1155039,1155-03-9,COc1ccc(CN(CCN(C)C)c2nccs2)cc1,2.708644498
1502472,1502-47-2,Nc1nc2nc(N)nc3nc(N)nc(n1)-n-2-3,2.241912886
1551446,1551-44-6,CCCC(=O)OC1CCCCC1,1.532122218
1627732,1627-73-2,NC(=S)N/N=C/c1ccccc1,2.554484314
1725015,1725-01-5,O=C1CCCCCCCCOCCCCCCO1,1.709924302
1793904,1793-90-4,C=CC[Ge](CC)(CC)CC,2.784398978
1825214,1825-21-4,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.748753792
1871961,1871-96-1,N#CCCCCCCCCC#N,2.516540662
1879090,1879-09-0,Cc1cc(C)c(O)c(C(C)(C)C)c1,2.104962409
2062773,2062-77-3,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,3.737110973
2163771,2163-77-1,Nc1cc([As](=O)(O)O)ccc1O,1.66848842
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,3.215510666
2469558,2469-55-8,C[Si](C)(CCCN)O[Si](C)(C)CCCN,2.696389593
2624171,2624-17-1,O=c1[nH]c(=O)[nH]c(=O)[nH]1,1.23578087
2740252,2740-25-2,CCC(O)=C1C(=O)c2ccccc2C1=O,2.70374049
2751099,09-09-51,COC1CC(OC2C(C)C(=O)OC(C)C(C)C(OC(C)=O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3OC(C)=O)C2C)OC(C)C1OC(C)=O,2.211643196
2854162,2854-16-2,CC(C)(O)CN,1.472941631
2923184,2923-18-4,O=C(O)C(F)(F)F,2.35801865
2971224,2971-22-4,ClC(Cl)(Cl)C(c1ccccc1)c1ccccc1,2.455759724
2971360,2971-36-0,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,2.200849131
2990172,2990-17-2,ClC(Cl)(Cl)C(c1ccc(Br)cc1)c1ccc(Br)cc1,3.646788832
2998041,04-01-98,C=CCOC(=O)CCCCC(=O)OCC=C,2.731381525
3440753,3440-75-3,CCC[Pb](CCC)(CCC)CCC,2.982678765
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.954645251
3613330,3613-33-0,CCOC(C)(C)CCCC(C)CC=O,1.602758643
4075961,4075-96-1,CC(Cc1ccccc1)N(C)C,2.337829169
4104432,4104-43-2,CNCCc1ccccc1,1.984880777
4302878,4302-87-8,CNC(C)Cc1ccc(N)cc1,2.738389412
4373346,4373-34-6,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,2.672016536
4379173,4379-17-3,C=C(CO)CC(C)(C)C,1.505878845
4386792,4386-79-2,CC1OCC(C[N+](C)(C)C)O1,3.505792801
4936474,4936-47-4,CSCC1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)O1,1.756302844
5064313,5064-31-3,O=C(O)CN(CC(=O)O)CC(=O)O,1.938926629
5096219,5096-21-9,CC(=O)Nc1c(C)cc(C)cc1C,1.704510849
5149699,5149-69-9,N#CCC(=O)c1cc2ccccc2o1,1.762448792
5157153,5157-15-3,O=C1NC2(c3ccccc3)NC(=O)NC2(c2ccccc2)N1,3.769840917
5331328,5331-32-8,COC1CC2CCC1(C)C2(C)C,1.527062499
5351699,5351-69-9,NNC(=S)Nc1ccccc1,3.524362364
5441634,5441-63-4,C=CCOC(=O)COCC(=O)OCC=C,2.932913924
5450964,5450-96-4,O=S(=O)(O)C(O)CCC(O)S(=O)(=O)O,1.893224108
5462066,06-06-62,COc1ccc(CC(C)C=O)cc1,1.552013239
5836282,5836-28-2,CC(C)OP(=O)(OC(C)C)OP(=O)(OC(C)C)OC(C)C,4.840478725
5870939,5870-93-9,CCCCCCCOC(=O)CCC,1.571231195
5988910,5988-91-0,CC(C)CCCC(C)CC=O,1.494902829
6329744,6329-74-4,NC(=O)c1cc(Br)ccc1O,1.732462116
6552121,12-01-52,COP(=O)(OC)Oc1ccc(SC)c(C)c1,3.321833635
6552132,6552-13-2,COP(=O)(OC)Oc1ccc(S(C)=O)c(C)c1,3.745490141
6795239,6795-23-9,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1(O)C=COC1O2,5.340147874
7411496,7411-49-6,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,1.853844169
7491749,7491-74-9,NC(=O)CN1CCCC1=O,1.404583278
8003223,8003-22-3,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,1.737655325
9014022,2002/2/14,CNC1C(OC2C(OC(=O)c3c(O)ccc4c(C)cc(OC)cc34)C=C3C#CC4(C5COC(=O)O5)OC4C#CCC32)OC(C)C(O)C1O,3.343513626
13253446,13253-44-6,CSCCC1NC(=O)NC1=O,1.542140469
13347427,13347-42-7,Oc1ccc(Cl)cc1C1CCCC1,2.670504285
13559665,13559-66-5,CC12CCC(CC1=NO)C2(C)C,3.348310056
13943583,13943-58-3,N#C[Fe](C#N)(C#N)(C#N)(C#N)C#N,2.122119585
14090778,14090-77-8,O=C(C(=NO)c1ccccc1)c1ccccc1,2.653689011
14374926,14374-92-6,CC=Cc1cc(C(C)C)ccc1C,1.54229499
14435780,14435-78-0,CCN(CC)CCOc1ccccc1-n1c(C)ccc1-c1ccccc1,2.940130329
15242963,15242-96-3,CCCCCCCCCCCCCCCCCC(=O)O,1.787539865
15536182,15536-18-2,NCCCCCCCCCCCCN,2.475757895
16105785,16105-78-5,CCNC(C)Cc1ccccc1,2.814950424
16211066,16211-06-6,CCOP(=S)(OCC)OC(C)C(C)(C)C,3.706431002
16634825,16634-82-5,Cc1ccc(NC(=O)CCl)cc1,1.826211991
19545267,19545-26-7,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O,4.63188697
19721563,19721-56-3,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)CC(C)C(=O)C=CC1(C)O,4.021753928
19942780,19942-78-0,CCCCCCCCSC#N,2.097694083
21644951,21644-95-1,Cc1cc(N)ccc1N=Nc1cc(C)c(O)c(C)c1,2.628935286
22029761,22029-76-1,CC1=C(C=CC(C)O)C(C)(C)CCC1,1.589543028
23076359,23076-35-9,Cc1cccc(C)c1NC1=NCCCS1,3.167004057
23246960,23246-96-0,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,4.145361761
24426366,24426-36-6,CC(C)N(CCCl)CCCl,3.867137369
24914601,24914-60-1,CCONc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1.653587371
25077252,25077-25-2,CN1C(=O)CCCC1=O,1.572813538
25312349,25312-34-9,CC1=CCCC(C)(C)C1C=CC(C)O,1.589543028
25340174,25340-17-4,CCc1ccccc1CC,1.428853701
27156225,27156-22-5,ClCc1ccc2ccccc2c1CCl,2.097137717
27975195,27975-19-5,CC12CCC3C(CCC4C(C)(C(=O)O)CCCC34C)(CC1=O)C2,2.003363717
28069741,28069-74-1,CCC=CCCOC(C)OCC,1.537234607
29094619,29094-61-9,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,2.046831583
31501118,31501-11-8,CCC=CCCOC(=O)CCCCC,1.59836585
34024414,34024-41-4,COc1ccc2[nH]c(C)c(CC(=O)NO)c2c1,3.767628878
34866461,34866-46-1,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,1.523956087
37646314,37646-31-4,Cc1c(CC(=O)O)c2cc3c(cc2n1C(=O)C=Cc1ccccc1)OCO3,2.259317878
40607485,40607-48-5,CC(=CCO)CCCC(C)C,1.494902829
42609529,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.826657792
42784134,42784-13-4,COC(=O)Nc1nc2ccccc2n1C(=O)COc1ccccc1,1.336224844
51023564,51023-56-4,COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,2.45637932
51799327,51799-32-7,CCCNC(C)Cc1ccccc1,2.850746681
51799338,51799-33-8,CCCCNC(C)Cc1ccccc1,2.690691225
52017079,52017-07-9,OCCCN(CCC(c1ccccc1)c1ccccc1)CCC(c1ccccc1)c1ccccc1,2.365174319
52030043,52030-04-3,CCCC(CCC)C(C)NC(C)=O,2.665841208
52210181,52210-18-1,CC(=O)OC(C)C=CC1C(C)=CCCC1(C)C,1.67459479
53179127,53179-12-7,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,3.190332574
53309890,53309-89-0,CCC(N)Cc1ccccc1,2.571816519
53774075,53774-07-5,O=C(O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1.817045492
54096456,54096-45-6,N#CCCC1CS1,2.79851637
55541305,55541-30-5,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.100882951
55752426,55752-42-6,CCCCC1C(=O)NN(c2ccnc3cc(Cl)ccc23)C1=O,1.900061103
56299004,56299-00-4,CC(=O)OC1C2OC2C2=CC(=O)C3(CC2(C)C1C)OC3(C)C=O,3.444914687
57801817,57801-81-7,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,2.056588372
58602667,58602-66-7,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,5.245927024
63284719,63284-71-9,OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,2.186631647
63468053,63468-05-3,CC=CC(C)(C)O,1.426667384
63681016,63681-01-6,CC1=CC(C)=NC(C)(C)C1,2.359285154
63744536,63744-53-6,CC(C)OCC(O)CCl,2.183614295
63918854,63918-85-4,CC(Cc1ccccc1)NCCO,2.378429397
63951019,63951-01-9,CCCC(N)Cc1ccccc1,2.610830441
64011445,64011-44-5,COC(C)(N)CC(C)O,2.249413616
64036799,64036-79-9,OCCSCCSCCS(CCO)(CCO)CCO,3.123920861
64037565,64037-56-5,CC(C)CN(CCCl)CCCl,3.597995579
64037576,64037-57-6,CC(C)(C)N(CCCl)CCCl,3.42190432
64037736,64037-73-6,CC(C/N=N/CC(C)CC(=N)N)CC(=N)N,2.752678294
64047887,64047-88-7,O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,3.619093331
64988063,64988-06-3,CCOCc1ccccc1OC,1.521713274
65405847,65405-84-7,CC1=CCCC(C)(C)C1C(C)CCC=O,1.619813078
66327546,66327-54-6,CC(C)CCCC1=CCC(C)(C=O)CC1,1.619813078
67465558,67465-55-8,CN(C)C(=S)Oc1ccc[n+](C)c1,3.391999676
67633947,67633-94-7,CC1CC(C)(C)OC(Cc2ccccc2)O1,1.644068149
67634155,67634-15-5,CCc1ccc(CC(C)(C)C=O)cc1,1.580436833
68358792,68358-79-2,CON(C)C(=O)Nc1ccc(OCCc2ccc(C)cc2)cc1,2.099521808
71277797,71277-79-7,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,2.438247973
72207944,72207-94-4,CCOc1cc(C=O)ccc1OC(C)=O,1.619537837
72956093,72956-09-3,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,1.705951332
80443636,80443-63-6,CC(C)(C)C1(CCc2ccc(Cl)cc2)CO1,1.980017924
82697732,82697-73-2,COc1ccc(C2NC(=O)C(C)S2)cc1OC,1.324493377
86329795,86329-79-5,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,1.465890471
105149006,105149-00-6,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,2.308464098
105923306,105923-30-6,O=C(Nc1ccc([N+](=O)[O-])cc1Br)C(F)(C(F)(F)F)C(F)(F)F,2.917025262
115621959,115621-95-9,C1=C(c2ccc(N3CCCCC3)cc2)N2CCN=C2c2ccccc21,3.216755561
124427801,124427-80-1,c1ccc2cc(CCNc3ncnc4ccccc34)ccc2c1,2.777248428
124620899,124620-89-9,CC1OC2(CS1)CN1CCC2CC1,3.2995487
126463669,126463-66-9,Nc1c(NCC=CCOc2cc(CN3CCCCC3)ccn2)c(=O)c1=O,1.852999372
1222055,1222-05-5,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,1.900417552
1241947,1241-94-7,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,1.684134116
1329868,1329-86-8,OCC(Br)(Br)Br,2.712852738
2302934,2302-93-4,CC(=NNC(N)=S)c1ccccc1,4.110084423
2302956,2302-95-6,C/C=N/C(=S)NN,3.193781111
2312767,2312-76-7,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.597989003
2318185,2318-18-5,CC=C1CC(C)C(C)(O)C(=O)OC/C2=C/CN(C)CCC(OC1=O)C2=O,3.261769448
2346001,2346-00-1,CC1=NCCS1,2.323827683
2382969,2382-96-9,S=c1[nH]c2ccccc2o1,1.64804415
2432908,2432-90-8,CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCC,2.525286735
2437196,2437-19-6,O=[As](O)(O)c1ccc(O)cc1,2.68532366
2465272,2465-27-2,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,2.251031163
3212199,3212-19-9,COP(=O)(OC=C(Cl)Cl)OCCCl,3.73150496
3263318,3263-31-8,CCOc1ccc2c(c1)SC(=C1Sc3cc(OCC)ccc3C1=O)C2=O,2.408780235
3271054,05-04-71,COc1ccc2c3c(cccc13)C(=O)N(C)C2=O,1.206368862
7693529,7693-52-9,O=[N+]([O-])c1cc(Br)ccc1O,1.757543471
7733075,07-05-33,CCC1(CCC(C)C)C(=O)NC(=S)NC1=O,2.986492263
7774825,7774-82-5,CCCCCCCCCCC=CC=O,1.59402551
23605745,23605-74-5,O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,1.692169844
25425121,25425-12-1,COc1cc(=O)oc(C=CC=CC=CC(C)=CC2(C)OC(C)C(C)(O)C2O)c1C,4.701661871
25640760,25640-76-0,Cc1ccc(CCl)c(CCl)c1C,2.097149558
32781263,32781-26-3,CC(CC(C)C)=NC(C)CC(C)C,2.263254858
41475723,41475-72-3,CCSCCC(N)C(=O)O,1.513861903
63906887,63906-88-7,O=C(NC(CCN1CCCCC1)c1ccccc1)c1ccccc1,3.162112101
89985068,89985-06-8,Clc1ccc(N(Cc2cccnc2)C2=NCCS2)cc1,2.783643496
90098047,90098-04-7,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,1.870160351
92338744,92338-74-4,CC1CCN(c2cc(C(C)(C)C)on2)C1=O,2.647946014
