RTECS_ID,CAS_RN,SMILES,guinea pig_subcutaneous_LD50
500287,500-28-7,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,4.075774633
505602,505-60-2,ClCCSCCCl,3.900588317
511466,511-46-6,CCN(CC)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,3.29568096
518752,518-75-2,CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)C1=O,3.830172362
532763,532-76-3,CC(CNC1CCCCC1)OC(=O)c1ccccc1,3.197139342
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,2.953354441
536334,536-33-4,CCc1cc(C(N)=S)ccn1,2.480396352
541253,541-25-3,ClC=C[As](Cl)Cl,5.316639105
550334,550-33-4,OCC1OC(n2cnc3cncnc32)C(O)C1O,4.225705481
555771,555-77-1,ClCCN(CCCl)CCCl,4.465654732
562094,562-09-4,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,3.140212261
605914,605-91-4,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,3.876278046
628477,628-47-7,CC(N)CCCC(=O)O,1.339699822
632473,632-47-3,COc1ccc2c(c1O)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3,3.211339503
757584,757-58-4,CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,5.528278066
826391,826-39-1,CNC1(C)C2CCC(C2)C1(C)C,3.033153859
834286,834-28-6,N=C(N=C(N)N)NCCc1ccccc1,4.070878112
1095905,1095-90-5,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3.758200938
1115704,1115-70-4,CN(C)C(=N)N=C(N)N,2.942885916
1146958,1146-95-8,CCC(CN)=C(c1ccccc1)c1ccccc1,3.85163545
1476535,1476-53-5,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,4.340041647
1508378,1508-37-8,CN(C)CCN1c2ccccc2C(=O)NC1c1ccccn1,2.897808834
1722629,1722-62-9,Cc1cccc(C)c1NC(=O)C1CCCCN1C,3.418431765
2045525,2045-52-5,CN(C)CCN(Cc1ccccc1)c1ccccc1,3.364085156
2784283,2784-28-3,CNC(C)C(S)c1ccccc1,2.845107622
2845821,2845-82-1,O=c1[nH]nc(-c2ccncc2)o1,2.337488546
2870715,2870-71-5,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.313682169
2941299,2941-29-9,N#CC1CCCC1=O,2.937565651
3107399,3107-39-9,O=C(O)C(F)C(=O)O,4.785511346
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.972374018
3572745,3572-74-5,CN(C)CCOC(C)(c1ccccc1)c1ccccc1,3.388985561
5892159,5892-15-9,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,3.842906949
5987826,5987-82-6,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.166926054
7084073,07-03-84,CN(C)CCN(Cc1cccs1)c1ccccc1,3.269522951
7535344,7535-34-4,CC(C)CCCC(C)NN,3.949636934
10488365,10488-36-5,CNCCOC(c1ccccc1)c1ccccc1C,3.443366743
12663466,12663-46-6,CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(CO)NC(=O)CC(c2ccccc2)NC(=O)C(CO)NC1=O,3.058764521
13042029,13042-02-9,N#CC=CCCC#N,3.3356339
13265606,13265-60-6,COP(=S)(OC)SCCNC(C)=O,2.784064267
13754568,13754-56-8,CC(CN1c2ccccc2S(=O)(=O)c2ccccc21)N(C)C,3.981758221
13935789,13935-78-9,NC1Cc2ccccc2C1O,2.571688456
17650861,17650-86-1,CC1OC(n2ccc(NC(=O)c3ccc(NC(=O)C(C)(N)CO)cc3)nc2=O)CCC1OC1OC(C)C(N(C)C)C(O)C1O,4.645343657
18559632,18559-63-2,COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,2.304142381
18642109,18642-10-9,CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,2.574202635
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.114471423
21259201,21259-20-1,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.668876783
21898191,21898-19-1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,3.616062872
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.923888306
23239410,23239-41-0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,3.150409736
23255698,23255-69-8,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,6.549438565
25332096,25332-09-6,CN(C)CCC(c1ccccc1)c1ccccn1,3.343417629
27524976,27524-97-6,CC(C)NC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,2.870951503
28418293,28418-29-3,CC(C)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1,4.313820536
34866461,34866-46-1,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,2.752184933
36304844,36304-84-4,Cc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.15195689
38455902,38455-90-2,CC(C(O)c1ccccc1)N(C)C,2.699607634
40334698,40334-69-8,ClC=C[As](Cl)C=CCl,6.066990837
50782699,50782-69-9,CCOP(C)(=O)SCCN(C(C)C)C(C)C,7.502841512
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.821487424
53609646,53609-64-6,CC(O)CN(CC(C)O)N=O,1.519825316
54017106,54017-10-6,CCN(CC)CC(=O)Nc1ccc(C(C)=O)cc1,2.491932206
56391561,56391-56-1,CCNC1CC(N)C(OC2OC(CN)=CCC2N)C(O)C1OC1OCC(C)(O)C(NC)C1O,3.361259629
58581898,58581-89-8,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,4.010248787
60398223,60398-22-3,CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,6.388568095
60599384,60599-38-4,CC(=O)CN(CC(C)=O)N=O,2.887334557
62022213,62022-21-3,c1ccc(C(OCCN2CCCOCCC2)c2ccccc2)cc1,2.81351694
63681050,63681-05-0,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.610342233
63917759,63917-75-9,CCCCN(CCCC)CCOCCCOC(=O)c1ccc(N)cc1,3.942631748
63917760,63917-76-0,CCN(CC)CCOCCCOC(=O)c1ccc(N)cc1,3.977568736
63917771,63917-77-1,CN(C)CCOCCCOC(=O)c1ccc(N)cc1,4.311494674
63917782,63917-78-2,CCCN(CCC)CCOCCCOC(=O)c1ccc(N)cc1,4.093487686
73806492,73806-49-2,COc1cccc(C2(O)CCCCC2CN(C)C)c1,3.031418358
101581593,101581-59-3,Cc1cc(C(CCN(C)C)c2ccc(Cl)cc2)ccn1,2.939492187
101602453,101602-45-3,Cc1cc(C(CCN(C)C)c2ccccc2)ccn1,3.229386582
101737546,101737-54-6,Cc1cc(C(CCN(C)C)c2ccccc2)cc(C)n1,3.127758988
102163371,102163-37-1,Clc1ccc(C(OCCN2CCCC2)c2ccccc2)cc1,3.420291385
102169233,102169-23-3,Cc1cc(C(CCN2CCOCC2)c2ccc(Cl)cc2)cc(C)n1,2.838705561
102584429,102584-42-9,CC(OCCN1CCCC1)(c1ccccc1)c1ccc(Cl)cc1,3.564101628
104485010,104485-01-0,CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,3.552291514
122051336,122051-33-6,COC1C(O)C(C)OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C1O,6.418514468
122051347,122051-34-7,COC1C(OC2OC(CO)C(O)C(O)C2O)C(C)OC(OC2CC3(O)CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C=O)CC2OC(C)=O)C1OC(C)=O,5.923708641
1190530,1190-53-0,CCCCNC(=N)N=C(N)N,3.870267829
1263894,1263-89-4,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,2.558873675
1264728,1264-72-8,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,4.304565548
1403663,1403-66-3,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,2.809835326
1405205,1405-20-5,CC(C)CC1NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC(=O)C(NC(=O)C(CCN)NC(=O)C(CCO)NC(=O)C(CCN)NC=O)CCNC(=O)C(CCO)NC(=O)C(CCN)NC(=O)C(CCN)NC1=O,4.274509396
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.330080242
1424277,1424-27-7,CC(=O)Nc1nnc(S(N)(=O)=O)s1,2.170752465
3176032,03-02-76,COc1ccc2c(c1OC)C13CCN(C)C(C2)C1(O)CCC(O)C3,2.559686556
3333526,3333-52-6,CC(C)(C#N)C(C)(C)C#N,3.772442894
7681938,7681-93-8,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,3.619180103
63885687,63885-68-7,CCCCCOc1ccc2c(c1)[nH]c1c(C)nccc12,2.826657792
63905986,63905-98-6,CCCCCc1cc[n+](C(c2ccccc2)c2ccccc2)cc1,4.324238543
63981920,63981-92-0,CNC(=O)Oc1ccc([N+](C)(C)C)c(C(C)C)c1,6.701308885
63982321,63982-32-1,CNC(=O)Oc1cccc(C(C)N(C)C)c1,5.346916018
65720152,65720-15-2,CCCCCCOc1ccccc1NC(=O)OCCCN1CCCCCC1,3.575812272
65720163,65720-16-3,CCCCCCCOc1ccccc1NC(=O)OCCCN1CCCCCC1,3.290666662
65720174,65720-17-4,CCCCCCCCOc1ccccc1NC(=O)OCCCN1CCCCCC1,3.305990516
92546764,92546-76-4,CC(C(=O)c1ccc(Cl)cc1Cl)N(C)C,2.6992118
