RTECS_ID,CAS_RN,SMILES,human_oral_TDLo
2530996,2530-99-6,C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,3.927907075
2856759,2856-75-9,Cc1nccnc1N1CCCCC1,6.541018518
2894679,2894-67-9,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,7.037375268
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,4.556705243
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,7.074673672
3564667,3564-66-7,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,4.213727254
3737095,09-05-37,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.898765865
3773373,3773-37-3,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCN(S(C)(=O)=O)CC1)c1ccccc1S2,5.407141815
3778732,3778-73-2,O=P1(NCCCl)OCCCN1CCCl,3.328742945
4044659,4044-65-9,S=C=Nc1ccc(N=C=S)cc1,4.806785754
4238840,4238-84-0,CN(C)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,7.470389908
4314630,4314-63-0,CN1CC(C(=O)N2CCOCC2)C=C2c3cccc4[nH]cc(c34)CC21,7.573932173
5086748,5086-74-8,c1ccc(C2CN3CCSC3=N2)cc1,5.009234119
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,4.115758579
6452717,6452-71-7,C=CCOc1ccccc1OCC(O)CNC(C)C,3.724853998
7221796,7221-79-6,CN1CC(C(=O)N2CCCC2)C=C2c3cccc4c3c(cn4C)CC21,7.224599095
7240575,7240-57-5,CCNC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,7.092598548
7496620,7496-62-0,C(=C[n+]1ccccc1)c1cccs1,4.575822652
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,4.212674757
12672296,12672-29-6,Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,4.018212921
13004563,13004-56-3,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,7.87495702
13292461,13292-46-1,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,3.660102528
13674050,13674-05-0,COc1cc(CC(C)N)cc2c1OCO2,4.767986873
13877991,13877-99-1,CN(C)CCOCCOC(=O)C1(c2ccccc2)CCCC1,5.928592128
14663231,14663-23-1,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,2.992134982
15826616,15826-61-6,CN(C)CCC(c1ccccc1)C1CCCCC1,4.690922251
17186957,17186-95-7,Cn1cnc2c1c(=O)[nH]c(=O)n2C,3.840701899
17617231,17617-23-1,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,6.008920508
19237844,19237-84-4,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.916203358
20562021,20562-02-1,CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,5.491397216
20977508,20977-50-8,CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,5.214192463
21416671,21416-67-1,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,2.729606962
26171233,26171-23-3,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,4.507331232
27591975,27591-97-5,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,5.011314528
28911015,28911-01-5,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,7.381820772
29679581,29679-58-1,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,4.752254643
29767202,29767-20-2,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,1.836021712
33386082,33386-08-2,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,6.131193041
34675779,34675-77-9,CCC(=O)c1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1,5.333414274
34758844,34758-84-4,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,4.543526248
35991936,35991-93-6,N=C(CC(O)COc1cccc2ccccc12)NO,3.512372502
42281594,42281-59-4,Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CC1)CC3,7.350027769
49746045,49746-04-5,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,6.304606058
50485035,50485-03-5,CCNC(=O)C1C=C2c3cccc4c3c(cn4C(C)=O)CC2N(C)C1,6.653113419
50679088,50679-08-8,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.740671244
54240367,54240-36-7,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,8.434360714
56296787,56296-78-7,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.600002427
57495144,57495-14-4,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.551622531
59865133,59865-13-3,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,5.000952593
63937202,63937-20-2,CC(=O)NC(=O)C(Cl)(Cl)Cl,1.754263372
64058260,64058-26-0,OCC[N+]1(CCO)CC1,5.585881484
67700305,67700-30-5,CC(C(=O)O)c1cccc2c(-c3ccccc3)coc12,4.726394639
1190530,1190-53-0,CCCCNC(=N)N=C(N)N,4.740600314
1229294,1229-29-4,CN(C)CCC=C1c2ccccc2COc2ccccc21,4.477717028
1229352,1229-35-2,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,4.869875348
1338234,1338-23-4,CCC(C)(OO)OOC(C)(CC)OO,2.64144519
1407052,1407-05-2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.98954329
2385877,2385-87-7,CN1CC(C(=O)N2CCCC2)C=C2c3cccc4[nH]cc(c34)CC21,7.507078301
3624962,3624-96-2,C=CCc1cc(-c2cc(CC=C)c(O)c(CN(CC)CC)c2)cc(CN(CC)CC)c1O,4.006655063
3666691,3666-69-1,c1ccc(C2(c3ccccc3)OCC(C3CCCCN3)O2)cc1,5.888472951
4746616,4746-61-6,CC(=O)Nc1ccccc1O,4.024540603
32221811,32221-81-1,NC(CCC(=O)O)C(=O)O,3.368638451
41708729,41708-72-9,Cc1cccc(C)c1NC(=O)C(C)N,4.52695322
63906638,63906-63-8,CCCn1c(=O)c2c(ncn2C)n(C)c1=O,3.931864513
