RTECS_ID,CAS_RN,SMILES,rat_intravenous_LDLo
123422,123-42-2,CC(=O)CC(C)(C)O,1.584474817
125859,125-85-9,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,3.558437052
126681,126-68-1,CCOP(=S)(OCC)OCC,2.899216227
126738,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,3.425400521
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.058539898
156569,156-56-9,C=C1CC1CC(N)C(=O)O,3.67262116
300629,300-62-9,CC(N)Cc1ccccc1,3.829978817
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,6.563972059
339720,339-72-0,NC1CONC1=O,2.310025961
370149,370-14-9,CNC(C)Cc1ccc(O)cc1,3.218104673
465190,465-19-0,CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.136452002
501304,501-30-4,O=c1cc(CO)occ1O,2.152624639
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,5.695966135
509206,509-20-6,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,3.125751697
512561,512-56-1,COP(=O)(OC)OC,1.766149389
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,4.174209381
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,4.213645238
538238,538-23-8,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,2.070675903
543839,543-83-9,CC(C)=CCNC(=N)N,3.696216417
547911,547-91-1,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.8464868
554723,554-72-3,NC(=O)CNc1ccc([As](=O)(O)O)cc1,2.136891715
573580,573-58-0,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3.610602945
579759,579-75-9,COc1ccccc1C(=O)O,1.742936408
584087,584-08-7,O=C(O)O,3.491529775
624180,624-18-0,Nc1ccc(N)cc1,3.335032425
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,3.802323809
683181,683-18-1,CCCC[Sn](Cl)(Cl)CCCC,4.482657811
685916,685-91-6,CCN(CC)C(C)=O,2.061361992
736265,736-26-5,O=Nc1ccc(NNC(=O)c2ccncc2)c(=O)cc1,3.732792484
738647,738-64-7,O=Nc1ccc(NNC(=O)c2cc[n+](O)cc2)c(=O)cc1,3.759297592
751984,751-98-4,CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.771275467
753731,753-73-1,C[Sn](C)(Cl)Cl,3.739744367
991424,991-42-4,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,6.310974398
1068582,1068-58-2,CSC(=N)N,2.778879289
1075612,1075-61-2,CC(N)Cc1cccc(O)c1,3.334479601
1098448,1098-44-8,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.744793503
1634044,1634-04-4,COC(C)(C)C,2.774960601
1684408,1684-40-8,Nc1c2c(nc3ccccc13)CCCC2,3.996224821
2035894,2035-89-4,C=NN(C)C,2.858001518
2163771,2163-77-1,Nc1cc([As](=O)(O)O)ccc1O,2.464368438
2482806,2482-80-6,Clc1cc(N2CC2)nc(N2CC2)n1,4.117582815
2571860,2571-86-0,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.599421408
2764729,2764-72-9,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,4.119260604
2799077,07-07-99,NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,3.907270395
2897463,2897-46-3,CCCCCC[Sn](CCCCCC)(CCCCCC)CC(=O)O,4.858602357
3347624,3347-62-4,Cc1cc(-c2ccccc2)n[nH]1,3.023126201
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.875464005
3542367,3542-36-7,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,4.619161184
3569582,3569-58-2,C[S+](C)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.991330809
3569593,3569-59-3,C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1,4.601324735
4491194,4491-19-4,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,5.975691878
5934203,5934-20-3,CN(C)CCN1c2ccccc2Sc2ccccc21,3.954887039
5980336,5980-33-6,Cc1cc(=O)oc2cc(O)ccc12,2.780551568
6784254,6784-25-4,O=CNc1ccc(S(=O)(=O)c2ccc(NC=O)cc2)cc1,2.830127971
10453868,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,3.161691219
10453891,10453-89-1,CC(C)=CC1C(C(=O)O)C1(C)C,3.44344631
17575212,17575-21-2,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,4.914310976
19464552,19464-55-2,CC(=O)O[Sn](C(C)C)(C(C)C)C(C)C,4.40798825
20073807,20073-80-7,O=C(NO)c1ccc(C(=O)NO)cc1,2.784759009
21259767,21259-76-7,COC(CNC(=O)C1CCC(C)(C(=O)O)C1(C)C)C[Hg]SCC(=O)O,3.351834943
22137015,22137-01-5,COc1ccc2occ(CCN)c2c1,4.503404775
22431625,22431-62-5,CC1(C)C(C=C2CCCC2)C1C(=O)OCc1coc(Cc2ccccc2)c1,5.260649664
23191755,23191-75-5,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C(F)(F)F,4.900250208
28089056,28089-05-6,COc1ccc2oc(C)c(CCN)c2c1,3.72123337
28089067,28089-06-7,COc1cc2ccoc2cc1CCN,3.600314788
28434006,28434-00-6,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.878541901
29767202,29767-20-2,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,4.641250626
30652121,30652-12-1,CCn1ccc(=O)c(O)c1C,2.708083646
32954588,32954-58-8,CC(O)CCC(=O)c1ccoc1,4.049714076
33069624,33069-62-4,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,4.001997243
38146893,38146-89-3,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(O)(C5C6O)C(C(OC)C23)C14,3.102424725
38146917,38146-91-7,CCN1CC2(COC)C(OC(C)=O)CC(OC)C34C5CC6(OC(C)=O)C(OC)CC(OC(C)=O)(C5C6OC(C)=O)C(C(OC)C23)C14,3.535327439
39515418,39515-41-8,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,5.14542018
52315078,52315-07-8,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,4.115110498
52645531,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,4.291473193
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,3.095966113
64046624,64046-62-4,CCCCOC(=O)CON,3.468861089
64910630,64910-63-0,CCCCS(=O)(=O)NC1CCCCC1,2.988955121
66641381,66641-38-1,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,3.750014422
68622800,68622-80-0,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)[N+]3([O-])C1O,2.856976267
70578244,70578-24-4,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14,7.120424535
72732560,72732-56-0,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,3.813410173
74038952,74038-95-2,COc1ccc2[nH]c(C)c(CCN)c2c1,2.626263836
77181261,77181-26-1,CCN1CC2(COC)C(OC(C)=O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,3.22466758
78219451,78219-45-1,O=C(OCCCN1CCCCC1CCc1ccccc1)c1ccccc1,4.203490293
78499271,78499-27-1,Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2,3.267643914
82144738,82144-73-8,CCN1CC2(COC)C(OC(C)=O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,5.623109673
82144749,82144-74-9,CCN1CC2(COC)C(OC(C)=O)CC(OC)C34C5CC6(OC(C)=O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,4.200376807
83805112,83805-11-2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(C(F)(F)F)C(F)(F)F)CC(O)CC1O,8.242695441
85031250,85031-25-0,CCN1CC2(COC)C(OC(C)=O)CC(OC)C34C5CC6(OC(C)=O)C(OC)C(OC(C)=O)C(OC(C)=O)(C5C6OC(C)=O)C(C(OC)C23)C14,2.982482991
97519396,97519-39-6,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,2.094596748
97919227,97919-22-7,Nc1ccc(S(=O)(=O)Nc2cnc3c(Cl)cccc3n2)cc1,2.746618633
103577453,103577-45-3,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,3.804031274
111223268,111223-26-8,NCCCCC(OP(=O)(O)CCCCc1ccccc1)C(=O)N1CCCC1C(=O)O,2.245983227
114977285,114977-28-5,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,4.606322237
121749391,121749-39-1,CCNCCCNCCCNCCCNCC,3.388149177
122547493,122547-49-3,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,2.55224375
129318430,129318-43-0,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,3.919245499
131722571,131722-57-1,CCC1(O)CC(OC2CC(N3CCOCC3)C(O)C(C)O2)c2c(O)c3c(c(O)c2C1O)C(=O)c1cccc(O)c1C3=O,5.290484263
143343833,143343-83-3,COc1ccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)cc1OC,3.283789535
1229352,1229-35-2,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,4.129512659
1404155,1404-15-5,COC(=O)C1c2cc3c(c(O)c2C(OC2OC(C)C(OC)C(C)(OC)C2OC)CC1(C)O)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O,5.23366476
2437196,2437-19-6,O=[As](O)(O)c1ccc(O)cc1,3.338536173
3267785,3267-78-5,CCC[Sn](CCC)(CCC)OC(C)=O,4.106958255
7733075,07-05-33,CCC1(CCC(C)C)C(=O)NC(=S)NC1=O,3.180312289
7771440,7771-44-0,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,3.483550213
51630581,51630-58-1,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,3.924184144
63906887,63906-88-7,O=C(NC(CCN1CCCCC1)c1ccccc1)c1ccccc1,4.304345092
63977797,63977-79-7,C[N+]1(Cc2ccc(-c3ccccc3)cc2)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,4.645990803
63977811,63977-81-1,C[N+]1(Cc2ccc(Cl)cc2)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccc(N)cc1)C2,5.294059519
88949013,88949-01-3,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N=CN(C)C)C3=O)N1CC1NC12,6.192469322
95734820,95734-82-0,N[Pt]1(N)OC=C(O)O1,4.177765851
136949581,136949-58-1,CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)C(CO)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,1.393049922
