RTECS_ID,CAS_RN,SMILES,dog_oral_LD50
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.767912438
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.344345108
62748,62-74-8,O=C(O)CF,6.072784455
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.42344016
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,1.935025849
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.359003298
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,2.52417275
66228,66-22-8,O=c1cc[nH]c(=O)[nH]1,1.350589116
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.82532094
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.63633665
67685,67-68-5,CS(C)=O,0.892851175
67970,67-97-0,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.681973492
70699,70-69-9,CCC(=O)c1ccc(N)cc1,3.474778443
71556,71-55-6,CC(Cl)(Cl)Cl,2.250110844
71589,71-58-9,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1.88821545
72800,72-80-0,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,2.005900878
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.541725136
77214,77-21-4,CCC1(c2ccccc2)CCC(=O)NC1=O,2.638025762
77816,77-81-6,CCOP(=O)(C#N)N(C)C,5.908830708
78342,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,4.659488347
79072,1979/7/2,NC(=O)CCl,3.479510296
79196,79-19-6,NNC(N)=S,3.959704259
80626,80-62-6,C=C(C)C(=O)OC,1.326106015
80773,80-77-3,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.738369845
82666,82-66-6,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,5.054840227
83261,83-26-1,CC(C)(C)C(O)=C1C(=O)c2ccccc2C1=O,3.487162895
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.501513869
86544,86-54-4,NNc1nncc2ccccc12,3.204608289
86884,86-88-4,NC(=S)Nc1cccc2ccccc12,5.726173642
91338,91-33-8,NS(=O)(=O)c1cc2c(cc1Cl)NC(=CSCc1ccccc1)NS2(=O)=O,1.936461463
93765,93-76-5,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,3.407363707
94202,94-20-2,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.538989796
95045,1995/4/5,CC=C(CC)C(=O)NC(N)=O,1.949363964
97234,97-23-4,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,2.128927275
97563,97-56-3,Cc1cc(N=Nc2ccccc2C)ccc1N,2.875630299
98011,1998/1/1,O=Cc1ccco1,2.004931989
101053,101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1.741192583
107062,107-06-2,ClCCCl,1.239584831
107211,107-21-1,OCCO,1.052505062
107982,107-98-2,COCC(C)O,1.255860817
108623,108-62-3,CC1OC(C)OC(C)OC(C)O1,2.46788423
111466,111-46-6,OCCOCCO,1.071558824
112561,112-56-1,CCCCOCCOCCSC#N,3.831031077
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.724723277
115322,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.966716499
116165,116-16-5,O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.577737929
116290,116-29-0,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,2.250489533
119120,119-12-0,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,1.452733025
119368,119-36-8,COC(=O)c1ccccc1O,1.860049808
120478,120-47-8,CCOC(=O)c1ccc(O)cc1,1.521598297
120514,120-51-4,O=C(OCc1ccccc1)c1ccccc1,0.975820754
120809,120-80-9,Oc1ccccc1O,2.927891299
121197,121-19-7,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,3.721046838
122112,122-11-2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.98668078
122156,122-15-6,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,3.625849327
123319,123-31-9,Oc1ccc(O)cc1,2.740804655
125440,125-44-0,CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O,3.531207882
125520,125-52-0,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,2.537132493
125644,125-64-4,CCC1(CC)C(=O)NCC(C)C1=O,2.785925099
126523,126-52-3,C#CC1(OC(N)=O)CCCCC1,2.944503451
127071,127-07-1,NC(=O)NO,1.580097775
130610,130-61-0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,3.364770198
132605,132-60-5,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,2.299758258
140409,140-40-9,CC(=O)Nc1ncc([N+](=O)[O-])s1,3.17534943
141537,141-53-7,O=CO,1.060933806
143500,143-50-0,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,3.292822058
150130,150-13-0,Nc1ccc(C(=O)O)cc1,2.137157811
152114,152-11-4,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.055579949
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.614637827
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.466061526
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.739434677
298464,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,1.623679618
298577,298-57-7,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2.867495772
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.808277159
299854,299-85-4,COP(S)(=NC(C)C)Oc1ccc(Cl)cc1Cl,2.497170241
299865,299-86-5,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,2.464958761
300425,300-42-5,CNC(C)Cc1ccccc1,4.17387651
302341,302-34-1,C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,3.34849957
304847,304-84-7,CCN(CC)C(=O)c1ccc(O)c(OC)c1,2.871713008
305339,305-33-9,CC(C)NNC(=O)c1ccncc1,3.275670137
306070,306-07-0,C#CCN(C)Cc1ccccc1,2.958992301
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.447681424
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.004493338
330552,330-55-2,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.697398493
337473,337-47-3,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.278335481
339720,339-72-0,NC1CONC1=O,1.70796597
346189,346-18-9,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,2.990131576
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,3.364102399
438415,438-41-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,2.478233072
453189,453-18-9,COC(=O)CF,5.964113426
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,3.749277169
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,2.476605827
474259,474-25-9,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2.593928171
485314,485-31-4,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,3.809313208
511137,511-13-7,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.537828087
512481,512-48-1,C=CCC(CC)(CC)C(N)=O,2.713885177
514658,514-65-8,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,2.961935911
532036,532-03-6,COc1ccccc1OCC(O)COC(N)=O,2.081424725
532321,532-32-1,O=C(O)c1ccccc1,1.785767469
536696,536-69-6,CCCCc1ccc(C(=O)O)nc1,2.952354054
541151,541-15-1,C[N+](C)(C)CC(O)CC(=O)O,2.005954964
548685,548-68-5,CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1,2.339110763
572485,572-48-5,CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,2.96424902
579566,579-56-6,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,2.399941829
584087,584-08-7,O=C(O)O,2.093589767
586061,586-06-1,CC(C)NCC(O)c1cc(O)cc(O)c1,3.227909318
603350,603-35-0,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.71981504
603509,603-50-9,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,1.381893284
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.861582199
616911,616-91-1,CC(=O)NC(CS)C(=O)O,2.212714832
622979,622-97-9,C=Cc1ccc(C)cc1,1.373570306
624431,624-43-1,O=[N+]([O-])OCC(O)CO,2.137008944
651069,651-06-9,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,2.447637042
709988,709-98-8,CCC(=O)Nc1ccc(Cl)c(Cl)c1,2.253331235
749020,749-02-0,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,3.597122329
777117,777-11-7,Clc1cc(Cl)c(OCC#CI)cc1Cl,2.080858482
804104,804-10-4,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,1.758693261
824113,824-11-3,CCC12COP(OC1)OC2,4.510879985
846491,846-49-1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,2.20569551
846504,846-50-4,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,1.919489845
848533,848-53-3,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.197087495
944229,944-22-9,CCOP(=S)(CC)Sc1ccccc1,4.914408393
957517,957-51-7,CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.378975365
958930,958-93-0,CN(C)CCN(Cc1ccsc1)c1ccccn1,3.639144364
991424,991-42-4,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,2.708914407
999815,999-81-5,C[N+](C)(C)CCCl,3.389587766
1003403,1003-40-3,Nc1ccncc1,1.469523866
1005932,1005-93-2,CCC12COP(=O)(OC1)OC2,5.250722439
1069665,1069-66-5,CCCC(CCC)C(=O)O,2.006719078
1086028,1086-02-8,N#Cc1c(Cl)nc(Cl)c(C#N)c1-c1ccccc1,1.631744906
1124330,1124-33-0,O=[N+]([O-])c1cc[n+]([O-])cc1,1.553589252
1149231,1149-23-1,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,1.324450515
1165486,1165-48-6,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,1.333638013
1508652,1508-65-2,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,2.951208766
1563662,1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,4.066141456
1582098,1582-09-8,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1.525410238
1609478,1609-47-8,CCOC(=O)OC(=O)OCC,2.510922843
1639607,1639-60-7,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,3.530812914
1689834,1689-83-4,N#Cc1cc(I)c(O)c(I)c1,3.423146361
1689845,1689-84-5,N#Cc1cc(Br)c(O)c(Br)c1,3.442346481
1746016,1746-01-6,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,8.507820803
1746812,1746-81-2,CON(C)C(=O)Nc1ccc(Cl)cc1,2.632764935
1847241,1847-24-1,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.656940089
1861401,1861-40-1,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],2.224380243
1882264,1882-26-4,CNC(=O)OCc1cccc(COC(=O)NC)n1,2.403563173
1897456,1897-45-6,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1.725771199
1918134,1918-13-4,NC(=S)c1c(Cl)cccc1Cl,2.31407167
1929880,1929-88-0,CNC(=O)Nc1nc2ccccc2s1,2.316511303
1944123,12-03-44,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,3.305864193
2015283,2015-28-3,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.60635879
2062784,2062-78-4,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,4.06216441
2104645,2104-64-5,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.208589142
2154021,02-01-54,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,3.069090878
2164172,2164-17-2,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,1.365871567
2192214,2192-21-4,CCN(CC)CCOc1ccccc1C(=O)CCc1ccccc1,3.81351694
2240144,2240-14-4,CCNC1C2CCC(C2)C1c1ccccc1,3.856003454
2275185,2275-18-5,CCOP(=S)(OCC)SCC(=O)NC(C)C,4.279318578
2275232,2275-23-2,CNC(=O)C(C)SCCSP(=O)(OC)OC,3.417007937
2536314,2536-31-4,COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,1.632683428
2587908,2587-90-8,COP(=O)(OC)SCCSC,3.766782507
2593159,2593-15-9,CCOc1nc(C(Cl)(Cl)Cl)ns1,1.694664855
2642719,2642-71-9,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,4.459123484
2655198,2655-19-8,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,2.420584442
2702729,2702-72-9,O=C(O)COc1ccc(Cl)cc1Cl,3.344468907
2764729,2764-72-9,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,3.265388639
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.246359403
2827067,2006/7/27,Cc1cccc(C)c1C(OCCOCCN(C)C)c1c(C)cccc1C,3.168849438
2955386,2955-38-6,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,1.909570737
2964069,06-09-64,CCC1(C(C)CC(C)C)C(=O)NC(=O)NC1=O,4.380759193
3060897,3060-89-7,CON(C)C(=O)Nc1ccc(Br)cc1,1.40487227
3102009,3102-00-9,CCCCOCC(O)COc1ccccc1,2.651859269
3337711,3337-71-1,COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.663220203
3485141,3485-14-1,CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,2.135365485
3569786,3569-78-6,CC1(NC(N)=O)CCCC1,2.198663195
3804895,3804-89-5,O=C(NNCS(=O)(=O)O)c1ccncc1,2.966109805
3819076,2007/6/19,CCC1(NC(N)=O)CCCC1,2.767250392
4104147,4104-14-7,CC(N)=NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,4.212554671
4205918,4205-91-8,Clc1cccc(Cl)c1NC1=NCCN1,3.884791589
4234791,4234-79-1,CCOC(=O)CCC(=O)CC1(O)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C42Cl,3.200583084
4242335,4242-33-5,O=C(OCCF)C(c1ccccc1)c1ccccc1,5.111080959
4317140,4317-14-0,C=[N+](C)O.CC=C1c2ccccc2CCc2ccccc21,2.92925013
4470728,4470-72-8,COc1nc(Nc2ccc(C=Cc3ccc(Nc4nc(OC)nc(N(CCO)CCO)n4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)nc(N(CCO)CCO)n1,3.201302061
4510650,4510-65-0,CN(C)CCC=C(c1ccccc1)c1ccc(C(F)(F)F)cc1,2.704953569
4824786,4824-78-6,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,3.03925324
4985153,4985-15-3,CN(C)CCON=C1c2ccccc2CCc2ccccc21,2.565844868
5064313,5064-31-3,O=C(O)CN(CC(=O)O)CC(=O)O,1.582379305
5321324,5321-32-4,CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O,1.988421825
5355486,5355-48-6,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,6.290079996
5370014,01-04-70,Cc1cccc(C)c1OCC(C)N,2.702040662
5588227,5588-22-7,CC(C)NCC(O)c1ccccc1Cl,2.727760789
5598527,5598-52-7,COP(=O)(OC)Oc1nc(Cl)c(Cl)cc1Cl,3.486386551
5697563,5697-56-3,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC(=O)CCC(=O)O)C(C)(C)C5CCC43C)C2C1,2.165394249
5707697,5707-69-7,Cc1[nH]oc(=O)c1N=Nc1ccccc1Cl,4.074900513
5786210,5786-21-0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.352955241
5836293,5836-29-3,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,3.921811285
5836737,5836-73-7,NC(=S)N/N=N\c1ccc(Cl)c(Cl)c1,5.396419055
5837683,5837-68-3,O=C(CCCl)OC1=C(OC(=O)CCCl)C(=O)OC1=O,3.230411228
5903139,5903-13-9,CN(C(=O)CF)c1cccc2ccccc12,5.035915796
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,3.773335898
6056117,11-07-56,O=C(OCCOCCN1CCCCC1)N1c2ccccc2Sc2cccnc21,3.69844419
6809525,6809-52-5,CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,2.519245045
6921273,6921-27-3,C#CCOCC#C,2.01317884
6954489,6954-48-9,O=C1C=Cc2cc(Br)ccc2C1=O,3.675873619
7081530,7081-53-0,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,3.401992983
7082215,7082-21-5,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,3.647986741
7122045,2004/5/22,CNC(=O)Oc1ccccc1C1OC(C)C(C)O1,2.923040125
7195279,7195-27-9,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,1.884105154
8001501,8001-50-1,C=C1C(C)(C)C2(Cl)C(Cl)C1(Cl)C(Cl)(Cl)C2(Cl)Cl,3.275717811
10087895,10087-89-5,C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,3.125065966
10139987,10139-98-7,C[N+]1(C)C2CCC1CC(OC1c3ccccc3CCc3ccccc31)C2,3.690956895
10238218,10238-21-8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.693738378
10311849,10311-84-9,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,3.622207407
10488365,10488-36-5,CNCCOC(c1ccccc1)c1ccccc1C,3.452912061
10592139,10592-13-9,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.948843135
10605217,10605-21-7,COC(=O)Nc1nc2ccccc2[nH]1,1.883525165
12771685,12771-68-5,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,2.709787074
13055760,13055-76-0,CNCCON=C1c2ccccc2CCc2ccccc21,3.271641832
13121705,13121-70-5,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,2.682573742
13181174,13181-17-4,O=[N+]([O-])c1ccc(ON=Cc2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,2.66372165
13311847,13311-84-7,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,2.140215691
13352700,13352-70-0,CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1,3.792224944
13356086,13356-08-6,CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)O[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)CC(C)(C)c1ccccc1)c1ccccc1,2.846215427
13412641,13412-64-1,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.19528512
13593038,13593-03-8,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,3.474659077
13655522,13655-52-2,C=CCc1ccccc1OCC(O)CNC(C)C,2.813617565
13684634,13684-63-4,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1.875515587
13929356,13929-35-6,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,2.401293677
13952846,13952-84-6,CCC(C)N,2.5119665
13993652,13993-65-2,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,2.132485426
14008447,14008-44-7,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,2.949984924
14254865,14254-86-5,COc1ccc(CC2NCCc3c2[nH]c2ccc(C(C)=O)cc32)cc1OC,3.385540737
14255880,14255-88-0,O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,3.875215266
14293448,14293-44-8,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,2.373910713
14334419,14334-41-9,CC(C)NC1CCC(c2ccccc2)(c2ccccc2)CC1,3.321411998
14417880,14417-88-0,CCCCCC=CCC=CCCCCCCCC(=O)NC(C)c1ccccc1,1.583901241
14663231,14663-23-1,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,1.474032501
14698294,14698-29-4,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,2.417028038
14816183,14816-18-3,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,3.076719068
15148808,15148-80-8,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,2.792756167
15263306,15263-30-6,Cc1cccc(OCC(O)CNC(C)(C)C)c1C,2.792858422
15301481,15301-48-1,CCC(=O)n1c(=O)n(C2CCN(CCC(C#N)(c3ccccc3)c3ccccc3)CC2)c2ccccc21,3.789424698
15307796,15307-79-6,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.700664125
15662336,15662-33-6,CC1CCC2(O)C3(C)CC4(O)OC2(C1O)C1(O)C3(O)C(OC(=O)c2ccc[nH]2)C(O)(C(C)C)C41C,3.517242537
15676161,15676-16-1,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,2.232275498
15686836,15686-83-6,CN1CCCN=C1C=Cc1cccs1,2.013498704
15826376,15826-37-6,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,2.068529079
15879933,15879-93-3,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,3.092761336
16118493,16118-49-3,CCNC(=O)C(C)OC(=O)Nc1ccccc1,2.41916791
16322148,16322-14-8,CCOC(=O)N1CC=Cc2ccccc21,3.21110131
16378226,16378-22-6,CCN1CCC(=C2c3ccccc3CCc3ccccc32)C1C,3.192051099
16752775,16752-77-5,CNC(=O)ON=C(C)SC,3.909058338
16777427,16777-42-7,COc1cccc(C(=O)CCNC(C)C(O)c2ccccc2)c1,3.195064839
17109498,17109-49-8,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,2.947825684
17186957,17186-95-7,Cn1cnc2c1c(=O)[nH]c(=O)n2C,2.778553992
17230885,17230-88-5,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1.829256159
17243399,17243-39-9,CNCC12CCC(c3ccccc31)c1ccccc12,3.095791569
17321776,17321-77-6,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,2.914918717
17667231,17667-23-1,Cc1cc(O)c2c(O)c(-c3ccc4cc(C)cc(O)c4c3O)ccc2c1,2.23852532
17902237,17902-23-7,O=c1[nH]c(=O)n(C2CCCO2)cc1F,3.769917902
18181709,18181-70-9,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,2.138828797
18472872,18472-87-2,O=C1OC2(c3cc(Br)c(O)c(Br)c3Oc3c2cc(Br)c(O)c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,2.232485103
18530568,18530-56-8,CN(C)C(=O)NC1CC2CC1C1CCCC21,1.778800251
18691979,18691-97-9,CNC(=O)N(C)c1nc2ccccc2s1,2.344951976
18699020,18699-02-0,CC(=O)Nc1ccc(CC(=O)O)cc1,1.504256243
19044883,19044-88-3,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],2.539534
