RTECS_ID,CAS_RN,SMILES,mouse_oral_LD50
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.134043164
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.053506011
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.611857788
51296,51-29-6,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.177235586
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.448027802
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.586399745
51616,51-61-6,NCCc1ccc(O)c(O)c1,1.545618814
51661,51-66-1,COc1ccc(NC(C)=O)cc1,2.14244205
51718,51-71-8,NNCCc1ccccc1,2.991961547
51752,51-75-2,CN(CCCl)CCCl,3.992593807
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.699671908
51796,51-79-6,CCOC(N)=O,1.551908449
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,3.99181065
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.619701543
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,3.697192622
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.449131133
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.546664904
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,3.079928438
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,2.869640173
52528,52-52-8,NC1(C(=O)O)CCCC1,2.621166194
52664,52-66-4,CC(C)(S)C(N)C(=O)O,1.962813203
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.933549711
52857,52-85-7,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,4.534624536
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.723780471
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,2.556862098
53190,53-19-0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.903152412
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.490774912
53394,53-39-4,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,2.223428488
53430,53-43-0,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1.460041936
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.939443376
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.397299821
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,2.266749466
53963,53-96-3,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,2.440355079
54035,1954/3/5,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,2.939040294
54308,54-30-8,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,2.624983274
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.218468544
54422,54-42-2,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,1.549125927
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,1.726430334
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.623969109
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.130319471
54808,54-80-8,CC(C)NCC(O)c1ccc2ccccc2c1,2.782438199
54842,54-84-2,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,2.850865675
54853,54-85-3,NNC(=O)c1ccncc1,3.013318838
54864,54-86-4,O=C(O)c1cccnc1,1.519753919
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,2.820564497
54911,54-91-1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,2.969457385
54955,54-95-5,C1CCc2nnnn2CC1,3.195943658
55185,55-18-5,CCN(CC)N=O,2.708153102
55210,55-21-0,NC(=O)c1ccccc1,2.018825995
55221,55-22-1,O=C(O)c1ccncc1,1.595724875
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.499591913
55527,55-52-7,CC(Cc1ccccc1)NN,3.093956842
55561,55-56-1,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1,2.303147085
55572,55-57-2,N=C(N=C(N)N)Nc1ccccc1,2.16930943
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.295490608
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,2.33392502
55801,55-80-1,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1.131009357
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.964134652
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,3.350082306
56042,1956/4/2,Cc1cc(=O)[nH]c(=S)[nH]1,1.825488739
56100,56-10-0,N=C(N)SCCN,2.165093142
56122,1956/12/2,NCCCC(=O)O,0.910227862
56177,56-17-7,NCCSSCCN,2.24115425
56188,56-18-8,NCCCNCCCN,2.479520705
56235,56-23-5,ClC(Cl)(Cl)Cl,1.269883524
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.034968818
56360,56-36-0,CCCC[Sn](CCCC)(CCCC)OC(C)=O,3.880195749
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.765318296
56406,56-40-6,NCC(=O)O,1.385565644
56531,56-53-1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1.951590055
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.664864936
56699,56-69-9,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,1.564721284
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.112474531
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.33328871
56815,56-81-5,OCC(O)CO,1.352508028
56859,56-85-9,NC(=O)CCC(N)C(=O)O,0.828327199
56940,56-94-0,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,4.93344829
57067,1957/6/7,C=CCN=C=S,2.507777042
57136,57-13-6,NC(N)=O,0.795263835
57147,57-14-7,CN(C)N,2.442183474
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.436387258
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.147059871
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.310990527
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,2.867534079
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.20508317
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.962766981
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.463898959
57556,57-55-6,CC(O)CO,0.538933441
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,2.410003927
57636,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,2.494169246
57852,57-85-2,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.406849154
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.181880121
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,3.937844224
57965,57-96-5,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.132692599
57976,57-97-6,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,2.877351016
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,3.427044449
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.184432086
58140,58-14-0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.431917643
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.8870525
58184,58-18-4,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.211152132
58275,58-27-5,CC1=CC(=O)c2ccccc2C1=O,2.537020266
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,2.850720373
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,2.370539769
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.97075703
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,2.850827975
58468,58-46-8,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,2.761283911
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.703493429
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,1.487986331
58639,58-63-9,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,1.127475735
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.368971138
58866,58-86-6,O=CC(O)C(O)C(O)CO,0.814739649
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.248016343
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.403806611
58946,58-94-6,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,1.567803928
58957,58-95-7,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.975665208
59052,1959/5/2,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.493130385
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,1.528238424
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,2.976835141
59303,59-30-3,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,1.644836264
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,2.913110105
59405,59-40-5,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,1.301526255
59472,59-47-2,Cc1ccccc1OCC(O)CO,2.403261163
59483,59-48-3,O=C1Cc2ccccc2N1,2.522281179
59494,59-49-4,O=c1[nH]c2ccccc2o1,2.3872163
59507,59-50-7,Cc1cc(O)ccc1Cl,2.37592259
59529,59-52-9,OCC(S)CS,2.757766751
59585,59-58-5,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,2.132404079
59632,59-63-2,Cc1cc(C(=O)NNCc2ccccc2)no1,3.078533822
59870,59-87-0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,2.900768428
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,2.412459497
59972,59-97-2,c1ccc(CC2=NCCN2)cc1,2.621987385
60015,1960/1/5,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,1.373324421
60117,1960/11/7,CN(C)c1ccc(N=Nc2ccccc2)cc1,2.875630299
60128,1960/12/8,OCCc1ccccc1,1.682120193
60231,60-23-1,NCCS,1.923918834
60242,60-24-2,OCCS,2.614097574
60253,60-25-3,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.458560792
60311,60-31-1,CC(=O)OCC[N+](C)(C)C,1.83837082
60322,60-32-2,NCCCCCC(=O)O,0.962515035
60333,60-33-3,CCCCCC=CCC=CCCCCCCCC(=O)O,0.748888537
60344,60-34-4,CNN,3.046821487
60355,60-35-5,CC(N)=O,0.660762556
60446,60-44-6,CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,2.21406526
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.582182721
60548,60-54-8,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,2.511822442
60560,60-56-0,Cn1cc[nH]c1=S,2.123064961
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.157417547
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.994093457
60899,60-89-9,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,3.301682348
60991,60-99-1,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,2.944447906
61018,1961/1/8,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,2.88689696
61154,61-15-4,COc1ccc(OC)c(C(O)C(C)NC(C)C)c1,2.630435863
61165,61-16-5,COc1ccc(OC)c(C(O)C(C)N)c1,3.847698076
61290,61-29-0,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,2.184678815
61563,61-56-3,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,1.77702497
61574,61-57-4,O=C1NCCN1c1ncc([N+](=O)[O-])s1,1.932891623
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.66238002
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,1.909873764
61803,61-80-3,Nc1nc2cc(Cl)ccc2o1,2.494420018
61825,61-82-5,Nc1nnc[nH]1,0.757385699
62373,62-37-3,COC(C[Hg+])CNC(N)=O,3.188365926
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,4.405078829
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,2.315866158
62500,62-50-0,CCOS(C)(=O)=O,2.421887344
62511,62-51-1,CC(=O)OC(C)C[N+](C)(C)C,2.335531086
62680,62-68-0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,2.817614514
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.559015273
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,3.196471966
63456,63-45-6,COc1cc(NC(C)CCCN)c2ncccc2c1,3.49892173
63569,63-56-9,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,3.067775084
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,1.738238248
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,2.256568612
63990,63-99-0,Cc1cccc(NC(N)=O)c1,2.353793347
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.081990531
64040,64-04-0,NCCc1ccccc1,2.481381708
64108,1964/10/8,NC(=O)Nc1ccccc1,1.935373318
64175,64-17-5,CCO,1.12558969
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.734083256
64528,64-52-8,CC(=O)OC1(c2ccccc2)CCN(CCc2ccccc2)CC1,3.412878344
64551,64-55-1,CCC(C)C(C)(COC(N)=O)COC(N)=O,2.625649128
64608,64-60-8,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1,3.422491349
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.578099465
64675,64-67-5,CCOS(=O)(=O)OCC,2.377143478
64697,64-69-7,O=C(O)CI,3.350313419
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.459198507
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.831634557
65145,65-14-5,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,1.972199589
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,2.070897491
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,3.079885764
65452,65-45-2,NC(=O)c1ccccc1O,2.660036557
65496,65-49-6,Nc1ccc(C(=O)O)c(O)c1,1.464625594
65714,65-71-4,Cc1c[nH]c(=O)[nH]c1=O,1.5566987
65861,65-86-1,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,1.892364561
66024,1966/2/4,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,2.591147866
66057,1966/5/7,CC(CNN)c1ccccc1,3.405890201
66228,66-22-8,O=c1cc[nH]c(=O)[nH]1,1.146469133
66251,66-25-1,CCCCCC=O,1.082039358
66273,66-27-3,COS(C)(=O)=O,2.579523415
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.334109964
66400,66-40-0,CC[N+](CC)(CC)CC,2.003956905
66762,66-76-2,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.159369655
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.325398366
66831,66-83-1,COc1ccc2[nH]cc(CCN)c2c1,2.515887541
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,1.50875563
67287,67-28-7,CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,2.118705522
67458,67-45-8,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,2.10158354
67481,67-48-1,C[N+](C)(C)CCO,1.426690564
67516,67-51-6,Cc1cc(C)[nH]n1,1.95756663
67561,67-56-1,CO,0.642396756
67630,67-63-0,CC(C)O,1.222543065
67641,67-64-1,CC(C)=O,1.286905353
67663,67-66-3,ClC(Cl)Cl,3.520621798
67685,67-68-5,CS(C)=O,0.994125993
67732,67-73-2,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.053552834
67925,67-92-5,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,2.694772217
67969,67-96-9,CC1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3.141226515
67970,67-97-0,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.956674549
67981,67-98-1,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(OC)cc2)c2ccccc2)cc1,2.392350331
67992,67-99-2,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,3.687674017
68122,1968/12/2,CN(C)C=O,1.401489673
68224,68-22-4,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1.696685407
68268,68-26-8,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,2.278085524
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.204220872
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.032218911
68906,68-90-6,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,3.061191019
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,2.668808512
69147,69-14-7,CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1,3.133099949
69238,69-23-8,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.298586148
69272,69-27-2,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,2.974269233
69330,69-33-0,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,3.973207785
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.737212477
69727,69-72-7,O=C(O)c1ccccc1O,2.43344536
69749,69-74-9,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,2.08146378
69794,69-79-4,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0.890950416
69818,69-81-8,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21,0.819065839
70075,1970/7/5,COc1ccccc1OCC1CNC(=O)O1,1.649778664
70100,70-10-0,O=c1[nH]sc2cc(Cl)ccc12,1.605902031
70188,70-18-8,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,1.788632125
70224,70-22-4,O=C1CCCN1CC#CCN1CCCC1,4.261397627
70291,70-29-1,CCS(=O)CC,1.468576419
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.97612087
70382,70-38-2,CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,1.456995759
70519,70-51-9,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,2.621620336
70699,70-69-9,CCC(=O)c1ccc(N)cc1,2.948439165
70973,70-97-3,O=CC(=O)c1ccc(Oc2ccccc2)cc1,2.479490852
71001,71-00-1,NC(Cc1cnc[nH]1)C(=O)O,1.014680115
71238,71-23-8,CCCO,0.946336654
71363,71-36-3,CCCCO,1.441818194
71410,71-41-0,CCCCCO,2.644192321
71432,71-43-2,c1ccccc1,1.220631019
71556,71-55-6,CC(Cl)(Cl)Cl,1.347020857
71589,71-58-9,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1.383065471
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.18902785
71783,71-78-3,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,3.452909442
71794,71-79-4,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.027501957
71818,71-81-8,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,2.455910313
72173,72-17-3,CC(O)C(=O)O,1.449521778
72333,72-33-3,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1.491973478
72435,72-43-5,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,2.831070154
72559,72-55-9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.657370049
72560,72-56-0,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1.667967744
73096,1973/9/6,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,1.51588148
73245,73-24-5,Nc1ncnc2nc[nH]c12,2.236990015
73314,73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,2.269107413
73483,73-48-3,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,1.624717204
73494,73-49-4,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,1.462014451
73665,73-66-5,CCOCc1cnc(C)nc1N,2.84486954
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.00283727
74113,1974/11/3,O=C(O)c1ccc(Cl)cc1,2.126517142
