RTECS_ID,CAS_RN,SMILES,rabbit_subcutaneous_LDLo
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.294932236
87661,87-66-1,Oc1cccc(O)c1O,2.100752969
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,2.176340183
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.502884114
88051,1988/5/1,Cc1cc(C)c(N)c(C)c1,5.788586132
88755,88-75-5,O=[N+]([O-])c1ccccc1O,1.912909429
90051,1990/5/1,COc1ccccc1O,1.99699823
90391,90-39-1,C1CCN2CC3CC(CN4CCCCC34)C2C1,3.418388527
91225,91-22-5,c1ccc2ncccc2c1,2.810104766
94597,94-59-7,C=CCc1ccc2c(c1)OCO2,2.210018718
95487,95-48-7,Cc1ccccc1O,2.380773851
95578,95-57-8,Oc1ccccc1Cl,2.131375502
95705,95-70-5,Cc1cc(N)ccc1N,2.740615154
95807,95-80-7,Cc1ccc(N)cc1N,2.484908137
98011,1998/1/1,O=Cc1ccco1,2.28368559
100470,100-47-0,N#Cc1ccccc1,2.712329755
100630,100-63-0,NNc1ccccc1,3.63606242
100652,100-65-2,ONc1ccccc1,3.338966192
104858,104-85-8,Cc1ccc(C#N)cc1,2.035322245
104892,104-89-2,CCC1CCC(C)NC1,3.104592941
105566,105-56-6,CCOC(=O)CC#N,1.904304927
106445,106-44-5,Cc1ccc(O)cc1,2.556865111
107028,107-02-8,C=CC=O,2.350744071
107062,107-06-2,ClCCCl,1.916278441
107120,107-12-0,CCC#N,2.962842681
107153,107-15-3,NCCN,2.079904468
107186,107-18-6,C=CCO,2.764026608
107197,107-19-7,C#CCO,3.350744071
108394,108-39-4,Cc1cccc(O)c1,2.335016361
108452,108-45-2,Nc1cccc(N)c1,2.732972433
109740,109-74-0,CCCC#N,3.83952204
109773,109-77-3,N#CCC#N,4.041807041
109944,109-94-4,CCOC=O,1.869695111
109977,109-97-7,c1cc[nH]c1,2.428724256
110612,110-61-2,N#CCCC#N,3.347275793
110861,110-86-1,c1ccncc1,1.995097477
114498,114-49-8,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.606894189
115866,115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.513601102
118967,118-96-7,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.657308321
119368,119-36-8,COC(=O)c1ccccc1O,1.553880172
119653,119-65-3,c1ccc2cnccc2c1,2.111134761
120809,120-80-9,Oc1ccccc1O,2.689652133
125235,125-23-5,C[N+]1(C)CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.242139674
125406,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.025815657
127184,127-18-4,ClC(Cl)=C(Cl)Cl,1.877250895
127855,127-85-5,Nc1ccc([As](=O)(O)O)cc1,3.0355418
131179,131-17-9,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.391397402
131793,131-79-3,Cc1ccccc1N=Nc1c(N)ccc2ccccc12,2.417185945
131895,131-89-5,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.823234519
134327,134-32-7,Nc1cccc2ccccc12,2.678788401
134532,134-53-2,CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.788781891
135193,135-19-3,Oc1ccc2ccccc2c1,1.681762681
136470,136-47-0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.121180533
140114,140-11-4,CC(=O)OCc1ccccc1,1.574543433
140294,140-29-4,N#CCc1ccccc1,3.369775996
141797,141-79-7,CC(=O)C=C(C)C,2.067588893
141957,141-95-7,O=C(O)CC(=O)O,1.817532818
143339,143-33-9,N#C[Na],4.347844299
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.835108834
151564,151-56-4,C1CN1,2.935194784
299263,299-26-3,CC(N)Cc1c[nH]c2ccccc12,2.542195305
300549,300-54-9,CC1OC(C[N+](C)(C)C)CC1O,3.809843914
300629,300-62-9,CC(N)Cc1ccccc1,3.829978817
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.218543382
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.692790429
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.42285784
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.316221486
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,4.262942063
333937,333-93-7,NCCCCN,1.945242023
343942,343-94-2,NCCc1c[nH]c2ccccc12,2.204716727
372098,372-09-8,N#CCC(=O)O,1.650981989
442513,442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,3.025821796
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,3.562190525
469794,469-79-4,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,3.217199586
491929,491-92-9,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.19791568
494155,494-15-5,CC(=O)N1C=C(C2CCCCN2)CCC1,2.920759686
495487,495-48-7,O[N+](=Nc1ccccc1)c1ccccc1,2.860028581
499752,499-75-2,Cc1ccc(C(C)C)cc1O,2.176730649
506774,506-77-4,N#CCl,3.487640283
509159,509-15-9,C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,5.809435805
511137,511-13-7,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.763137368
529191,529-19-1,Cc1ccccc1C#N,2.277757525
532285,532-28-5,N#CC(O)c1ccccc1,4.34618992
532321,532-32-1,O=C(O)c1ccccc1,1.785767469
537122,537-12-2,O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,3.122188563
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,2.912615242
540727,540-72-7,N#CS,2.17761758
541537,541-53-7,NC(=S)NC(N)=S,3.131031296
542541,542-54-1,CC(C)CCC#N,3.038101969
542905,542-90-5,CCSC#N,3.764161182
544138,544-13-8,N#CCCCC#N,3.71839557
549848,549-84-8,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,3.850584976
556649,556-64-9,CSC#N,3.563006187
558258,558-25-8,CS(=O)(=O)F,4.447592109
568218,568-21-8,COc1cc2c3c(c1O)-c1c(cccc1OC)CC3N(C)CC2,4.192262113
584087,584-08-7,O=C(O)O,1.838317262
607910,607-91-0,C=CCc1cc(OC)c2c(c1)OCO2,2.329542507
613945,613-94-5,NNC(=O)c1ccccc1,3.125430233
625285,625-28-5,CC(C)CC#N,3.282288948
626675,626-67-5,CN1CCCCC1,2.394350976
628831,628-83-1,CCCCSC#N,4.584334994
628966,628-96-6,O=[N+]([O-])OCCO[N+](=O)[O-],2.704899444
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.766902639
633669,633-66-9,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,3.526813382
637490,637-49-0,CCCC1CCCCN1,3.201502954
757584,757-58-4,CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,5.40333933
766096,766-09-6,CCN1CCCCC1,3.053861773
850577,850-57-7,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,4.504688566
930734,930-73-4,C[n+]1ccccc1,3.371700363
952374,952-37-4,CCN(CC)CC1COc2ccccc2O1,2.867860159
1068571,1068-57-1,CC(=O)NN,2.805260572
1604019,1604-01-9,CCCC1=NCCCC1,2.398686354
1977102,10-02-77,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.816658818
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.35601948
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,2.817570658
2217085,2008/5/17,CCCC1(CCC)C(=O)NC(=O)NC1=O,2.984422972
2498502,2498-50-2,N=C(N)c1ccc(N)cc1,3.440684234
2530996,2530-99-6,C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,3.342880423
2582072,07-02-82,N=C(N)Nc1nc2ccccc2s1,3.283859571
2752649,2752-64-9,COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,6.800523939
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.511177226
2954509,2954-50-9,NC1CCCc2ccccc21,3.468999759
2987464,2987-46-4,N#CSc1ccc(N)cc1,3.875657285
3129917,3129-91-7,C1CCC(NC2CCCCC2)CC1,2.559482892
3459674,3459-67-4,N=C(N)c1cccc(N)c1,2.549955338
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.277546185
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,3.095862971
3947760,3947-76-0,C[n+]1cccc2ccccc21,2.68183497
3947771,3947-77-1,C[n+]1ccc2ccccc2c1,2.68183497
4205918,4205-91-8,Clc1cccc(Cl)c1NC1=NCCN1,3.884791589
4368289,4368-28-9,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)CO,5.691244756
4386792,4386-79-2,CC1OCC(C[N+](C)(C)C)O1,6.90373281
5418973,5418-97-3,CCOC(=O)c1ccc(C(=N)N)cc1,2.907217097
6028075,2007/5/28,CC1=NCCc2c1[nH]c1cc(O)ccc21,2.824431751
6033132,6033-13-2,N=C(N)CCCCCCCCCCCC(=N)N,4.079895435
6045392,6045-39-2,COC1C=CC2=CCN3CCC4=C(CC(=O)OC4)C23C1,3.737720475
6091447,6091-44-7,C1CCNCC1,2.453063398
6249656,6249-65-6,CC[N+](C)(CC)c1cccc(OC(=O)N(C)C)c1,6.31223326
6317186,6317-18-6,N#CSCSC#N,3.813570982
6746594,6746-59-4,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,2.755732145
6915157,6915-15-7,O=C(O)CC(O)C(=O)O,1.608872734
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,6.46946619
14306253,14306-25-3,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,2.67343564
16298901,16298-90-1,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14,7.130830189
17013411,17013-41-1,CCCCC1(CCCC)C(=O)NC(=O)NC1=O,2.681789188
17186957,17186-95-7,Cn1cnc2c1c(=O)[nH]c(=O)n2C,2.255675247
17617457,17617-45-7,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,5.335475731
20562021,20562-02-1,CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,5.239585243
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.176613622
24067105,24067-10-5,N=C(N)Nc1ccc(O)cc1,3.183827546
24440162,24440-16-2,N=C(N)C(O)c1ccccc1,2.303876164
24503251,24503-25-1,CCOC(=O)c1ccc(NC(=N)N)cc1,2.815399652
26907379,26907-37-9,c1nnc(NCNc2nncs2)s1,2.632009607
30007477,30007-47-7,O=[N+]([O-])C1(Br)COCOC1,2.627363808
33921129,33921-12-9,Nc1ccccc1,1.96908494
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.326845653
36226649,36226-64-9,CCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,3.613253206
51775178,51775-17-8,CCN(CCCl)CC1COc2ccccc2O1,3.930685897
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.664499688
63496480,63496-48-0,Oc1ccccc1,2.181257928
63732569,63732-56-9,CN1CCC23c4c5ccc(Oc6ccc([N+](=O)[O-])cc6[N+](=O)[O-])c4OC2C(O)C=CC3C1C5,3.654595227
63833998,63833-99-8,CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1CCCC1,2.571668078
63951122,63951-12-2,CCN(CC)CCN(CC)c1ccccc1,2.945192755
63951451,63951-45-1,CCC(C)C(=O)OC1CCC2(C)C3CC(O)C4C5(O)C(CC42OC13O)C1CN2CC(C)CCC2C(C)(O)C1C(O)C5OC(=O)C(C)(O)CC,5.540251245
64046077,64046-07-7,C=CC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.070604851
64046204,64046-20-4,CCC[N+](C)(C)c1cccc(OC(=O)NC)c1,6.37533983
64050017,64050-01-7,CNC(=O)Oc1cc([N+](C)(C)C)ccc1C,6.047850948
64050959,64050-95-9,C=CC[N+](C)(C)c1ccc(OC(=O)NC)cc1C,5.6978115
64057949,64057-94-9,CCN(CC)CCOC(=O)n1c2ccccc2c2ccccc21,2.190887519
64593904,64593-90-4,N=C(Nc1ccccc1)c1ccccc1,2.821524593
65567320,65567-32-0,CCC1(c2ccccc2)NC(=O)NC1=O,3.14014338
77174664,77174-66-4,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,2.258194528
1328901,1328-90-1,COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1,4.439881926
1415732,1415-73-2,O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,3.320559604
1422077,1422-07-7,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,3.874148286
3333082,08-02-33,C[N+]1(C)CCCCC1,2.756681741
3333526,3333-52-6,CC(C)(C#N)C(C)(C)C#N,3.657049476
4720096,2009/6/20,CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.168290136
51488336,51488-33-6,COc1ccc(C(=N)N)cc1OC,2.698264455
62637938,62637-93-8,C=[N+](C)O,1.301579754
63979613,63979-61-3,N=C(N)CCCCCCCCCCC(=N)N,4.150695051
63981533,63981-53-3,CC(C)c1cc(OC(=O)N(C)C)ccc1[N+](C)(C)C,6.122833285
