RTECS_ID,CAS_RN,SMILES,mouse_subcutaneous_LDLo
834286,834-28-6,N=C(N=C(N)N)NCCc1ccccc1,3.011284908
924845,924-84-5,CC(C)CNC(=N)N=C(N)N,2.7193893
950356,950-35-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,5.246820278
952374,952-37-4,CCN(CC)CC1COc2ccccc2O1,2.64601141
1003403,1003-40-3,Nc1ccncc1,4.274698071
1019450,1019-45-0,COc1ccc2[nH]cc(CCN(C)C)c2c1,3.463992472
1155039,1155-03-9,COc1ccc(CN(CCN(C)C)c2nccs2)cc1,3.318391318
1502950,1502-95-0,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,3.149215586
1734914,1734-91-4,CCN(CC)CCOc1ccccc1-c1ccccc1,3.333468233
1936409,1936-40-9,CC(Cl)CN(CCCl)CCCl,3.941620738
2113055,2005/5/13,N=C(N=C(N)N)Nc1cccc(Cl)c1,2.78156254
2123071,2007/1/23,CN(Cc1ccccc1)C(=N)N=C(N)N,2.835193649
2181422,2181-42-2,C[S+](C)C,2.410338501
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,3.312420679
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,1.047744797
2469343,2469-34-3,CC1(C)CCC2(C(=O)O)CCC3=C(C(CCl)CC4C3(C)CCC3C4(C)CC(O)C(O)C3(C)C(=O)O)C2C1,4.252963815
2530996,2530-99-6,C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,3.24597041
2587908,2587-90-8,COP(=O)(OC)SCCSC,3.033954236
2703277,2703-27-7,Oc1ccc(N=Nc2ccc(Cl)cc2)cc1,2.162620407
2845821,2845-82-1,O=c1[nH]nc(-c2ccncc2)o1,1.814609801
2947004,2947-00-4,CCNCC(O)c1ccc(O)c(O)c1,4.692921791
2964092,09-02-64,C[N+](C)(C)CCOC(=O)c1ccccc1,2.017619658
3010002,3010-00-2,CC[N+](C)(CC)CC#N,2.706584658
3010035,2003/5/10,N#CCN1CCCCC1,3.330648142
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.393620539
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,2.697922962
3565331,3565-33-1,CC[N+](C)(CC)CCOC(=O)C1CC2CC[N+]1(C)CC2,3.698121922
3569593,3569-59-3,C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1,3.145392779
3820539,3820-53-9,COP(=O)(OC)Sc1ccc([N+](=O)[O-])cc1,4.545242772
4024344,4024-34-4,Cc1ccc(C(OCCN(C)C)c2ccccc2)cc1,2.918494885
4838522,4838-52-2,CCCCCCNC(=N)N=C(N)N,3.392755559
5146225,5146-22-5,N=C(N=C(N)N)NCc1ccco1,2.781034542
5984598,5984-59-8,CC(C)CCCC(C)N,3.111420471
6028075,2007/5/28,CC1=NCCc2c1[nH]c1cc(O)ccc21,2.721769409
6091447,6091-44-7,C1CCNCC1,2.112619283
6155573,6155-57-3,O=C1NS(=O)(=O)c2ccccc21,1.417798981
6272975,6272-97-5,CCNC(Cc1ccccc1)c1ccccc1,2.585672787
6273025,02-05-73,CCNC(Cc1ccc(OC)cc1)c1ccc(OC)cc1,3.410111207
7376694,7376-69-4,CCCNCC(O)c1ccc(O)c(O)c1,3.023789336
7400773,7400-77-3,CNC(Cc1ccccc1)c1ccccc1,2.678512213
8006255,8006-25-5,CC(C)C1(NC(=O)C2C=C3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)CN2C1=O,3.686287036
10253824,10253-82-4,CCCCNCC(O)c1ccc(O)c(O)c1,3.051708064
10429820,10429-82-0,ClCCN(CCCl)Cc1ccccc1,3.462686184
10603926,10603-92-6,C=C[N+](C)(C)C,3.071972749
11024241,11024-24-1,CC1CCC2(OC1)OC1C(O)C3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C,3.788636011
12001795,12001-79-5,CC1=C(C/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)c2ccccc2C1=O,2.653894303
12192573,12192-57-3,OCC1OC2[S-][Au+]OC2C(O)C1O,2.374887147
13004563,13004-56-3,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,3.528169534
13448301,13448-30-1,C=CC[N+](C)(C)C,2.602862694
14362313,14362-31-3,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.302234216
15543778,15543-77-8,NCC(O)C(O)C(O)C(O)CN,2.079673168
16033219,16033-21-9,CN=NNc1ccccc1,3.4776678
16478594,16478-59-4,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,6.44148147
17617457,17617-45-7,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,5.261689517
18818616,18818-61-6,O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,2.231482334
18984800,18984-80-0,CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OCCC(C)C)cc12,3.105564681
19879062,19879-06-2,CC1OC2CC(=O)OC2C2=C1C(=O)c1c(O)c3c(c(O)c1C2=O)C1CC(O)C3(O)C(C)O1,3.249826223
19942780,19942-78-0,CCCCCCCCSC#N,2.37045732
21062282,21062-28-2,CCN1CCCC(Nc2cc(C)nc(NC(=N)Nc3ccc(Cl)c(Cl)c3)n2)C1,2.81950692
21213898,21213-89-8,CNCC(=O)c1ccc(O)cc1,2.217989011
21413285,21413-28-5,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccccc1,2.292738845
24159077,24159-07-7,O=C(CC1NCCCC1O)Cn1cnc2ccccc2c1=O,4.479065431
25314878,25314-87-8,CCN(CC)CC(OC(=O)c1ccccc1)c1ccccc1,2.522973189
27819472,27819-47-2,CCN(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.539300372
29069247,29069-24-7,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,3.703460655
30748299,30748-29-9,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.932810061
38652516,38652-51-6,CCN(CC)CCn1c2ccccc2n2cc(-c3ccc(Br)cc3)nc12,2.873845645
40054691,40054-69-1,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,1.836140483
42609529,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,1.884649739
51775178,51775-17-8,CCN(CCCl)CC1COc2ccccc2O1,3.80574716
55156246,55156-24-6,N#[N+][CH-]C(=O)CCC(NC(=O)C(CCC(=O)[CH-][N+]#N)NC(=O)CCC(N)C(=O)O)C(=O)O,4.165131316
55179312,55179-31-2,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,1.829204678
60706516,60706-51-6,CN1CCCCC1CCn1c2ccccc2c2ccccc21,3.068075975
62362598,62362-59-8,CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(O)C(O)C(Nc2ncnc3nc[nH]c23)OC1C(O)CO,5.316515494
62402453,62402-45-3,COc1ccc(CC(N)c2ccc(OC)cc2)cc1,3.064142509
63765946,63765-94-6,CNC(C)CCCC(C)C,3.156167386
63915548,63915-54-8,CN(CCSCCCl)CCSCCCl,4.043437733
63951122,63951-12-2,CCN(CC)CCN(CC)c1ccccc1,2.741072772
63982478,63982-47-8,CNC(=O)Oc1ccc(C)c(N(C)C)c1,4.017577954
63982525,63982-52-5,CNC(=O)Oc1cc(C(C)C)c(OC(=O)NC)cc1C,4.146630286
64036915,64036-91-5,OCC[S+](CCO)CCSCCCl,3.992671905
64037565,64037-56-5,CC(C)CN(CCCl)CCCl,4.796965583
64037576,64037-57-6,CC(C)(C)N(CCCl)CCCl,3.899025574
64049372,64049-37-2,Cc1ccccc1OCC(CO)(CO)CO,2.985414958
64057949,64057-94-9,CCN(CC)CCOC(=O)n1c2ccccc2c2ccccc21,2.287797532
64057961,64057-96-1,CN(C)CCOC(=O)n1c2ccccc2c2ccccc21,2.12855773
64211467,64211-46-7,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1.456501666
66827450,66827-45-0,CC(=O)OC(CN(C)C)c1ccccc1,2.455606113
68358792,68358-79-2,CON(C)C(=O)Nc1ccc(OCCc2ccc(C)cc2)cc1,1.798491812
69382065,69382-06-5,CCOCCOP(=O)(OCC)OCC,3.655539876
70145630,70145-63-0,ClCCN(CCCl)CCSCCN(CCCl)CCCl,4.170516349
75889622,75889-62-2,CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCC,1.955931762
76311574,76311-57-4,CCN(CC)C(C)CCN1C(=O)CC2(CCCc3ccc(O)cc32)C1=O,3.554467354
77493040,77493-04-0,NC(=O)Cc1nnc2ccccc2n1,2.397801566
78219600,78219-60-0,CC(C)CCN1CCC(OC(=O)c2ccccc2)CC1,2.627037963
78755814,78755-81-4,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,2.481862387
80722721,80722-72-1,CCCNC(=O)Cc1nnc2ccccc2n1,2.397979617
82419361,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1.672029361
83919237,83919-23-7,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,2.717201844
102043425,102043-42-5,COc1ccc2c3c1OC1C=CC(O)C4C(C2)N(C)CCC314,2.175178282
1329379,1329-37-9,O=S(=O)(c1ccc(NC2OC(CO)C(O)C(O)C2O)cc1)c1ccc(NC2OC(CO)C(O)C(O)C2O)cc1,1.456813005
1403436,1403-43-6,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,2.913566623
1421234,1421-23-4,N=C(N=C(N)N)NCc1ccccc1,3.105482934
1421289,1421-28-9,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,3.285238535
2350314,2350-31-4,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1,3.084467477
2364445,2364-44-5,Cc1cc(O)c(C(C)C)cc1I,2.29496511
3270868,3270-86-8,CCOP(=O)(OCC)Sc1ccc([N+](=O)[O-])cc1,5.367378288
3327795,3327-79-5,COc1ccc2c(c1O)C13CCCCC1C(C2)N(C)CC3,3.334639656
3333526,3333-52-6,CC(C)(C#N)C(C)(C)C#N,3.657049476
3653483,3653-48-3,Cc1cc(Cl)ccc1OCC(=O)O,3.855218359
4762178,4762-17-8,CC(C)(C)NC(=N)N=C(N)N,2.321449291
4762214,4762-21-4,CCCCCNC(=N)N=C(N)N,3.057534249
4762225,4762-22-5,N=C(N=C(N)N)NC1CCCCC1,2.785944058
7568936,7568-93-6,NCC(O)c1ccccc1,2.300973015
23593751,23593-75-1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1.537623933
23795031,23795-03-1,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.392442872
63906887,63906-88-7,O=C(NC(CCN1CCCCC1)c1ccccc1)c1ccccc1,3.487275776
65928587,65928-58-7,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,1.794383469
67227309,67227-30-9,ClCCN(CCCl)Cc1ccco1,3.94863788
