RTECS_ID,CAS_RN,SMILES,rabbit_intravenous_LDLo
71432,71-43-2,c1ccccc1,2.948246205
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.883633049
71681,71-68-1,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,5.057427214
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.940961508
73518,73-51-8,C[N+](C)(CCO)C(=O)Cc1ccc(-c2ccc(CC(=O)[N+](C)(C)CCO)cc2)cc1,6.918602725
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.757068129
74942,74-94-2,CNC,1.051972083
75070,75-07-0,CC=O,2.166854234
75218,75-21-8,C1CO1,2.40093744
75503,75-50-3,CN(C)C,2.567555671
75525,75-52-5,C[N+](=O)[O-],1.910553262
75570,75-57-0,C[N+](C)(C)C,4.870093584
75741,75-74-1,C[Pb](C)(C)C,3.472821434
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.151023818
76879,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.166768655
77781,77-78-1,COS(=O)(=O)OC,3.401858721
78002,78-00-2,CC[Pb](CC)(CC)CC,4.167381789
78104,1978/10/4,CCO[Si](OCC)(OCC)OCC,2.716691823
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075
79083,1979/8/3,O=C(O)CBr,3.489639786
79094,1979/9/4,CCC(=O)O,1.74912118
79163,79-16-3,CNC(C)=O,0.634974264
83056,1983/5/6,O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.448919551
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,6.051894188
83932,83-93-2,O=C(O)c1c2c(nc3ccccc13)-c1ccccc1CC2,3.837757263
84662,84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,3.346822228
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.952864093
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,2.875310188
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.083010453
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,3.398579398
90051,1990/5/1,COc1ccccc1O,4.525706519
90391,90-39-1,C1CCN2CC3CC(CN4CCCCC34)C2C1,3.892812266
90697,90-69-7,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,4.528226163
91714,91-71-4,NC(=O)Nc1ccc([As](Sc2ccccc2C(=O)O)Sc2ccccc2C(=O)O)cc1,3.713013145
94075,1994/7/5,CNCC(O)c1ccc(O)cc1,3.047165793
94597,94-59-7,C=CCc1ccc2c(c1)OCO2,2.908988723
95487,95-48-7,Cc1ccccc1O,2.77871386
95501,95-50-1,Clc1ccccc1Cl,2.769389143
95578,95-57-8,Oc1ccccc1Cl,3.029917861
96480,96-48-0,O=C1CCCO1,2.235982703
97449,97-44-9,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,3.360296715
100798,100-79-8,CC1(C)OCC(CO)O1,4.190147713
106241,106-24-1,CC(C)=CCCC(C)=CCO,3.489263615
106445,106-44-5,Cc1ccc(O)cc1,2.77871386
107073,107-07-3,OCCCl,2.905871403
107120,107-12-0,CCC#N,3.042023927
107211,107-21-1,OCCO,1.093897747
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.985559691
108394,108-39-4,Cc1cccc(O)c1,2.586828334
108883,108-88-3,Cc1ccccc1,2.850509569
109740,109-74-0,CCCC#N,1.848295965
110178,110-17-8,O=C(O)C=CC(=O)O,2.365757463
110543,110-54-3,CCCCCC,2.81482248
111466,111-46-6,OCCOCCO,1.676329535
112801,112-80-1,CCCCCCCCC=CCCCCCCCC(=O)O,3.274877996
113451,113-45-1,COC(=O)C(c1ccccc1)C1CCCCN1,3.589783965
114498,114-49-8,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.682642116
115093,115-09-3,C[Hg]Cl,4.223717401
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.651781813
120025,120-02-5,NC(=O)Nc1ccc([As](SCC(=O)O)SCC(=O)O)cc1,3.593607238
120581,120-58-1,CC=Cc1ccc2c(c1)OCO2,2.732897464
122985,122-98-5,OCCNc1ccccc1,3.493844454
123319,123-31-9,Oc1ccc(O)cc1,3.041834651
123422,123-42-2,CC(=O)CC(C)(C)O,1.619141189
123513,123-51-3,CC(C)CCO,1.749322664
123911,123-91-1,C1COCCO1,1.768914226
125291,125-29-1,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,4.631110237
125406,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.372603143
126125,126-12-5,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,4.24610202
126998,126-99-8,C=CC(=C)Cl,2.964853569
127195,127-19-5,CC(=O)N(C)C,1.018961786
127855,127-85-5,Nc1ccc([As](=O)(O)O)cc1,3.336571795
129033,129-03-3,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,4.914427786
129168,129-16-8,O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21,4.673138916
131282,131-28-2,COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,2.393544007
134623,134-62-3,CCN(CC)C(=O)c1cccc(C)c1,3.406594677
136470,136-47-0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.644059278
138658,138-65-8,NCC(O)c1ccc(O)c(O)c1,5.830409012
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.453311177
141537,141-53-7,O=CO,2.045091859
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.681789188
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.692213819
144752,144-75-2,O=S(O)CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)O)cc2)cc1,2.430817604
145415,145-41-5,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,2.604799332
149291,149-29-1,O=C1C=C2C(=CCOC2O)O1,4.108680572
154416,154-41-6,CC(N)C(O)c1ccccc1,3.304516378
156569,156-56-9,C=C1CC1CC(N)C(=O)O,4.149742415
299263,299-26-3,CC(N)Cc1c[nH]c2ccccc12,3.2869228
300629,300-62-9,CC(N)Cc1ccccc1,3.733068804
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.616483391
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,7.208001733
304212,304-21-2,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,4.02992732
305997,305-99-7,ClCCN(Cc1ccco1)Cc1ccco1,4.379671658
306672,306-67-2,NCCCNCCCCNCCCN,4.050822119
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.723887836
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,5.34849471
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,6.214487057
333937,333-93-7,NCCCCN,3.042152036
357573,357-57-3,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,4.118893826
361091,361-09-1,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,3.912306037
371620,371-62-0,OCCF,5.408640146
442513,442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,3.548700541
457603,457-60-3,Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.47146383
465190,465-19-0,CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.406142245
469794,469-79-4,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,3.69432084
477327,477-32-7,CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,3.890327107
484128,484-12-8,COc1ccc2ccc(=O)oc2c1CC=C(C)C,3.989965681
491929,491-92-9,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.954877631
492182,492-18-2,COC(CNC(=O)c1ccccc1OCC(=O)O)C[Hg]O,4.839630657
494520,494-52-0,c1cncc(C2CCCCN2)c1,5.21014723
501304,501-30-4,O=c1cc(CO)occ1O,2.152624639
504632,504-63-2,OCCCO,1.404234867
511557,511-55-7,C[N+]1(Cc2ccc(-c3ccccc3)cc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,4.814443574
518343,518-34-3,COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3,4.618230846
524834,524-83-4,CCN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,4.728981094
529055,529-05-5,CCc1ccc(C)c2ccc(C)c-2c1,2.487331667
532321,532-32-1,O=C(O)c1ccccc1,2.484737473
536298,536-29-8,Nc1cc([As](Cl)Cl)ccc1O,4.228653538
537122,537-12-2,O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,4.423218559
540727,540-72-7,N#CS,2.654141866
548265,548-26-5,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,3.334383374
548663,548-66-3,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,3.899646805
549848,549-84-8,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,4.793203906
551360,551-36-0,CCN(CC)CCOC(=O)c1ccc(N)cc1O,3.544608852
553684,553-68-4,CC(C)CNCCOC(=O)c1ccc(N)cc1,3.896370034
554723,554-72-3,NC(=O)CNc1ccc([As](=O)(O)O)cc1,2.341011698
557664,557-66-4,CCN,2.10996403
573580,573-58-0,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3.452995092
584087,584-08-7,O=C(O)O,2.491529775
592041,592-04-1,N#C[Hg]C#N,5.10144805
592881,592-88-1,C=CCSCC=C,2.539201599
593919,593-91-9,C[Bi](C)C,4.363586342
597955,597-95-5,CC[N+](C)(CC)CCCCCCCCCC[N+](C)(CC)CC,5.196731484
603509,603-50-9,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,3.955924552
606473,606-47-3,COc1cc2c(cc1OC)C(COc1ccc(OCC3c4cc(OC)c(OC)cc4CC[N+]3(C)C)cc1)[N+](C)(C)CC2,5.859401017
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.810429676
616455,616-45-5,O=C1CCCN1,2.026870192
621794,621-79-4,NC(=O)C=Cc1ccccc1,3.375448257
624180,624-18-0,Nc1ccc(N)cc1,2.556881174
625503,625-50-3,CCNC(C)=O,0.966538213
627725,627-72-5,NC(CSC(Cl)=CCl)C(=O)O,4.33463266
628739,628-73-9,CCCCCC#N,3.364242686
637490,637-49-0,CCCC1CCCCN1,3.928501682
645590,645-59-0,N#CCCc1ccccc1,3.526796398
681845,681-84-5,CO[Si](OC)(OC)OC,3.182477424
683181,683-18-1,CCCC[Sn](Cl)(Cl)CCCC,4.783687807
685916,685-91-6,CCN(CC)C(C)=O,1.778060763
736265,736-26-5,O=Nc1ccc(NNC(=O)c2ccncc2)c(=O)cc1,4.03382248
738647,738-64-7,O=Nc1ccc(NNC(=O)c2cc[n+](O)cc2)c(=O)cc1,4.060327588
751984,751-98-4,CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.424487981
765344,765-34-4,O=CC1CO1,3.556682342
804104,804-10-4,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,3.319987707
816808,816-80-8,CSP(SC)SC,3.856023621
820757,820-75-7,[N-]=[N+]=CC(=O)NCC(=O)NN,2.275622401
866557,866-55-7,CC[Sn](Cl)(Cl)CC,4.393997886
935024,935-02-4,N#CC#Cc1ccccc1,4.104302702
947080,947-08-0,CCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.659568245
999815,999-81-5,C[N+](C)(C)CCCl,4.486497779
1066177,1066-17-7,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O,4.062753036
1067147,1067-14-7,CC[Pb](Cl)(CC)CC,4.564059496
1071983,1071-98-3,N#CC#CC#N,3.017822041
1076228,1076-22-8,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,2.521504202
1121308,1121-30-8,On1ccccc1=S,2.803347845
1146185,1146-18-5,CC(COC(N)=O)(COC(N)=O)C1CCCCC1,3.23606341
1165486,1165-48-6,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,5.208699277
1508765,1508-76-5,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,4.68040653
1604019,1604-01-9,CCCC1=NCCCC1,2.620535103
1715704,1715-70-4,CC[N+](CC)(CC)CCCCCCCCCC[N+](CC)(CC)CC,5.689760301
1722629,1722-62-9,Cc1cccc(C)c1NC(=O)C1CCCCN1C,3.714165475
1938518,1938-51-8,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,4.079967692
2033945,2033-94-5,C#CC(C)(O)C(O)c1ccccc1,3.246042874
2038575,2038-57-5,NCCCc1ccccc1,3.432038808
2078548,2078-54-8,CC(C)c1cccc(C(C)C)c1O,3.950060449
2095581,2095-58-1,C=CCC1(C(C)CC)C(=O)NC(=S)NC1=O,3.602653122
2109300,2109-30-0,CC(COC(N)=O)(COC(N)=O)Cc1ccc(Cl)cc1,3.287862385
2207503,2207-50-3,NC1=NCC(c2ccccc2)O1,3.732908174
2238075,07-05-38,C(OCC1CO1)C1CO1,2.813390818
2530996,2530-99-6,C=CCn1c(=O)c2c(ncn2C)n(C)c1=O,3.643910418
2582072,07-02-82,N=C(N)Nc1nc2ccccc2s1,3.584889567
2589006,2589-00-6,CCN(CC)CCOC(=O)C(C)(c1ccccc1)c1ccccc1,4.512486945
2763964,2763-96-4,NCc1cc(=O)[nH]o1,4.057300869
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.397233873
2954509,2954-50-9,NC1CCCc2ccccc21,3.866939768
2959344,2959-34-4,CCn1nc2c3ccccc3c3ccccc3c2nc1=N,4.262177295
2964069,06-09-64,CCC1(C(C)CC(C)C)C(=O)NC(=O)NC1=O,4.535661153
2987464,2987-46-4,N#CSc1ccc(N)cc1,4.875657285
3486860,3486-86-0,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,3.636568128
3562207,3562-20-7,CCN(CC)CCOc1cc(C)ccc1C(C)C,3.998952958
3565331,3565-33-1,CC[N+](C)(CC)CCOC(=O)C1CC2CC[N+]1(C)CC2,4.152966782
3569582,3569-58-2,C[S+](C)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,4.33375349
3569593,3569-59-3,C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1,4.788845456
3737095,09-05-37,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,3.90550558
3930196,3930-19-6,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,5.926403333
4322581,4322-58-1,O=c1oc2ccccc2c(O)c1C(c1ccccc1Cl)c1c(O)c2ccccc2oc1=O,4.349123991
4322592,4322-59-2,O=c1oc2ccccc2c(O)c1C(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,4.173032732
4360478,4360-47-8,N#CC=Cc1ccccc1,3.579655844
4368289,4368-28-9,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)CO,5.902098121
4410484,4410-48-4,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.334826422
4511993,4511-99-3,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,3.394957479
4512009,4512-00-9,O=c1nnc(-c2ccccc2)c(-c2ccccc2)[nH]1,3.153637192
5265985,5265-98-5,CC[N+](CC)(CC)CCOc1ccc(OCC[N+](CC)(CC)CC)cc1,5.02011257
5285870,5285-87-0,N#CSc1ccccc1,3.528887789
5421465,5421-46-5,O=C(O)CS,2.964349215
5510996,5510-99-6,CCC(C)c1cccc(C(C)CC)c1O,4.314560273
5588227,5588-22-7,CC(C)NCC(O)c1ccccc1Cl,3.630850776
5610402,5610-40-2,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,4.336995767
5746134,5746-13-4,O=C(O)CC(O)(CC(=O)O)C(=O)O,3.41434764
5903139,5903-13-9,CN(C(=O)CF)c1cccc2ccccc12,4.637975787
5908894,5908-89-4,CN1C2CCC1CC(OC(=O)C1CCC(C(=O)Oc3ccccc3)(C3CC4CCC(C3)N4C)c3ccccc31)C2,4.558484567
5934203,5934-20-3,CN(C)CCN1c2ccccc2Sc2ccccc21,4.130978298
5957175,5957-17-5,CC[N+](CC)(CC)CCO,3.165107753
5967522,5967-52-2,CC(N)C(O)c1cccc(O)c1,4.01913707
5980336,5980-33-6,Cc1cc(=O)oc2cc(O)ccc12,2.874866557
5985353,5985-35-3,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,4.131816133
6037236,6037-23-6,CCOC(=O)C(CCc1ccccc1)C(=O)OCCN(CC)CC,4.224590033
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,2.93966732
6091447,6091-44-7,C1CCNCC1,2.72606467
6159553,6159-55-3,OC1CCN2Cc3ccccc3N=C12,3.399627579
6168861,6168-86-1,CNC(C)CCC=C(C)C,3.451043049
6266406,6266-40-6,c1cc[n+](CCCCCCCCCC[n+]2ccccc2)cc1,4.629808466
6295530,6295-53-0,Cc1ccc(OC(=O)N2CCCCC2)c(C(C)C)c1[N+](C)(C)C,6.902368731
6452717,6452-71-7,C=CCOc1ccccc1OCC(O)CNC(C)C,4.122794006
6603403,6603-40-3,CCOC(=O)CCCCCC1NC(=O)CS1,3.532442945
8006255,8006-25-5,CC(C)C1(NC(=O)C2C=C3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)CN2C1=O,5.539579555
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,4.142093682
10380775,10380-77-5,C[N+]1(CC2Cc3cc(C(=O)c4ccc5c(c4)OC(C[N+]4(C)CCCCC4)C5)ccc3O2)CCCCC1,6.292865429
10453868,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,3.13155066
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,6.566376203
11029702,11029-70-2,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,4.797456825
12789036,12789-03-6,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,4.612552878
14306253,14306-25-3,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,4.312093501
14709627,14709-62-7,N#C[Fe](C#N)(C#N)(C#N)(C#N)N=O,4.59819707
15154388,15154-38-8,CCCCN(CCCC)CCOC(=O)c1ccc(N)cc1,4.235562607
15662336,15662-33-6,CC1CCC2(O)C3(C)CC4(O)OC2(C1O)C1(O)C3(O)C(OC(=O)c2ccc[nH]2)C(O)(C(C)C)C41C,7.3923038
15969285,15969-28-5,S=c1nncc(-c2ccccc2)[nH]1,3.033981775
16028141,16028-14-1,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1,3.080366246
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,4.056100281
17086203,17086-20-3,CCCO[Bi](O)O,4.01772685
18010407,18010-40-7,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,4.596480747
19072572,19072-57-2,CC[N+]1(CC)C(C)CCCC1C,3.83332564
19590853,19590-85-3,COc1cc(C(=O)NC2CCCC3CN(C)CCC32)cc(OC)c1OC,4.184218525
20073807,20073-80-7,O=C(NO)c1ccc(C(=O)NO)cc1,2.321339032
20562021,20562-02-1,CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1,4.938555248
21259767,21259-76-7,COC(CNC(=O)C1CCC(C)(C(=O)O)C1(C)C)C[Hg]SCC(=O)O,3.652864939
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,4.552277236
23239410,23239-41-0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,3.053499723
24301868,24301-86-8,CCC(N)c1ccccc1,3.432038808
25314878,25314-87-8,CCN(CC)CC(OC(=O)c1ccccc1)c1ccccc1,4.041974279
25332096,25332-09-6,CN(C)CCC(c1ccccc1)c1ccccn1,3.903722872
26660764,26660-76-4,C[N+](C)(CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,3.999029571
27074700,27074-70-0,CCCCCN(CCCCC)CC(O)c1cc2c(c3ccccc13)CCCC2,4.280582923
27389679,27389-67-9,C[N+](C)(C)CCc1ccc([N+](C)(C)C)cc1,3.745027923
29717268,29717-26-8,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c(I)c(I)c(I)c(I)c21,3.893636022
33965809,33965-80-9,N#CC(O)CCl,4.023351245
35523898,35523-89-8,NC(=O)OCC1N=C(N)N2CCC(O)(O)C23NC(N)=NC13,7.998972403
35703323,35703-32-3,COc1cc(C=CC(=O)O)ccc1OCCO,1.93374987
35763441,35763-44-1,CCCCC1(CC)C(=O)NC(=O)NC1=O,3.372603143
38455902,38455-90-2,CC(C(O)c1ccccc1)N(C)C,3.513127971
39847068,39847-06-8,CCC1(C(C)C)C(=O)NC(=S)NC1=O,3.427911918
40819930,40819-93-0,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCl)N3C1O,3.773991287
42061529,42061-52-9,CN(C)c1nc(=NP(=O)(N2CC2)N2CC2)c2c(ncn2C)[nH]1,3.332186563
51775178,51775-17-8,CCN(CCCl)CC1COc2ccccc2O1,4.231715893
52991034,52991-03-4,CC(CN)c1ccccc1,3.432038808
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,3.369108994
53581650,53581-65-0,CC(N)CCc1ccc2c(c1)OCO2,3.684050522
63496480,63496-48-0,Oc1ccccc1,2.718377112
63732569,63732-56-9,CN1CCC23c4c5ccc(Oc6ccc([N+](=O)[O-])cc6[N+](=O)[O-])c4OC2C(O)C=CC3C1C5,5.177473972
63833998,63833-99-8,CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1CCCC1,4.17372807
63884286,63884-28-6,C[N+]1(CCCCCCCCCC[N+]2(C)CCCCC2)CCCCC1,5.052596481
63951122,63951-12-2,CCN(CC)CCN(CC)c1ccccc1,3.945192755
63951451,63951-45-1,CCC(C)C(=O)OC1CCC2(C)C3CC(O)C4C5(O)C(CC42OC13O)C1CN2CC(C)CCC2C(C)(O)C1C(O)C5OC(=O)C(C)(O)CC,6.364159986
64036868,64036-86-8,O=C1C=CC2=C3CCC(=O)NCC4C=CC(C4)NCC(=O)CNCC=CCCC3OC2=C1,3.795919722
64057949,64057-94-9,CCN(CC)CCOC(=O)n1c2ccccc2c2ccccc21,4.190887519
64057961,64057-96-1,CN(C)CCOC(=O)n1c2ccccc2c2ccccc21,4.149747029
