RTECS_ID,CAS_RN,SMILES,dog_oral_LDLo
24159215,24159-21-5,NNc1nnc(NN)c2cc(C(F)(F)F)ccc12,3.411968012
24934916,24934-91-6,CCOP(=S)(OCC)SCCl,4.27362158
28184716,28184-71-6,NC(CC(=O)O)C(=O)O,1.42521784
28395031,28395-03-1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,5.862635775
29883156,29883-15-6,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,3.660326543
30560191,30560-19-1,COP(=O)(NC(C)=O)SC,2.429704863
33185874,33185-87-4,CC1CCC(NC(=O)N(CCCl)N=O)CC1,3.996031582
33237740,33237-74-0,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,4.031403078
33820530,33820-53-0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],2.189442586
35543249,35543-24-9,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,3.584599748
40507800,40507-80-0,c1cc2c(c(NC3=NCCN3)c1)CCC2,2.804098437
41340254,41340-25-4,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1.856364812
53179116,53179-11-6,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,4.076502088
53179127,53179-12-7,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,4.093422561
54749905,54749-90-5,O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,5.019384957
55661386,55661-38-6,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,4.736708763
56180940,56180-94-0,CC1OC(OC2C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,1.809968903
57227164,57227-16-4,CCCN(CCC)C(=O)C(Cc1ccc(OCCN(CC)CC)cc1)NC(=O)c1ccccc1,3.669924653
57470787,57470-78-7,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,2.869942964
57966957,57966-95-7,CCNC(=O)NC(=O)C(C#N)=NOC,2.120972948
59122462,59122-46-2,CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,4.582677989
60029234,60029-23-4,O=CNC(N1CCOCC1)C(Cl)(Cl)Cl,2.116501482
61477949,61477-94-9,CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,3.450371012
63496480,63496-48-0,Oc1ccccc1,2.274679613
66357593,66357-59-3,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,2.020376477
70356035,70356-03-5,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,2.565628256
71628961,71628-96-1,COC1CC(C)(O)Cc2cc3c(c(O)c21)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O,4.529520983
72509763,72509-76-3,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,3.283594053
72732560,72732-56-0,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,2.831138939
74711436,74711-43-6,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,2.474744965
75889622,75889-62-2,CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCC,2.080870499
78755814,78755-81-4,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,2.675682413
83805112,83805-11-2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(C(F)(F)F)C(F)(F)F)CC(O)CC1O,8.020846692
86541744,86541-74-4,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,2.627874625
104757531,104757-53-1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,4.214441145
107007998,107007-99-8,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,4.318643399
143201110,143201-11-0,COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,4.157190352
1225554,1225-55-4,CNCCCC1c2ccccc2C=Cc2ccccc21,2.818529398
1229294,1229-29-4,CN(C)CCC=C1c2ccccc2COc2ccccc21,2.969078722
2338183,2338-18-3,NC1Cc2ccccc2C1,3.425514657
2343364,2343-36-4,O=C(CF)NNc1ccccc1,5.827811098
3330469,3330-46-9,C=C(Br)CC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.656211862
7733075,07-05-33,CCC1(CCC(C)C)C(=O)NC(=S)NC1=O,3.032249754
25812300,25812-30-0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,2.097496783
62613154,62613-15-4,c1ccc([I+2]=c2cccc[cH-]2)cc1,3.846825573
63906649,63906-64-9,Cn1c(=O)c2c(nc(Cc3ccccc3)n2C(CN)N2CCOCC2)n(C)c1=O,3.60039236
87359339,87359-33-9,COc1cc(S(C)=O)ccc1-c1nc2ccncc2[nH]1,3.458402133
91599745,91599-74-5,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,4.236914534
