RTECS_ID,CAS_RN,SMILES,rabbit_skin_LDLo
108930,108-93-0,OC1CCCCC1,2.100878149
108996,108-99-6,Cc1cccnc1,2.668054944
109693,109-69-3,CCCCCl,0.665435577
110714,110-71-4,COCCOC,1.653800825
111364,111-36-4,CCCCN=C=O,1.218066999
111499,111-49-9,C1CCCNCC1,1.896040422
111693,111-69-3,N#CCCCCC#N,5.034002429
111864,111-86-4,CCCCCCCCN,1.810390476
115968,115-96-8,O=P(OCCCl)(OCCCl)OCCCl,2.154562426
120321,120-32-1,Oc1ccc(Cl)cc1Cc1ccccc1,1.639977297
120832,120-83-2,Oc1ccc(Cl)cc1Cl,1.712508515
123035,123-03-5,CCCCCCCCCCCCCCCC[n+]1ccccc1,2.1826172
124196,124-19-6,CCCCCCCCC=O,1.454057846
126067,126-06-7,CC1(C)C(=O)N(Br)C(=O)N1Cl,2.081836784
126750,126-75-0,CCOP(=O)(OCC)SCCSCC,4.713230056
137268,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,2.381013944
140534,140-53-4,N#CCc1ccc(Cl)cc1,2.879657747
141106,141-10-6,CC(=O)C=CC=C(C)CCC=C(C)C,1.585013797
141957,141-95-7,O=C(O)CC(=O)O,1.017287995
143237,143-23-7,NCCCCCCNCCCCCCN,3.032185459
151213,151-21-3,CCCCCCCCCCCCOS(=O)(=O)O,1.425539111
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.155720051
298033,298-03-3,CCOP(=S)(OCC)OCCSCC,3.412200061
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.739434677
305339,305-33-9,CC(C)NNC(=O)c1ccncc1,1.952363747
421205,421-20-5,COS(=O)(=O)F,2.399262829
422811,422-81-1,FC(Cl)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,3.083792053
463036,463-03-6,NCCCCCCF,5.678274304
499752,499-75-2,Cc1ccc(C(C)C)cc1O,1.745366885
573580,573-58-0,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,2.212662937
614006,614-00-6,CN(N=O)c1ccccc1,2.559999137
619089,619-08-9,O=[N+]([O-])c1ccc(O)c(Cl)c1,1.938407134
623154,623-15-4,CC(=O)C=Cc1ccco1,3.435047641
623256,623-25-6,ClCc1ccc(CCl)cc1,2.543344237
624180,624-18-0,Nc1ccc(N)cc1,1.335032425
628875,628-87-5,N#CCNCC#N,1.802112091
640153,640-15-3,CCSCCSP(=S)(OC)OC,3.391568433
683181,683-18-1,CCCC[Sn](Cl)(Cl)CCCC,2.349118903
766052,766-05-2,N#CC1CCCCC1,2.737081271
867276,867-27-6,CCSCCOP(=S)(OC)OC,3.487215702
924425,924-42-5,C=CC(=O)NCO,0.800652651
1003403,1003-40-3,Nc1ccncc1,2.459120323
1003787,1003-78-7,CC1CC(C)S(=O)(=O)C1,1.614624818
1070037,1070-03-7,CCCCC(CC)COP(=O)(O)O,2.021623377
1079012,1079-01-2,CC(=O)OCC1=CCC2CC1C2(C)C,1.589444678
1119944,1119-94-4,CCCCCCCCCCCC[N+](C)(C)C,2.455689769
1124330,1124-33-0,O=[N+]([O-])c1cc[n+]([O-])cc1,2.590129435
1461229,1461-22-9,CCCC[Sn](Cl)(CCCC)CCCC,3.667468963
1461230,1461-23-0,CCCC[SnH2+](CCCC)CCCC,2.494682774
1461252,1461-25-2,CCCC[Sn](CCCC)(CCCC)CCCC,2.239518449
1656480,1656-48-0,N#CCCOCCC#N,1.470672946
1703588,1703-58-8,O=C(O)CC(C(=O)O)C(CC(=O)O)C(=O)O,1.466422722
1740154,1740-15-4,CC1(C)C2CCC1(C)C(Oc1ccc(N)cc1)C2,1.689976657
1836755,1836-75-5,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1.938920424
1879090,1879-09-0,Cc1cc(C)c(O)c(C(C)(C)C)c1,4.020641524
1928445,1928-44-5,CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,2.221746678
2052462,2052-46-2,CN(C)c1ccc(N)cc1,3.35601948
2179911,2179-91-1,C[Sn](C)(C)C#N,4.178003454
2198585,2198-58-5,CCN(CC)c1ccc(N)cc1,3.118600653
2210255,2210-25-5,C=CC(=O)NC(C)C,1.855035852
2216457,2216-45-7,CC(=O)OCc1ccc(C)cc1,1.516413728
2238075,07-05-38,C(OCC1CO1)C1CO1,1.938329555
2244215,2244-21-5,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,1.796901332
2524030,2524-03-0,COP(=S)(Cl)OC,2.705955687
2524041,2004/1/24,CCOP(=S)(Cl)OCC,2.974548535
2591573,2591-57-3,CCOP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.442852757
2601890,2601-89-0,N#CC(Cl)CCl,2.193496099
2602462,2602-46-2,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c12,2.625744472
2628162,2628-16-2,C=Cc1ccc(OC(C)=O)cc1,2.908988723
2778429,2778-42-9,CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,2.086882805
2854162,2854-16-2,CC(C)(O)CN,1.657806814
2909388,2909-38-8,O=C=Nc1cccc(Cl)c1,1.286480226
2998041,04-01-98,C=CCOC(=O)CCCCC(=O)OCC=C,2.354630816
3081014,01-04-81,CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1,1.551091861
3083258,3083-25-8,ClC(Cl)(Cl)CC1CO1,1.943103574
3737415,3737-41-5,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,3.110510587
4129173,4129-17-3,N#[N+][N-]P(=O)(c1ccccc1)c1ccccc1,2.005763043
4418262,4418-26-2,CC(=O)c1c(O)cc(C)oc1=O,1.526721702
4471276,4471-27-6,O=C1CCCCCCCC(=O)OCCO1,1.431122625
4826624,4826-62-4,CCCCCCCCCC=CC=O,1.56183334
5421465,5421-46-5,O=C(O)CS,2.48722796
5441634,5441-63-4,C=CCOC(=O)COCC(=O)OCC=C,2.330853933
5976476,5976-47-6,C=C(Cl)CO,3.568319085
6008602,6008-60-2,N#CC(C#N)=C1SCS1,3.087767338
6279874,6279-87-4,O=C(OCCCl)c1ccccc1C(=O)OCCCl,2.363716415
6317186,6317-18-6,N#CSCSC#N,2.514717905
6789806,6789-80-6,CCC=CCC=O,1.292898175
7027114,2011/4/27,CC1(C)CC(=O)CC(C)(C#N)C1,1.01398469
7337453,7337-45-3,CC(C)(C)N,1.563119022
7779273,7779-27-3,CCN1CN(CC)CN(CC)C1,1.932696943
11096825,11096-82-5,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2.256335225
11120299,11120-29-9,Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(-c3c(Cl)cc(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1Cl,2.285076376
12672296,12672-29-6,Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,2.361909331
13074652,13074-65-2,CCCCCCC1CCCC1=O,1.527062499
13286323,13286-32-3,CCOP(=O)(OCC)SCc1ccccc1,2.655043342
13750624,13750-62-4,Cc1nccn1Cc1ccccc1,2.935081328
15199265,15199-26-5,Cc1ccc(SN2C(=O)c3ccccc3C2=O)cc1,2.231619582
16069366,16069-36-6,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,3.457185257
16118493,16118-49-3,CCNC(=O)C(C)OC(=O)Nc1ccccc1,2.674440415
16752548,16752-54-8,CNC(C)C#N,3.225071864
17609324,17609-32-4,CC=CC=CC=CC(C)=O,1.435187971
17773410,17773-41-0,CSCCC(O)C#N,3.01756329
18127010,18127-01-0,CC(C)(C)c1ccc(CCC=O)cc1,1.580436833
18318837,18318-83-7,CCCC=CC(OC)OC,1.460037419
18771385,18771-38-5,CCSC(SCC)=C(C#N)C#N,3.797670672
19780359,19780-35-9,CCOC(=O)C1OC1C,1.662634378
22457234,22457-23-4,CCC(CC(C)CC)=NO,1.457063988
22791124,22791-12-4,CCN1CC(C)OC1=NP(=O)(OC)SC,5.225784677
23103982,23103-98-2,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,2.42286513
23386529,23386-52-9,O=C(CC(C(=O)OC1CCCCC1)S(=O)(=O)O)OC1CCCCC1,1.86027091
23950585,23950-58-5,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.908776758
24851987,24851-98-7,CCCCCC1C(=O)CCC1CC(=O)OC,1.655745254
26444495,26444-49-5,Cc1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,2.032194009
26651967,26651-96-7,CCC(=O)C=CC=C(C)CCC=C(C)C,1.615590269
28178429,28178-42-9,CC(C)c1cccc(C(C)C)c1N=C=O,2.207734789
28407376,28407-37-6,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c3c(c12)O[Cu]Oc1cc(-c2ccc4c(c2)O[Cu]Oc2c(c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)cc(N)c25)N=N4)ccc1N=N3,2.096865713
29560847,29560-84-7,OCC=CCl,2.735810172
33965809,33965-80-9,N#CC(O)CCl,3.625411237
34256821,34256-82-1,CCOCN(C(=O)CCl)c1c(C)cccc1CC,2.330626327
37514300,37514-30-0,COC1(C)CCCCCCCCCCC1,1.628137477
54395367,54395-36-7,CCCCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,2.093838268
54395378,54395-37-8,CCCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,2.093838268
56073100,56073-10-0,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,5.320915283
59010865,59010-86-5,CCCSP(=O)(OCC)Oc1ccc(Sc2ccc(Cl)cc2)cc1,2.508292644
59230578,59230-57-8,CC(=O)OCc1ccc(C(C)C)cc1,1.584914416
59463546,59463-54-6,CCOC(=S)SCC#N,3.507664691
63734623,63734-62-3,O=C(O)c1cccc(Oc2ccc(C(F)(F)F)cc2Cl)c1,1.801625946
63917408,63917-40-8,CB1P(C)B(C)P(C)B(C)P1C,2.555433042
64011445,64011-44-5,COC(C)(N)CC(C)O,1.984595793
68334678,68334-67-8,CC(C)OC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2.453925011
68955544,68955-54-4,CC(C)(C)CCCCCCCCCCCCCCCN,2.151590466
70172008,70172-00-8,CC(=CC1C(C)=CCCC1(C)C)C(C)O,1.619813078
78193950,78193-95-0,CCOCN(C(=O)CCl)c1c(C)cccc1OC(C)C,1.577008229
1187468,1187-46-8,CCOC(=O)C(Br)C#N,2.783641289
1193813,1193-81-3,CC(O)C1CCCCC1,2.107938837
1424506,1424-50-6,N#CC(Cl)CS(=O)(=O)c1ccccc1,2.361138306
2315437,2315-43-7,CC(C)CCN(C)C,1.760497875
2409554,2409-55-4,Cc1ccc(O)c(C(C)(C)C)c1,1.873077409
2425107,2010/7/25,CNC(=O)Oc1ccc(C)c(C)c1,2.25338405
2425163,2425-16-3,CCOP(=S)(OCC)SCC(=O)NC(N)=O,4.155814106
2432748,2432-74-8,N#CCCCCCN,1.550212867
3268493,3268-49-3,CSCCC=O,1.619819332
3333526,3333-52-6,CC(C)(C#N)C(C)(C)C#N,3.234350228
3683123,12-03-83,C=C(C)C(=O)OCCc1ccccc1,1.580336399
4752356,4752-35-6,COP(=S)(OC)SCCSC,3.667139027
7560830,7560-83-0,CN(C1CCCCC1)C1CCCCC1,1.98978342
32781263,32781-26-3,CC(CC(C)C)=NC(C)CC(C)C,2.661194867
90503687,90503-68-7,CCCOCN(C(=O)CCl)c1c(C)cccc1OCC,2.175798736
90842583,90842-58-3,CCCCOc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.207426998
