RTECS_ID,CAS_RN,SMILES,cat_intravenous_LD50
26543544,26543-54-4,CC12CCC3C4(CCC5(O)CC(O)CCC35C(O)O4)C1CCC2C1=CC(=O)OC1,3.780846944
26577924,26577-92-4,CC12CCC3C(CCC4=CC(O)CCC43CO)C1(O)CCC2c1ccc(=O)oc1,6.324467535
26931657,26931-65-7,CC1OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O,6.447032955
27799559,27799-55-9,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C2OC(C)(C)OC12,5.849235926
27799560,27799-56-0,CC1OC2CC(OC3C(O)CC(OC4C(O)CC(OC5CCC6(C)C(CCC7C6CC(O)C6(C)C(C8=CC(=O)OC8)CCC76O)C5)OC4C)OC3C)OC(C)C2O1,6.332835271
27799571,27799-57-1,CC1OC2CC(OC3C(O)CC(OC4C(O)CC(OC5CCC6(C)C(CCC7C6CCC6(C)C(C8=CC(=O)OC8)CCC76O)C5)OC4C)OC3C)OC(C)C2O1,5.876980596
28474864,28474-86-4,COC1C(O)C(OC2CC(O)C3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,6.549296706
29362489,29362-48-9,CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(OC6CC(O)C(O)C(C)O6)C(OC6CC(O)C(O)C(C)O6)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1,6.199389104
31387889,31387-88-9,CC12CCC(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)CC1=CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.192598245
32077875,32077-87-5,CC12CCC(OC3OC(CO)C(O)C(O)C3O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)C(O)CC12O,6.101977382
