RTECS_ID,CAS_RN,SMILES,mouse_parenteral_LD50
1752303,1752-30-3,CC(C)=NNC(N)=S,3.823480849
1769240,1769-24-0,Cc1nc(=O)c2ccccc2[nH]1,2.50562744
1788938,1788-93-8,Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,2.830458746
1897967,1897-96-7,CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,1.970543675
2036137,2036-13-7,N#Cc1ncnc2nc[nH]c12,3.258652246
2482806,2482-80-6,Clc1cc(N2CC2)nc(N2CC2)n1,4.117582815
2519644,2519-64-4,Cc1nc2ccccc2c(=O)n1CCn1c(C)nc2ccccc2c1=O,2.141625337
2545268,2545-26-8,Ic1ncnc2nc[nH]c12,2.959590762
2924610,2924-61-0,Fc1cnc(N2CC2)nc1N1CC1,3.386489325
3131600,3131-60-0,Nc1cnn(C2OC(CO)C(O)C2O)c(=O)n1,1.421616376
3398683,3398-68-3,CNC(C)Cc1ccc(OC)cc1,2.776369405
3571719,3571-71-9,CC(C)NCC(O)c1cccc(O)c1,2.41555647
3798865,3798-86-5,Fc1ccccc1CSc1ncnc2nc[nH]c12,3.311665442
3798887,3798-88-7,Fc1ccc(CSc2ncnc3nc[nH]c23)cc1,3.278748596
4075961,4075-96-1,CC(Cc1ccccc1)N(C)C,2.957617927
4104432,4104-43-2,CNCCc1ccccc1,2.875736308
4119817,4119-81-7,O=C(NP(=O)(N1CC1)N1CC1)c1ccccc1I,3.673391881
4119828,4119-82-8,O=C(NP(=O)(N1CC1)N1CC1)c1cccc(I)c1,4.145118104
5069636,5069-63-6,O=[N+]([O-])c1ccccc1CSc1ncnc2nc[nH]c12,3.420915175
5069681,5069-68-1,Clc1ccccc1CSc1ncnc2nc[nH]c12,3.040690227
5069692,5069-69-2,Clc1cccc(CSc2ncnc3nc[nH]c23)c1,3.219374297
5069829,5069-82-9,CCCCSc1ncnc2nc[nH]c12,3.060989845
5404864,5404-86-4,NN=c1nc[nH]c2nc[nH]c12,3.242012423
5417845,5417-84-5,CCSc1ncnc2nc[nH]c12,3.040997692
5443914,5443-91-4,N#CCSc1ncnc2nc[nH]c12,3.352112117
5450351,5450-35-1,c1ccc(Sc2ncnc3nc[nH]c23)cc1,3.409077857
5591571,5591-57-1,COc1cccc2c(N)c3c(nc12)CCCCC3,3.350969089
5778518,5778-51-8,COc1cccc2c(=O)c3c([nH]c12)CCCCC3,3.386152819
5778654,5778-65-4,COc1cccc2c(Cl)c3c(nc12)CCCCC3,3.17485196
5778858,5778-85-8,Cc1ccc2nc3c(c(N)c2c1)CCCCC3,3.509630651
5778869,5778-86-9,Nc1c2c(nc3ccccc13)CCCCC2,4.150850552
5778870,5778-87-0,COc1ccc2nc3c(c(N)c2c1)CCCCC3,3.644030155
5778881,5778-88-1,Cc1cccc2c(N)c3c(nc12)CCCCC3,4.275547445
5778905,5778-90-5,Nc1c2c(nc3c(Cl)cccc13)CCCCC2,3.801176713
5778916,5778-91-6,CCc1cccc2c(N)c3c(nc12)CCCCC3,3.640481437
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,2.918478021
6115657,6115-65-7,Cc1ccc(C)c2c(Cl)c3c(nc12)CCCCC3,2.52251111
6288933,6288-93-3,CCCSc1ncnc2nc[nH]c12,3.209208845
6290922,6290-92-2,N=C(N)SCCCCCSC(=N)N,3.38890405
6301048,2004/8/1,CCOP(=O)(OCC)SCCCl,3.734889061
6345251,6345-25-1,N=C(N)SCCCCSC(=N)N,3.314583426
6653890,6653-89-0,CC(CN(C)C)n1c(Cc2ccccc2)nc2ccccc21,3.21706083
6943653,6943-65-3,N=C(N)SCCSC(=N)N,3.046997259
6974885,6974-88-5,c1nc(SC2CCCC2)c2[nH]cnc2n1,3.229073116
7348267,7348-26-7,O=C(OC1CN2CCC1CC2)c1ccccc1,2.917008213
10376597,10376-59-7,Cc1nc2ccccc2c(=O)n1CCO,2.407027424
11029611,11029-61-1,CC(C)CC(NC(=O)C(C)NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,8.044247304
12078283,12078-28-3,C1=CCC=C1,2.706277818
13150157,13150-15-7,Clc1nc(N2CC2)nc(N2CC2)c1Cl,4.965833627
13150180,13150-18-0,Clc1nc(N2CC2)c(Cl)c(N2CC2)n1,4.06274364
13150259,13150-25-9,COc1nc(N2CC2)c(Cl)c(N2CC2)n1,2.811320252
13220229,13220-22-9,CN1CCN(C(=O)C(c2ccccc2)n2cccc2C(=O)c2ccccc2)CC1,3.71319139
13243828,13243-82-8,COc1nc(N2CC2)nc(N2CC2)c1Cl,4.993660461
13922822,13922-82-2,c1c(N2CC2)nc(N2CC2)nc1N1CC1,4.910088409
13922844,13922-84-4,Brc1c(N2CC2)nc(N2CC2)nc1N1CC1,4.710109669
14251764,14251-76-4,CCCCCCCC[N+](C)(C)C,4.634316017
14445659,14445-65-9,C=CC(O)CC#CC#CCC=CCCCCCC,3.388062106
14673042,14673-04-2,Clc1cc(N2CC2)ncn1,2.802810014
14807751,14807-75-1,N=C(N)SSC(=N)N,3.097581203
16105785,16105-78-5,CCNC(C)Cc1ccccc1,3.309800446
16578113,16578-11-3,CNC(=O)NCc1cccc(CNC(=O)NC)n1,2.470756281
16763410,16763-41-0,CCCC1(CCC)NCCS1,2.238861209
17263591,17263-59-1,O=S(=O)(O)c1cc(Nc2ncncn2)ccc1C=Cc1ccc(Nc2ncncn2)cc1S(=O)(=O)O,2.308097939
17817797,17817-79-7,CN(C)CCCn1c(CCN2CCCC2)nc2cc([N+](=O)[O-])ccc21,2.663320162
17817844,17817-84-4,CCN(CC)CCn1c(Cc2ccccc2)nc2ccccc21,3.487761784
17817855,17817-85-5,CCN(CC)CCn1c(CCN2CCCCC2)nc2cc([N+](=O)[O-])ccc21,3.321871767
17817902,17817-90-2,CC(CN(C)C)n1c(CCN2CCCC2)nc2ccccc21,3.227352206
17861062,17861-06-2,CCOc1ncnc2nc[nH]c12,3.242160654
18883664,18883-66-4,CN(N=O)C(=O)NC(C=O)C(O)C(O)C(O)CO,3.002005619
19412498,19412-49-8,N=C(N)CSP(=O)(O)O,2.72292503
19809122,19809-12-2,CCN(CC)CCn1c(CCN2CCOCC2)nc2cc([N+](=O)[O-])ccc21,2.824842397
19809133,19809-13-3,CCN(CC)CCn1c(CCN2CCCC2)nc2cc([N+](=O)[O-])ccc21,3.205419466
19809155,19809-15-5,CN(C)CCCn1c(CCN2CCOCC2)nc2cc([N+](=O)[O-])ccc21,2.68298216
19809177,19809-17-7,CN(C)CCCn1c(CCN2CCCCC2)nc2cc([N+](=O)[O-])ccc21,2.955784412
19809188,19809-18-8,CN(C)CCCn1c(Cc2ccccc2)nc2cc([N+](=O)[O-])ccc21,3.279024469
19809199,19809-19-9,CN(C)CCCn1c(CCN2CCCC2)nc2ccccc21,3.279115121
19809202,19809-20-2,CN(C)CCCn1c(Cc2ccccc2)nc2ccccc21,3.768510828
19809224,19809-22-4,CC(CN(C)C)n1c(CCN2CCOCC2)nc2ccccc21,3.249883725
19809246,19809-24-6,CC(CN(C)C)n1c(CCN2CCCCC2)nc2ccccc21,3.373737247
19809257,19809-25-7,CCN(CC)CCn1c(CCN2CCOCC2)nc2ccccc21,2.919256853
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.811914546
27807518,27807-51-8,O=C(NP(=O)(N1CC1)N1CC1)c1ccc(I)cc1,3.860478525
30507165,30507-16-5,COc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,2.647219916
30954371,30954-37-1,Cc1nc2ccccc2c(=O)n1Cc1ccco1,2.87553511
35412705,35412-70-5,O=P(O)(O)SCCNC12CC3CC(CC(C3)C1)C2,3.181118266
36674596,36674-59-6,CC(C)(C)NCC(O)c1cccc(O)c1,2.64313945
38099659,38099-65-9,O=C(O)C1OC(Oc2ccc(N(CCCl)CCCl)cc2)C(O)C(O)C1O,2.61304859
39945181,39945-18-1,CCOC(=O)C(C(=O)OCC)=C1NC(=C(C(=O)OCC)C(=O)OCC)NC(=C(C(=O)OCC)C(=O)OCC)N1,2.744712989
39996877,39996-87-7,CCOP(=O)(Cc1ccccn1)OCC,2.653527147
41235103,41235-10-3,CC[Ge]1(CC)NCCS1,2.535441814
50840249,50840-24-9,Cc1nc2ccccc2c(=O)n1C1CCCCC1,2.06217355
50840250,50840-25-0,Cc1nc2ccccc2c(=O)n1CCc1ccccc1,2.723173166
50840261,50840-26-1,Cc1nc2ccccc2c(=O)n1CCOC(=O)COc1ccc(Cl)cc1,2.270455228
50840272,50840-27-2,Cc1nc2ccccc2c(=O)n1CCOC(=O)c1ccncc1,2.587325035
50840283,50840-28-3,Cc1nc2ccccc2c(=O)n1CCOC(=O)c1cccnc1,2.587325035
51799327,51799-32-7,CCCNC(C)Cc1ccccc1,3.345596703
51799338,51799-33-8,CCCCNC(C)Cc1ccccc1,3.16781248
51833604,51833-60-4,CN(C)P(=O)(OP(=S)(N(C)C)N(C)C)N(C)C,4.197167087
52057553,52057-55-3,C[Si](C)(C)CCC12CC3CC(CC(C3)C1)C2,3.962165528
52152939,52152-93-9,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,2.329246511
52570168,52570-16-8,CC(Oc1ccc2ccccc2c1)C(=O)Nc1ccccc1,2.30274761
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,2.987655752
53309890,53309-89-0,CCC(N)Cc1ccccc1,3.32877847
58944028,58944-02-8,Cc1csc(NS(=O)(=O)c2ccc(N)cc2)n1,2.495820141
59160291,59160-29-1,Cc1cccc(C)c1NC(=O)CN(CC(=O)O)CC(=O)O,3.24349131
59995641,59995-64-1,CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN)CC12,5.370631118
63498293,63498-29-3,N=C(N)SCCCCCCSC(=N)N,3.466856503
63680308,63680-30-8,N=C(N)SCCCCCCCCCCSC(=N)N,3.791051269
63701326,63701-32-6,CC(=O)NCCSC1=C(C(=O)O)N2C(=O)C(C(C)O)C2C1,4.418250179
63918854,63918-85-4,CC(Cc1ccccc1)NCCO,2.855550651
63951019,63951-01-9,CCCC(N)Cc1ccccc1,3.367792393
63977333,63977-33-3,CC(F)CCCCCCCC(=O)OCCF,4.373467397
64039232,64039-23-2,N=C(N)SCCCSC(=N)N,3.107917384
64295030,64295-03-0,Clc1c(N2CCC2)nc(N2CCC2)nc1N1CCC1,4.955447211
67189304,67189-30-4,CC1(c2ccc(F)cc2)NCCS1,2.295078656
67455805,67455-80-5,CC(=O)NCc1cccc(CNC(C)=O)n1,2.367179303
67497432,67497-43-2,CCCCCCCCCCCCCCCC(=O)Oc1ccc(N(CCCl)CCCl)cc1,3.942045736
67497443,67497-44-3,CCCCCCCCCCCCCCCCCC(=O)Oc1ccc(N(CCCl)CCCl)cc1,3.943611652
69766398,69766-39-8,CCN(CC)CCn1c(CCN2CCCCC2)nc2ccccc21,3.26612066
69766445,69766-44-5,O=[N+]([O-])c1ccc2nc(CCCN3CCCCC3)[nH]c2c1,3.562294371
69766467,69766-46-7,CCN(CC)CC[N+]1(CCN2CCCC2)C=Nc2ccccc21,3.248558713
69803914,69803-91-4,CCCC(SP(=O)(O)O)C(=N)N,2.683315215
69803925,69803-92-5,CC(C)C(SP(=O)(O)O)C(=N)N,2.664955206
69803936,69803-93-6,CCCCC(SP(=O)(O)O)C(=N)N,2.731316262
69804020,69804-02-0,N=C(CSP(=O)(O)O)NCC12CC3CC(CC(C3)C1)C2,3.511718339
69804100,69804-10-0,CC(SP(=O)(O)O)C(=N)N,2.553381002
71116820,71116-82-0,O=C(O)CCCC=CCC1C(O)CC(O)C1C=CC(O)COc1ccsc1,4.607022593
73791374,73791-37-4,COc1cc2c(cc1OC)-c1c3c(c(OC)c4c1C(C2)N(C)CC4)OCO3,3.400199542
73839937,73839-93-7,CC(N)CCc1ccccc1,3.17387651
74019446,74019-44-6,COc1ccc(C2(C)NCCS2)cc1,2.144707018
74214623,74214-62-3,CCOC(=O)c1cc2c(cn1)[nH]c1ccccc12,2.681715084
75079797,75079-79-7,CCOC(=O)C(C(=O)OCC)=C1N=C(OC)N=C(C(C(=O)OCC)C(=O)OCC)N1,2.630844679
77854514,77854-51-4,CCOC(=O)C(C#N)=C1N=C(OC)N=C(OC)N1,2.550538391
77854525,77854-52-5,CCOC(=O)C(C#N)=C1N=C(OC)N=C(C(C#N)C(=O)OCC)N1,2.647779262
78325129,78325-12-9,CCCC[Ge]1(CCCC)NCCS1,2.573166782
78538804,78538-80-4,CCNC(=O)c1cc2c(cn1)[nH]c1ccccc12,2.980962761
78982555,78982-55-5,Oc1cccc(C(O)CNCc2ccccc2)c1,2.483062832
79515869,79515-86-9,C#CCSc1ncnc2nc[nH]c12,3.120918799
80197257,80197-25-7,CNC(=O)OCc1nc(COC(=O)NC)nc(COC(=O)NC)n1,2.534422124
80197268,80197-26-8,N=C(N)NCc1cccc(CNC(=N)N)n1,2.545578061
80197280,80197-28-0,COc1cc(C(=O)NCc2cccc(CNC(=O)c3cc(OC)c(OC)c(OC)c3)n2)cc(OC)c1OC,2.720620651
81520914,81520-91-4,CC(O)C1C(=O)N2C(C(=O)O)=C(Sc3ccncc3)CC12,4.965069877
82499067,82499-06-7,CC(C)CSc1ncnc2nc[nH]c12,3.151351085
82499078,82499-07-8,CCC(C)Sc1ncnc2nc[nH]c12,3.019815344
82499089,82499-08-9,C1CNC(SC2NCNC3NCNC32)=N1,3.394765639
82499090,82499-09-0,Cc1ccc(CSc2ncnc3nc[nH]c23)cc1C,3.198947934
82499103,82499-10-3,c1ccc(CSc2ncnc3nc[nH]c23)nc1,3.38181181
82499114,82499-11-4,CCS(=O)(=O)c1ncnc2nc[nH]c12,3.301509094
82499125,82499-12-5,CCCS(=O)(=O)c1ncnc2nc[nH]c12,3.390821875
82499136,82499-13-6,CCCCS(=O)(=O)c1ncnc2nc[nH]c12,3.431342076
82499147,82499-14-7,CNS(=O)(=O)c1ncnc2nc[nH]c12,3.529491463
82499158,82499-15-8,CCCNS(=O)(=O)c1ncnc2nc[nH]c12,3.428271615
82499169,82499-16-9,CC(C)CNS(=O)(=O)c1ncnc2nc[nH]c12,3.580981115
82499170,82499-17-0,COCCCNS(=O)(=O)c1ncnc2nc[nH]c12,3.479210486
82499181,82499-18-1,CCOCCNS(=O)(=O)c1ncnc2nc[nH]c12,3.570130135
82499192,82499-19-2,O=S(=O)(NCc1ccccc1)c1ncnc2nc[nH]c12,3.580564864
83626908,83626-90-8,CCCC(=O)Oc1ccc(N(CCCl)CCCl)cc1,4.085243471
83626919,83626-91-9,CCCCCCCC(=O)Oc1ccc(N(CCCl)CCCl)cc1,4.136062137
84260219,84260-21-9,CC[Si]1(CC)NCCS1,2.207758203
84260220,84260-22-0,C[Ge]1(c2ccccc2)NCCS1,2.601855463
84260231,84260-23-1,C[Si]1(c2ccccc2)NCCS1,2.387752329
84260242,84260-24-2,COc1ccc([Ge]2(C)NCCS2)cc1,2.653072552
84260253,84260-25-3,COc1ccc([Si]2(C)NCCS2)cc1,2.176841458
84260264,84260-26-4,C[Ge]1(c2ccc(F)cc2)NCCS1,2.633261359
84260275,84260-27-5,C[Si]1(c2ccc(F)cc2)NCCS1,2.426008767
84260286,84260-28-6,C[Si]1(C)NCCS1,2.221714097
84260297,84260-29-7,CCC[Ge]1(CCC)NCCS1,2.891953527
84260300,84260-30-0,CC1CN[Ge](C)(c2ccccc2)S1,2.705716643
84260311,84260-31-1,CC1CN[Si](C)(c2ccccc2)S1,2.445894674
84260322,84260-32-2,CC[Ge]1(CC)NCC(C)S1,2.740159313
84260333,84260-33-3,CC[Si]1(CC)NCC(C)S1,2.699894687
84260344,84260-34-4,c1ccc([Ge]2(c3ccccc3)NCCS2)cc1,2.877886549
84260355,84260-35-5,c1ccc([Si]2(c3ccccc3)NCCS2)cc1,2.410665905
84260366,84260-36-6,Cc1ccc([Ge]2(C)NCCS2)cc1,2.626535397
84260377,84260-37-7,Cc1ccc([Si]2(C)NCCS2)cc1,2.144864678
84260388,84260-38-8,COc1ccc([Ge]2(C)NCC(C)S2)cc1,3.675075328
84260399,84260-39-9,COc1ccc([Si]2(C)NCC(C)S2)cc1,2.379153171
84260402,84260-40-2,CC1CN[Ge](C)(c2ccc(F)cc2)S1,2.735445592
84260413,84260-41-3,CC1CN[Si](C)(c2ccc(F)cc2)S1,2.356752262
84260424,84260-42-4,C[Ge]1(c2ccc(Cl)cc2)NCCS1,2.739306465
84260435,84260-43-5,C[Si]1(c2ccc(Cl)cc2)NCCS1,2.458275156
84260468,84260-46-8,CCCC[Ge]1(CCCC)NCC(C)S1,2.963795695
84260479,84260-47-9,CCCCC[Ge]1(CCCCC)NCCS1,2.462445917
84260480,84260-48-0,CCCCC[Ge]1(CCCCC)NCC(C)S1,2.637859823
84260491,84260-49-1,CC(C)CC[Ge]1(CCC(C)C)NCCS1,2.649532561
84260504,84260-50-4,CC(C)CC[Ge]1(CCC(C)C)NCC(C)S1,2.579867876
85431614,85431-61-4,CC1C(O)CCC2=CC(=O)C3(C4(CO)CO4)OC3C21C,2.447654084
86063674,86063-67-4,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCNC3)CC12,6.18249035
86133553,86133-55-3,C[Ge](C)(C)CCC12CC3CC(CC(C3)C1)C2,2.278443059
96811960,96811-96-0,CN(C)CCN(Cc1ccc[se]1)c1ccccn1,3.534712702
97095528,97095-52-8,CC(N1CCCC1=O)[Ge]12OCCN(CCO1)CCO2,1.706820158
100446875,100446-87-5,c1ccc(CC[Ge]23OCCN(CCO2)CCO3)nc1,2.061532683
100446886,100446-88-6,c1cc(CC[Ge]23OCCN(CCO2)CCO3)ccn1,2.100162085
100446922,100446-92-2,Cc1cc(C)n(C[Ge]23OCCN(CCO2)CCO3)n1,1.959476
100446933,100446-93-3,c1ccc2c(c1)ncn2C[Ge]12OCCN(CCO1)CCO2,2.293566139
100447005,100447-00-5,C[Ge](C)(C)CCc1ccncc1,2.838098958
100447414,100447-41-4,c1ccc2[nH]c(CCCN3CCCCC3)nc2c1,3.53498014
100525379,100525-37-9,CCCOP(=O)(Cc1ccccn1)OCCC,2.86508203
101098446,101098-44-6,CCCCOP(=O)(Cc1ccccn1)OCCCC,3.25394118
101246688,101246-68-8,CCCCCCCNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.011647763
102367624,102367-62-4,Clc1ccc([Si]2(c3ccccc3)NCC(c3ccccc3)S2)cc1,2.565820674
102367737,102367-73-7,Clc1ccc([Ge]2(c3ccccc3)NCC(c3ccccc3)S2)cc1,2.770326966
102906547,102906-54-7,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCNCC3)C(C)C12,6.531502866
105261185,105261-18-5,CC(C(=O)O)[Ge](C)(C)C12CC3CC(CC(C3)C1)C2,1.780926627
105261265,105261-26-5,C[Ge](C)(CCC(=O)NO)C12CC3CC(CC(C3)C1)C2,2.062963163
107746521,107746-52-1,CON1CCC(=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)C1=O,1.918365894
108152665,108152-66-5,CCCOP(=O)(OCCC)SCCCl,4.021727664
108371864,108371-86-4,CCOP(=O)(COC(=O)N(C)C)OCC,3.644295911
109438268,109438-26-8,CCCCCOP(=O)(CC)OCCCCCCP(C)(O)=S,4.475936629
112703501,112703-50-1,C[Ge](C)(C)CCC(=O)NC12CC3CC(CC(C3)C1)C2,1.954274678
112703523,112703-52-3,Cc1cc(C)n(C[Ge](=O)O[Ge](=O)Cn2nc(C)cc2C)n1,2.764358745
115102255,115102-25-5,CCN(CC)P(=O)(OC(=O)N(C)C)N(CC)CC,3.839722223
118885895,118885-89-5,CCC(C)OC(=S)C(F)(Cl)[N+](=O)[O-],3.224364793
122110536,122110-53-6,CCCC(=O)OCOC(=O)C(C)(C)C,2.172349622
137987361,137987-36-1,O=C1NCC2=Nc3ccccc3NC(c3ccccc3)C12,2.442992154
137987372,137987-37-2,COc1ccc(C2Nc3ccccc3N=C3CNC(=O)C32)cc1,2.487637457
137987383,137987-38-3,COc1ccc(C2Nc3ccccc3N=C3CNC(=O)C32)cc1OC,2.528118047
137987394,137987-39-4,O=C1NCC2=Nc3ccccc3NC(c3ccc(O)cc3)C12,2.46735056
137987407,137987-40-7,O=C1NCC2=Nc3ccccc3NC(c3ccccc3O)C12,2.46735056
137987418,137987-41-8,COc1cc(C2Nc3ccccc3N=C3CNC(=O)C32)ccc1O,2.509675551
137987429,137987-42-9,O=C1NCC2=Nc3ccccc3NC(c3ccc(Br)cc3)C12,2.551721957
159494276,159494-27-6,Nc1cnn(C2CCCO2)c(=O)n1,1.880296608
1204699,1204-69-9,Oc1ccc(N(CCCl)CCCl)cc1,4.369449645
1278837,1278-83-7,C[Ti](Cl)(C1C=CC=C1)C1C=CC=C1,4.057941729
1407052,1407-05-2,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,6.542211506
2385231,2385-23-1,Cc1nc2ccccc2c(=O)n1-c1ccccc1,2.72020342
2414020,2414-02-0,CCCCOC(=O)C(F)(Cl)[N+](=O)[O-],3.254038021
3244937,3244-93-7,Cc1nc2ccccc2c(=O)n1Cc1ccccc1,3.036734749
4582187,4582-18-7,CCN(CC)C(=O)C1C2C=CC(C2)C1C(=O)N(CC)CC,3.06807152
4727622,4727-62-2,CC[N+]1(CCN2CCN(CC[N+]3(CC)CCCCC3)CC2)CCCCC1,4.564237475
7564263,7564-26-3,CC[n+]1cccc2cccc(OCCCCCOc3cccc4ccc[n+](CC)c34)c21,5.389233856
23701726,23701-72-6,Cc1nn(C2OC(CO)C(O)C2O)c(=O)nc1N,1.556797228
41506143,41506-14-3,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.712664866
43033723,43033-72-3,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.737240028
51635815,51635-81-5,CC[N+](C)(CC)CN1CCN(C[N+](C)(c2ccccc2)c2ccccc2)C1=O,2.038622432
63979884,63979-88-4,Nc1ccc(S(=O)(=O)Nc2nc(-c3ccccc3)cs2)cc1,2.566138824
67293714,67293-71-4,CCON(c1ccccc1)P(=O)(F)OCC,4.313877761
88313604,88313-60-4,O=P(O)(O)SCCNCCCNC12CC3CC(CC(C3)C1)C2,2.735281193
88318085,88318-08-5,N=C(N)SCCCNCCNCC12CC3CC(CC(C3)C1)C2,2.596393738
88461590,88461-59-0,CCCCNCC(O)c1cccc(O)c1,2.392350551
88461603,88461-60-3,CN(C)CC(O)c1cccc(O)c1,3.09687407
88461614,88461-61-4,COc1ccc(CNCC(O)c2cccc(O)c2)cc1O,2.635320165
88461625,88461-62-5,COc1ccc(CNCC(O)c2cccc(O)c2)cc1OC,2.3680121
88461716,88461-71-6,CCCNCC(O)c1cccc(O)c1,2.047579685
89159842,89159-84-2,C#CCN(C)C(C)Cc1c[nH]c2ccccc12,2.614366002
90821695,90821-69-5,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCNCC3)SC12,7.071922753
